, 24259
ALB, 9817
C3, 6280
APOB, 5398
TF, 5235
FN1, 2542
FGA, 2141
CPS1, 1428
FGB, 1351
SERPINA1, 1324
MT-CO2, 1310
APOH, 1089
FGG, 1075
LRP1, 1070
CLU, 1045
B2M, 999
GC, 995
HPX, 962
RBP4, 904
C1S, 870
CYP2E1, 799
PLG, 775
PSAP, 770
ALDOB, 756
CP, 739
GPNMB, 670
COX1, 643
AHSG, 625
ADH4, 546
AHNAK, 543
VTN, 536
C5, 534
APOA1, 531
BHMT, 510
CD74, 483
RELN, 481
CYP3A26, 478
SERPING1, 457
C1R, 456
APOE, 442
A2M, 440
CESdD1, 407
CYP3A12, 400
ACSL4, 381
ITIH2, 381
C4BPA, 380
ITIH1, 374
CAT, 373
POSTN, 373
HSP90B1, 368
CTSB, 364
FTH1, 352
ACTB, 344
SCP2, 335
IGHM, 325
C6, 324
EEF2, 322
SLC38A4, 317
HPD, 316
SERPINC1, 314
HLA-DRB1, 310
CFI, 310
DST, 301
TTR, 297
CD163, 295
PROS1, 294
DPYS, 293
PAH, 293
MYH9, 276
ASS1, 276
ABCA1, 272
TPT1, 266
A1BG, 266
DLA DRA, 265
F5, 264
CYP2C18, 264
SPTBN1, 261
MT1, 258
CLTC, 257
SLC40A1, 252
RGN, 246
ITM2B, 238
THBS1, 235
DLA-DQA1, 232
COX3, 229
MT-ND3, 229
COL1A2, 227
FETUB, 227
P4HB, 225
EHHADH, 219
COL3A1, 219
ACSL1, 209
F2, 209
CDO1, 207
MT-ND6, 206
COL6A5, 204
GLDC, 204
UGT2B31, 203
RNASE4, 202
PON1, 198
MT-ATP8, 197
COL12A1, 197
ANGPTL3, 197
HRG, 194
ABCB4, 193
HSPA5, 193
DYNC1H1, 187
HSD17B4, 187
MT-ND1, 186
PCK2, 186
LAMP2, 186
CTSS, 185
COL6A3, 184
VIM, 183
APOA2, 183
ALAS1, 183
ACTG1, 180
EPHX1, 177
HSP90AA1, 175
MPEG1, 173
PYGL, 173
C9, 172
CTSK, 172
FTL, 172
CYP7B1, 172
MAN2A1, 170
MACF1, 168
SRRM2, 167
CYP2A13, 166
DPYD, 166
ND2, 165
GLUL, 161
ITGB1, 161
SLCO1B3, 160
FASN, 159
C1QA, 157
NCOA4, 157
CALR, 157
IQGAP2, 155
NNT, 154
ARG1, 154
HMGCS2, 153
MT-ND4, 153
MRC1, 151
TAS1R2, 151
SYNE2, 151
CTSD, 148
ACAA2, 144
PIGR, 144
APP, 143
ATP1A1, 143
CSF1R, 140
C1QC, 140
SLC7A2, 139
HSP90AB1, 139
UBR4, 139
TLN1, 139
CSDE1, 139
TXNIP, 138
CPB2, 138
HDLBP, 138
CYP8B1, 138
MT2A, 137
CYP2A7, 137
PDIA4, 136
DDX5, 136
C1QB, 135
ND5, 133
F9, 133
ACACA, 131
JCHAIN, 130
SERPINF1, 129
ASAH1, 128
CD36, 127
ABCA9, 126
CLEC4F, 126
NID1, 126
FMO1, 124
ATP6, 121
TDO2, 121
ADIPOR2, 119
HUWE1, 119
SPARCL1, 119
CFHR5, 119
TAT, 118
ALDH1A1, 118
FAT1, 116
GGH, 116
TNFSF10, 115
NDRG2, 115
RPN2, 115
CTNNB1, 113
FMO5, 113
CANX, 112
MAT1A, 112
CD81, 111
RPL9, 111
SERPIND1, 111
ATP5A1, 111
AFM, 110
ACADM, 109
HERC2, 109
PRPF8, 108
PLEC, 108
CDH1, 107
CD5L, 107
UGT1A6, 107
SAMD9L, 106
BGN, 105
IL6ST, 105
PRDX1, 104
ETFDH, 104
RNF213, 104
QSOX1, 103
LIFR, 102
VPS13D, 102
OTC, 101
PABPC1, 101
HHIP, 101
LECT2, 100
TMEM59, 100
STAB2, 100
RPL8, 99
LIPA, 98
GPLD1, 98
DCN, 98
LUM, 98
AMBP, 98
ANXA6, 97
SF3B1, 97
TTPA, 97
EPRS, 97
PDGFRB, 96
FBLN1, 95
