, 1521379
RPS12, 541125
EIF4A2, 341981
NOP56, 214056
NCL, 200628
UBAP2, 184862
SPCS1, 124476
RPS8, 113722
RPL7A, 109114
P2RY11, 99402
TNPO2, 91715
RPL13A, 76448
RABGGTB, 62894
PRPF39, 61533
RACK1, 59937
CCAR1, 59448
EIF4G1, 54631
GNL3, 53858
SF3B3, 49233
HSPA9, 46072
WDR43, 45996
PUM1, 43250
PRRC2B, 42318
AP1B1, 37329
RPL5, 35587
RPL3, 32663
NOP58, 32212
DDX39B, 21359
TEX14, 21084
EEF2, 16524
AP1G1, 16276
HUWE1, 14303
MED24, 9880
CEP295, 8339
SNX5, 3560
RAPGEF5, 2190
RPS3, 2011
ADAMTSL1, 1963
RPL32, 1483
RPL12, 1222
IKBKG, 1075
KANSL2, 767
CNOT1, 759
PTCD3, 730
TCP1, 726
CHD4, 676
RPL23, 642
GTF2A1, 630
NRF1, 592
TRRAP, 532
KIAA0907, 528
EIF4G2, 517
RPS11, 500
MOB4, 485
MYO16, 459
EIF3A, 437
CKAP5, 435
KPNA4, 422
SLC38A4, 410
TMEM167A, 391
NCAPD2, 373
SPIRE1, 361
RPSA, 350
MAML2, 334
CHD8, 296
CCBE1, 295
INPP4B, 270
TIPIN, 255
COL22A1, 238
EXT1, 212
IPO7, 212
ACTN1, 211
FAM208B, 209
EIF5, 208
CCT6A, 204
ANO10, 198
OVOL2, 193
SLC25A16, 192
CGN, 191
PPP1R8, 189
PRKCA, 182
MAP2K4, 176
WRAP53, 164
ATG16L1, 158
FGA, 158
EP400, 154
METTL26, 147
UGT1A6, 146
TPT1, 137
ITGA9, 137
TOMM20, 136
PBX1, 136
PHB2, 130
ATRNL1, 130
HAUS6, 128
PDGFD, 125
SLC9A9, 122
FMR1, 122
NOP53, 122
UBAP2L, 119
DPYD, 116
WDFY4, 113
FMNL2, 112
NFIA, 111
LRBA, 110
EXOC4, 109
RANBP1, 107
CYP3A26, 107
DIAPH2, 106
IGF2, 106
MBNL1, 101
LPCAT2, 101
VPS13B, 100
TTC7B, 100
ETV6, 97
MED13L, 97
MAGI3, 96
FNDC3B, 95
LSAMP, 94
ZNF280C, 94
PTPRM, 94
VPS13D, 88
ASAP1, 87
DST, 85
ARID1B, 84
SBF2, 84
RBMS3, 84
MAML1, 83
C16orf72, 82
LRCH1, 81
TTC28, 79
BCAS3, 78
LPP, 77
FOXO3, 76
SH3PXD2B, 75
CNTNAP5, 75
APOA1, 74
MCTP1, 74
ELMO1, 72
QKI, 72
C4BPA, 72
ZFAND3, 72
SLC8A1, 71
DOCK4, 71
TMEM104, 71
TMEM232, 71
FGG, 70
AKAP13, 70
NFIB, 70
DOCK1, 69
EXOC6B, 69
LAMP2, 69
SNX29, 68
HS3ST3A1, 68
TCF12, 67
FARP1, 67
CCDC180, 67
ZER1, 67
ADK, 66
PRKCB, 66
CALR, 66
IGHM, 65
PTPRC, 65
KIAA1217, 65
FZD4, 64
MAN1C1, 64
DENND1A, 64
POLA1, 64
TMED7-TICAM2, 63
CP, 63
HK2, 63
PRKCE, 63
TCF7L2, 63
PPP3CA, 63
ARHGAP15, 62
CHD3, 61
RELN, 60
CPED1, 60
ARHGAP24, 60
CBLB, 60
KDM6A, 59
IGF1R, 59
RFWD2, 58
PREX1, 58
SAMD4A, 58
CPNE8, 58
BABAM2, 58
PRKAG2, 57
NOTCH2, 57
MYO9A, 57
MACF1, 57
HIPK2, 57
PPIB, 57
PEBP1, 56
NRP1, 56
ACSL3, 56
RBMS1, 56
GPHN, 56
HABP2, 56
CHD2, 56
UVRAG, 56
GUCY1A2, 55
KLF9, 55
SND1, 54
RUNX1, 54
PICALM, 54
FAM189A1, 54
LARP4, 54
CYP7B1, 54
CAMK2D, 53
SYNPO2, 53
ABCA1, 53
TRPS1, 53
PTPRK, 53
MAP3K20, 52
CWF19L1, 52
JARID2, 52
SETBP1, 52
CELF2, 52
TEF, 51
DOCK2, 51
TPK1, 51
FOXP1, 51
FAM172A, 51
MYO7A, 51
TRMT44, 51
TBC1D5, 51
AGAP2, 51
MTSS1, 50
IL6ST, 50
ACACA, 50
PLEKHA5, 49
BCL2, 49
KANSL1, 49
CEACAM28, 49
VTI1A, 49
ZCCHC7, 49
ITPR2, 49
JMJD1C, 49
AKT3, 49
RBPMS, 48
LDB2, 48
C4orf45, 48
DHRS7B, 48
BNC2, 48
AGAP1, 47
CMIP, 47
TMCC1, 47
ZFPM2, 47
CCNY, 47
SORBS1, 46
ITPKB, 46
ACSS3, 46
STARD13, 46
TGFBR3, 46
ATRX, 46
GMDS, 46
PABPC4, 46
CHCHD3, 46
RYR2, 45
IQGAP2, 45
OTOP1, 45
RPS15A, 45
ALDH6A1, 45
MARK3, 45
FBXW2, 45
GNAQ, 45
SLCO3A1, 45
ATP9B, 44
RAPGEF1, 44
DYM, 44
AARS, 44
CARMIL1, 44
NR3C2, 44
DLC1, 44
C9orf3, 43
PPM1H, 43
ANKRD44, 43
ATP8A1, 43
NCKIPSD, 42
NCOR2, 42
PCDH7, 42
ERBIN, 42
KCNQ1, 42
DDX17, 42
BMP2K, 42
TAS1R2, 41
ARHGAP26, 41
ASPH, 41
SMAD6, 41
CHN2, 41
DDX5, 41
IKZF1, 40
DOCK10, 40
COBLL1, 39
LMAN2, 39
PHKB, 39
GRK3, 39
BUB1, 39
FLI1, 39
FBXW4, 38
CSNK1D, 38
AACS, 38
SMAD3, 38
NDST1, 38
MCU, 38
ARHGAP10, 38
KAT6B, 38
NR3C1, 38
PRRC2A, 38
AFF1, 38
TBC1D22A, 37
MGLL, 37
PLXNA4, 37
ANKS1A, 37
TESMIN, 37
ALCAM, 37
AP3B2, 37
SPTBN1, 37
CHST11, 37
HERC4, 37
FCHSD2, 37
AFF3, 37
ETS1, 37
UBE3C, 36
FTO, 36
RALGAPA2, 36
AUH, 36
WDR7, 35
ITPK1, 35
TCF4, 35
FER, 35
ERC1, 35
GGCX, 35
CLCN5, 35
RDX, 35
ASCC3, 35
NDUFV3, 34
APBB2, 34
HSD17B4, 34
ADCY5, 34
AKAP2, 34
NUP155, 34
ADAM23, 34
HDAC9, 34
RASAL2, 34
ALAS1, 34
ATP8B4, 34
CUX1, 34
PCCA, 34
EPHA3, 34
CRIM1, 33
SMAP1, 33
PARD3B, 33
PCDHGC5, 33
NSD1, 33
AAK1, 33
ANKS1B, 33
CDKAL1, 33
NRP2, 33
DISC1, 33
AOC3, 33
ZNF609, 33
PRR16, 33
CACNA1C, 33
ADRA1A, 33
DLG1, 33
CHURC1-FNTB, 32
GBE1, 32
ARHGEF12, 32
SUCLG2, 32
PEX14, 32
BRWD1, 32
RASA3, 32
INTS6, 32
TBXAS1, 32
SSR1, 32
HES4, 32
KIDINS220, 32
MAN1A2, 32
ABCA8, 32
TNRC6A, 32
FRMD4B, 32
UGCG, 32
PALLD, 31
PHIP, 31
ARL15, 31
STAG1, 31
EP300, 31
ANTXR2, 31
TBC1D9, 31
PRKG1, 31
CAMKMT, 31
DAPK1, 31
DCAF5, 31
FAR1, 31
VWA8, 31
SMARCA2, 31
EHBP1, 31
ZSWIM4, 31
TMEM117, 31
SCFD2, 31
PDE3B, 30
PUM2, 30
G3BP1, 30
PCTP, 30
RARB, 30
FGFR2, 30
SLC4A4, 30
SVIL, 30
ZNF407, 30
CDK6, 30
SFMBT2, 30
SRGAP2, 30
ZMYND8, 30
GRK5, 30
RABGAP1, 30
TYSND1, 30
TF, 30
VAV3, 30
C7, 30
FRMD4A, 30
FYB, 30
ACSS2, 30
CDH2, 30
WDR27, 29
MLLT10, 29
ZBTB16, 29
HDAC4, 29
PRPF40A, 29
RSU1, 29
SEMA5A, 29
PID1, 29
SOX6, 29
STAB2, 29
HERC2, 29
SMC4, 29
LPGAT1, 29
TBC1D1, 29
PTPRE, 29
PSD3, 29
RBM39, 29
SETD2, 28
ALB, 28
KSR1, 28
FNIP1, 28
CPS1, 28
CTNND1, 28
KCNMA1, 28
PPP2R5C, 28
FBLN5, 28
WDFY1, 28
LHFP, 28
ARID4B, 28
TCFL5, 28
ARVCF, 28
PAN3, 28
PCYT2, 28
SGCZ, 28
MASP1, 28
AP3B1, 28
PARP8, 28
SESN3, 28
ELP4, 28
TENM4, 28
COMMD10, 28
SNX30, 28
FEM1C, 28
LDLRAD4, 28
UST, 27
MAN2A1, 27
CCDC34, 27
FAM53B, 27
SCUBE2, 27
KIF16B, 27
BMPR2, 27
AGPS, 27
AKAP7, 27
ZEB1, 27
RASA1, 27
KMT2C, 27
ARHGAP32, 27
KDM4C, 27
STIM1, 27
ASXL1, 27
AIG1, 27
SEPT9, 27
THSD7A, 27
HSP90AB1, 27
FMO5, 27
ZMIZ1, 27
RNLS, 27
C3, 27
TP53, 27
SLC25A13, 27
MARCH1, 27
DSE, 27
FOXO1, 27
TSPAN9, 27
ACTN4, 27
PDE3A, 26
ROCK1, 26
FBLN1, 26
ACSL4, 26
SSH1, 26
SNX13, 26
TPM1, 26
SIK3, 26
LRMDA, 26
SPIDR, 26
SEPT7, 26
NFAT5, 26
INPP5D, 26
KIAA0922, 26
EEFSEC, 26
ZNF644, 26
KMT2E, 26
TSC22D1, 26
MEF2A, 26
GNB1, 26
RBM33, 26
TRAPPC9, 26
KAT6A, 26
OGT, 26
GSK3B, 26
ACADVL, 26
EXOC6, 26
TMEM164, 26
NFATC3, 26
KDM2B, 25
ATG7, 25
PPP2R5E, 25
PTBP2, 25
GLS, 25
TBC1D8, 25
PIK3R1, 25
PCSK6, 25
ARHGAP6, 25
PRIM2, 25
SUSD1, 25
RCL1, 25
PTCRA, 25
DYRK1A, 25
CSPP1, 25
CREBBP, 25
COG5, 25
DIP2B, 25
ARID5B, 25
SH3KBP1, 25
GIT2, 25
VPS13A, 25
PDE4DIP, 25
EML4, 25
KHDRBS3, 24
ADGRL2, 24
MARCH6, 24
PLXDC2, 24
DTD1, 24
KIAA1328, 24
UBR5, 24
PDS5B, 24
MAD1L1, 24
SRGAP3, 24
FAM13A, 24
PARD3, 24
CD44, 24
CD99, 24
SASH1, 24
ARHGAP17, 24
MRPL33, 24
SKAP2, 24
ATXN2, 24
STK39, 24
NTF3, 24
WWOX, 24
LIFR, 24
UBR3, 24
SLC9A7, 24
USP34, 24
ZNF608, 24
NBEA, 24
ABI1, 24
CPXM2, 24
PAPD5, 24
CRADD, 24
CA5B, 24
PHACTR2, 24
SSH2, 24
HHIP, 24
LIMCH1, 24
PDE4D, 24
MED27, 24
ARFGEF1, 24
RIN3, 24
TXNDC11, 24
FOXK1, 24
LGALS8, 23
STK10, 23
WWP1, 23
MEIS1, 23
COL4A2, 23
PTPRG, 23
ARHGAP42, 23
TOX, 23
CTNNA1, 23
RP9, 23
MEIS2, 23
ITGB5, 23
ANTXR1, 23
SPATA6, 23
TCF7L1, 23
SNTB1, 23
SH3RF1, 23
HNRNPM, 23
HERC3, 23
NIPBL, 23
SH3BP5, 23
RGL1, 23
MAP2K5, 23
CAPZA2, 23
ECE1, 23
SKI, 23
SNX9, 23
NCKAP5, 23
PPP1R12A, 23
MAML3, 23
MKLN1, 23
MYO18A, 23
ATRN, 23
JPT2, 23
GLIS3, 23
ADAMTSL2, 23
STRN3, 23
PLEKHM3, 23
DGKI, 23
GBA3, 23
GHR, 23
NEDD4L, 23
ASH1L, 23
CAPZB, 23
MCC, 23
RBM6, 22
RPGR, 22
IQGAP1, 22
PRKAR2B, 22
FBXO21, 22
NAV2, 22
GYS2, 22
ABHD15, 22
SUSD6, 22
HOMER1, 22
CERS6, 22
GPCPD1, 22
FAM107B, 22
BIRC6, 22
MCL1, 22
INO80, 22
THSD4, 22
CAMK1D, 22
ZNF451, 22
MNAT1, 22
AFDN, 22
SREBF2, 22
ATE1, 22
MGEA5, 22
PHF21A, 22
ARHGAP35, 22
COL4A3BP, 22
UBE2H, 22
C6, 22
ACSL1, 22
MYLK, 22
THADA, 22
RPS6KA5, 22
AGTPBP1, 22
COL5A2, 22
PYGL, 22
DDX10, 22
CALD1, 22
FRRS1L, 22
WDR33, 22
PDLIM5, 22
MVB12B, 22
MYH9, 22
BICC1, 22
CADM1, 22
PBX3, 22
TMEM135, 22
NEK7, 22
GPR39, 22
KLF12, 22
VAC14, 22
APPL2, 22
SLC30A7, 21
KIF6, 21
ZEB2, 21
CDK14, 21
SPPL3, 21
CLYBL, 21
KDM2A, 21
DOCK11, 21
RNF216, 21
IL1RAP, 21
ALDH5A1, 21
PPP1R9A, 21
CHD9, 21
MTPAP, 21
GIGYF2, 21
DIS3L2, 21
PPP1CC, 21
CEP120, 21
HMGCLL1, 21
THRB, 21
CCDC91, 21
TRIP12, 21
CD74, 21
APP, 21
LYST, 21
WDFY3, 21
JAZF1, 21
TMEM131, 21
GPR107, 21
FIGN, 21
SCAPER, 21
timp3, 21
HNRNPD, 21
KDM5A, 21
SOCS2, 21
MYCBP2, 21
PPP6R3, 21
MITF, 21
LRP1, 21
DPYS, 21
WDR70, 21
PXK, 21
PTK2, 21
DOCK9, 21
RAPH1, 21
LONP2, 21
C2CD3, 21
TMTC2, 21
LARP1B, 21
MBP, 20
PCNX1, 20
MAP4K5, 20
KREMEN1, 20
ADAMTS2, 20
DYNC1H1, 20
HIVEP1, 20
MGAT5, 20
SBNO1, 20
TRIO, 20
NFKB1, 20
STOX2, 20
LTBP1, 20
FARS2, 20
MPHOSPH8, 20
NCOR1, 20
RERE, 20
RFX7, 20
MEGF6, 20
TNS1, 20
SH3RF3, 20
IGF1, 20
CPEB4, 20
ABLIM1, 20
ANKRD10, 20
C1orf21, 20
NF1, 20
KIAA1671, 20
TANC1, 20
INTS3, 20
DAB2IP, 20
AP2B1, 20
MYO1D, 20
SHMT2, 20
FOXJ3, 20
RAB43, 20
KLHL3, 20
CREB3L2, 20
PRKDC, 20
PML, 20
SKAP1, 20
SOX5, 20
ANKRD17, 20
ASAP2, 20
GATA4, 20
GPATCH2, 20
CYP2B6, 20
B3GLCT, 20
NHLRC2, 20
PAH, 19
ADAM19, 19
ST8SIA4, 19
MAGI2, 19
PDCD1LG2, 19
MOB2, 19
ZCCHC6, 19
APBB1IP, 19
DMXL1, 19
UBR2, 19
PXDNL, 19
MAST4, 19
GPR182, 19
RAPGEF2, 19
NR2F2, 19
DXO, 19
ITPR1, 19
NOTCH1, 19
ATP6V0E2, 19
PAPD4, 19
WDFY2, 19
UBAC2, 19
LTBP2, 19
AGFG1, 19
SPRED1, 19
NSD3, 19
VPS8, 19
SSBP2, 19
RCSD1, 19
FLT4, 19
TOP1, 19
PHF20L1, 19
LSM14A, 19
PPFIBP2, 19
EIF4EBP3, 19
MERTK, 19
UBE2K, 19
CABLES1, 19
TEAD1, 19
PHLPP1, 19
PLXNC1, 19
SDK1, 19
ZCCHC24, 19
ALK, 19
TTLL5, 19
KIF26B, 19
DENND1B, 19
ST7, 19
GOLGA4, 19
UBE4B, 19
RPTOR, 19
FBXO11, 19
RAB1A, 19
TANK, 19
VPS41, 19
EPB41L5, 19
CCDC50, 19
BCAS2, 19
EIF4A1, 19
SNX27, 18
HGF, 18
ERI3, 18
DAAM2, 18
EIF5B, 18
TSPAN5, 18
CD47, 18
YEATS2, 18
CSNK1G1, 18
PDXDC1, 18
BBS9, 18
DHX15, 18
GRB2, 18
ARHGAP25, 18
SGCD, 18
SLC40A1, 18
OSBPL9, 18
GTF2I, 18
F13A1, 18
KCNK12, 18
IREB2, 18
ITSN2, 18
ACBD6, 18
CAST, 18
DOCK3, 18
SMG6, 18
MPDZ, 18
ADAMTS13, 18
PLPP3, 18
PGS1, 18
