taglen,crossmapped,scRNA,unannotated,Unknown,precursor,rRNA,rmsk_DNA,stemloop,rmsk_Other,star,tRNA,LINE,snRNA,No_CDS,mature,Coding_Exon,snoRNA,Intron,rmsk_RNA,p3_UTR,Satellite,srpRNA,LTR,p5_UTR,SINE,rmsk_Unknown,rmsk_Simple_repeat,rmsk_Low_complexity
11,0,0,0,6.11408241929839e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0.000489126593543871,0,0,0,0,0,0,0,0,0,0,0,1.83422472578952e-05,0,0.000207878802256145,0,0,0,0,0,0,0,0,0,0
13,0,0,1.83422472578952e-05,0.0105162217611932,0,0,0,0,0,0,0,0,0,0,0,0.000434099851770186,0,0.0026473976875562,0,0.000158966142901758,0,0,0,0.000513582923221065,0,0,0,0
14,0,0,6.11408241929839e-06,0.0393746907802816,0,0,0,0,0,0,0,0,0,0,6.11408241929839e-06,0.00146126569821232,0,0.00535593619930539,0,0.000287361873707024,0,0,0,0.00068477723096142,0,0,0,0
15,0,0,3.0570412096492e-05,0.0512115543440433,0,0,0,0,0,0,0,0,0,0,0.000134509813224565,0.00377238885270711,0,0.00788716632089493,0,0.000556381500156154,0,0,0,0.000843743373863178,0,0,0,0
16,0,0,0.000177308390159653,0.0717243008607894,0,0,0,1.83422472578952e-05,0,0,0,0,0,0,0.000862085621121073,0.00698839620525806,0,0.0152179511416337,0,0.00147349386305091,0,0,0,0.00116167565966669,0,0,0,0
17,0,0,0.00049524067596317,0.0539262069382118,0,0,0,6.11408241929839e-06,0,0,0,0,0,0,0.00725130174928789,0.0091344391344318,0,0.0143252951084161,0,0.00214604292917374,0,0,0,0.0015224065224053,0,0,0,0
18,6.11408241929839e-06,0,0.00108219258821582,0.043458897836373,0,0,0,1.83422472578952e-05,0,0,0,0,0,0,0.0201764719836847,0.0111092877558652,0,0.0177980939225776,0,0.00242117663804216,0,0,0,0.00146126569821232,0,0,0,0
19,0.000238449214352637,0,0.0034116579899685,0.0403957425443045,1.83422472578952e-05,0,0,3.66844945157904e-05,0,0,0,0,0,0,0.0570077044775382,0.0105834766678055,0,0.0128579153277845,0,0.00256791461610532,0,0,0,0.00129618547289126,0,0,0,0
20,0.000489126593543871,0,0.0151690384822793,0.04444326510588,6.11408241929839e-06,0,0,0,0,0,0,0,0,0,0.251527236647517,0.010552906255709,0,0.0125888957013354,0,0.00270853851174919,0,0,0,0.00119836015418248,0,0,0,0
21,0.00255568645126673,0,0.0493712155358345,0.0544092194493364,1.22281648385968e-05,0,0,1.22281648385968e-05,0,0,0,0,0,0,1.4268556423565,0.010265544382002,0,0.0280636383045796,0,0.00299590038545621,0,0,0,0.000923226445314057,0,0,0,0
22,0.000140623895643863,0,0.0932153005646233,0.0571116438786663,1.22281648385968e-05,0,0,6.72549066122823e-05,0,0,0,0,0,0,2.50441375609849,0.00998429659071427,0,0.0683248710356595,0,0.0030386989623913,0,0,0,0.000972139104668444,0,0,0,0
23,3.0570412096492e-05,0,0.0404324270388203,0.0548433193011066,0,0,0,1.83422472578952e-05,0,0,0,0,0,0,0.652403164551235,0.00941568692571952,0,0.0139767924105161,0,0.00313041019868078,0,0,0,0.000898770115636864,0,0,0,0
