miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	5985	6899.731965	N
cfa-let-7a-2	5894	6794.823760	N
cfa-let-7b	8182	9432.515779	N
cfa-let-7c	1853	2136.207741	N
cfa-let-7d	999	1151.684584	N
cfa-let-7e	624	719.370551	N
cfa-let-7f	14009	16150.099432	N
cfa-let-7g	26062	30045.248869	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	57	65.711733	N
cfa-mir-1-2	68	78.392945	N
cfa-mir-101-1	2915	3360.521083	N
cfa-mir-101-2	3075	3544.975070	N
cfa-mir-103-1	1173	1352.278295	Y
cfa-mir-103-2	1328	1530.968095	Y
cfa-mir-105a	0	0.000000	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	25	28.820936	Y
cfa-mir-106b	672	774.706747	N
cfa-mir-107	744	857.711041	Y
cfa-mir-10a	8960	10329.423293	N
cfa-mir-10b	1305	1504.452835	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	1	1.152837	N
cfa-mir-122	304990	351603.885062	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	32	36.890797	N
cfa-mir-125a	2085	2403.666023	N
cfa-mir-125b-1	2194	2529.325302	N
cfa-mir-125b-2	2445	2818.687495	N
cfa-mir-126	13149	15158.659250	N
cfa-mir-127	16	18.445399	N
cfa-mir-1271	50	57.641871	N
cfa-mir-128-1	841	969.536271	N
cfa-mir-128-2	594	684.785428	N
cfa-mir-129-1	12	13.834049	N
cfa-mir-129-2	4	4.611350	N
cfa-mir-1296	7	8.069862	N
cfa-mir-1301	42	48.419172	N
cfa-mir-1306	22	25.362423	N
cfa-mir-1307	211	243.248696	N
cfa-mir-130a	126	145.257515	N
cfa-mir-130b	13	14.986886	N
cfa-mir-132	15	17.292561	N
cfa-mir-133a	28	32.279448	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	28	32.279448	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	20	23.056748	N
cfa-mir-135a-1	55	63.406058	N
cfa-mir-135a-2	62	71.475920	N
cfa-mir-135b	0	0.000000	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	2	2.305675	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	622	717.064876	N
cfa-mir-140	1125	1296.942099	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	1825	2103.928294	N
cfa-mir-143	19769	22790.442978	N
cfa-mir-144	224	258.235582	N
cfa-mir-145	3478	4009.568551	N
cfa-mir-1468	4	4.611350	N
cfa-mir-146a	6448	7433.495691	N
cfa-mir-146b	408	470.357668	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	89655	103357.638989	N
cfa-mir-148b	1284	1480.243249	N
cfa-mir-149	14	16.139724	N
cfa-mir-150	516	594.864109	N
cfa-mir-151	2919	3365.132432	N
cfa-mir-152	574	661.728680	N
cfa-mir-153	7	8.069862	N
cfa-mir-155	620	714.759201	N
cfa-mir-15a	326	375.824999	N
cfa-mir-15b	345	397.728910	N
cfa-mir-16-1	1181	1361.500994	N
cfa-mir-16-2	1211	1396.086117	N
cfa-mir-17	459	529.152376	Y
cfa-mir-181a-1	1303	1502.147160	N
cfa-mir-181a-2	1317	1518.286884	N
cfa-mir-181b-1	363	418.479984	N
cfa-mir-181b-2	406	468.051993	N
cfa-mir-181c	21	24.209586	N
cfa-mir-181d	28	32.279448	N
cfa-mir-182	147	169.467101	N
cfa-mir-183	40	46.113497	N
cfa-mir-1835	5	5.764187	N
cfa-mir-1836	36	41.502147	N
cfa-mir-1837-1	1	1.152837	N
cfa-mir-1837-2	1	1.152837	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	7	8.069862	N
cfa-mir-1839	73	84.157132	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	7	8.069862	N
cfa-mir-1841	2	2.305675	N
cfa-mir-1842	14	16.139724	N
cfa-mir-1843	25	28.820936	N
cfa-mir-1844	3	3.458512	N
cfa-mir-185	445	513.012652	N
