, 4025047
RPS12, 1108474
EIF4A2, 901790
RACK1, 874814
WDR43, 454043
NOP56, 341726
GNL3, 304623
RPS8, 274499
RPL3, 184103
UBAP2, 116610
EIF4G1, 115820
P2RY11, 97750
NCL, 92180
TNPO2, 64525
CCAR1, 46235
RPL7A, 42959
HUWE1, 33124
RABGGTB, 31794
RPL5, 27558
HSPA9, 27074
SF3B3, 26318
RPL13A, 24484
SPCS1, 19323
NOP58, 17361
AP1G1, 16559
PUM1, 14567
SNX5, 11030
PRRC2B, 10148
PRPF39, 6625
AP1B1, 6612
TEX14, 5916
EEF2, 5800
TIPIN, 5011
CEP295, 3028
TRRAP, 2941
MED24, 2715
DDX39B, 2158
RPS3, 1745
ADAMTSL1, 1387
RPL32, 965
SLC38A4, 607
CNOT1, 477
PRKCA, 429
KANSL2, 400
CHD4, 384
EXT1, 374
ATG16L1, 355
CNTNAP5, 341
ANO10, 328
RPL12, 314
APOA1, 312
GTF2A1, 304
PHB2, 300
TPT1, 297
RANBP1, 294
RAPGEF5, 282
KPNA4, 243
FGA, 224
IKBKG, 210
CYP7B1, 189
RPSA, 184
PTCD3, 180
ADK, 172
MAML2, 169
KIAA0907, 168
ITGA9, 165
TCP1, 153
CYP3A26, 150
NCAPD2, 147
VPS13D, 136
MYO16, 136
IGF2, 136
UGT1A6, 132
ACTN1, 131
RPTOR, 126
NFIA, 125
CGN, 124
DPYD, 123
ASS1, 122
MAGI3, 120
MAN1C1, 113
NOP53, 113
PAH, 112
FMR1, 111
KIAA1217, 108
SLC25A13, 105
CALR, 103
TMED7-TICAM2, 102
CPS1, 102
EXOC4, 102
ACSS3, 101
HABP2, 100
PLEKHA5, 98
EIF4G2, 97
PPP1R8, 96
TAS1R2, 96
PTPRM, 94
ZNF398, 90
ALAS1, 88
FNDC3B, 85
NDST1, 85
NFIB, 81
LRCH1, 81
MAML1, 79
MAN2A1, 79
DIAPH2, 78
RPL23, 78
DST, 78
PTPRK, 77
MTSS1, 76
RPS15A, 75
MAP2K4, 75
ADRA1A, 75
GPHN, 74
LAMP2, 74
ZFAND3, 73
KLF9, 72
TTC7B, 72
MBNL1, 72
SLC7A2, 71
VPS13B, 71
PEBP1, 71
SPIRE1, 70
ALB, 69
ACACA, 69
AGAP2, 69
SOCS2, 69
MAML3, 68
TF, 67
EP400, 67
COBLL1, 66
SND1, 64
HIPK2, 64
FN1, 63
FOXO3, 63
HAL, 62
G3BP1, 61
GPR39, 61
PBX1, 60
AP3B2, 60
EIF3A, 59
ZCCHC7, 59
CYP2B6, 59
UBE3C, 59
SLC25A16, 59
PABPC4, 59
RBMS3, 58
ABCB11, 58
TEF, 58
CCBE1, 57
MGLL, 57
QKI, 57
CDH2, 57
CUX2, 57
GALNT13, 57
ABCA1, 56
SSR1, 56
JARID2, 56
SBF2, 55
FARP1, 54
HSD17B4, 54
MED13L, 54
CACNA1C, 54
CKAP5, 53
DOCK4, 51
ETV6, 51
ATRNL1, 51
CAMK2D, 51
CHN2, 50
FZD4, 50
TESMIN, 50
TMEM135, 49
MACF1, 49
RGL2, 49
ZBTB16, 49
WDFY4, 49
SUGCT, 49
MYO1B, 49
SPTBN1, 48
TMEM131, 48
ALDH5A1, 48
RCL1, 48
EXOC6B, 48
ATRN, 48
AKAP2, 48
WDYHV1, 48
CCNY, 48
FMNL2, 48
FMO5, 48
PRR16, 47
ARID1B, 47
LDB2, 47
PLXNA4, 46
INSIG1, 46
CTNND1, 46
NCKIPSD, 46
C16orf72, 46
GBA3, 46
NEBL, 45
BCAS3, 45
ADAM23, 44
RPS11, 44
UVRAG, 44
RDX, 44
PAPD5, 44
TTC28, 44
PRKCE, 43
PRKAG2, 43
FBXW2, 43
ZNF609, 43
FGG, 43
LPGAT1, 42
SLC9A9, 42
CLK4, 42
PIK3R1, 42
IGF1, 42
PHLPP1, 42
WRAP53, 42
FOXO1, 42
MYO7A, 41
CYP2C18, 41
FOXP1, 41
TMEM167A, 41
SLCO2B1, 40
VTI1A, 40
TAT, 40
ATXN2, 40
STAB2, 39
TPK1, 39
C4BPA, 39
TCF12, 39
PDE4DIP, 39
CCDC34, 39
UROC1, 39
TCF7L2, 38
CPED1, 38
ATRX, 38
TCF7L1, 38
SNTB1, 38
ANKS1B, 38
CDKAL1, 37
PGS1, 37
ACOX2, 37
ATP9B, 37
PYGL, 37
ADIPOR2, 37
LRBA, 37
HMGCS2, 37
MESDC2, 37
VWA8, 37
ABLIM3, 37
MAP3K20, 37
GRB14, 36
NCEH1, 36
AGMO, 36
JMJD1C, 36
ZEB1, 36
LPP, 35
EHBP1, 35
ARHGAP24, 35
SCFD2, 35
PAPD4, 35
C3, 35
CAT, 35
DLG1, 35
CP, 35
LDLRAD4, 34
DLC1, 34
PLPP3, 34
P4HA1, 34
GYS2, 34
ZNF407, 34
AKAP13, 34
ELMO1, 34
EPAS1, 34
UBAP2L, 34
ASPH, 33
KIAA1328, 33
ITIH1, 33
DCAF6, 33
PON1, 33
EVI5, 33
IQGAP2, 33
STARD13, 33
IREB2, 32
G6PC, 32
FCHSD2, 32
PEX14, 32
ARHGAP26, 32
SAMD4A, 32
CFI, 32
CHD2, 32
PODN, 32
TMCC1, 32
ERC1, 32
DENND1A, 31
NEDD4L, 31
ABCD3, 31
PPP1R12B, 31
LMAN2, 31
PSD3, 31
CHCHD3, 31
ACSL4, 31
USP31, 31
CDO1, 30
ACSL1, 30
MTPAP, 30
INTS6, 30
TNRC6A, 30
RFWD2, 30
ALCAM, 30
MEF2A, 30
RETREG1, 30
FAM107B, 30
GCLC, 30
GBE1, 30
PCSK6, 30
ARHGEF12, 29
GRK5, 29
PDGFD, 29
DOCK1, 29
C9orf3, 29
NOTCH2, 29
FAM13A, 29
RALGAPA2, 29
KDM6A, 29
MCTP1, 29
ABTB2, 29
GPR176, 29
EP300, 29
CSPP1, 29
LONP2, 29
UBR5, 29
FTO, 29
ABHD15, 28
HNF4A, 28
HS3ST3A1, 28
HOMER1, 28
ITPR2, 28
SLC6A11, 28
