taglen,crossmapped,rmsk_Low_complexity,No_CDS,star,snoRNA,tRNA,mature,Unknown,p3_UTR,srpRNA,SINE,rmsk_Other,p5_UTR,snRNA,unannotated,rmsk_Unknown,stemloop,Intron,precursor,Coding_Exon,rRNA,LTR,rmsk_Simple_repeat,scRNA,rmsk_RNA,rmsk_DNA,Satellite,LINE
12,0,0,0,0,0,0,0,1.9738344556885e-05,0,0,0,0,0,0,0,0,0,9.86917227844251e-06,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0.000625047577634692,0,0,0,0,9.86917227844251e-06,0,3.28972409281417e-06,0,0,5.59253095778409e-05,0,1.9738344556885e-05,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0.00219424596990705,2.96075168353275e-05,0,0,0,5.26355854850267e-05,0,0,0,0,0.000253308755146691,0,0.000282916271982019,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,2.96075168353275e-05,0.00458916510947577,0.000105271170970053,0,0,0,8.55328264131684e-05,0,0,0,0,0.000901384401431083,0,0.00109547812290712,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0.000713870128140675,0.00843485257397553,0.000335551857467045,0,0,0,0.000203962893754479,0,2.30280686496992e-05,0,3.28972409281417e-06,0.00200673169661664,0,0.00213832066032921,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0.00281929354754174,0.0110271551591131,0.00049674833801494,0,0,0,0.000223701238311364,0,0.000154617032362266,0,0,0.00209884397121544,0,0.00316471457728723,0,0,0,0,0,0,0,0
18,9.86917227844251e-06,0,0,0,0,0,0.00587544722976611,0.0106981827498317,0.000888225505059826,0,0,0,0.000286205996074833,0,0.000309234064724532,0,0,0.0039706969800267,0,0.00421084683880214,0,0,0,0,0,0,0,0
19,9.86917227844251e-06,0,0,0,0,0,0.0136293269165291,0.00997773317350538,0.000983627503751437,0,0,0,0.000259888203332319,0,0.00124022598299094,0,0,0.00265480734290104,0,0.00425361325200872,0,0,0,0,0,0,0,0
20,3.61869650209559e-05,0,0,0,0,0,0.105228404556847,0.0363580306737822,0.0012303568107125,0,0,0,0.000220411514218549,0,0.00549383923499966,0,0,0.00290811609804773,0,0.00545436254588589,0,0,0,0,0,0,0,0
21,0.00065465509447002,0,0,0,0,0,0.583363483654644,0.0177776689975678,0.00136523549851788,0,0,0,0.00027633682379639,0,0.0293739464247377,0,3.28972409281417e-06,0.0263605591557199,0,0.00512539013660448,0,0,0,0,0,0,0,0
22,3.28972409281417e-06,0,0,0,0,0,14.7982579989806,0.0564319270881343,0.00188830162927533,0,0,0,0.000332262133374231,0,0.0267224288059295,0,3.28972409281417e-06,0.0805324457920909,3.28972409281417e-06,0.00514841820525418,0,0,0,0,0,0,0,0
23,1.31588963712567e-05,0,0,0,0,0,0.278991631139291,0.0331012038218962,0.00226990962404178,0,0,0,0.000358579926116745,0,0.0122608016939184,0,9.86917227844251e-06,0.00896449815291861,0,0.00657944818562834,0,0,0,0,0,0,0,0
24,3.28972409281417e-06,0,0,0,0,0,0.0881382878946772,0.0190409230492084,0.00226661989994896,0,0,0,0.000312523788817346,0,0.00565174599145474,0,6.57944818562834e-06,0.00398056615230515,0,0.00650378453149361,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0.00212516176395795,0.0160538535729331,0.00178960990649091,0,0,0,0.00035529020202393,0,0.00033884158155986,0,0,0.0041088653919249,0,0.00675051383845468,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0.00112508563974245,0.0274066914172349,0.00305615368222436,0,0,0,0.000467140821179612,0,0.000483589441643683,0,3.28972409281417e-06,0.00479970745141587,0,0.00713541155731393,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0.000299364892446089,0.187205039225683,0.00293114416669743,0,0,0,0.00227648907222741,0,1.31588963712567e-05,0,6.57944818562834e-06,0.0155932921999392,0,0.00822102050794261,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0.000230280686496992,0.108735250439787,0.0144945243529392,0,0,0,0.000368449098395187,0,3.61869650209559e-05,0,0,0.0390588941539826,0,0.00846774981490367,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,5.26355854850267e-05,0.0783678073390192,0.0307556305437197,0,0,0,0.000924412470080782,0,5.26355854850267e-05,0,6.57944818562834e-06,0.0192086989779419,0,0.00881317084464916,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,6.57944818562834e-05,0.109945868905942,0.017702005343433,0,0,0,0.000996786400122694,0,2.30280686496992e-05,0,0,0.0132510086458555,0,0.0100336584830832,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0.000115140343248496,0.186603019716698,0.118989320437089,0,0,0,0.000486879165736497,0,7.56636541347259e-05,0,0,0.0251334920691003,6.57944818562834e-06,0.0102474905491161,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0.000108560895062868,0.242176328816608,0.0224951333466633,0,0,0,0.00234886300226932,0,6.57944818562834e-06,0,6.57944818562834e-06,0.0105731732343047,6.57944818562834e-06,0.010921883988143,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,6.25047577634692e-05,0.141958174053117,0.129674344290549,0,0,0,0.00173039487282025,0,6.57944818562834e-06,0,0,0.0471088490090989,9.86917227844251e-06,0.0171230139030978,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,6.57944818562834e-05,0.093010369276135,0.0317524169438424,0,0,0,0.0025067697587244,0,3.28972409281417e-06,0,9.86917227844251e-06,0.0408879807495873,0,0.0172480234186247,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,6.90842059490976e-05,0.09054965565471,0.00669787825296965,0,0,0,0.00225346100357771,0,0,0,9.86917227844251e-06,0.0908654691676202,0,0.0125601665863645,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0.000111850619155682,0.114995595388412,0.0157742270250439,0,0,0,0.00260875120560164,0,6.57944818562834e-06,0,3.61869650209559e-05,0.0109547812290712,0,0.0172151261776966,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,2.30280686496992e-05,0.0650806117281427,0.00310220981952376,0,0,0,0.00200344197252383,0,3.28972409281417e-06,0,3.28972409281417e-05,0.0124318673467447,0,0.0199521766229179,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,4.60561372993984e-05,0.0558233281309637,0.00252321837918847,0,0,0,0.00238176024319746,0,3.28972409281417e-06,0,2.30280686496992e-05,0.0109679401254424,0,0.0177677998252893,0,0,0,0,0,0,0,0
