miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	2059	424.221022	N
cfa-let-7a-2	1918	395.170432	N
cfa-let-7b	1149	236.731401	N
cfa-let-7c	928	191.198207	N
cfa-let-7d	159	32.759176	N
cfa-let-7e	237	48.829715	N
cfa-let-7f	31605	6511.658764	N
cfa-let-7g	19476	4012.689957	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	253	52.126235	N
cfa-mir-1-2	282	58.101179	N
cfa-mir-101-1	12398	2554.391563	N
cfa-mir-101-2	13931	2870.239463	N
cfa-mir-103-1	639	131.654800	Y
cfa-mir-103-2	629	129.594474	Y
cfa-mir-105a	1	0.206033	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	1	0.206033	N
cfa-mir-106b	206	42.442705	N
cfa-mir-107	268	55.216724	Y
cfa-mir-10a	16943	3490.809506	N
cfa-mir-10b	923	190.168044	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	194189	40009.254982	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	0	0.000000	N
cfa-mir-125a	152	31.316948	N
cfa-mir-125b-1	204	42.030640	N
cfa-mir-125b-2	305	62.839928	N
cfa-mir-126	9452	1947.419669	N
cfa-mir-127	13	2.678423	N
cfa-mir-1271	12	2.472391	N
cfa-mir-128-1	123	25.342004	N
cfa-mir-128-2	54	11.125758	N
cfa-mir-129-1	6	1.236195	N
cfa-mir-129-2	4	0.824130	N
cfa-mir-1296	10	2.060326	N
cfa-mir-1301	2	0.412065	N
cfa-mir-1306	23	4.738749	N
cfa-mir-1307	83	17.100702	N
cfa-mir-130a	119	24.517874	N
cfa-mir-130b	2	0.412065	N
cfa-mir-132	5	1.030163	N
cfa-mir-133a	6	1.236195	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	6	1.236195	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	0	0.000000	N
cfa-mir-135a-1	29	5.974944	N
cfa-mir-135a-2	38	7.829237	N
cfa-mir-135b	2	0.412065	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	1	0.206033	N
cfa-mir-139	361	74.377751	N
cfa-mir-140	817	168.328594	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	292	60.161505	N
cfa-mir-143	26149	5387.545167	N
cfa-mir-144	58	11.949888	N
cfa-mir-145	692	142.574525	N
cfa-mir-1468	4	0.824130	N
cfa-mir-146a	1280	263.721665	N
cfa-mir-146b	252	51.920203	N
cfa-mir-147	2	0.412065	N
cfa-mir-148a	4286496	883157.704319	N
cfa-mir-148b	568	117.026489	N
cfa-mir-149	2	0.412065	N
cfa-mir-150	12	2.472391	N
cfa-mir-151	5172	1065.600352	N
cfa-mir-152	972	200.263639	N
cfa-mir-153	3	0.618098	N
cfa-mir-155	100	20.603255	N
cfa-mir-15a	100	20.603255	N
cfa-mir-15b	25	5.150814	N
cfa-mir-16-1	270	55.628789	N
cfa-mir-16-2	249	51.302105	N
