, 4483384
EIF4A2, 2333055
RPS12, 1118182
RACK1, 677467
EIF4G1, 649628
PRPF39, 228633
GNL3, 181597
WDR43, 181429
NOP56, 177711
UBAP2, 159743
HSPA9, 132052
P2RY11, 124656
CCAR1, 118637
NCL, 114147
RABGGTB, 112739
RPL13A, 105875
RPL5, 104420
HUWE1, 88856
AP1B1, 84975
PUM1, 79090
SF3B3, 78281
RPS8, 70246
PRRC2B, 56116
RPL7A, 40245
NOP58, 38730
TNPO2, 27744
SPCS1, 22391
RPL3, 17384
AP1G1, 17070
SNX5, 16430
EEF2, 16019
CEP295, 9495
DDX39B, 7892
MED24, 4462
TEX14, 3965
TIPIN, 2228
ATG16L1, 1960
RPL32, 1856
CNOT1, 1690
RPL12, 1276
CHD4, 1025
RPL23, 996
PPP1R8, 660
TCP1, 599
MYO16, 449
SLC25A16, 426
EIF3A, 423
ADAMTSL1, 412
RPS3, 400
FAM208B, 398
KIAA0907, 353
TRRAP, 328
SLC38A4, 325
KANSL2, 311
IKBKG, 270
PTCD3, 259
CGN, 257
MAP2K4, 226
CKAP5, 222
ITGA9, 196
GTF2A1, 181
NCAPD2, 169
SPIRE1, 167
NOP53, 167
ACTN1, 165
OVOL2, 164
MAML2, 161
CHD8, 156
UBAP2L, 152
RPSA, 149
KPNA4, 148
AP3B2, 145
EXT1, 142
LSAMP, 137
NDST1, 131
C16orf72, 127
CCT6A, 127
PRKCA, 127
ASS1, 126
EIF4G2, 120
RPTOR, 116
HAUS6, 113
MOB4, 109
FZD4, 106
FBXW2, 97
TEF, 96
RANBP1, 88
CPS1, 83
RAPGEF5, 83
EP400, 81
TPT1, 77
CNTNAP5, 76
FMR1, 76
CHD3, 74
PAH, 72
KLF9, 72
ANO10, 70
IMPAD1, 69
APOA1, 68
EIF5, 67
TMEM167A, 67
EIF4A1, 66
CYP7B1, 66
TTC7B, 66
FARP1, 64
DST, 60
ALB, 59
ADRA1A, 57
FGG, 57
SPG11, 55
MGLL, 54
RPS11, 54
CLK4, 53
TF, 53
UVRAG, 51
PRODH2, 50
EXOC4, 50
LPCAT2, 50
FGA, 49
METTL26, 49
CCDC180, 48
AGAP2, 48
UGT1A6, 45
C4orf45, 45
IL1RAP, 45
LRBA, 44
MAPK6, 43
TRIM28, 42
ZBTB16, 42
COL22A1, 41
TAS1R2, 41
PLEKHA5, 40
SLC25A25, 40
LRCH1, 40
SNX30, 40
GRHPR, 39
QKI, 39
IQGAP2, 39
NUDT3, 39
HIPK2, 38
SLC1A2, 38
PCK1, 38
ADK, 37
FAM214A, 37
CWF19L1, 37
ALDH6A1, 37
TESMIN, 36
TOMM20, 35
RNF213, 35
KLF15, 35
ABCA1, 34
HABP2, 34
MAML1, 34
PHB2, 33
SPATA6, 33
CYP3A26, 33
RPS15A, 32
TAT, 32
PEBP1, 31
NFIA, 31
RFNG, 31
DPYD, 31
VWA8, 30
OTOP1, 30
PABPC4, 30
MAN1C1, 30
GPHN, 30
IGF2, 29
NFIB, 28
VPS13B, 28
ACSS3, 28
SLC25A13, 28
FOXO3, 27
ALAS1, 27
PYGL, 27
PRKCE, 27
EXOC6B, 27
TCFL5, 26
ZFAND3, 26
VTI1A, 26
PCSK6, 26
G3BP1, 26
CLCN5, 25
CHKA, 25
FAH, 25
FRMD3, 25
SLCO2B1, 24
PFKFB2, 24
TDO2, 24
AARS, 24
LMBR1, 24
SPTBN1, 24
KIAA1217, 23
CSPP1, 23
ITPKB, 23
PPARGC1A, 23
ARHGAP10, 23
PPP1R12B, 23
DOCK4, 23
SND1, 22
DIAPH2, 22
CCDC34, 22
MAN2A1, 22
EPB41L4B, 22
CHN2, 22
TMED7-TICAM2, 22
MARCH6, 21
CP, 21
JARID2, 21
LPP, 21
DEPTOR, 21
MAGI3, 21
FNDC3B, 21
PTPRK, 21
DOCK1, 20
PAPD5, 20
AGMO, 20
CDH2, 20
FKBP5, 20
VPS13D, 20
MARK3, 20
CNNM2, 20
WDFY1, 20
NDUFV3, 20
NOTCH2, 20
EP300, 20
FMO5, 19
CPEB4, 19
LIPC, 19
P4HA1, 19
MAML3, 19
PTPRM, 19
PFKFB3, 19
ATP9B, 19
RCL1, 19
HSD17B4, 19
RDX, 18
ABHD15, 18
APOB, 18
SAMD4A, 18
SVIL, 18
SREBF2, 18
KLHL3, 18
LAMP2, 18
MTSS1, 18
CPED1, 18
CCNY, 18
BRWD1, 18
STARD13, 18
ACACA, 18
DAP3, 18
UBE3C, 17
PBX1, 17
ATRNL1, 17
HPD, 17
RGL2, 17
INPP4B, 17
G6PC, 17
HERC4, 17
PDE4DIP, 17
POR, 17
DAB2IP, 17
ARHGAP26, 17
SH3PXD2B, 16
INTS6, 16
ACSL4, 16
IRS2, 16
SLC16A7, 16
AGFG1, 16
ATXN2, 16
TRMT44, 16
ZSWIM4, 16
STAT5B, 16
UROC1, 16
PLXNA4, 16
ASAP1, 16
NCKIPSD, 16
SBNO1, 16
PLG, 16
NAV2, 16
ZNF609, 16
SEC16A, 16
TTC28, 16
GPR39, 16
PGM1, 15
AFDN, 15
HERC2, 15
MESDC2, 15
RYR2, 15
FOXO1, 15
HDX, 15
CHD2, 15
BCL2, 15
ALCAM, 15
GALNT13, 15
CYP2B6, 15
SIK3, 15
MACF1, 15
INSIG1, 15
SORBS1, 15
SH3GL1, 15
CHCHD3, 15
WDFY2, 15
AACS, 14
ATRX, 14
ASPH, 14
GUCY1A2, 14
TLE1, 14
COBLL1, 14
RFWD2, 14
MCL1, 14
LARP4, 14
FAM160A2, 14
TOLLIP, 14
AGPS, 14
ZEB1, 14
TSPAN10, 14
SLC43A1, 14
FMNL2, 14
SMARCA2, 14
RALGAPA2, 14
SETD2, 14
CDC42BPB, 14
ACACB, 14
AKAP13, 14
MYO5B, 14
GRB10, 14
KIF6, 14
ERC1, 14
IGF1, 14
KIAA0922, 14
BCAS3, 14
SUGCT, 14
TNRC6A, 14
PDE3B, 13
SSR1, 13
ARID1B, 13
CADPS2, 13
DPYS, 13
MAP3K20, 13
GNB1, 13
ETNPPL, 13
NR5A2, 13
HNRNPM, 13
NOL10, 13
UBR5, 13
SLC2A9, 13
DOCK3, 13
NLRC3, 13
IL1R1, 13
FN1, 13
IPO7, 13
LPGAT1, 13
ETV6, 12
GGCX, 12
TYSND1, 12
C9orf3, 12
ABLIM3, 12
GBE1, 12
LONP2, 12
AFF4, 12
CDADC1, 12
NEBL, 12
IREB2, 12
FAT1, 12
YTHDC2, 12
CYP2E1, 12
NHLRC2, 12
RETREG1, 12
SLC9A6, 12
PICALM, 12
PER1, 12
VPS13C, 12
ZNF280C, 12
AKAP2, 12
RBPMS, 12
SLC9A9, 12
PLIN2, 12
PRR16, 12
POLA1, 12
ARVCF, 12
COPS7A, 12
RPGR, 12
PIK3C2A, 11
ADAM18, 11
RSBN1L, 11
MLLT10, 11
ARHGEF26, 11
ROCK1, 11
DXO, 11
PGS1, 11
RARB, 11
ABCB8, 11
PHIP, 11
TCF12, 11
MID2, 11
FSD1L, 11
RHOBTB1, 11
HDLBP, 11
WDR33, 11
SDCCAG8, 11
SLC41A2, 11
TMTC2, 11
PNKD, 11
PTGES3L-AARSD1, 11
MTPAP, 11
TMEM116, 11
BBOX1, 11
ODC1, 11
HOMER1, 11
ACSL1, 11
KCNMA1, 11
HAL, 11
PDE1A, 11
FTO, 11
MED13L, 11
CABLES1, 11
NECAP1, 11
APOH, 11
ANKH, 10
ARL15, 10
ARHGAP15, 10
PTK2, 10
BMP2K, 10
DUSP1, 10
FGGY, 10
MECP2, 10
MEF2A, 10
TXNIP, 10
ATG16L2, 10
