taglen,crossmapped,rmsk_Unknown,Unknown,SINE,snRNA,srpRNA,LTR,star,p3_UTR,rmsk_Low_complexity,rmsk_RNA,tRNA,stemloop,rmsk_Other,Satellite,p5_UTR,precursor,rRNA,rmsk_DNA,Intron,LINE,No_CDS,rmsk_Simple_repeat,Coding_Exon,unannotated,snoRNA,mature,scRNA
12,0,0,5.80027039571636e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.22237244206464e-06,0,0,0,2.25566070944525e-05,0,0,0,6.44474488412929e-06,0,0,0,0
13,0,0,0.00139206489497193,0,0,0,0,0,6.44474488412929e-06,0,0,0,0,0,0,3.22237244206464e-05,0,0,0,0.000212676581176266,0,0,0,4.5113214188905e-05,3.54460968627111e-05,0,0,0
14,0,0,0.00587116258944178,0,0,0,0,0,2.90013519785818e-05,0,0,0,0,0,0,8.70040559357454e-05,0,0,0,0.000667031095507381,0,0,0,0.000315792499322335,1.28894897682586e-05,0,6.44474488412929e-06,0
15,0,0,0.013411514103873,0,0,0,0,0,0.000145006759892909,0,0,0,3.22237244206464e-06,0,0,0.000219121326060396,0,0,0,0.00172719162894665,0,0,0,0.0009022642837781,1.93342346523879e-05,0,0.000119227780356392,0
16,0,0,0.0215608940098545,0,0,0,0,0,0.000351238596185046,0,0,0,1.61118622103232e-05,0,0,0.000367350458395369,0,0,0,0.00499145491275813,0,0,0,0.00175619298092523,9.66711732619393e-05,0,0.000963489360177328,0
17,0,0,0.0215190031681077,0,0,0,0,0,0.000570359922245442,0,0,0,2.25566070944525e-05,0,0,0.000302903009554076,0,0,0,0.00474655460716122,0,0,0,0.00244578068352706,0.00140817675718225,0,0.00772402674362895,0
18,3.22237244206464e-06,0,0.0220925854627952,0,0,0,0,0,0.000815260227842355,0,0,0,0,0,0,0.000505912473404149,0,0,0,0.00855539883368163,0,0,0,0.00313859075857096,0.000953822242851134,0,0.0216768994177689,0
19,4.5113214188905e-05,0,0.0215705611271807,0,0,0,0,0,0.000815260227842355,0,0,0,1.93342346523879e-05,0,0,0.000386684693047757,9.66711732619393e-06,0,0,0.00304191958530902,0,0,0,0.00341249241614646,0.00432120144480869,0,0.0671381298304169,0
20,0.000161118622103232,0,0.0218444627847562,0,0,0,0,0,0.00117938831379566,0,0,0,6.44474488412929e-06,0,0,0.000418908417468404,6.44474488412929e-06,0,0,0.00439853838341824,0,0,0,0.0036090571351124,0.02362965711766,0,0.339750838429086,0
21,0.00173041400138871,0,0.0383140083361486,0,0,0,0,0,0.00169819027696807,0,0,0,3.22237244206464e-06,0,0,0.000380239948163628,0,0,0,0.0380111053265945,0,0,0,0.00400863131792842,0.0756419707050254,0,3.23528771081244,0
