miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	20937	4744.292664	N
cfa-let-7a-2	20717	4694.440995	N
cfa-let-7b	24867	5634.824744	N
cfa-let-7c	14784	3350.032132	N
cfa-let-7d	3162	716.504437	N
cfa-let-7e	554	125.535566	N
cfa-let-7f	78111	17699.834946	N
cfa-let-7g	87171	19752.817299	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	140	31.723789	N
cfa-mir-1-2	142	32.176986	N
cfa-mir-101-1	15929	3609.487407	N
cfa-mir-101-2	18338	4155.363178	N
cfa-mir-103-1	2483	562.644060	Y
cfa-mir-103-2	2701	612.042532	Y
cfa-mir-105a	3	0.679795	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	14	3.172379	N
cfa-mir-106b	556	125.988763	N
cfa-mir-107	1044	236.568827	Y
cfa-mir-10a	26350	5970.870310	N
cfa-mir-10b	963	218.214349	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	1676684	379934.068902	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	12	2.719182	N
cfa-mir-125a	725	164.283908	N
cfa-mir-125b-1	1647	373.207719	N
cfa-mir-125b-2	1599	362.330992	N
cfa-mir-126	86404	19579.016254	N
cfa-mir-127	6	1.359591	N
cfa-mir-1271	41	9.290538	N
cfa-mir-128-1	2562	580.545341	N
cfa-mir-128-2	1303	295.257837	N
cfa-mir-129-1	3	0.679795	N
cfa-mir-129-2	6	1.359591	N
cfa-mir-1296	1	0.226598	N
cfa-mir-1301	17	3.852174	N
cfa-mir-1306	25	5.664962	N
cfa-mir-1307	274	62.087987	N
cfa-mir-130a	172	38.974941	N
cfa-mir-130b	12	2.719182	N
cfa-mir-132	34	7.704349	N
cfa-mir-133a	20	4.531970	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	20	4.531970	Y
cfa-mir-134	1	0.226598	N
cfa-mir-1343	10	2.265985	N
cfa-mir-135a-1	154	34.896168	N
cfa-mir-135a-2	141	31.950388	N
