, 15942
ALB, 10239
APOB, 3870
TF, 3845
C3, 3021
MT-CO2, 2768
COX1, 1861
FN1, 1846
FGA, 1556
CPS1, 1262
FGB, 1206
ALDOB, 994
FGG, 969
SERPINA1, 960
RBP4, 935
CYP2E1, 816
LRP1, 727
C1S, 680
COX3, 624
APOH, 621
GC, 583
MT-ATP8, 496
ATP6, 494
B2M, 493
PLG, 479
CLU, 476
APOA1, 454
HPX, 451
AHSG, 434
MT-ND4, 432
CP, 425
VTN, 418
MT-ND1, 414
CYP3A26, 398
CYP3A12, 389
C5, 374
GPNMB, 369
CESdD1, 367
BHMT, 346
APOE, 333
ADH4, 331
PSAP, 326
CYTB, 324
ND5, 319
ASS1, 311
ND2, 311
AHNAK, 309
MT-ND6, 287
HPD, 278
ITIH2, 273
C4BPA, 270
C1R, 270
CD74, 269
IGHM, 267
MT-ND3, 266
TTR, 259
PROS1, 251
ACSL4, 245
SERPINC1, 244
HRG, 242
A1BG, 241
EEF2, 235
CAT, 231
SERPING1, 230
ITIH1, 228
ACSL1, 227
A2M, 224
F5, 221
PAH, 219
SLC7A2, 219
FTH1, 214
DST, 214
DYNC1H1, 209
FETUB, 208
SCP2, 206
RELN, 205
SPTBN1, 198
C6, 192
COL6A5, 189
SLC38A4, 187
CTSB, 185
ABCB4, 184
PON1, 184
HSP90AA1, 183
CLTC, 182
HSP90B1, 180
RGN, 174
ACTB, 173
LAMP2, 173
CFI, 168
HLA-DRB1, 165
CYP2C18, 163
DLA DRA, 158
CD163, 157
CYP2A13, 156
TPT1, 154
ATP1A1, 153
P4HB, 151
EHHADH, 149
CYP8B1, 149
ABCA1, 148
HMGCS2, 146
SLC40A1, 146
F2, 143
GLUL, 140
PCK1, 135
MT1, 134
PCK2, 131
APOA2, 130
ALAS1, 128
ABCA9, 128
ITM2B, 126
MYH9, 125
GLDC, 125
EPHX1, 123
RNF213, 122
DMBT1, 121
THBS1, 121
VPS13D, 120
MACF1, 119
CTSS, 118
DPYD, 115
UBR4, 115
UGT2B31, 114
CTSK, 114
SYNE2, 113
SERPINF1, 113
ASAH1, 112
CPB2, 112
APOC3, 112
MAN2A1, 112
ND4L, 109
PYGL, 108
DPYS, 108
SRRM2, 107
TXNIP, 107
CTNNB1, 106
HSPA5, 106
PRPF8, 106
TLN1, 105
JCHAIN, 105
HSD17B4, 104
HGD, 104
ARG1, 103
GOT1, 103
ATP5A1, 102
HDLBP, 101
PDGFRB, 100
QSOX1, 100
CALR, 99
MPEG1, 99
CYP7B1, 98
ACAA1, 96
ACTG1, 96
AMBP, 95
ACAA2, 94
FMO5, 94
ALDH3A2, 94
HERC1, 92
UGDH, 92
VIM, 91
POSTN, 91
COL1A2, 91
RPL12, 90
DDX3X, 90
HSD17B13, 90
CDO1, 89
SERPIND1, 89
MGAM, 89
CD81, 88
MT2A, 87
ACACA, 86
ADIPOR2, 86
CYP2A7, 85
SPARCL1, 85
ATP13A3, 85
CI-MPR, 84
IQGAP2, 84
C7, 83
NNT, 82
DLA-DQA1, 82
RNASE4, 82
HUWE1, 82
PRDX1, 82
TDO2, 79
EPRS, 79
MRC1, 79
SPTAN1, 78
APOC2, 78
GPX3, 77
TNFSF10, 77
COL12A1, 76
UBR5, 76
FASN, 76
CDH1, 76
CFHR5, 75
PIGR, 75
TMEM59, 74
CSDE1, 74
ANGPTL3, 73
TAT, 73
ABCB11, 73
ACSL5, 73
FMO1, 73
PDIA4, 72
MYLK, 72
TTPA, 72
CPT1A, 72
TMBIM6, 72
ACADM, 72
HSP90AB1, 72
FTL, 71
COL6A3, 71
COL3A1, 71
FBLN1, 71
SMG1, 71
PLEC, 70
ALDH7A1, 70
C9, 70
NDRG2, 70
TAS1R2, 70
CTNND1, 69
RPN2, 69
ABCA8, 69
SERPINA4, 69
PABPC1, 69
SLC27A2, 69
CYP1A2, 68
DCN, 68
NOTCH2, 68
COPB1, 68
OTC, 67
IL6ST, 67
MGST1, 67
TRIP12, 67
RPL9, 66
COPA, 66
HABP2, 66
SAMD9L, 65
MIA3, 65
CTSD, 64
MTTP, 64
VPS13C, 63
RPL8, 63
POR, 63
EIF4B, 62
ACOX2, 62
SERPINA5, 62
NCOA4, 62
GPLD1, 62
SERPINF2, 61
RACK1, 60
AGL, 60
ALCAM, 60
PTPRC, 60
ITGB1, 60
BGN, 60
FLNA, 60
APOC1, 60
SUCLG2, 59
RPS5, 59
CPD, 59
ALDH9A1, 59
PARP14, 58
FAT1, 58
GGH, 58
CYP4V2, 58
IDH1, 58
HAL, 58
FH, 57
APP, 57
HSDL2, 56
ERBIN, 56
MAN1A1, 56
ALDH1A1, 56
GBE1, 55
NID1, 55
ACADVL, 55
CSF1R, 55
CNOT1, 55
CYP27A1, 55
CYP2B6, 55
UGT1A6, 54
ACAD11, 54
USP34, 54
FMO3, 54
MARCH6, 54
SORD, 54
SERINC1, 54
NCKAP1, 54
ADAM23, 53
CD5L, 53
AHCY, 53
CD36, 53
ARHGEF12, 53
ABCD3, 53
NRP1, 53
SEC31A, 52
SERPINA3, 52
Nox2, 52
F9, 52
LECT2, 52
CD47, 52
FBXL5, 52
DHTKD1, 51
CTSZ, 51
JAK1, 51
AQP9, 51
ARRDC3, 51
KIDINS220, 51
ADK, 51
MAT1A, 51
CANX, 51
DMGDH, 51
AZGP1, 51
LAMP1, 51
ANXA6, 51
LRPPRC, 50
BHMT2, 50
ST6GAL1, 50
SLC38A2, 50
SLC2A2, 50
KDR, 50
IGFBP2, 50
PCYOX1, 50
RPS8, 50
AGTR1, 50
LIFR, 49
EIF3A, 49
GNE, 49
AMACR, 49
EIF4G2, 49
LRP5, 49
AFM, 48
PGAM4, 48
MAPK6, 48
RPS7, 48
F10, 47
BSG, 47
LDLR, 47
ETFDH, 47
C1QC, 47
CXCL12, 47
SLC16A10, 47
HSPA9, 47
KIAA0368, 46
CLUH, 46
FBP1, 46
H6PD, 46
MDH1, 46
DHCR24, 46
DDX5, 45
DMXL1, 45
UBR3, 45
FDX1, 45
HHIP, 45
SVEP1, 45
CLEC4F, 45
LCP1, 45
KIAA1109, 45
AMDHD1, 44
MOGAT3, 44
SEC14L2, 44
NCL, 44
HADHA, 44
C8A, 44
WWP1, 44
XPOT, 44
LONP2, 44
GNS, 44
OAT, 43
NF1, 43
ACSM4, 43
LIPA, 43
SLCO1B3, 43
FUCA1, 43
BPHL, 43
ERRFI1, 43
STAB2, 43
PON3, 43
ACO1, 43
IREB2, 42
AADAT, 42
LAMC1, 42
CCT4, 42
TAX1BP1, 42
DDX17, 42
RPL15, 42
SLC6A6, 42
GSTM4, 42
CYP7A1, 42
COL18A1, 42
BIRC6, 42
CRP, 42
DNAJC3, 42
IL1R1, 42
JMJD1C, 42
LMBRD1, 42
C1QB, 42
HMGCR, 42
NDUFS1, 41
COPB2, 41
STAT3, 41
SLCO2B1, 41
C1QA, 41
INSIG1, 41
SMARCA2, 41
HERC2, 41
FDFT1, 41
KLHL24, 41
HIPK3, 41
FGL1, 41
CLPX, 40
GGCX, 40
LRBA, 40
FLNB, 40
SPP1, 40
SLC25A13, 40
VPS13A, 40
NBEAL1, 40
STT3A, 40
GSN, 40
DDB1, 40
PLS3, 40
MYO1B, 40
DLC1, 39
IFI44, 39
RPS4X, 39
NADK, 39
EIF4A2, 39
CSAD, 39
PRRC2C, 39
HECTD1, 39
MFSD2A, 39
ACOT12, 39
FNDC3A, 39
SORT1, 39
LTBP4, 39
KMT2D, 39
ACTN4, 39
INSIG2, 39
ACLY, 39
LGALS3BP, 39
CA3, 39
IQGAP1, 39
GDI2, 39
HERC6, 38
CGNL1, 38
UHMK1, 38
SORL1, 38
RPS9, 38
CERS2, 38
MET, 38
PRDX6, 38
UROC1, 38
CHD4, 38
MAOB, 38
RPL18A, 38
SETD2, 38
GYS2, 38
CYP51A1, 38
PCNX1, 38
XDH, 38
HEXB, 38
AKAP13, 38
ASCC3, 38
SULT1A1, 38
HNRNPU, 38
GPC3, 38
CYP4A39, 38
ASH1L, 37
EP300, 37
SEC14L4, 37
COL14A1, 37
HNRNPD, 37
ALDH6A1, 37
HSPG2, 37
ANKRD17, 37
NBR1, 37
CTH, 37
SLC6A11, 37
ITGA1, 37
CTNNA1, 37
SF3B1, 37
CREG1, 37
CRIM1, 37
SEC16A, 36
RPL13A, 36
PTPRK, 36
MYCBP2, 36
ITGAV, 36
KDELR2, 36
ACTR2, 36
CDH2, 36
SPPL2A, 36
COMT, 36
TGFBR2, 36
KMT2C, 36
ZMPSTE24, 36
USP24, 36
VCP, 36
ELOVL6, 36
F13B, 36
TMEM245, 36
SHMT1, 36
KTN1, 36
CLINT1, 36
REEP6, 36
ZNFX1, 35
PEBP1, 35
RPL19, 35
COL6A1, 35
YTHDF3, 35
ARHGAP5, 35
FBXW2, 35
AGT, 35
PC, 35
OSGEPL1, 35
AKAP9, 35
GCLC, 35
MUT, 35
EIF4G1, 35
SDHA, 35
ERAP1, 35
PKLR, 35
SLC30A1, 35
LARP1, 34
RPL5, 34
RPL28, 34
SLC15A1, 34
PRKAR1A, 34
MEGF6, 34
ATRN, 34
SSR1, 34
CDC42BPB, 34
AMFR, 34
RPS27, 34
EPAS1, 34
BPI, 34
GANAB, 34
MDN1, 34
TMEM30A, 34
ACOX1, 34
PNP, 34
WNK1, 34
SKP1, 33
HECTD4, 33
SPG11, 33
ADAR, 33
LPIN2, 33
CNBP, 33
UGP2, 33
PGM1, 33
FCGRT, 33
TCN2, 33
AHCTF1, 33
EBPL, 33
PPIB, 33
STT3B, 33
MX1, 33
NDUFS2, 33
LUM, 33
RPS11, 33
CUL4A, 33
DHDH, 32
TGM2, 32
CTSA, 32
GNMT, 32
ITGA9, 32
NCOR1, 32
GRN, 32
PLD3, 32
ARL6IP1, 32
GLG1, 32
DLA-DQB1, 32
PBLD, 32
TFRC, 32
AKAP12, 32
TM9SF2, 32
ATP11C, 32
PLK2, 32
PTPRF, 32
INTS6, 32
MTHFD1, 32
SAR1B, 32
MAP3K1, 32
PTEN, 32
DLA-64, 32
CLDN10, 32
EPHX2, 32
BCHE, 32
MYH14, 32
HTT, 32
DSP, 32
ACADL, 31
SF3B3, 31
RBBP4, 31
DSE, 31
PROX1, 31
