, 2786229
RPS12, 912065
EIF4A2, 449934
RACK1, 330231
UBAP2, 315363
NOP56, 309638
RPS8, 279354
P2RY11, 273877
RPL7A, 240637
TNPO2, 229579
NCL, 223908
WDR43, 186284
RABGGTB, 133856
RPL5, 131626
SPCS1, 126260
RPL13A, 118680
NOP58, 97647
EIF4G1, 87588
RPL3, 80996
HSPA9, 80292
PUM1, 80033
PRPF39, 78779
SF3B3, 74024
GNL3, 63287
AP1B1, 58017
CCAR1, 45862
AP1G1, 36532
PRRC2B, 32354
EEF2, 31440
DDX39B, 22113
CEP295, 17704
TEX14, 12396
MED24, 9305
HUWE1, 4032
SNX5, 3215
RAPGEF5, 2381
RPS3, 1998
CHD4, 1652
CKAP5, 1373
IKBKG, 975
CNOT1, 967
ADAMTSL1, 939
MYO16, 818
RPL32, 752
CHD8, 731
RPL12, 660
RPS11, 523
TRRAP, 508
GTF2A1, 479
TCP1, 478
PTCD3, 467
KANSL2, 458
KIAA0907, 428
RPL23, 417
NCAPD2, 367
KPNA4, 347
RPSA, 336
TIPIN, 325
CYP3A26, 308
SPIRE1, 306
SLC38A4, 305
EIF4G2, 286
MAML2, 276
FGG, 272
SLC25A16, 260
PRKCA, 250
OVOL2, 198
APOA1, 197
EXT1, 196
MAP2K4, 195
FGA, 190
EIF3A, 179
EP400, 176
WRAP53, 175
MOB4, 173
ANO10, 172
VPS13D, 166
INPP4B, 155
CCBE1, 154
CGN, 154
NOP53, 148
NFIA, 146
RANBP1, 137
TMEM167A, 137
ITGA9, 134
TPT1, 126
WDFY4, 122
MBNL1, 121
DIAPH2, 119
TOMM20, 117
PPP1R8, 114
UGT1A6, 113
PTPRM, 112
EXOC4, 102
CCT6A, 100
ADK, 99
PRKCE, 99
ELMO1, 97
MAGI3, 97
ACTN1, 93
ZFAND3, 91
PHB2, 90
UBAP2L, 90
FOXO3, 87
HABP2, 86
FNDC3B, 85
DPYD, 85
FMNL2, 84
ATRNL1, 84
CYP7B1, 84
SH3PXD2B, 83
IGF2, 82
TTC7B, 82
TTC28, 82
CMIP, 81
JARID2, 81
CCDC180, 80
FZD4, 80
ETV6, 80
HAUS6, 79
PDGFD, 79
FAM208B, 79
EIF5, 78
CP, 77
PBX1, 77
LDB2, 77
NRF1, 77
BCAS3, 76
AFF3, 76
ARID1B, 75
ATG16L1, 75
RBMS3, 73
ASAP1, 73
PABPC4, 73
RBPMS, 72
MED13L, 72
DOCK1, 70
KLF9, 69
VPS13B, 69
PLEKHA5, 68
ZCCHC7, 68
CHD3, 66
VTI1A, 66
TEF, 65
DENND1A, 65
GPHN, 65
SND1, 64
HIPK2, 63
LPP, 63
DST, 63
MTSS1, 63
MAML1, 62
QKI, 62
BCL2, 62
ARHGAP15, 61
ACSS3, 60
EXOC6B, 60
RFWD2, 60
MAP3K20, 59
CWF19L1, 58
COL22A1, 58
LAMP2, 57
C16orf72, 57
BABAM2, 57
PPP3CA, 57
VAV3, 55
DOCK2, 55
NFIB, 54
LRBA, 54
PEBP1, 54
LRCH1, 54
PRKAG2, 53
ACSL3, 53
ACACA, 53
SLC9A9, 53
AKAP13, 53
NR3C2, 53
ERBIN, 52
CPED1, 52
FOXP1, 52
DOCK4, 52
SYNPO2, 51
RPS15A, 51
RUNX1, 51
FCHSD2, 51
ANKS1A, 51
IQGAP2, 51
NRP1, 50
KIAA1217, 50
NOTCH2, 50
TCF12, 50
SBF2, 50
CACNA1C, 50
SAMD4A, 49
MCTP1, 49
STAB2, 49
IGF1R, 49
C4BPA, 48
CDH2, 48
TMCC1, 48
FARP1, 48
JMJD1C, 47
MACF1, 47
RALGAPA2, 47
FAM172A, 47
SNX29, 47
BNC2, 47
SSH2, 47
LPGAT1, 47
TCF7L1, 46
RYR2, 46
FLI1, 46
PAH, 46
ACTN4, 46
CCNY, 46
MAN2A1, 45
PREX1, 45
ZNF609, 45
CELF2, 45
UBR5, 44
SETBP1, 44
LARP4, 44
TMED7-TICAM2, 44
PTPRK, 44
CHN2, 44
RBMS1, 44
ITPKB, 44
NDST1, 44
ZFPM2, 43
TCF7L2, 43
ATP8A1, 43
SLC8A1, 43
AGAP2, 43
ANKRD17, 43
CAMK2D, 42
UVRAG, 42
TESMIN, 42
CARMIL1, 42
ARHGAP24, 42
FBXW2, 42
GBA3, 42
GNAQ, 42
SPTBN1, 42
CHST11, 42
PRKCB, 41
IGHM, 41
KDM6A, 41
ATP9B, 41
RBM33, 41
IKZF1, 40
PTPRC, 40
FTO, 40
ETS1, 40
AFF1, 40
ANKRD44, 40
TPM1, 40
DLC1, 40
NDUFV3, 39
SNX30, 39
ACADVL, 39
VWA8, 39
TMEM131, 39
ABCA8, 39
CYP2C18, 39
LSAMP, 39
AKAP2, 39
FMR1, 39
G3BP1, 39
AUH, 39
MYLK, 39
PARP8, 38
CRIM1, 38
AARS, 38
ZNF280C, 38
MYO7A, 38
GPR39, 38
ARID4B, 38
ITPR2, 38
ALCAM, 38
LPCAT2, 38
SLCO2B1, 38
FN1, 38
FAM214A, 37
CALR, 37
RDX, 37
LMAN2, 37
SFMBT2, 36
SLC25A13, 36
SORBS1, 36
SOX5, 36
UST, 36
SMAD6, 36
HSD17B4, 36
CTIF, 36
KANSL1, 36
TYSND1, 36
ATXN2, 36
FOXO1, 36
CYP2B6, 35
PICALM, 35
TBC1D5, 35
CBLB, 35
USP34, 35
AGAP1, 35
AKT3, 35
CAMKMT, 35
CREBBP, 35
EP300, 35
DDX5, 35
MAN1C1, 35
PAN3, 34
TPK1, 34
CLK1, 34
CHCHD3, 34
NR3C1, 34
MARK3, 34
RASAL2, 34
ACSS2, 34
ADRA1A, 34
C9orf3, 34
PDE3A, 33
MAML3, 33
TRPS1, 33
KCNMA1, 33
RCAN1, 33
MEF2A, 33
ANTXR2, 33
NCOR1, 33
ZEB1, 33
SNTB1, 33
IL6ST, 33
CLYBL, 33
INTS6, 33
GSK3B, 33
KCNQ1, 33
UBE3C, 32
PDE3B, 32
DOCK10, 32
ZER1, 32
WDR33, 32
CDKAL1, 32
ITSN2, 32
PCDH7, 32
AP3B2, 32
CABLES1, 32
MYH9, 32
KDM4C, 31
SSR1, 31
FER, 31
TAS1R2, 31
C3, 31
TRIO, 31
RSU1, 31
RP9, 31
ATRX, 31
ARHGAP10, 31
CUX1, 31
MYCBP2, 31
MAPK14, 31
MRPL33, 31
MCL1, 31
GAB1, 31
AGFG1, 31
TGFBR3, 31
RAPGEF2, 31
KIAA0922, 31
SPPL3, 30
SMAD3, 30
DYM, 30
HIVEP1, 30
C5, 30
EHBP1, 30
ARL15, 30
PPM1H, 30
CSNK1D, 30
GUCY1A2, 30
COMMD10, 30
RPTOR, 30
TNS1, 30
IL1RAP, 30
YTHDC2, 30
GRHPR, 30
C4orf45, 30
PHLPP1, 30
MAGI2, 30
MTPAP, 30
ADAM23, 30
KSR1, 30
PARN, 30
DDX17, 29
ARID5B, 29
RNF213, 29
BMP2K, 29
KMT2C, 29
NCKIPSD, 29
XPO6, 29
SHANK2, 29
ANKS1B, 29
ABCA1, 29
SMC4, 29
PTEN, 29
MCC, 29
AAK1, 29
COL4A2, 29
PSAP, 29
ASPH, 29
MED27, 29
EBF1, 29
ZNF407, 29
RABGAP1, 29
KAT6B, 29
CLK4, 29
KIAA1328, 29
SEPT9, 28
FAM189A1, 28
ALDH1A1, 28
HERC4, 28
SCFD2, 28
DPYS, 28
FRMD4B, 28
BIRC6, 28
HERC2, 28
PLXDC2, 28
TCF4, 28
PTPN1, 28
POLA1, 28
ATXN7, 28
BRWD1, 28
ADCY5, 28
SKAP2, 28
UBR2, 28
AGMO, 28
MASP1, 27
SYNE2, 27
ATRN, 27
HS3ST3A1, 27
RASA1, 27
ABCB4, 27
ABCC5, 27
AKAP7, 27
WDFY2, 27
SLC9A7, 27
UBAC2, 27
CDC42BPA, 27
LGALS8, 27
ACSL1, 27
RELN, 27
ABHD15, 27
DOCK9, 27
KIF16B, 27
AOC3, 27
DOCK8, 27
CHKA, 27
SPG11, 27
ZBTB16, 27
HMGCLL1, 27
STAG1, 27
STARD13, 27
CAPZB, 26
SMAP1, 26
PPP2R5C, 26
SRPK2, 26
LIPC, 26
C7, 26
ASAP2, 26
LDLRAD4, 26
B3GLCT, 26
PHACTR2, 26
SBNO1, 26
MGLL, 26
GNA14, 26
SLC41A2, 26
GLIS3, 26
SNX13, 26
FGGY, 26
MCU, 26
EPAS1, 26
PARD3, 26
DISC1, 26
GRK3, 25
