taglen,crossmapped,snoRNA,rmsk_Unknown,unannotated,rmsk_Low_complexity,Intron,LINE,rmsk_DNA,p5_UTR,No_CDS,Satellite,rRNA,scRNA,SINE,stemloop,p3_UTR,srpRNA,rmsk_Other,star,mature,rmsk_RNA,Coding_Exon,tRNA,LTR,snRNA,precursor,rmsk_Simple_repeat,Unknown
12,0,0,0,0,0,1.58121685151816e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130450390250249
13,0,0,0,3.95304212879541e-06,0,0.000442740718425086,0,0,3.95304212879541e-05,0,0,0,0,0,0,1.9765210643977e-05,0,0,0,0,0,5.92956319319311e-05,0,0,0,0,0,0.0028382842484751
14,0,0,0,3.95304212879541e-06,0,0.00139147082933598,0,0,0.000134403432379044,0,0,0,0,0,3.95304212879541e-06,2.76712949015679e-05,0,0,0,7.90608425759082e-06,0,0.000213464274954952,0,0,0,0,0,0.01099341016018
15,0,0,0,0,0,0.00147053167191189,0,0,0.00014626255876543,0,0,0,0,0,0,6.7201716189522e-05,0,0,0,1.9765210643977e-05,0,0.000683876288281606,0,0,0,0,0,0.012946212971805
16,0,0,0,7.90608425759082e-06,0,0.00234020094024688,0,0,0.000300431201788451,0,0,0,0,0,1.58121685151816e-05,0.000288572075402065,0,0,0,7.90608425759082e-05,0,0.00133612823953285,0,0,0,0,0,0.0187729970696494
17,0,0,0,9.88260532198852e-05,0,0.00253390000455786,0,0,0.00028461903327327,0,0,0,0,0,3.95304212879541e-06,0.000419022465652313,0,0,0,0.00134403432379044,0,0.00165237160983648,0,0,0,0,0,0.0184765189099897
18,3.95304212879541e-06,0,0,0.000272759906886883,0,0.00347867707333996,0,0,0.00043878767629629,0,0,0,0,0,0,0.000446693760553881,0,0,0,0.00333636755670333,0,0.00210301841251916,0,0,0,0,0,0.0162628153178643
19,6.7201716189522e-05,0,0,0.000865716226206195,0,0.00227695226618616,0,0,0.000324149454561224,0,0,0,0,0,0,0.000589003277190516,0,0,0,0.0110843301291423,0,0.00238763744579243,0,0,0,0,0,0.0189864613446044
20,0.000209511232826157,0,0,0.00434439329954616,0,0.00264458518416413,0,0,0.000383445086493155,0,0,0,0,0,3.95304212879541e-06,0.000557378940160153,0,0,0,0.0720876762607131,0,0.0022374218448982,0,0,0,1.18591263863862e-05,0,0.0204569930165162
21,0.000715500625311969,0,0,0.0173103714819951,0,0.00620232310008,0,0,0.000268806864758088,0,0,0,0,0,0,0.000620627614220879,0,0,0,0.484907818812947,0,0.00285014337486149,0,0,0,3.95304212879541e-06,0,0.0286437432652515
22,7.90608425759082e-06,0,0,0.0324465697931527,0,0.0148871566570435,0,0,0.000312290328174837,0,0,0,0,0,5.13895476743403e-05,0.000877575352592581,0,0,0,0.934431957531045,0,0.00331264930393055,0,0,0,0,0,0.0368423526403732
23,3.55773791591587e-05,0,0,0.0276673418594391,0,0.00463691841707702,0,0,0.000264853822629292,0,0,0,0,0,3.95304212879541e-06,0.00117405351225224,0,0,0,0.273732355250567,0,0.00339566318863526,0,0,0,0,0,0.030470048728755
24,0,0,0,0.00643555258567893,0,0.00333636755670333,0,0,0.00033600858094761,0,0,0,0,0,0,0.000909199689622944,0,0,0,0.074910148340673,0,0.00351425445249912,0,0,0,0,0,0.0200023931717048
25,0,0,0,0.000656204993380038,0,0.00373957785384046,0,0,0.000363679875849178,0,0,0,0,0,0,0.00105941529051717,0,0,0,0.00627743090052711,0,0.0035340196631431,0,0,0,0,0,0.0233110894335065
