miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	4248	8567.521671	N
cfa-let-7a-2	4179	8428.359949	N
cfa-let-7b	5412	10915.119417	N
cfa-let-7c	1207	2434.321718	N
cfa-let-7d	505	1018.502459	N
cfa-let-7e	944	1903.893705	N
cfa-let-7f	3874	7813.224801	N
cfa-let-7g	13067	26354.003219	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	24	48.404077	N
cfa-mir-1-2	17	34.286221	N
cfa-mir-101-1	951	1918.011561	N
cfa-mir-101-2	1068	2153.981437	N
cfa-mir-103-1	728	1468.257010	Y
cfa-mir-103-2	813	1639.688116	Y
cfa-mir-105a	2	4.033673	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	10	20.168366	N
cfa-mir-106b	361	728.077995	N
cfa-mir-107	292	588.916273	Y
cfa-mir-10a	2436	4913.013840	N
cfa-mir-10b	597	1204.051421	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	201373	406136.426892	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	36	72.606116	N
cfa-mir-125a	1484	2992.985442	N
cfa-mir-125b-1	1586	3198.702771	N
cfa-mir-125b-2	1669	3366.100205	N
cfa-mir-126	3862	7789.022762	N
cfa-mir-127	23	46.387241	N
cfa-mir-1271	30	60.505097	N
cfa-mir-128-1	289	582.865763	N
cfa-mir-128-2	158	318.660175	N
cfa-mir-129-1	2	4.033673	N
cfa-mir-129-2	6	12.101019	N
cfa-mir-1296	28	56.471423	N
cfa-mir-1301	36	72.606116	N
cfa-mir-1306	26	52.437750	N
cfa-mir-1307	149	300.508646	N
cfa-mir-130a	7	14.117856	N
cfa-mir-130b	10	20.168366	N
cfa-mir-132	9	18.151529	N
cfa-mir-133a	11	22.185202	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	11	22.185202	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	16	32.269385	N
cfa-mir-135a-1	11	22.185202	N
cfa-mir-135a-2	10	20.168366	N
cfa-mir-135b	1	2.016837	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	755	1522.711596	N
cfa-mir-140	485	978.165727	N
cfa-mir-141	1	2.016837	N
cfa-mir-142	278	560.680561	N
cfa-mir-143	6779	13672.134983	N
cfa-mir-144	9	18.151529	N
cfa-mir-145	1747	3523.413456	N
cfa-mir-1468	5	10.084183	N
cfa-mir-146a	897	1809.102387	N
cfa-mir-146b	56	112.942847	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	59591	120185.306942	N
cfa-mir-148b	1045	2107.594196	N
cfa-mir-149	7	14.117856	N
cfa-mir-150	205	413.451493	N
cfa-mir-151	2422	4884.778128	N
cfa-mir-152	132	266.222425	N
cfa-mir-153	2	4.033673	N
cfa-mir-155	82	165.380597	N
cfa-mir-15a	27	54.454587	N
cfa-mir-15b	437	881.357573	N
cfa-mir-16-1	208	419.502003	N
cfa-mir-16-2	208	419.502003	N
cfa-mir-17	161	324.710685	N
cfa-mir-181a-1	3040	6131.183117	N
cfa-mir-181a-2	2928	5905.297423	N
cfa-mir-181b-1	244	492.108119	N
cfa-mir-181b-2	312	629.253004	N
cfa-mir-181c	5	10.084183	N
cfa-mir-181d	17	34.286221	N
cfa-mir-182	16	32.269385	N
cfa-mir-183	22	44.370404	N
cfa-mir-1835	0	0.000000	N
cfa-mir-1836	26	52.437750	N
cfa-mir-1837-1	1	2.016837	N
cfa-mir-1837-2	1	2.016837	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	14	28.235712	N
cfa-mir-1839	19	38.319894	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	12	24.202039	N
cfa-mir-1841	2	4.033673	N
cfa-mir-1842	7	14.117856	N
cfa-mir-1843	37	74.622952	N
cfa-mir-1844	2	4.033673	N
cfa-mir-185	136	274.289771	N
cfa-mir-186	814	1641.704953	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	4	8.067346	N
cfa-mir-18a	43	86.723972	N
cfa-mir-18b	2	4.033673	N
cfa-mir-190a	1	2.016837	N
cfa-mir-190b	3	6.050510	N
cfa-mir-191	7356	14835.849673	N
cfa-mir-192	10463	21102.160839	N
cfa-mir-193a	419	845.054515	N
cfa-mir-193b	1156	2331.463054	N
cfa-mir-194	3564	7188.005470	N
cfa-mir-195	364	734.128505	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	0	0.000000	N
cfa-mir-197	202	407.400983	N
cfa-mir-199-1	2984	6018.240270	N
cfa-mir-199-2	3014	6078.745366	N
cfa-mir-199-3	1683	3394.335916	N
cfa-mir-19a	3	6.050510	N
