, 13008
ALB, 4805
APOB, 2670
TF, 2580
C3, 2325
MT-CO2, 1425
FN1, 1266
B2M, 900
COX1, 884
CPS1, 814
FGA, 795
PSAP, 654
LRP1, 595
CD74, 587
CLU, 543
FGG, 514
GC, 471
IGHM, 470
ALDOB, 468
SERPINA1, 462
RBP4, 460
APOH, 458
FGB, 404
C1S, 398
HLA-DRB1, 380
GPNMB, 375
CYP2E1, 368
AHNAK, 343
CP, 332
COX3, 327
APOA1, 324
ACTB, 292
PLG, 288
CTSB, 284
CESdD1, 283
DLA DRA, 280
MT-ATP8, 268
FTH1, 264
VTN, 262
A2M, 253
MYH9, 250
DMBT1, 250
HPD, 249
HSP90B1, 235
ITIH2, 233
CTSS, 227
A1BG, 222
HPX, 220
ITM2B, 217
ITIH1, 214
THBS1, 207
RELN, 203
ASS1, 203
ATP6, 202
FETUB, 200
SERPING1, 200
EEF2, 199
JCHAIN, 199
C5, 199
MT-ND3, 198
ACSL4, 195
BHMT, 192
RGN, 189
CAT, 188
MT-ND4, 186
C1R, 183
PROS1, 180
APOE, 178
HSPA5, 176
MT-ND1, 173
LAMP2, 172
SPTBN1, 169
ADH4, 167
AHSG, 167
CD163, 166
HSP90AA1, 166
VIM, 164
COL6A5, 158
SERPINC1, 157
COL1A2, 155
COL12A1, 153
DLA-DQA1, 151
DYNC1H1, 149
SCP2, 149
MT-ND6, 148
ND5, 147
DST, 147
CTSK, 145
C6, 143
MACF1, 143
CLTC, 143
TPT1, 142
C4BPA, 138
ND2, 136
MRC1, 135
EPHX1, 131
POSTN, 130
CYP3A26, 130
FMO5, 130
ACTG1, 129
SRRM2, 125
PAH, 125
TXNIP, 123
RPL9, 121
ATP1A1, 117
MPEG1, 117
CTSD, 116
PTPRC, 114
ASAH1, 114
P4HB, 112
ABCA1, 112
SLC40A1, 112
COL3A1, 111
CFI, 109
PIGR, 107
F2, 105
PYGL, 101
APOA2, 100
CYP3A12, 97
ABCB4, 97
ALAS1, 95
TLN1, 95
ACSL1, 94
TNFSF10, 94
F5, 93
FLNA, 92
RNF213, 92
APP, 91
ALDH1A1, 91
C1QC, 91
COL6A3, 90
CYTB, 89
SLC38A4, 89
DPYS, 89
CYP8B1, 88
ATP5A1, 87
C1QB, 87
DPYD, 87
CALR, 87
IQGAP1, 87
PON1, 86
MAN2A1, 85
SERPIND1, 85
TAS1R2, 85
PRPF8, 85
EHHADH, 85
DDX5, 85
RPN2, 85
MT1, 84
TAT, 84
GLDC, 84
ND4L, 84
C7, 83
NCOA4, 83
PRDX1, 81
SYNE2, 81
TTR, 81
FAT1, 80
PDIA4, 80
ARG1, 80
QSOX1, 79
FTL, 79
LAMP1, 79
HERC2, 79
BCHE, 78
SPP1, 78
ITGB1, 78
VCAM1, 76
HRG, 76
UGDH, 76
IL6ST, 76
UBR4, 76
HMGCS2, 75
CTNNB1, 73
KDR, 73
ANXA6, 73
HDLBP, 72
CDO1, 72
HSP90AB1, 71
C1QA, 71
CSDE1, 71
TMBIM6, 70
GLUL, 69
BPI, 69
NNT, 69
SLC7A2, 69
LIPA, 69
IQGAP2, 68
SAMD9L, 68
STAB2, 68
AMBP, 68
CYP7B1, 66
HUWE1, 66
CSF1R, 66
HHIP, 65
OTC, 64
CREG1, 64
LCP1, 64
IGFBP7, 64
SPTAN1, 63
EIF4B, 63
HERC1, 63
CYP2A13, 62
PCK1, 62
CPB2, 62
