, 2369321
RPS12, 830785
EIF4A2, 641577
NOP56, 244660
RACK1, 221419
NCL, 192022
UBAP2, 178238
RPL7A, 166960
GNL3, 166105
TNPO2, 153168
P2RY11, 141883
EIF4G1, 120244
RPL13A, 114636
RPS8, 89723
RABGGTB, 81043
WDR43, 69447
RPL3, 61851
RPL5, 61209
PRPF39, 54577
SF3B3, 50972
CCAR1, 47194
PRRC2B, 43740
HSPA9, 39024
AP1B1, 33665
PUM1, 33369
SPCS1, 30624
NOP58, 30228
AP1G1, 22293
HUWE1, 21717
DDX39B, 18720
EEF2, 16676
MED24, 8542
TEX14, 8188
CEP295, 7586
SNX5, 4058
RPS3, 2809
RAPGEF5, 2154
ADAMTSL1, 2067
RPL32, 1677
CHD4, 904
PTCD3, 862
CNOT1, 860
RPL12, 856
TCP1, 790
IKBKG, 787
NCAPD2, 519
TRRAP, 497
EIF4G2, 456
KANSL2, 438
RPL23, 422
KIAA0907, 401
KPNA4, 375
SLC25A16, 357
EIF3A, 354
CKAP5, 349
GTF2A1, 349
MAML2, 345
TIPIN, 342
ATG16L1, 334
TMEM167A, 330
MYO16, 325
ACTN1, 304
NRF1, 301
PPP1R8, 273
RPS11, 202
MAP2K4, 186
EXT1, 178
ANO10, 145
RPSA, 145
WRAP53, 140
SPIRE1, 132
EP400, 128
CCBE1, 128
PHB2, 128
PRKCA, 127
OVOL2, 126
INPP4B, 124
CCT6A, 122
EIF5, 121
HAUS6, 121
ZNF280C, 120
NOP53, 118
SLC9A9, 115
CCDC180, 113
MOB4, 110
CHD8, 110
CMIP, 109
CHD3, 105
RANBP1, 98
UBAP2L, 96
SLC38A4, 96
TTC7B, 89
NFIA, 85
CGN, 83
FAM208B, 82
FMNL2, 82
ITGA9, 81
CNTNAP5, 79
WDFY4, 78
PTPRM, 77
EXOC4, 77
ETV6, 77
TPT1, 75
LRBA, 73
ASAP1, 71
VPS13D, 71
MBNL1, 71
COL22A1, 70
AKAP13, 68
ADK, 68
ZBTB16, 68
DPYD, 66
CBLB, 66
IGHM, 65
FOXO3, 63
RBMS3, 62
TOMM20, 61
VPS13B, 60
CLU, 57
CELF2, 57
MED13L, 56
CHST11, 56
ARID1B, 56
PABPC4, 56
SND1, 55
APOA1, 55
FMR1, 55
ELMO1, 55
ADAM23, 54
TRPS1, 53
LPCAT2, 53
TCF7L2, 52
MAGI3, 52
SMAD6, 52
LAMP2, 52
FGA, 51
MACF1, 51
FNDC3B, 51
ARHGAP15, 51
PRKCB, 50
VTI1A, 49
UVRAG, 49
PBX1, 49
JMJD1C, 49
FGG, 48
EXOC6B, 48
SBF2, 47
MAML1, 47
CYP7B1, 47
DOCK2, 47
DIAPH2, 47
SSH2, 46
ATRNL1, 46
DENND1A, 46
LRCH1, 46
CHN2, 46
DST, 45
MCTP1, 45
ZFAND3, 45
UGT1A6, 45
FARP1, 44
BABAM2, 44
PDGFD, 44
ATP8A1, 43
PREX1, 43
PTPRC, 43
C4orf45, 42
PICALM, 42
LPP, 42
RUNX1, 42
SLC8A1, 42
SORBS1, 42
FAM172A, 41
SAMD4A, 41
C9orf3, 41
RPTOR, 41
TCF12, 40
NFIB, 40
C16orf72, 40
CWF19L1, 40
DOCK10, 40
LSAMP, 39
MYCBP2, 39
PEBP1, 38
QKI, 38
TOX, 38
ARHGAP28, 37
ERBIN, 37
TPK1, 37
DOCK1, 37
CDKAL1, 37
CLCN5, 37
SMAD3, 36
KDM4C, 36
SNX29, 36
CPS1, 36
RDX, 35
CALR, 35
RBPMS, 35
BCAS2, 35
BCL2, 34
CEACAM28, 34
RFWD2, 34
RAPGEF1, 34
TTC28, 34
PRKCE, 34
RALGAPA2, 34
PHIP, 34
PPM1H, 34
ALAS1, 34
MYH9, 34
ITPKB, 33
TRMT44, 33
NCOR1, 33
IL6ST, 33
CAMK2D, 33
AGAP1, 33
SPAG17, 33
EXOC2, 32
TEF, 32
KCNQ1, 32
KIAA1217, 32
CHD2, 32
BCAS3, 32
MYO9A, 32
ZNF609, 32
STK39, 32
PARP8, 32
MARK3, 32
AGAP2, 31
TMED7-TICAM2, 31
CPED1, 31
IGF2, 31
DDX17, 31
ANK1, 31
ZFPM2, 31
PAN3, 31
TF, 31
ZCCHC7, 31
RPGR, 31
GPHN, 31
CP, 31
KIF16B, 30
CAMK1D, 30
DSE, 30
AKT3, 30
MAN2A1, 30
KAT6B, 30
FYB, 30
NOTCH2, 29
CCNY, 29
WDR7, 29
CPNE8, 29
POLA1, 29
STK10, 29
UBE3C, 29
GRHPR, 29
KLF9, 29
FTO, 29
TBC1D22A, 29
IKZF2, 29
SFMBT2, 29
NR3C2, 29
CACNA1C, 29
ARHGAP26, 29
ALCAM, 28
LDB2, 28
PLEKHA5, 28
IKZF1, 28
ARHGAP24, 28
SESN1, 28
ABCA8, 28
TRAPPC9, 28
JARID2, 28
CUX1, 28
FBXW4, 28
PRODH2, 28
GLIS3, 28
FCHSD2, 28
FLI1, 28
VWA8, 28
SYNPO2, 28
RPS6KA2, 28
RPS15A, 27
ABR, 27
SETBP1, 27
RBMS1, 27
ARL15, 27
ASS1, 27
GNAQ, 27
ASXL1, 27
LARP4, 27
ZER1, 27
CD44, 27
PGS1, 27
HS3ST3A1, 27
IQGAP2, 27
SPTBN1, 27
BMP2K, 26
ACTN4, 26
PAH, 26
GPR39, 26
