taglen,crossmapped,p3_UTR,tRNA,LINE,p5_UTR,snoRNA,star,rmsk_Unknown,precursor,LTR,Unknown,rmsk_DNA,scRNA,Intron,No_CDS,stemloop,snRNA,unannotated,SINE,rRNA,rmsk_Low_complexity,Satellite,srpRNA,rmsk_RNA,rmsk_Other,Coding_Exon,rmsk_Simple_repeat,mature
12,0,4.93662362589081e-06,0,0,4.93662362589081e-06,0,0,0,0,0,0.000236957934042759,0,0,9.87324725178163e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,7.8985978014253e-05,0,0,9.37958488919255e-05,0,0,0,0,0,0.00255223441458555,0,0,0.000538091975222099,0,0,0,0,0,0,0,0,0,0,0,9.87324725178163e-05,0,0
14,0,8.88592252660347e-05,0,0,0.00012341559064727,0,0,0,0,0,0.0106532337846724,0,0,0.0016142759256663,0,0,0,1.48098708776724e-05,0,0,0,0,0,0,0,0.000419613008200719,0,4.93662362589081e-06
15,0,0.000138225461524943,0,0,0.000222148063165087,0,0,0,0,0,0.0128450946745679,0,0,0.00233008635142046,0,0,0,2.46831181294541e-05,0,0,0,0,0,0,0,0.000937958488919255,0,2.96197417553449e-05
16,0,0.000523282104344426,0,0,0.000399866513697156,0,0,0,0,0,0.0200229454266131,0,0,0.00449726412318653,0,9.87324725178163e-06,0,0.000157971956028506,0,0,0,0,0,0,0,0.0023103398569169,0,0.000444296126330173
17,0,0.000686190683998823,0,0,0.000528218727970317,0,0,0,0,0,0.0201611708881381,0,0,0.00571167353515567,0,1.97464945035633e-05,0,0.000360373524690029,0,0,0,0,0,0,0,0.00271020637061406,0,0.00436891190891337
18,4.93662362589081e-06,0.00078985978014253,0,0,0.000661507565869369,0,0,0,0,0,0.0184530991135799,0,0,0.00912781708427212,0,9.87324725178163e-06,0,0.000696063931250605,0,0,0,0,0,0,0,0.00315450249694423,0,0.0147506313941618
19,3.45563653812357e-05,0.000720747049380059,0,0,0.000444296126330173,0,0,0,9.87324725178163e-06,0,0.0197810508689445,0,0,0.00572154678240745,0,3.45563653812357e-05,0,0.00326310821671383,0,0,0,0,0,0,0,0.0035444957633896,0,0.0384859177874448
20,0.00030607066480523,0.00111074031582543,0,0,0.000626951200488133,0,0,0,1.97464945035633e-05,0,0.0253248792008199,0,0,0.00632381486476613,0,0,0,0.0184629723608316,0,0,0,0,0,0,0,0.00383575655731716,0,0.201774617461035
21,0.00128352214273161,0.00133782500261641,0,0,0.000587458211481007,0,0,0,0,0,0.0373110013644828,0,0,0.0253544989425752,0,1.48098708776724e-05,0,0.0538240073930875,0,0,0,0,0,0,0,0.0046749825737186,0,1.19409026912497
22,4.44296126330173e-05,0.00180680424707604,0,0,0.000641761071365806,0,0,0,0,0,0.0576844470685342,0,0,0.0817751703628813,0,3.45563653812357e-05,0,0.109385706302489,0,0,0,0,0,0,0,0.00514396181817823,0,2.72302184554687
23,7.8985978014253e-05,0.00210300166462949,0,0,0.000513408857092645,0,0,0,0,0,0.0409591662240161,0,0,0.0162859213418138,0,0,0,0.0442913871714924,0,0,0,0,0,0,0,0.005696863664278,0,0.723077135731479
24,0,0.0020980650410036,0,0,0.000710873802128277,0,0,0,0,0,0.0232070676653127,0,0,0.0080615063810797,0,0,0,0.0135263487349408,0,0,0,0,0,0,0,0.00555863820275306,0,0.167894569516547
25,0,0.00180680424707604,0,0,0.000617077953236352,0,0,0,0,0,0.0272205426731619,0,0,0.00863415472168303,0,0,0,0.000523282104344426,0,0,0,0,0,0,0,0.00579065951316992,0,0.00795783728493599
26,0,0.00311007288431121,0,0,0.000765176662013076,0,0,0,0,0,0.0377947904798201,0,0,0.00984856413365217,0,0,0,0.000745430167509513,0,0,0,0,0,0,0,0.0062349556395001,0,0.00084909926365322
27,0,0.00215730452451429,0,0,0.0014513673460119,0,0,0,0,0,0.0859318074558814,0,0,0.0155947940341891,0,0,0,0.000192528321409742,0,0,0,0,0,0,0,0.00647191357354286,0,0.00030113404117934
28,0,0.00296691079916038,0,0,0.000696063931250605,0,0,0,0,0,0.182067615946479,0,0,0.0260061332611928,0,0,0,0.000162908579654397,0,0,0,0,0,0,0,0.00704456191414619,0,0.000133288837899052
29,0,0.00624976551037777,0,0,0.000878719005408565,0,0,0,4.93662362589081e-06,0,0.173487764084681,0,0,0.0223431585307818,0,0,0,3.94929890071265e-05,0,0,0,0,0,0,0,0.00708899152677921,0,5.4302859884799e-05
30,0,0.00445283451055351,0,0,0.000992261348804053,0,0,0,0,0,0.107648014786175,0,0,0.0157922589792247,0,0,0,4.93662362589081e-05,0,0,0,0,0,0,0,0.00764189337287898,0,5.92394835106898e-05
31,0,0.0122477632158351,0,0,0.000824416145523766,0,0,0,0,0,0.11764961425223,0,0,0.0272797821566726,0,4.93662362589081e-06,0,7.40493543883622e-05,0,0,0,0,0,0,0,0.0076320201256272,0,0.000271514299423995
32,0,0.0118380234548862,0,0,0.010490325205018,0,0,0,4.93662362589081e-06,0,0.348189937581331,0,0,0.019939022824973,0,4.93662362589081e-06,0,2.96197417553449e-05,0,0,0,0,0,0,0,0.00691127307624714,0,0.000133288837899052
33,0,0.0370691068068141,0,0,0.00726177335368539,0,0,0,0,0,0.862561436281024,0,0,0.0297678404641216,0,4.93662362589081e-06,0,6.91127307624714e-05,0,0,0,0,0,0,0,0.00881680979584099,0,4.93662362589081e-05
34,0,0.0805607609509122,0,0,0.0151949275204919,0,0,0,0,0,0.427111739488447,0,0,0.0350352178729471,0,4.93662362589081e-06,0,0,0,0,0,0,0,0,0,0.0096214794468612,0,4.44296126330173e-05
35,0,0.028889121458713,0,0,0.00269539649973638,0,0,0,0,0,0.171597037235965,0,0,0.0239376879619446,0,3.45563653812357e-05,0,1.48098708776724e-05,0,0,0,0,0,0,0,0.00755303414761295,0,0.000335690406560575
36,0,0.00955730333972462,0,0,0.000957704983422818,0,0,0,0,0,0.119179967576256,0,0,0.0131709118338767,0,3.94929890071265e-05,0,1.48098708776724e-05,0,0,0,0,0,0,0,0.0102829870127306,0,0.000148098708776724
37,0,0.00181174087070193,0,0,0.000982388101552272,0,0,0,4.93662362589081e-06,0,0.074286312322405,0,0,0.0128006650619349,0,4.44296126330173e-05,0,1.48098708776724e-05,0,0,0,0,0,0,0,0.0103718462379966,0,6.41761071365806e-05
38,0,0.00142668422788245,0,0,0.000760240038387185,0,0,0,4.93662362589081e-06,0,0.0475841151299616,0,0,0.0196625719019231,0,4.93662362589081e-06,0,0,0,0,0,0,0,0,0,0.00823922483161177,0,2.96197417553449e-05
39,0,0.00153035332402615,0,0,0.00060720470598457,0,0,0,0,0,0.0486208060913986,0,0,0.0219630385115882,0,0,0,0,0,0,0,0,0,0,0,0.00888592252660346,0,9.87324725178163e-05
40,0,0.00140693773337888,0,0,0.000552901846099771,0,0,0,0,0,0.0443753097731325,0,0,0.0213360873111001,0,2.96197417553449e-05,0,0,0,0,0,0,0,0,0,0.00837745029313671,0,2.46831181294541e-05
