miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	9237	8550.545135	N
cfa-let-7a-2	9128	8449.645556	N
cfa-let-7b	7740	7164.795859	N
cfa-let-7c	2433	2252.189706	N
cfa-let-7d	1427	1320.951381	N
cfa-let-7e	681	630.390953	N
cfa-let-7f	20153	18655.314075	N
cfa-let-7g	37797	34988.086444	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	95	87.940001	N
cfa-mir-1-2	97	89.791369	N
cfa-mir-101-1	2065	1911.537913	N
cfa-mir-101-2	2263	2094.823389	N
cfa-mir-103-1	1168	1081.199168	Y
cfa-mir-103-2	1306	1208.943591	Y
cfa-mir-105a	2	1.851368	N
cfa-mir-105b	1	0.925684	N
cfa-mir-106a	24	22.216421	N
cfa-mir-106b	541	500.795163	N
cfa-mir-107	457	423.037688	Y
cfa-mir-10a	20298	18789.538287	N
cfa-mir-10b	2677	2478.056656	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	312067	288875.497324	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	20	18.513684	N
cfa-mir-125a	4142	3834.184037	N
cfa-mir-125b-1	2480	2295.696864	N
cfa-mir-125b-2	2451	2268.852022	N
cfa-mir-126	23027	21315.730522	N
cfa-mir-127	4	3.702737	N
cfa-mir-1271	113	104.602317	N
cfa-mir-128-1	1237	1145.071380	N
cfa-mir-128-2	742	686.857691	N
cfa-mir-129-1	6	5.554105	N
cfa-mir-129-2	2	1.851368	N
cfa-mir-1296	8	7.405474	N
cfa-mir-1301	25	23.142105	N
cfa-mir-1306	12	11.108211	N
cfa-mir-1307	213	197.170739	N
cfa-mir-130a	72	66.649264	N
cfa-mir-130b	35	32.398948	N
cfa-mir-132	31	28.696211	N
cfa-mir-133a	30	27.770527	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	30	27.770527	Y
cfa-mir-134	1	0.925684	N
cfa-mir-1343	9	8.331158	N
cfa-mir-135a-1	140	129.595791	N
cfa-mir-135a-2	117	108.305054	N
cfa-mir-135b	8	7.405474	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	791	732.216218	N
cfa-mir-140	1335	1235.788433	N
cfa-mir-141	3	2.777053	N
cfa-mir-142	1648	1525.527594	N
cfa-mir-143	32457	30044.932712	N
cfa-mir-144	30	27.770527	N
cfa-mir-145	5405	5003.323206	N
cfa-mir-1468	8	7.405474	N
cfa-mir-146a	7975	7382.331650	N
cfa-mir-146b	415	384.158951	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	156102	144501.158031	N
cfa-mir-148b	1262	1168.213485	N
cfa-mir-149	13	12.033895	N
cfa-mir-150	618	572.072848	N
cfa-mir-151	2154	1993.923809	N
cfa-mir-152	473	437.848636	N
cfa-mir-153	5	4.628421	N
cfa-mir-155	1145	1059.908431	N
cfa-mir-15a	79	73.129053	N
cfa-mir-15b	304	281.408003	N
cfa-mir-16-1	872	807.196639	N
cfa-mir-16-2	905	837.744219	N
cfa-mir-17	361	334.172003	N
cfa-mir-181a-1	1686	1560.703594	N
cfa-mir-181a-2	1767	1635.684016	N
cfa-mir-181b-1	420	388.787372	N
cfa-mir-181b-2	454	420.260636	N
cfa-mir-181c	17	15.736632	N
cfa-mir-181d	40	37.027369	N
cfa-mir-182	306	283.259371	N
cfa-mir-183	87	80.534527	N
cfa-mir-1835	12	11.108211	N
cfa-mir-1836	63	58.318106	N
cfa-mir-1837-1	0	0.000000	N
cfa-mir-1837-2	0	0.000000	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	8	7.405474	N
cfa-mir-1839	61	56.466737	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	3	2.777053	N
cfa-mir-1841	1	0.925684	N
cfa-mir-1842	4	3.702737	N
cfa-mir-1843	33	30.547579	N
cfa-mir-1844	6	5.554105	N
cfa-mir-185	481	445.254110	N
cfa-mir-186	4861	4499.750991	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	2	1.851368	N
cfa-mir-18a	41	37.953053	N
cfa-mir-18b	1	0.925684	N
cfa-mir-190a	4	3.702737	N
cfa-mir-190b	16	14.810948	N
cfa-mir-191	11481	10627.780524	N
cfa-mir-192	20104	18609.955549	N
cfa-mir-193a	164	151.812212	N
cfa-mir-193b	291	269.374108	N
cfa-mir-194	7022	6500.154589	N
cfa-mir-195	1000	925.684219	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	1	0.925684	N
cfa-mir-197	87	80.534527	N
cfa-mir-199-1	8733	8084.000289	N
cfa-mir-199-2	8565	7928.485340	N
cfa-mir-199-3	6345	5873.466373	N
cfa-mir-19a	18	16.662316	N
cfa-mir-19b-1	60	55.541053	N
cfa-mir-19b-2	38	35.176000	N
cfa-mir-200a	1172	1084.901905	N
cfa-mir-200b	1758	1627.352858	N
cfa-mir-200c	111	102.750948	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	163	150.886528	N
cfa-mir-204	465	430.443162	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	665	615.580006	N
cfa-mir-20b	17	15.736632	N
cfa-mir-21	77855	72069.144908	N
cfa-mir-210	12	11.108211	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	9	8.331158	N
cfa-mir-214	592	548.005058	N
cfa-mir-215	26	24.067790	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	1	0.925684	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	154	142.555370	N
cfa-mir-218-2	132	122.190317	N
cfa-mir-219-1	5	4.628421	N
cfa-mir-219-2	1	0.925684	N
cfa-mir-22	6675	6178.942165	N
cfa-mir-221	3842	3556.478771	N
cfa-mir-222	3328	3080.677082	N
cfa-mir-223	74	68.500632	N
cfa-mir-224	70	64.797895	N
cfa-mir-2387	13	12.033895	N
cfa-mir-23a	1928	1784.719175	N
cfa-mir-23b	898	831.264429	N
cfa-mir-24-1	2067	1913.389282	N
cfa-mir-24-2	2119	1961.524861	N
cfa-mir-2483	21	19.439369	N
cfa-mir-25	2266	2097.600441	N
cfa-mir-26a-1	30076	27840.878585	N
cfa-mir-26a-2	30062	27827.919006	N
cfa-mir-26b	20067	18575.705233	N
cfa-mir-27a	2418	2238.304443	N
cfa-mir-27b	12388	11467.376111	N
cfa-mir-28	2457	2274.406127	N
cfa-mir-299	1	0.925684	N
cfa-mir-29a	5690	5267.143209	N
cfa-mir-29b-1	209	193.468002	N
cfa-mir-29b-2	189	174.954317	N
cfa-mir-29c-1	59	54.615369	N
cfa-mir-29c-2	46	42.581474	N
cfa-mir-300	0	0.000000	N
cfa-mir-301a	9	8.331158	N
cfa-mir-301b	5	4.628421	N
cfa-mir-302a	0	0.000000	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	12865	11908.927484	N
cfa-mir-30b	1646	1523.676225	N
cfa-mir-30c-1	5605	5188.460050	N
cfa-mir-30c-2	5587	5171.797734	N
cfa-mir-30d	16623	15387.648781	N
cfa-mir-30e	3142	2908.499818	N
cfa-mir-31	258	238.826529	N
cfa-mir-32	71	65.723580	N
cfa-mir-320	1171	1083.976221	N
cfa-mir-323	0	0.000000	N
cfa-mir-324	7	6.479790	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	14	12.959579	N
cfa-mir-328	51	47.209895	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	1	0.925684	N
cfa-mir-330	33	30.547579	N
cfa-mir-331	65	60.169474	N
cfa-mir-335	4	3.702737	N
cfa-mir-338	18	16.662316	N
cfa-mir-339-1	317	293.441898	N
cfa-mir-33a	6	5.554105	N
cfa-mir-33b	4	3.702737	N
cfa-mir-340	827	765.540850	N
cfa-mir-342	415	384.158951	N
cfa-mir-345	1	0.925684	N
cfa-mir-346	0	0.000000	N
cfa-mir-34a	230	212.907370	N
cfa-mir-34b	0	0.000000	N
cfa-mir-34c	6	5.554105	N
cfa-mir-350	23	21.290737	N
cfa-mir-361	1050	971.968430	N
cfa-mir-362	155	143.481054	N
cfa-mir-363	131	121.264633	N
cfa-mir-365-1	601	556.336216	N
cfa-mir-365-2	588	544.302321	N
cfa-mir-367	0	0.000000	N
cfa-mir-369	0	0.000000	N
cfa-mir-370	0	0.000000	N
cfa-mir-371	6	5.554105	N
cfa-mir-374a	797	737.770323	N
cfa-mir-374b	616	570.221479	N
cfa-mir-375	1115	1032.137905	N
cfa-mir-376a-1	0	0.000000	N
cfa-mir-376a-2	0	0.000000	N
cfa-mir-376a-3	0	0.000000	N
cfa-mir-376b	0	0.000000	N
cfa-mir-376c	0	0.000000	N
cfa-mir-377	0	0.000000	N
cfa-mir-378	8154	7548.029126	N
cfa-mir-379	9	8.331158	N
cfa-mir-380	0	0.000000	N
cfa-mir-381	12	11.108211	N
