, 3181631
EIF4A2, 682236
RPS12, 409247
EIF4G1, 260058
P2RY11, 252232
RACK1, 244849
NOP56, 233657
UBAP2, 233481
SPCS1, 232305
TNPO2, 208865
NCL, 199728
RPL7A, 144261
WDR43, 107200
RPL13A, 103954
RPS8, 101266
RPL3, 95964
HSPA9, 72156
RABGGTB, 70911
RPL5, 60274
SF3B3, 58995
AP1G1, 50040
PUM1, 48959
PRPF39, 48548
CCAR1, 37603
AP1B1, 36025
NOP58, 32441
GNL3, 26216
PRRC2B, 26085
HUWE1, 25812
EEF2, 17406
CEP295, 12363
DDX39B, 10735
TEX14, 8662
MED24, 7039
SNX5, 4108
CHD4, 1550
RPL32, 1162
RPS3, 1090
TCP1, 1025
CNOT1, 835
RAPGEF5, 763
KIAA0907, 688
TIPIN, 666
GTF2A1, 631
SLC38A4, 584
KANSL2, 555
RPL12, 543
RPL23, 524
APOA1, 473
FGA, 405
MYO16, 401
OVOL2, 350
IKBKG, 282
NCAPD2, 240
CGN, 237
SLC25A16, 233
PTCD3, 225
TRRAP, 219
RANBP1, 205
KPNA4, 193
PRKCA, 185
EP400, 185
CYP3A26, 176
ATG16L1, 167
CKAP5, 166
EIF4G2, 166
INPP4B, 156
EXT1, 141
NOP53, 138
CYP7B1, 136
EIF3A, 131
MAP2K4, 121
TMEM167A, 118
NDST1, 117
RPSA, 115
SPIRE1, 111
PHB2, 109
ITGA9, 99
MOB4, 95
ACTN1, 92
PPP1R8, 92
IPO7, 91
ADK, 88
RPS11, 87
TPT1, 85
FZD4, 82
MAML2, 78
CHD8, 77
FAM208B, 77
PAH, 76
UBAP2L, 75
FBXW2, 73
IGF2, 72
MAGI3, 71
WRAP53, 71
DPYD, 71
AP3B2, 70
ADAMTSL1, 68
HABP2, 68
KLF9, 67
TEF, 63
CCT6A, 62
ADRA1A, 61
CCDC180, 61
CPS1, 59
FGG, 59
UGT1A6, 59
MGLL, 58
ALB, 57
PABPC4, 57
ANO10, 56
RPS15A, 56
ACSS3, 55
C16orf72, 54
PLEKHA5, 51
CP, 51
PEBP1, 50
AGAP2, 50
CHD3, 48
HAUS6, 48
TTC7B, 47
DST, 47
TDO2, 47
FARP1, 46
GPHN, 46
HIPK2, 46
LPGAT1, 45
NFIA, 44
ALDH6A1, 43
CYP2B6, 43
GGCX, 43
LAMP2, 42
FNDC3B, 41
MTSS1, 41
SNX30, 40
GYS2, 39
SLC25A13, 39
TOMM20, 39
DPYS, 39
PTPRK, 38
ANK1, 38
EIF5, 38
C4orf45, 38
CYP2C18, 37
TAT, 37
CHN2, 37
IQGAP2, 36
FN1, 36
NDUFV3, 36
COBLL1, 36
EXOC4, 36
TESMIN, 36
ALAS1, 36
PCK1, 36
SH3PXD2B, 36
TMED7-TICAM2, 35
VTI1A, 35
PYGL, 35
ACO1, 35
MARCH6, 35
DIAPH2, 35
EPAS1, 35
MAN1C1, 34
ASPH, 33
AGMO, 33
HAL, 33
CMIP, 33
IL1RAP, 32
TAS1R2, 32
PRR16, 32
CDH2, 31
HSD17B4, 31
AKAP2, 31
WDFY1, 31
GPR39, 31
ALCAM, 30
VWA8, 30
MAML1, 30
USP31, 29
LIPC, 29
TF, 29
CFI, 28
NFIB, 28
SOCS2, 28
PTPRM, 27
NUP155, 27
ABHD15, 27
CNTNAP5, 27
MAN2A1, 26
HMGCS2, 26
GSTM4, 26
SPATA6, 26
AARS, 26
GBA3, 26
ABCB11, 26
TCFL5, 26
FAM214A, 26
IL6ST, 26
SPTBN1, 25
CUX2, 25
RFWD2, 25
SND1, 25
MTPAP, 25
HGD, 25
LRCH1, 25
ZFAND3, 24
CCNY, 24
PAPD5, 24
QKI, 24
SHMT2, 24
CLU, 24
HOMER1, 24
PRKAG2, 24
UVRAG, 24
RDX, 23
ABCD3, 23
SSR1, 23
RGL2, 23
BHMT, 23
CCDC34, 23
CALR, 23
AACS, 23
MLLT10, 23
C4BPA, 23
FOXO3, 23
TMCC1, 23
GBE1, 22
MAP3K20, 22
MBNL1, 22
MED13L, 22
ZNF398, 22
NOL10, 22
C5, 22
IGF1, 22
CLCN5, 22
RPTOR, 21
PRRC2A, 21
INTS6, 21
ERC1, 21
CLYBL, 21
