miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	8873	5965.531291	N
cfa-let-7a-2	9008	6056.295037	N
cfa-let-7b	4012	2697.364086	N
cfa-let-7c	2146	1442.807410	N
cfa-let-7d	1027	690.476799	N
cfa-let-7e	420	282.376101	N
cfa-let-7f	23731	15954.922017	N
cfa-let-7g	29646	19931.718770	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	124	83.368182	N
cfa-mir-1-2	116	77.989590	N
cfa-mir-101-1	2281	1533.571157	N
cfa-mir-101-2	2763	1857.631349	N
cfa-mir-103-1	937	629.967634	Y
cfa-mir-103-2	919	617.865801	Y
cfa-mir-105a	1	0.672324	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	2	1.344648	N
cfa-mir-106b	211	141.860374	N
cfa-mir-107	251	168.753336	Y
cfa-mir-10a	10332	6946.452079	N
cfa-mir-10b	731	491.468880	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	821352	552214.702651	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	7	4.706268	N
cfa-mir-125a	1678	1128.159755	N
cfa-mir-125b-1	1758	1181.945679	N
cfa-mir-125b-2	1748	1175.222438	N
cfa-mir-126	11388	7656.426275	N
cfa-mir-127	8	5.378592	N
cfa-mir-1271	54	36.305499	N
cfa-mir-128-1	1278	859.230135	N
cfa-mir-128-2	650	437.010632	N
cfa-mir-129-1	4	2.689296	N
cfa-mir-129-2	1	0.672324	N
cfa-mir-1296	12	8.067889	N
cfa-mir-1301	11	7.395565	N
cfa-mir-1306	26	17.480425	N
cfa-mir-1307	225	151.272911	N
cfa-mir-130a	17	11.429509	N
cfa-mir-130b	14	9.412537	N
cfa-mir-132	10	6.723240	N
cfa-mir-133a	12	8.067889	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	12	8.067889	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	14	9.412537	N
cfa-mir-135a-1	21	14.118805	N
cfa-mir-135a-2	21	14.118805	N
cfa-mir-135b	0	0.000000	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	425	285.737721	N
cfa-mir-140	441	296.494906	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	480	322.715544	N
cfa-mir-143	14944	10047.210595	N
cfa-mir-144	74	49.751980	N
cfa-mir-145	1317	885.450773	N
cfa-mir-1468	0	0.000000	N
cfa-mir-146a	1225	823.596961	N
cfa-mir-146b	296	199.007919	N
