Gene	12_2SST
cfa-let-7a.MIMAT0006594	12208.590891
cfa-let-7b.MIMAT0009836	2742.633668
cfa-let-7c.MIMAT0006669	1466.894500
cfa-let-7d.MIMAT0034396	100.716250
cfa-let-7e.MIMAT0006608	284.334992
cfa-let-7f.MIMAT0006610	16250.258642
cfa-let-7g.MIMAT0006637	20311.795586
cfa-let-7j.MIMAT0006763	0.000000
cfa-mir-1.MIMAT0006656	164.434694
cfa-mir-101.MIMAT0006600	3438.740540
cfa-mir-103.MIMAT0006687	1270.943156
cfa-mir-105a.MIMAT0009879	0.685145
cfa-mir-105b.MIMAT0010198	0.000000
cfa-mir-106a.MIMAT0006749	1.370289
cfa-mir-106b.MIMAT0006695	37.682951
cfa-mir-107.MIMAT0006666	171.971284
cfa-mir-10a.MIMAT0006737	7046.026641
cfa-mir-10b.MIMAT0009837	500.840672
cfa-mir-1185.MIMAT0034383	0.000000
cfa-mir-1199.MIMAT0031123	0.000000
cfa-mir-1199.MIMAT0031124	0.000000
cfa-mir-122.MIMAT0006619	562400.225824
cfa-mir-124.MIMAT0006657	0.000000
cfa-mir-1249.MIMAT0034321	4.796012
cfa-mir-125a.MIMAT0006609	1143.506268
cfa-mir-125b.MIMAT0006670	2367.859595
cfa-mir-126.MIMAT0006730	104.827117
cfa-mir-127.MIMAT0006713	5.481156
cfa-mir-1271.MIMAT0006685	36.997806
cfa-mir-128.MIMAT0006633	1319.588420
cfa-mir-129.MIMAT0006623	2.055434
cfa-mir-1296.MIMAT0034413	8.221735
cfa-mir-1301.MIMAT0034337	7.536590
cfa-mir-1306.MIMAT0006661	17.813759
cfa-mir-1307.MIMAT0006665	108.937985
cfa-mir-130a.MIMAT0006631	11.647457
cfa-mir-130b.MIMAT0006659	1.370289
cfa-mir-132.MIMAT0006732	4.796012
cfa-mir-133a.MIMAT0009834	8.221735
cfa-mir-133b.MIMAT0009835	0.000000
cfa-mir-133c.MIMAT0009833	8.221735
cfa-mir-134.MIMAT0009883	0.000000
cfa-mir-1343.MIMAT0034357	9.592024
cfa-mir-135a-2.MIMAT0006628	3.425723
cfa-mir-135a.MIMAT0010196	25.350349
cfa-mir-135b.MIMAT0009839	0.000000
cfa-mir-136.MIMAT0006714	0.000000
cfa-mir-137.MIMAT0006702	0.000000
cfa-mir-138a.MIMAT0006654	0.000000
cfa-mir-138b.MIMAT0006646	0.000000
cfa-mir-139.MIMAT0006645	8.906879
cfa-mir-140.MIMAT0006689	245.281752
cfa-mir-141.MIMAT0009876	0.000000
cfa-mir-142.MIMAT0006736	196.636488
cfa-mir-143.MIMAT0006682	10207.968779
cfa-mir-144.MIMAT0006734	28.776071
cfa-mir-145.MIMAT0009863	567.984839
cfa-mir-1468.MIMAT0034423	0.000000
cfa-mir-146a.MIMAT0006684	839.302084
cfa-mir-146b.MIMAT0006667	202.802789
cfa-mir-147.MIMAT0009874	0.685145
cfa-mir-148a.MIMAT0006622	169576.018844
cfa-mir-148b.MIMAT0006663	478.916046
cfa-mir-149.MIMAT0009884	9.592024
cfa-mir-150.MIMAT0006602	67.829311
cfa-mir-151.MIMAT0006615	924.945154
cfa-mir-152.MIMAT0006738	162.379260
cfa-mir-153.MIMAT0009840	0.000000
cfa-mir-155.MIMAT0006671	111.678563
cfa-mir-15a.MIMAT0006647	31.516650
cfa-mir-15b.MIMAT0006676	85.643070
cfa-mir-16.MIMAT0006648	465.213155
cfa-mir-17.MIMAT0006649	2.055434
cfa-mir-181a.MIMAT0006707	1871.814934
cfa-mir-181b.MIMAT0006708	208.283946
cfa-mir-181c.MIMAT0006635	6.166301
cfa-mir-181d.MIMAT0006636	9.592024
cfa-mir-182.MIMAT0009841	4.110867
cfa-mir-183.MIMAT0006621	3.425723
cfa-mir-1835.MIMAT0006596	0.000000
cfa-mir-1836.MIMAT0006618	46.589830
cfa-mir-1837.MIMAT0006630	6.851446
cfa-mir-1838.MIMAT0006644	4.110867
cfa-mir-1839.MIMAT0006677	20.554337
cfa-mir-184.MIMAT0009842	0.000000
cfa-mir-1840.MIMAT0006679	0.000000
cfa-mir-1841.MIMAT0006686	0.685145
cfa-mir-1842.MIMAT0006701	0.685145
cfa-mir-1843.MIMAT0006706	13.017747
cfa-mir-1844.MIMAT0006740	0.685145
cfa-mir-185.MIMAT0006660	198.006777
cfa-mir-186.MIMAT0006694	1190.781243
cfa-mir-187.MIMAT0009843	0.685145
cfa-mir-188.MIMAT0009880	2.055434
cfa-mir-18a.MIMAT0009832	3.425723
cfa-mir-18b.MIMAT0009831	0.685145
cfa-mir-190a.MIMAT0009872	0.000000
cfa-mir-190b.MIMAT0009873	1.370289
cfa-mir-191.MIMAT0006638	5061.847999
cfa-mir-192.MIMAT0006632	19147.049836
cfa-mir-193a.MIMAT0006735	94.549949
cfa-mir-193b.MIMAT0006699	30.831505
cfa-mir-194.MIMAT0006681	5420.863748
cfa-mir-195.MIMAT0006692	141.139779
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	0.000000
cfa-mir-197.MIMAT0006698	49.330408
cfa-mir-199.MIMAT0006642	4553.470737
cfa-mir-19a.MIMAT0006650	4.110867
cfa-mir-19b.MIMAT0006652	56.181854
cfa-mir-200a.MIMAT0009865	6.851446
cfa-mir-200b.MIMAT0009864	2.740578
cfa-mir-200c.MIMAT0006664	6.851446
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	86.328214
cfa-mir-204.MIMAT0006598	119.900298
cfa-mir-205.MIMAT0009845	0.000000
cfa-mir-206.MIMAT0006606	0.000000
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
cfa-mir-208b.MIMAT0009869	0.000000
cfa-mir-20a.MIMAT0006651	415.197603
cfa-mir-20b.MIMAT0009830	3.425723
cfa-mir-21.MIMAT0006741	18753.091715
cfa-mir-210.MIMAT0009846	0.000000
cfa-mir-211.MIMAT0009867	0.000000
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	2.055434
cfa-mir-214.MIMAT0009847	93.864805
cfa-mir-215.MIMAT0009848	23.294915
cfa-mir-216a.MIMAT0009849	0.000000
cfa-mir-216b.MIMAT0006592	0.000000
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	70.569890
cfa-mir-219-2.MIMAT0006729	2.055434
cfa-mir-219.MIMAT0006611	0.000000
cfa-mir-22.MIMAT0006733	3945.062369
cfa-mir-221.MIMAT0006757	843.412952
cfa-mir-222.MIMAT0009851	1118.155920
