, 19150
APOB, 3964
TF, 3506
FGA, 2720
ALB, 2688
C3, 2473
FGG, 1858
FN1, 1780
FGB, 1744
MT-CO2, 1647
AHNAK, 1217
LUM, 1009
LRP1, 918
GPNMB, 810
C1S, 798
COX1, 763
CLU, 730
COL1A2, 730
B2M, 720
CYP3A26, 707
COL6A5, 695
GC, 675
C7, 589
COL12A1, 587
HSP90B1, 573
PSAP, 570
CP, 570
APOH, 553
C6, 543
CYP3A12, 518
MYH9, 516
SERPINA1, 509
SPTBN1, 499
COL3A1, 495
RBP4, 490
CPS1, 469
IGHM, 466
DST, 423
JCHAIN, 406
THBS1, 391
DCN, 388
COL6A3, 387
C5, 386
ITIH2, 381
AHSG, 377
CYP2E1, 369
VIM, 368
PLG, 364
HSPA5, 361
A2M, 358
ACSL4, 353
CTSB, 349
SERPING1, 344
HSP90AA1, 333
CLTC, 332
ALDOB, 318
ALDH1A1, 315
ITM2B, 312
DYNC1H1, 306
FTH1, 302
ITGB1, 297
DMBT1, 297
C4BPA, 296
SPP1, 289
CTSK, 289
APP, 285
SVEP1, 284
CESdD1, 282
FAT1, 276
C1R, 272
VCAN, 270
ALCAM, 267
HRG, 267
PDGFRB, 266
MACF1, 261
EEF2, 255
CD74, 254
PROS1, 251
APOA1, 248
CTSS, 248
VTN, 244
SPARCL1, 243
HPX, 241
ND2, 234
SRRM2, 233
P4HB, 229
UGT2B31, 227
EPHX1, 226
ACTB, 226
MT-ATP8, 218
CFI, 217
FBN1, 217
COX3, 214
F5, 204
ASAH1, 201
BCHE, 200
POSTN, 199
CALR, 199
NRP1, 198
RELN, 186
LAMP2, 186
FLNA, 184
ABCA1, 183
ATP6, 183
TPT1, 180
DDX5, 180
CTNNB1, 180
EPRS, 179
TXNIP, 178
MYLK, 173
IL6ST, 170
ATP1A1, 168
MT-ND3, 167
ALAS1, 166
TLN1, 163
DLA DRA, 159
ITIH1, 159
SYNE2, 157
AKAP12, 153
CYP2C18, 151
CSDE1, 151
PTGR1, 150
MT-ND6, 150
HSP90AB1, 149
CANX, 149
ABCB4, 147
GOLGB1, 144
F2, 142
VPS13D, 142
IL13RA1, 141
EHHADH, 141
LAMC1, 140
RGN, 140
IQGAP1, 139
LTBP1, 138
IGFBP7, 138
PRDX1, 138
HUWE1, 138
SAMD9L, 138
COL14A1, 137
PDGFRA, 136
EIF3A, 135
SPARC, 134
ABCA9, 133
MT-ND1, 132
CDO1, 132
RPN2, 130
SLIT3, 129
NID1, 129
CYTB, 128
CAT, 128
GPC3, 128
FBLN5, 127
GLG1, 127
FBLN1, 126
TAX1BP1, 126
MT-ND4, 125
TTR, 125
MFAP4, 125
TGFBR3, 123
GSN, 123
PRPF8, 123
ASPN, 123
SERPINC1, 122
MMRN1, 122
ACTG1, 121
PLEC, 121
ADH4, 121
NOTCH2, 120
COL1A1, 119
HLA-DRB1, 119
RPL9, 119
PEG3, 118
ACTN4, 117
SERPIND1, 117
APLP2, 116
SLCO1B3, 116
SPTAN1, 115
ND5, 113
FGL1, 113
SLC40A1, 110
MYH10, 110
HSD17B4, 109
NCL, 108
CXCL12, 107
SFRP1, 107
KIDINS220, 107
LIFR, 106
COL6A1, 105
SCP2, 104
ACSL1, 104
BGN, 103
LAMP1, 103
EIF4G2, 102
PRRC2C, 101
ABCA8, 101
DDX3X, 101
CTNND1, 100
GLUL, 100
UBR4, 100
ANXA1, 100
PDGFD, 100
CALD1, 100
LAMA2, 99
PABPC1, 98
BPI, 98
QSOX1, 98
CALM3, 97
MPDZ, 97
ANGPTL3, 97
EIF4B, 96
SERINC1, 96
FETUB, 96
HDLBP, 96
LAMB2, 95
MXRA5, 94
UGT1A6, 94
ADAMDEC1, 94
UGP2, 94
LCP1, 93
APOE, 92
MPEG1, 92
PTPRC, 91
PDIA4, 91
HADHA, 91
BIRC6, 91
UGDH, 91
LTBP4, 90
ITGAV, 90
THBS4, 90
TM9SF2, 90
CTSD, 90
PYGL, 88
COL5A2, 88
HNRNPU, 87
NUCB2, 87
CPD, 87
SF3B1, 86
TMBIM6, 86
SMARCA5, 86
HERC1, 86
SEPT7, 85
HTRA1, 85
CTNNA1, 85
CDH1, 85
EIF5, 85
COPB2, 85
WNK1, 85
ANXA2, 84
RPL5, 84
TMEM59, 84
ACAD11, 82
PON1, 82
MIA3, 82
ATP5A1, 82
ZEB2, 82
DSP, 81
COPA, 81
DNAJC3, 81
ACTR2, 80
CNBP, 80
HHIP, 80
MYH11, 80
ERBIN, 80
IQGAP2, 79
VCL, 79
AGL, 79
CD163, 79
NCOA4, 78
TM9SF3, 78
SERPINF1, 78
VCAM1, 78
APOA2, 78
NNT, 78
TNFSF10, 78
MRC1, 78
ADAMTSL2, 77
ANXA5, 77
LMAN1, 77
TRIP12, 77
BZW1, 77
PDCD4, 76
GOLGA4, 76
VPS13C, 76
DPYD, 76
JAK1, 75
CCDC88A, 75
CI-MPR, 75
SCARB2, 75
RPL12, 75
PIGR, 75
SEC31A, 75
ATRX, 75
ASH1L, 75
CD63, 75
ADIPOR2, 75
PCNX1, 75
GNS, 74
MYCBP2, 74
LIPA, 74
PPIB, 74
CD81, 73
HNRNPA2B1, 73
FBXL5, 73
F13A1, 73
MAN2A1, 73
CPB2, 73
DLA-DQA1, 73
UGGT1, 73
