, 2690413
NCL, 768730
RPS8, 404104
NOP56, 369505
RPS12, 362483
EIF4A2, 362266
TNPO2, 352096
RACK1, 274190
P2RY11, 259328
RPL3, 246372
UBAP2, 216924
RPL7A, 212245
RABGGTB, 186465
SPCS1, 181239
RPL13A, 171382
RPL5, 152009
AP1G1, 104437
PRRC2B, 56542
PUM1, 55574
PRPF39, 49205
EIF4G1, 47164
WDR43, 39453
NOP58, 28305
SF3B3, 28246
HSPA9, 25900
DDX39B, 23446
TEX14, 22987
MED24, 20535
AP1B1, 18564
CCAR1, 15781
HUWE1, 14370
EEF2, 10649
CEP295, 10188
GNL3, 6246
RPS3, 5096
RAPGEF5, 4775
PTCD3, 3035
SNX5, 2795
KPNA4, 2350
EIF4G2, 1786
IKBKG, 1256
RPL32, 1174
NCAPD2, 1023
RPL23, 956
ADAMTSL1, 878
TRRAP, 830
CNOT1, 811
CHD4, 732
KANSL2, 641
KIAA0907, 614
OVOL2, 556
GTF2A1, 529
CCBE1, 505
MAML2, 490
CKAP5, 474
MYO16, 365
CGN, 356
RPL12, 335
RPSA, 310
EP400, 305
SH3PXD2B, 297
PBX1, 289
EIF3A, 286
NFIA, 285
TCP1, 274
ANO10, 269
PDGFD, 256
INPP4B, 244
RANBP1, 240
SLC25A16, 228
CHD8, 228
PHB2, 225
TPT1, 220
PRKCA, 218
ATG16L1, 187
EIF4A1, 187
RBMS3, 177
ATRNL1, 177
ANK1, 176
ITGA9, 173
PTPRM, 170
MAP2K4, 169
FOXO3, 166
TIPIN, 165
FGA, 164
RBPMS, 158
MBNL1, 155
MED13L, 154
FNDC3B, 148
NFIB, 145
VPS13B, 144
ETV6, 142
EXOC4, 142
GUCY1A2, 141
FMNL2, 138
EXT1, 138
RPS11, 134
FGG, 131
MOB4, 131
VPS13D, 131
PPP1R8, 130
TCF12, 129
ZFAND3, 128
EIF5, 127
NOP53, 126
BNC2, 126
DIAPH2, 125
RFWD2, 125
SYNPO2, 124
DPYD, 122
CYP3A26, 121
EHBP1, 120
NRP1, 120
SLC8A1, 119
ZFPM2, 117
DST, 115
ARID1B, 114
ALCAM, 113
SLC9A9, 112
UBAP2L, 110
ACTN1, 110
C7, 109
AKAP13, 109
CACNA1C, 109
TGFBR3, 109
KIAA1217, 108
BCAS3, 108
SETBP1, 107
PDE3A, 107
ARHGAP15, 106
SBF2, 105
QKI, 105
MAGI3, 104
HAUS6, 104
DOCK1, 103
TMEM167A, 102
DLC1, 102
ARHGAP24, 101
SPIRE1, 99
MAP3K20, 99
WDFY4, 97
LDB2, 97
PICALM, 97
C9orf3, 96
EXOC6B, 96
PABPC4, 96
CCT6A, 93
TOMM20, 93
ADK, 93
TRPS1, 93
DENND1A, 92
PRKCE, 92
NOTCH2, 91
AKT3, 91
JMJD1C, 91
GPHN, 90
ANTXR2, 89
SND1, 89
RASAL2, 89
RBMS1, 88
LRBA, 87
FAM172A, 86
TTC28, 86
LRCH1, 86
ARHGAP10, 85
ASAP1, 85
BABAM2, 84
KLF9, 83
SORBS1, 83
HS3ST3A1, 83
ZDHHC15, 82
NR3C2, 82
FAM208B, 82
PPP3CA, 81
CHD3, 81
SPTBN1, 81
FTO, 81
GLIS3, 80
ELMO1, 80
RALGAPA2, 80
ATP9B, 79
PSD3, 79
CYP7B1, 79
KANSL1, 79
CBLB, 78
LPP, 76
EPHA3, 76
CDKAL1, 75
MACF1, 75
KIAA1328, 74
TXNIP, 73
WDR7, 73
CMIP, 73
UVRAG, 72
SNX29, 72
CCNY, 72
COL4A2, 72
PRKG1, 72
ZBTB16, 71
TCF7L2, 70
PCDHGC5, 69
PARP8, 69
TMCC1, 69
LAMP2, 69
MAML1, 68
NR2F2, 67
ZNF280C, 67
DLG1, 67
ZCCHC7, 67
VAV3, 67
GNAQ, 67
AIG1, 66
BMP2K, 66
FOXP1, 65
ASPH, 65
CLK1, 65
JARID2, 65
STARD13, 64
IL6ST, 64
MTSS1, 64
PAN3, 64
PLEKHA5, 64
CALD1, 64
NAV2, 64
MCTP1, 63
DOCK4, 63
IGF1R, 63
MAGI2, 63
PRRC2A, 62
SAMD4A, 62
MAML3, 62
FCHSD2, 62
MAP2K5, 62
CHD2, 62
PHIP, 62
CPED1, 61
PCDH7, 60
ZNF609, 60
CHN2, 59
KCNMA1, 59
PLXDC2, 59
GMDS, 59
CLU, 59
AGAP1, 59
DOCK2, 59
PIAS1, 59
PTPRC, 58
MYCBP2, 58
MITF, 58
RUNX1, 58
ZER1, 57
FNIP1, 57
TBC1D1, 57
SOX6, 57
GPCPD1, 57
PARD3, 56
STAG1, 55
ZNF407, 55
UNC5C, 55
DOCK10, 55
NBEA, 55
LHFP, 55
RASA1, 54
STK3, 54
ACBD6, 54
TCF4, 54
ANKRD44, 54
ALDH1A1, 54
FLI1, 54
MAN1C1, 54
UBR5, 54
CAMK2D, 54
FIGN, 54
SH3RF1, 54
PHACTR2, 54
SMAD3, 54
C16orf72, 53
SCFD2, 53
GNA14, 53
BCL2, 53
SLCO3A1, 53
ADGRL3, 53
SSH2, 53
ERC1, 53
UBE2H, 53
PXK, 53
ZEB2, 53
AUH, 53
KMT2C, 53
FARP1, 52
HELZ, 52
CHST11, 52
OSBPL1A, 52
KAT6A, 52
SPIDR, 52
ATP8B4, 52
SETD2, 52
ARID5B, 52
SMAD6, 52
UGT1A6, 51
KDM4C, 51
RPGR, 51
PARN, 51
ATXN2, 51
RPS6KC1, 51
COL5A2, 51
ZEB1, 51
APP, 51
RYR2, 51
TTC7B, 51
DDX17, 50
CWF19L1, 50
EXOC2, 50
CPNE8, 50
FER, 50
IPO7, 50
TMED7-TICAM2, 50
FNBP1, 50
DAPK1, 50
PRKCB, 50
SUCLG2, 50
VWA8, 50
MAST4, 49
SCUBE2, 49
VTI1A, 49
PPM1H, 49
EP300, 48
AAK1, 48
MCU, 48
ARHGAP28, 48
FBXW2, 48
LPGAT1, 47
ROBO1, 47
C6, 47
PKHD1, 47
ATP2A2, 47
GAB1, 47
NSD1, 47
SOX5, 47
PHF14, 47
PDE4D, 47
TRIO, 47
SVIL, 47
LMAN2, 47
LARP4, 47
ARL15, 47
IGHM, 47
HIPK2, 47
TSC22D1, 46
HERC2, 46
TNRC6A, 46
TRMT44, 46
AFF1, 46
FAM13A, 46
CELF2, 46
WWTR1, 46
KAT6B, 46
