miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	7860	14182.503194	N
cfa-let-7a-2	7603	13718.775036	N
cfa-let-7b	8239	14866.366897	N
cfa-let-7c	2466	4449.625048	N
cfa-let-7d	1276	2302.401282	N
cfa-let-7e	1384	2497.275372	N
cfa-let-7f	13567	24480.155322	N
cfa-let-7g	24833	44808.409900	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	78	140.742398	N
cfa-mir-1-2	106	191.265310	N
cfa-mir-101-1	599	1080.829442	N
cfa-mir-101-2	728	1313.595716	N
cfa-mir-103-1	1027	1853.108242	Y
cfa-mir-103-2	1118	2017.307706	Y
cfa-mir-105a	2	3.608779	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	11	19.848287	Y
cfa-mir-106b	386	696.494432	N
cfa-mir-107	223	402.378907	Y
cfa-mir-10a	6595	11899.950199	N
cfa-mir-10b	2147	3874.024727	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	117154	211391.473176	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	8	14.435118	N
cfa-mir-125a	5382	9711.225469	N
cfa-mir-125b-1	2470	4456.842607	N
cfa-mir-125b-2	2558	4615.628902	N
cfa-mir-126	11220	20245.252651	N
cfa-mir-127	22	39.696574	N
cfa-mir-1271	113	203.896038	N
cfa-mir-128-1	657	1185.484046	N
cfa-mir-128-2	371	669.428586	N
cfa-mir-129-1	11	19.848287	N
cfa-mir-129-2	13	23.457066	N
cfa-mir-1296	0	0.000000	N
cfa-mir-1301	25	45.109743	N
cfa-mir-1306	12	21.652677	N
cfa-mir-1307	49	88.415096	N
cfa-mir-130a	43	77.588758	N
cfa-mir-130b	11	19.848287	N
cfa-mir-132	23	41.500964	N
cfa-mir-133a	26	46.914133	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	26	46.914133	Y
cfa-mir-134	2	3.608779	N
cfa-mir-1343	10	18.043897	N
cfa-mir-135a-1	43	77.588758	N
cfa-mir-135a-2	28	50.522912	N
cfa-mir-135b	4	7.217559	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	1	1.804390	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	367	662.211027	N
cfa-mir-140	793	1430.881047	N
cfa-mir-141	3	5.413169	N
cfa-mir-142	969	1748.453638	N
cfa-mir-143	18036	32543.972977	N
cfa-mir-144	433	781.300748	N
cfa-mir-145	3507	6327.994746	N
cfa-mir-1468	2	3.608779	N
cfa-mir-146a	3438	6203.491855	N
cfa-mir-146b	858	1548.166379	N
cfa-mir-147	1	1.804390	N
cfa-mir-148a	26785	48330.578632	N
cfa-mir-148b	755	1362.314238	N
cfa-mir-149	14	25.261456	N
cfa-mir-150	70	126.307280	N
cfa-mir-151	1009	1820.629227	N
cfa-mir-152	771	1391.184474	N
cfa-mir-153	2	3.608779	N
cfa-mir-155	528	952.717772	N
cfa-mir-15a	30	54.131692	N
cfa-mir-15b	273	492.598393	N
cfa-mir-16-1	422	761.452462	N
cfa-mir-16-2	468	844.454389	N
cfa-mir-17	335	604.470556	Y
cfa-mir-181a-1	1219	2199.551068	N
cfa-mir-181a-2	1237	2232.030083	N
cfa-mir-181b-1	318	573.795931	N
cfa-mir-181b-2	347	626.123233	N
cfa-mir-181c	14	25.261456	N
cfa-mir-181d	63	113.676552	N
cfa-mir-182	269	485.380834	N
cfa-mir-183	117	211.113597	N
cfa-mir-1835	0	0.000000	N
cfa-mir-1836	59	106.458993	N
cfa-mir-1837-1	0	0.000000	N
cfa-mir-1837-2	0	0.000000	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	3	5.413169	N
cfa-mir-1839	51	92.023876	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	2	3.608779	N
cfa-mir-1841	3	5.413169	N
cfa-mir-1842	3	5.413169	N
cfa-mir-1843	28	50.522912	N
cfa-mir-1844	1	1.804390	N
cfa-mir-185	451	813.779763	N
cfa-mir-186	2334	4211.445605	N
cfa-mir-187	3	5.413169	N
cfa-mir-188	2	3.608779	N
cfa-mir-18a	126	227.353105	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	0	0.000000	N
cfa-mir-190b	7	12.630728	N
cfa-mir-191	9001	16241.311864	N
cfa-mir-192	5179	9344.934356	N
cfa-mir-193a	233	420.422805	N
cfa-mir-193b	42	75.784368	N
cfa-mir-194	2082	3756.739396	N
cfa-mir-195	694	1252.246465	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	1	1.804390	N
cfa-mir-197	47	84.806317	N
cfa-mir-199-1	11081	19994.442480	N
cfa-mir-199-2	11120	20064.813679	N
cfa-mir-199-3	9621	17360.033489	N
cfa-mir-19a	13	23.457066	N
cfa-mir-19b-1	44	79.393148	N
cfa-mir-19b-2	37	66.762420	N
cfa-mir-200a	1490	2688.540682	N
cfa-mir-200b	3380	6098.837251	N
cfa-mir-200c	243	438.466702	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	158	285.093576	N
cfa-mir-204	128	230.961884	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	780	1407.423981	N
cfa-mir-20b	6	10.826338	N
cfa-mir-21	64162	115773.253170	N
cfa-mir-210	14	25.261456	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	3	5.413169	N
cfa-mir-214	248	447.488650	N
cfa-mir-215	10	18.043897	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	2	3.608779	N
cfa-mir-218-1	138	249.005781	N
cfa-mir-218-2	134	241.788222	N
cfa-mir-219-1	6	10.826338	N
cfa-mir-219-2	1	1.804390	N
cfa-mir-22	1326	2392.620768	N
cfa-mir-221	2383	4299.860701	N
cfa-mir-222	1025	1849.499462	N
cfa-mir-223	52	93.828265	N
cfa-mir-224	168	303.137473	N
cfa-mir-2387	10	18.043897	N
cfa-mir-23a	1406	2536.971945	N
cfa-mir-23b	479	864.302676	N
cfa-mir-24-1	944	1703.343895	N
cfa-mir-24-2	905	1632.972696	N
cfa-mir-2483	10	18.043897	N
cfa-mir-25	2470	4456.842607	N
cfa-mir-26a-1	14112	25463.547719	N
cfa-mir-26a-2	14190	25604.290117	N
cfa-mir-26b	7462	13464.356085	N
cfa-mir-27a	1459	2632.604600	N
cfa-mir-27b	9102	16423.555225	N
cfa-mir-28	745	1344.270341	N
cfa-mir-299	3	5.413169	N
cfa-mir-29a	3394	6124.098707	N
cfa-mir-29b-1	133	239.983833	N
cfa-mir-29b-2	122	220.135546	N
cfa-mir-29c-1	53	95.632655	N
cfa-mir-29c-2	37	66.762420	N
cfa-mir-300	1	1.804390	N
cfa-mir-301a	2	3.608779	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	0	0.000000	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	1	1.804390	N
cfa-mir-30a	4515	8146.819583	N
cfa-mir-30b	633	1142.178692	N
cfa-mir-30c-1	1954	3525.777512	N
cfa-mir-30c-2	1940	3500.516055	N
cfa-mir-30d	7548	13619.533601	N
cfa-mir-30e	1169	2109.331582	N
cfa-mir-31	199	359.073554	N
cfa-mir-32	50	90.219486	N
cfa-mir-320	1182	2132.788648	N
cfa-mir-323	1	1.804390	N
cfa-mir-324	4	7.217559	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	3	5.413169	N
cfa-mir-328	15	27.065846	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	0	0.000000	N
cfa-mir-330	15	27.065846	N
cfa-mir-331	60	108.263383	N
cfa-mir-335	6	10.826338	N
cfa-mir-338	13	23.457066	N
cfa-mir-339-1	249	449.293040	N
cfa-mir-33a	1	1.804390	N
cfa-mir-33b	0	0.000000	N
cfa-mir-340	696	1255.855245	N
cfa-mir-342	56	101.045824	N
cfa-mir-345	0	0.000000	N
cfa-mir-346	0	0.000000	N
cfa-mir-34a	151	272.462848	N
cfa-mir-34b	1	1.804390	N
cfa-mir-34c	6	10.826338	N
cfa-mir-350	17	30.674625	N
cfa-mir-361	560	1010.458243	N
cfa-mir-362	61	110.067773	N
cfa-mir-363	73	131.720450	N
cfa-mir-365-1	99	178.634582	N
cfa-mir-365-2	122	220.135546	N
cfa-mir-367	0	0.000000	N
cfa-mir-369	0	0.000000	N
cfa-mir-370	2	3.608779	N
cfa-mir-371	7	12.630728	N
cfa-mir-374a	508	916.629977	N
cfa-mir-374b	220	396.965738	N
cfa-mir-375	226	407.792077	N
cfa-mir-376a-1	0	0.000000	N
cfa-mir-376a-2	0	0.000000	N
cfa-mir-376a-3	0	0.000000	N
cfa-mir-376b	0	0.000000	N
cfa-mir-376c	0	0.000000	N
cfa-mir-377	0	0.000000	N
cfa-mir-378	2318	4182.575369	N
cfa-mir-379	16	28.870236	N
cfa-mir-380	0	0.000000	N
cfa-mir-381	23	41.500964	N
cfa-mir-382	7	12.630728	N
cfa-mir-383	9	16.239507	N
cfa-mir-384	0	0.000000	N
cfa-mir-3958	0	0.000000	N
cfa-mir-409	2	3.608779	N
cfa-mir-410	0	0.000000	N
cfa-mir-411	13	23.457066	N
cfa-mir-421	10	18.043897	N
cfa-mir-423a	1733	3127.007384	N
cfa-mir-424	25	45.109743	N
cfa-mir-425	209	377.117451	N
cfa-mir-429	115	207.504818	N
cfa-mir-432	1	1.804390	N
cfa-mir-433	1	1.804390	N
cfa-mir-448	0	0.000000	N
cfa-mir-449a	1	1.804390	N
cfa-mir-449b	0	0.000000	N
cfa-mir-450a	130	234.570664	N
cfa-mir-450b	110	198.482869	N
cfa-mir-451	18834	33983.875973	N
cfa-mir-452	85	153.373126	N
cfa-mir-454	7	12.630728	N
cfa-mir-455	682	1230.593789	N
cfa-mir-483	5	9.021949	N
cfa-mir-485	0	0.000000	N
cfa-mir-486	3836	6921.638963	N
cfa-mir-487a	0	0.000000	N
cfa-mir-487b	0	0.000000	N
cfa-mir-488	1	1.804390	N
cfa-mir-489	0	0.000000	N
cfa-mir-490	1	1.804390	N
cfa-mir-491	4	7.217559	N
cfa-mir-493	4	7.217559	N
cfa-mir-494	4	7.217559	N
cfa-mir-495	0	0.000000	N
cfa-mir-496	0	0.000000	N
cfa-mir-497	252	454.706209	N
cfa-mir-499	193	348.247216	N
cfa-mir-500	177	319.376980	Y
cfa-mir-502	247	445.684261	Y
cfa-mir-503	5	9.021949	N
cfa-mir-504	13	23.457066	N
cfa-mir-505	260	469.141327	N
cfa-mir-506	0	0.000000	N
cfa-mir-507a	0	0.000000	N
cfa-mir-507b	0	0.000000	N
cfa-mir-508a	0	0.000000	N
cfa-mir-508b	0	0.000000	N
cfa-mir-514	0	0.000000	N
cfa-mir-532	470	848.063168	N
cfa-mir-539	0	0.000000	N
cfa-mir-542	26	46.914133	N
cfa-mir-543	1	1.804390	N
cfa-mir-544	0	0.000000	N
cfa-mir-545	0	0.000000	N
cfa-mir-551a	24	43.305353	N
cfa-mir-551b	0	0.000000	N
cfa-mir-568	0	0.000000	N
cfa-mir-574	87	156.981906	N
cfa-mir-578	0	0.000000	N
cfa-mir-582	1	1.804390	N
cfa-mir-589	0	0.000000	N
cfa-mir-590	51	92.023876	N
cfa-mir-592	0	0.000000	N
cfa-mir-599	0	0.000000	N
cfa-mir-615	1	1.804390	N
cfa-mir-628	15	27.065846	N
cfa-mir-631	0	0.000000	N
cfa-mir-632	0	0.000000	N
cfa-mir-6516	41	73.979978	N
cfa-mir-652	56	101.045824	N
cfa-mir-6529	13	23.457066	N
cfa-mir-653	0	0.000000	N
cfa-mir-660	73	131.720450	N
cfa-mir-664	9	16.239507	N
cfa-mir-665	0	0.000000	N
cfa-mir-671	8	14.435118	N
cfa-mir-676	20	36.087794	N
cfa-mir-7-1	399	719.951498	N
cfa-mir-7-2	377	680.254924	N
