Gene	13MF
cfa-let-7a.MIMAT0006594	29378.405936
cfa-let-7b.MIMAT0009836	15714.563945
cfa-let-7c.MIMAT0006669	4704.822061
cfa-let-7d.MIMAT0034396	190.942454
cfa-let-7e.MIMAT0006608	2623.549315
cfa-let-7f.MIMAT0006610	25899.434428
cfa-let-7g.MIMAT0006637	47416.739543
cfa-let-7j.MIMAT0006763	0.000000
cfa-mir-1.MIMAT0006656	351.334115
cfa-mir-101.MIMAT0006600	2528.078088
cfa-mir-103.MIMAT0006687	4082.349661
cfa-mir-105a.MIMAT0009879	3.818849
cfa-mir-105b.MIMAT0010198	0.000000
cfa-mir-106a.MIMAT0006749	21.003670
cfa-mir-106b.MIMAT0006695	126.022019
cfa-mir-107.MIMAT0006666	425.801672
cfa-mir-10a.MIMAT0006737	12479.998778
cfa-mir-10b.MIMAT0009837	4074.711963
cfa-mir-1185.MIMAT0034383	0.000000
cfa-mir-1199.MIMAT0031123	0.000000
cfa-mir-1199.MIMAT0031124	0.000000
cfa-mir-122.MIMAT0006619	223482.866734
cfa-mir-124.MIMAT0006657	0.000000
cfa-mir-1249.MIMAT0034321	15.275396
cfa-mir-125a.MIMAT0006609	10261.247465
cfa-mir-125b.MIMAT0006670	9466.926858
cfa-mir-126.MIMAT0006730	502.178653
cfa-mir-127.MIMAT0006713	42.007340
cfa-mir-1271.MIMAT0006685	215.764973
cfa-mir-128.MIMAT0006633	1955.250727
cfa-mir-129.MIMAT0006623	38.188491
cfa-mir-1296.MIMAT0034413	0.000000
cfa-mir-1301.MIMAT0034337	45.826189
cfa-mir-1306.MIMAT0006661	19.094245
cfa-mir-1307.MIMAT0006665	49.645038
cfa-mir-130a.MIMAT0006631	78.286406
cfa-mir-130b.MIMAT0006659	1.909425
cfa-mir-132.MIMAT0006732	22.913094
cfa-mir-133a.MIMAT0009834	49.645038
cfa-mir-133b.MIMAT0009835	0.000000
cfa-mir-133c.MIMAT0009833	49.645038
cfa-mir-134.MIMAT0009883	3.818849
cfa-mir-1343.MIMAT0034357	19.094245
cfa-mir-135a-2.MIMAT0006628	7.637698
cfa-mir-135a.MIMAT0010196	127.931444
cfa-mir-135b.MIMAT0009839	7.637698
cfa-mir-136.MIMAT0006714	0.000000
cfa-mir-137.MIMAT0006702	1.909425
cfa-mir-138a.MIMAT0006654	0.000000
cfa-mir-138b.MIMAT0006646	0.000000
cfa-mir-139.MIMAT0006645	22.913094
cfa-mir-140.MIMAT0006689	1338.506601
cfa-mir-141.MIMAT0009876	5.728274
cfa-mir-142.MIMAT0006736	1638.286253
cfa-mir-143.MIMAT0006682	34073.680874
cfa-mir-144.MIMAT0006734	290.232530
cfa-mir-145.MIMAT0009863	4196.915134
cfa-mir-1468.MIMAT0034423	3.818849
cfa-mir-146a.MIMAT0006684	6564.601560
cfa-mir-146b.MIMAT0006667	1636.376829
cfa-mir-147.MIMAT0009874	1.909425
cfa-mir-148a.MIMAT0006622	51054.193287
cfa-mir-148b.MIMAT0006663	1422.521281
cfa-mir-149.MIMAT0009884	26.731944
cfa-mir-150.MIMAT0006602	133.659718
cfa-mir-151.MIMAT0006615	515.544625
cfa-mir-152.MIMAT0006738	1468.347469
cfa-mir-153.MIMAT0009840	3.818849
cfa-mir-155.MIMAT0006671	1008.176156
cfa-mir-15a.MIMAT0006647	55.373312
cfa-mir-15b.MIMAT0006676	486.903257
cfa-mir-16.MIMAT0006648	1682.203018
cfa-mir-17.MIMAT0006649	7.637698
cfa-mir-181a.MIMAT0006707	4552.068098
cfa-mir-181b.MIMAT0006708	1256.401346
cfa-mir-181c.MIMAT0006635	13.365972
cfa-mir-181d.MIMAT0006636	120.293746
cfa-mir-182.MIMAT0009841	513.635201
cfa-mir-183.MIMAT0006621	223.402671
cfa-mir-1835.MIMAT0006596	0.000000
cfa-mir-1836.MIMAT0006618	99.290076
cfa-mir-1837.MIMAT0006630	0.000000
cfa-mir-1838.MIMAT0006644	5.728274
cfa-mir-1839.MIMAT0006677	97.380651
cfa-mir-184.MIMAT0009842	0.000000
cfa-mir-1840.MIMAT0006679	3.818849
cfa-mir-1841.MIMAT0006686	1.909425
cfa-mir-1842.MIMAT0006701	1.909425
cfa-mir-1843.MIMAT0006706	47.735613
cfa-mir-1844.MIMAT0006740	1.909425
cfa-mir-185.MIMAT0006660	855.422193
cfa-mir-186.MIMAT0006694	4456.596871
cfa-mir-187.MIMAT0009843	5.728274
cfa-mir-188.MIMAT0009880	3.818849
cfa-mir-18a.MIMAT0009832	21.003670
cfa-mir-18b.MIMAT0009831	0.000000
cfa-mir-190a.MIMAT0009872	0.000000
cfa-mir-190b.MIMAT0009873	13.365972
cfa-mir-191.MIMAT0006638	17148.541772
cfa-mir-192.MIMAT0006632	9879.362558
cfa-mir-193a.MIMAT0006735	444.895917
cfa-mir-193b.MIMAT0006699	7.637698
cfa-mir-194.MIMAT0006681	3975.421887
cfa-mir-195.MIMAT0006692	1197.209185
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	1.909425
cfa-mir-197.MIMAT0006698	89.742953
cfa-mir-199.MIMAT0006642	52394.609313
cfa-mir-19a.MIMAT0006650	24.822519
cfa-mir-19b.MIMAT0006652	154.663388
cfa-mir-200a.MIMAT0009865	82.105255
cfa-mir-200b.MIMAT0009864	64.920434
cfa-mir-200c.MIMAT0006664	463.990163
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	301.689077
cfa-mir-204.MIMAT0006598	236.768643
cfa-mir-205.MIMAT0009845	0.000000
cfa-mir-206.MIMAT0006606	0.000000
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
cfa-mir-208b.MIMAT0009869	0.000000
cfa-mir-20a.MIMAT0006651	1489.351139
cfa-mir-20b.MIMAT0009830	11.456547
cfa-mir-21.MIMAT0006741	122502.950061
cfa-mir-210.MIMAT0009846	24.822519
cfa-mir-211.MIMAT0009867	0.000000
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	5.728274
cfa-mir-214.MIMAT0009847	316.964473
cfa-mir-215.MIMAT0009848	19.094245
cfa-mir-216a.MIMAT0009849	0.000000
cfa-mir-216b.MIMAT0006592	0.000000
cfa-mir-217.MIMAT0009850	3.818849
cfa-mir-218.MIMAT0006672	517.454050
cfa-mir-219-2.MIMAT0006729	1.909425
cfa-mir-219.MIMAT0006611	0.000000
cfa-mir-22.MIMAT0006733	2363.867578
cfa-mir-221.MIMAT0006757	4267.563842
cfa-mir-222.MIMAT0009851	1957.160151
cfa-mir-223.MIMAT0009852	53.463887
cfa-mir-224.MIMAT0006744	286.413681
cfa-mir-2387.MIMAT0034370	0.000000
cfa-mir-23a.MIMAT0006640	2684.650900
cfa-mir-23b.MIMAT0006612	912.704929
cfa-mir-24.MIMAT0006614	3406.413375
cfa-mir-2483.MIMAT0034421	17.184821
cfa-mir-25.MIMAT0006697	4702.912636
cfa-mir-26a.MIMAT0006595	54032.895566
cfa-mir-26b.MIMAT0006678	14238.578777
cfa-mir-27a.MIMAT0006641	2757.209032
cfa-mir-27b.MIMAT0006613	17345.212500
cfa-mir-28.MIMAT0006675	1084.553137
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	6474.858607
cfa-mir-29b.MIMAT0006625	450.624191
cfa-mir-29c.MIMAT0006705	106.927774
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	1.909425
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	8283.083644
cfa-mir-30b.MIMAT0006617	1181.933789
cfa-mir-30c.MIMAT0006605	7374.197564
cfa-mir-30d.MIMAT0006616	14398.970438
cfa-mir-30e.MIMAT0006627	391.432030
cfa-mir-31.MIMAT0006599	368.518936
cfa-mir-32.MIMAT0006597	93.561802
cfa-mir-320.MIMAT0006658	2256.939803
cfa-mir-323.MIMAT0006718	1.909425
cfa-mir-324.MIMAT0009896	5.728274
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	3.818849
cfa-mir-328.MIMAT0006688	28.641368
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	5.728274
cfa-mir-331.MIMAT0009895	43.916764
cfa-mir-335.MIMAT0006624	5.728274
cfa-mir-338.MIMAT0006739	7.637698
cfa-mir-339-1.MIMAT0011134	471.627861
cfa-mir-33a.MIMAT0006593	1.909425
cfa-mir-33b.MIMAT0009862	0.000000
cfa-mir-340.MIMAT0009892	1264.039044
cfa-mir-342.MIMAT0006709	87.833529
cfa-mir-345.MIMAT0006710	0.000000
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	284.504256
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	11.456547
cfa-mir-350.MIMAT0006704	28.641368
cfa-mir-361.MIMAT0006751	175.667057
cfa-mir-362.MIMAT0009886	110.746623
cfa-mir-363.MIMAT0006750	139.387991
cfa-mir-365.MIMAT0001540	406.707427
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	3.818849
cfa-mir-371.MIMAT0007747	13.365972
cfa-mir-374a.MIMAT0006753	819.143127
cfa-mir-374b.MIMAT0006754	412.435700
cfa-mir-375.MIMAT0009871	431.529946
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	4321.027729
cfa-mir-379.MIMAT0006715	24.822519
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	43.916764
cfa-mir-382.MIMAT0006724	7.637698
cfa-mir-383.MIMAT0006629	17.184821
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	0.000000
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	21.003670
cfa-mir-421.MIMAT0006755	19.094245
cfa-mir-423a.MIMAT0006742	1407.245884
cfa-mir-424.MIMAT0006745	19.094245
cfa-mir-425.MIMAT0006639	364.700087
cfa-mir-429.MIMAT0001539	219.583822
cfa-mir-432.MIMAT0009904	1.909425
cfa-mir-433.MIMAT0006712	1.909425
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	1.909425
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	248.225190
cfa-mir-450b.MIMAT0006748	210.036699
cfa-mir-451.MIMAT0009870	35956.373468
cfa-mir-452.MIMAT0009900	139.387991
cfa-mir-454.MIMAT0009927	11.456547
cfa-mir-455.MIMAT0006603	927.980325
cfa-mir-483.MIMAT0009901	1.909425
cfa-mir-485.MIMAT0006725	0.000000
cfa-mir-486.MIMAT0011132	7269.179215
cfa-mir-486.MIMAT0032036	55.373312
cfa-mir-487a.MIMAT0009902	0.000000
cfa-mir-487b.MIMAT0006723	0.000000
cfa-mir-488.MIMAT0009903	1.909425
cfa-mir-489.MIMAT0009860	0.000000
cfa-mir-490.MIMAT0009875	1.909425
cfa-mir-491.MIMAT0006601	0.000000
cfa-mir-493.MIMAT0006711	5.728274
cfa-mir-494.MIMAT0009905	7.637698
cfa-mir-495.MIMAT0006721	0.000000
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	481.174983
cfa-mir-499.MIMAT0006655	368.518936
cfa-mir-500.MIMAT0006759	297.870228
cfa-mir-502.MIMAT0006761	463.990163
cfa-mir-503.MIMAT0006746	9.547123
cfa-mir-504.MIMAT0009907	24.822519
cfa-mir-505.MIMAT0009908	34.369642
cfa-mir-506.MIMAT0034422	0.000000
cfa-mir-507a.MIMAT0034432	0.000000
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
cfa-mir-514.MIMAT0009877	0.000000
cfa-mir-532.MIMAT0006758	864.969316
cfa-mir-539.MIMAT0009909	0.000000
cfa-mir-542.MIMAT0006747	49.645038
cfa-mir-543.MIMAT0006720	1.909425
cfa-mir-544.MIMAT0009910	0.000000
cfa-mir-545.MIMAT0009911	0.000000
cfa-mir-551a.MIMAT0009912	43.916764
cfa-mir-551b.MIMAT0009913	0.000000
cfa-mir-568.MIMAT0009914	0.000000
cfa-mir-574.MIMAT0006673	166.119935
cfa-mir-578.MIMAT0009915	0.000000
cfa-mir-582.MIMAT0009916	1.909425
cfa-mir-589.MIMAT0009917	0.000000
cfa-mir-590.MIMAT0006700	95.471227
cfa-mir-592.MIMAT0009918	0.000000
cfa-mir-599.MIMAT0009919	0.000000
cfa-mir-615.MIMAT0009920	1.909425
cfa-mir-628.MIMAT0009921	17.184821
cfa-mir-631.MIMAT0009922	0.000000
cfa-mir-632.MIMAT0009923	0.000000
cfa-mir-6516.MIMAT0034393	66.829859
cfa-mir-652.MIMAT0006743	101.199500
cfa-mir-6529.MIMAT0034278	1.909425
cfa-mir-653.MIMAT0009924	0.000000
cfa-mir-660.MIMAT0006760	139.387991
cfa-mir-664.MIMAT0006680	0.000000
cfa-mir-665.MIMAT0009934	0.000000
cfa-mir-671.MIMAT0009926	11.456547
cfa-mir-676.MIMAT0006762	1.909425
cfa-mir-7.MIMAT0006634	2167.196850
cfa-mir-708.MIMAT0006643	85.924104
cfa-mir-718.MIMAT0009939	0.000000
cfa-mir-7180.MIMAT0034382	3.818849
cfa-mir-758.MIMAT0009925	0.000000
cfa-mir-759.MIMAT0009938	0.000000
cfa-mir-761.MIMAT0009936	0.000000
cfa-mir-764.MIMAT0009937	0.000000
cfa-mir-769.MIMAT0034400	0.000000
cfa-mir-802.MIMAT0009928	13.365972
cfa-mir-872.MIMAT0009940	0.000000
cfa-mir-874.MIMAT0009930	36.279066
cfa-mir-875.MIMAT0009931	0.000000
cfa-mir-876.MIMAT0009932	0.000000
cfa-mir-8789.MIMAT0034279	0.000000
cfa-mir-8790.MIMAT0034280	0.000000
cfa-mir-8791a.MIMAT0034281	0.000000
cfa-mir-8791b.MIMAT0034430	0.000000
cfa-mir-8792.MIMAT0034282	0.000000
cfa-mir-8793.MIMAT0034283	0.000000
cfa-mir-8794.MIMAT0034284	0.000000
cfa-mir-8795.MIMAT0034285	0.000000
cfa-mir-8796.MIMAT0034286	0.000000
cfa-mir-8797.MIMAT0034287	0.000000
cfa-mir-8798.MIMAT0034288	0.000000
cfa-mir-8799a.MIMAT0034289	0.000000
cfa-mir-8799b.MIMAT0034316	0.000000
cfa-mir-8799c.MIMAT0034318	0.000000
cfa-mir-8799d.MIMAT0034341	0.000000
cfa-mir-8799e.MIMAT0034371	0.000000
cfa-mir-8799f.MIMAT0034372	0.000000
cfa-mir-8799g.MIMAT0034407	0.000000
cfa-mir-8800.MIMAT0034290	0.000000
cfa-mir-8801.MIMAT0034291	0.000000
cfa-mir-8802.MIMAT0034292	0.000000
cfa-mir-8803.MIMAT0034293	0.000000
cfa-mir-8804.MIMAT0034294	0.000000
cfa-mir-8805.MIMAT0034295	0.000000
cfa-mir-8806.MIMAT0034296	0.000000
cfa-mir-8807.MIMAT0034297	0.000000
cfa-mir-8808.MIMAT0034298	0.000000
cfa-mir-8809.MIMAT0034299	0.000000
cfa-mir-8810.MIMAT0034300	0.000000
cfa-mir-8811.MIMAT0034301	0.000000
cfa-mir-8812.MIMAT0034302	0.000000
cfa-mir-8813.MIMAT0034303	0.000000
cfa-mir-8814.MIMAT0034304	0.000000
cfa-mir-8815.MIMAT0034305	0.000000
cfa-mir-8816.MIMAT0034306	0.000000
cfa-mir-8817.MIMAT0034307	0.000000
cfa-mir-8818.MIMAT0034308	0.000000
cfa-mir-8819.MIMAT0034309	1.909425
cfa-mir-8820.MIMAT0034310	0.000000
cfa-mir-8821.MIMAT0034311	0.000000
cfa-mir-8822.MIMAT0034312	0.000000
cfa-mir-8823.MIMAT0034313	0.000000
cfa-mir-8824.MIMAT0034314	0.000000
cfa-mir-8825.MIMAT0034315	0.000000
cfa-mir-8826.MIMAT0034317	0.000000
cfa-mir-8827.MIMAT0034319	0.000000
cfa-mir-8828.MIMAT0034320	0.000000
cfa-mir-8829.MIMAT0034322	0.000000
cfa-mir-8830.MIMAT0034323	0.000000
cfa-mir-8831.MIMAT0034324	0.000000
cfa-mir-8832.MIMAT0034325	0.000000
cfa-mir-8833.MIMAT0034326	0.000000
cfa-mir-8834a.MIMAT0034327	0.000000
cfa-mir-8834b.MIMAT0034431	0.000000
cfa-mir-8835.MIMAT0034328	7.637698
cfa-mir-8836.MIMAT0034329	0.000000
cfa-mir-8837.MIMAT0034330	0.000000
cfa-mir-8838.MIMAT0034331	0.000000
cfa-mir-8839.MIMAT0034332	0.000000
cfa-mir-8840.MIMAT0034333	0.000000
cfa-mir-8841.MIMAT0034334	0.000000
cfa-mir-8842.MIMAT0034335	0.000000
cfa-mir-8843.MIMAT0034336	0.000000
cfa-mir-8844.MIMAT0034338	0.000000
cfa-mir-8845.MIMAT0034339	0.000000
cfa-mir-8846.MIMAT0034340	0.000000
cfa-mir-8847.MIMAT0034342	0.000000
cfa-mir-8848.MIMAT0034343	0.000000
cfa-mir-8849.MIMAT0034344	0.000000
cfa-mir-885.MIMAT0009933	57.282736
cfa-mir-8850.MIMAT0034345	0.000000
cfa-mir-8851.MIMAT0034346	0.000000
cfa-mir-8852.MIMAT0034347	0.000000
cfa-mir-8853.MIMAT0034348	0.000000
cfa-mir-8854.MIMAT0034349	0.000000
cfa-mir-8855.MIMAT0034350	0.000000
cfa-mir-8856.MIMAT0034351	0.000000
cfa-mir-8857.MIMAT0034352	0.000000
cfa-mir-8858.MIMAT0034353	5.728274
cfa-mir-8859a.MIMAT0034354	368.518936
cfa-mir-8859b.MIMAT0034358	28.641368
cfa-mir-8860.MIMAT0034355	0.000000
cfa-mir-8861.MIMAT0034356	0.000000
cfa-mir-8862.MIMAT0034359	0.000000
cfa-mir-8863.MIMAT0034360	0.000000
cfa-mir-8864.MIMAT0034361	0.000000
cfa-mir-8865.MIMAT0034362	0.000000
cfa-mir-8866.MIMAT0034363	0.000000
cfa-mir-8867.MIMAT0034364	0.000000
cfa-mir-8868.MIMAT0034365	0.000000
cfa-mir-8869.MIMAT0034366	0.000000
cfa-mir-8870.MIMAT0034367	0.000000
cfa-mir-8871.MIMAT0034368	0.000000
cfa-mir-8872.MIMAT0034369	0.000000
cfa-mir-8873a.MIMAT0034373	0.000000
cfa-mir-8873b.MIMAT0034395	0.000000
cfa-mir-8874.MIMAT0034374	0.000000
cfa-mir-8875.MIMAT0034375	0.000000
cfa-mir-8876.MIMAT0034376	0.000000
cfa-mir-8877.MIMAT0034377	0.000000
cfa-mir-8878.MIMAT0034378	0.000000
cfa-mir-8879.MIMAT0034379	0.000000
cfa-mir-8880.MIMAT0034380	0.000000
cfa-mir-8881.MIMAT0034381	0.000000
cfa-mir-8882.MIMAT0034384	0.000000
cfa-mir-8883.MIMAT0034385	0.000000
cfa-mir-8884.MIMAT0034386	28.641368
cfa-mir-8885.MIMAT0034389	0.000000
cfa-mir-8886.MIMAT0034390	0.000000
cfa-mir-8887.MIMAT0034391	0.000000
cfa-mir-8888.MIMAT0034392	0.000000
cfa-mir-8889.MIMAT0034394	0.000000
cfa-mir-889.MIMAT0034387	17.184821
cfa-mir-8890.MIMAT0034397	0.000000
cfa-mir-8891.MIMAT0034398	1.909425
cfa-mir-8892.MIMAT0034399	0.000000
cfa-mir-8893.MIMAT0034401	0.000000
cfa-mir-8894.MIMAT0034402	0.000000
cfa-mir-8895.MIMAT0034403	0.000000
cfa-mir-8896.MIMAT0034404	0.000000
cfa-mir-8897.MIMAT0034405	0.000000
cfa-mir-8898.MIMAT0034408	0.000000
cfa-mir-8899.MIMAT0034409	0.000000
cfa-mir-8900.MIMAT0034410	0.000000
cfa-mir-8901.MIMAT0034411	0.000000
cfa-mir-8902.MIMAT0034412	0.000000
cfa-mir-8903.MIMAT0034414	1.909425
cfa-mir-8904a.MIMAT0034417	0.000000
cfa-mir-8904b.MIMAT0034424	0.000000
cfa-mir-8905.MIMAT0034436	0.000000
cfa-mir-8906.MIMAT0034434	0.000000
cfa-mir-8907.MIMAT0034435	0.000000
cfa-mir-8908a.MIMAT0034428	7.637698
cfa-mir-8908a.MIMAT0034429	0.000000
cfa-mir-8908b.MIMAT0034415	1.909425
cfa-mir-8908c.MIMAT0034433	0.000000
cfa-mir-8908d.MIMAT0034420	0.000000
cfa-mir-8908e.MIMAT0034426	0.000000
cfa-mir-8908f.MIMAT0034418	0.000000
cfa-mir-9.MIMAT0006674	26.731944
cfa-mir-92a.MIMAT0006653	3288.029054
cfa-mir-92b.MIMAT0006703	9.547123
cfa-mir-93.MIMAT0006696	1789.130792
cfa-mir-95.MIMAT0009878	240.587492
cfa-mir-96.MIMAT0009861	26.731944
cfa-mir-98.MIMAT0006756	1445.434375
cfa-mir-99a.MIMAT0006668	48982.467664
cfa-mir-99b.MIMAT0006607	2761.027881
