Gene	13MF
cfa-let-7a.MIMAT0006594	14.842468
cfa-let-7b.MIMAT0009836	13.939815
cfa-let-7c.MIMAT0006669	12.199924
cfa-let-7d.MIMAT0034396	7.576994
cfa-let-7e.MIMAT0006608	11.357304
cfa-let-7f.MIMAT0006610	14.660633
cfa-let-7g.MIMAT0006637	15.533109
cfa-let-7j.MIMAT0006763	0.000000
cfa-mir-1.MIMAT0006656	8.456700
cfa-mir-101.MIMAT0006600	11.303825
cfa-mir-103.MIMAT0006687	11.995184
cfa-mir-105a.MIMAT0009879	1.933138
cfa-mir-105b.MIMAT0010198	0.000000
cfa-mir-106a.MIMAT0006749	4.392570
cfa-mir-106b.MIMAT0006695	6.977532
cfa-mir-107.MIMAT0006666	8.734038
cfa-mir-10a.MIMAT0006737	13.607330
cfa-mir-10b.MIMAT0009837	11.992482
cfa-mir-1185.MIMAT0034383	0.000000
cfa-mir-1199.MIMAT0031123	0.000000
cfa-mir-1199.MIMAT0031124	0.000000
cfa-mir-122.MIMAT0006619	17.769805
cfa-mir-124.MIMAT0006657	0.000000
cfa-mir-1249.MIMAT0034321	3.933138
cfa-mir-125a.MIMAT0006609	13.324919
cfa-mir-125b.MIMAT0006670	13.208680
cfa-mir-126.MIMAT0006730	8.972057
cfa-mir-127.MIMAT0006713	5.392570
cfa-mir-1271.MIMAT0006685	7.753317
cfa-mir-128.MIMAT0006633	10.933138
cfa-mir-129.MIMAT0006623	5.255066
cfa-mir-1296.MIMAT0034413	0.000000
cfa-mir-1301.MIMAT0034337	5.518100
cfa-mir-1306.MIMAT0006661	4.255066
cfa-mir-1307.MIMAT0006665	5.633578
cfa-mir-130a.MIMAT0006631	6.290690
cfa-mir-130b.MIMAT0006659	0.933138
cfa-mir-132.MIMAT0006732	4.518100
cfa-mir-133a.MIMAT0009834	5.633578
cfa-mir-133b.MIMAT0009835	0.000000
cfa-mir-133c.MIMAT0009833	5.633578
cfa-mir-134.MIMAT0009883	1.933138
cfa-mir-1343.MIMAT0034357	4.255066
cfa-mir-135a-2.MIMAT0006628	2.933138
cfa-mir-135a.MIMAT0010196	6.999227
cfa-mir-135b.MIMAT0009839	2.933138
cfa-mir-136.MIMAT0006714	0.000000
cfa-mir-137.MIMAT0006702	0.933138
