, 7633
MT-CO2, 5088
ALB, 4106
TF, 2150
COX1, 2135
APOB, 1573
C3, 1474
FN1, 1245
MT-ND3, 1011
MT-ATP8, 948
FGA, 778
FGG, 732
ND2, 685
COX3, 640
FGB, 603
CPS1, 587
ATP6, 559
RBP4, 543
LRP1, 485
CLU, 416
CYP2E1, 385
MT-ND4, 370
APOA1, 361
FTH1, 337
ALDOB, 309
APOH, 294
BHMT, 274
HPD, 263
C5, 245
P4HB, 242
PSAP, 233
HSP90AA1, 232
RPL9, 227
MYH9, 224
C1S, 221
CYTB, 220
ADH4, 216
MT-ND1, 199
B2M, 195
APOE, 194
CESdD1, 193
CTSS, 187
PLG, 186
GC, 183
ND5, 182
SERPINA1, 176
HSP90B1, 158
VTN, 155
DYNC1H1, 153
ACSL4, 151
PROS1, 151
CALR, 145
HPX, 143
ITIH2, 138
AHSG, 135
EEF2, 133
AHNAK, 132
ASS1, 131
TTR, 130
HSPA5, 129
SERPING1, 128
APOA2, 126
CD74, 125
SERPINC1, 122
ALAS1, 122
F5, 121
RELN, 120
ACSL1, 120
MT-ND6, 117
ARG1, 115
CP, 113
F2, 111
A2M, 111
TPT1, 107
ITIH1, 106
POSTN, 105
CLTC, 105
MACF1, 101
RGN, 98
CTSB, 98
FTL, 97
EHHADH, 96
ABCB4, 92
CCL16, 92
DST, 92
FAT1, 90
DLA DRA, 87
ACTB, 86
RNASE4, 86
FDX1, 85
PDIA4, 84
EPHX1, 84
PAH, 84
SRRM2, 83
ITM2B, 82
LAMP2, 82
SCP2, 81
UGDH, 80
GLDC, 80
ATP1A1, 80
C1R, 80
PON1, 79
RNF213, 79
DPYS, 77
ACTG1, 77
CANX, 77
CYP3A26, 77
SERPINF1, 76
AMBP, 75
VPS13D, 74
SPTBN1, 72
COL1A2, 72
COL3A1, 72
IQGAP2, 71
ABCA1, 71
RPL8, 69
FMO5, 69
CSAD, 68
ALDH3A2, 68
CD163, 68
HADHA, 68
TAS1R2, 68
EIF3A, 67
PRPF8, 67
ACACA, 67
HERC2, 67
BHMT2, 67
PCK2, 67
NDRG2, 67
HSP90AB1, 66
SLC7A2, 66
PLEC, 66
A1BG, 65
EPRS, 64
UBR4, 64
THBS1, 64
MTHFD1, 63
SYNE2, 63
ACADM, 63
VIM, 62
MAN2A1, 62
PIGR, 61
CYP3A12, 60
UHMK1, 60
AMACR, 60
IL6ST, 59
MYLK, 58
NCL, 58
CAT, 58
HDLBP, 57
C6, 57
FASN, 57
HLA-DRB1, 57
LGALS3BP, 56
CFI, 54
STAB2, 53
FETUB, 52
COL6A3, 52
ATP13A3, 51
ASAH1, 50
ATP5A1, 50
SLC27A2, 49
CALD1, 49
HERC1, 48
ACAA2, 48
C4BPA, 48
CDO1, 48
IREB2, 48
PYGL, 47
UGT2B31, 47
CSDE1, 47
DPYD, 46
LRPPRC, 46
QSOX1, 46
MAT1A, 46
FH, 46
COL6A5, 45
SERPIND1, 45
CI-MPR, 45
SLC38A4, 45
SLC40A1, 44
TFRC, 44
C8B, 44
COL18A1, 44
USP24, 44
UBR5, 43
CTNNB1, 43
NID1, 43
COL12A1, 42
HSD17B4, 42
ABCB11, 42
RRBP1, 42
APP, 41
RDX, 41
FBLN1, 41
ARHGEF12, 40
SERPINA5, 40
SERINC1, 40
ACLY, 40
MPEG1, 40
GOT1, 40
VCAM1, 39
GGCX, 39
CYP4A39, 39
USP34, 38
STARD10, 38
SLC25A13, 38
SLC6A6, 38
SPP1, 38
HUWE1, 37
ACAA1, 37
EIF4B, 37
DNAJC3, 37
IL1R1, 37
HRG, 37
ALDH7A1, 37
AGL, 37
FLNA, 37
SAMD9L, 36
CUL4A, 36
GCLC, 36
RPS7, 36
MEGF6, 36
PIK3R1, 36
DHCR24, 36
PHF3, 36
TTPA, 35
ND4L, 35
RPN2, 35
C7, 35
SLC15A1, 35
CPB2, 34
CD5L, 34
MDH1, 34
SULT1A1, 34
CTH, 34
RPL19, 34
TLN1, 34
UGT1A6, 34
ANKRD50, 34
CYP4V2, 34
RXRA, 34
COMT, 34
RPS9, 34
DSP, 33
MTTP, 33
PRDX1, 33
SSR1, 33
ACOX2, 33
NNT, 33
NOTCH2, 33
ITGAV, 33
SF3B1, 33
MGST1, 33
F10, 33
TMEM59, 33
ACTN4, 33
GPNMB, 33
MYCBP2, 33
ADGRL2, 32
MAN1A1, 32
AKAP11, 32
MCFD2, 32
EIF5B, 32
MGAM, 32
SERPINA3, 32
HSPG2, 32
SLC6A1, 32
PPIG, 32
MRC1, 32
ATP11C, 32
CERS2, 32
CYP2A7, 32
CTNND1, 32
GNE, 32
LUM, 31
CYP27A1, 31
APLP2, 31
CYP2C18, 31
CTSK, 31
CMBL, 31
HECTD1, 31
TPM3, 31
SPARCL1, 31
RACK1, 31
FBLN5, 31
CFHR5, 31
PARP14, 31
HSPA9, 31
ST13, 31
NCOA4, 31
SEC14L4, 31
F9, 31
FMO3, 30
GOLGA4, 30
CGNL1, 30
SPTAN1, 30
CYP2A13, 30
ERAP1, 30
KPNB1, 30
LMAN1, 30
MARCH6, 30
SPEN, 30
GABARAP, 30
TAT, 30
FDFT1, 30
AKR1A1, 30
SLTM, 29
MIA3, 29
LAMB1, 29
ANGPTL3, 29
AMFR, 29
CTSD, 29
PABPC1, 29
ACTR2, 29
PTPRF, 29
ADAM23, 29
KIAA1109, 29
COPA, 29
SORL1, 29
FMO1, 29
EIF4G1, 29
HMGCR, 29
HNRNPU, 28
VCP, 28
MOGAT3, 28
CDH1, 28
LARP1, 28
DLA-DQA1, 28
LDLR, 28
CXCL12, 28
PCNX1, 28
CTSZ, 28
AZGP1, 28
AKR1E2, 28
CYP51A1, 27
PLXNB2, 27
C9, 27
GANAB, 27
LPIN2, 27
RAPGEF2, 27
SOD1, 27
PEBP1, 27
DDB1, 27
PON3, 27
GDI2, 27
EDNRA, 27
ZZZ3, 27
GNAS, 27
GBE1, 26
AKAP9, 26
CYP8B1, 26
TXNIP, 26
RPL10A, 26
POR, 26
TRIP12, 26
ERRFI1, 26
HERC6, 26
F13B, 26
LGALS2, 26
ITGA9, 26
PRKCA, 26
GLG1, 26
BZW1, 26
SERPINA11, 26
PARK7, 26
CSF1R, 26
HGD, 26
IGHM, 25
MSR1, 25
CNDP2, 25
MARCO, 25
IL1RAP, 25
PPIB, 25
TAX1BP1, 25
SMG1, 25
FBXL5, 25
ETNK1, 25
KIF13B, 25
NUMA1, 25
BGN, 25
WAPL, 25
PCK1, 25
VPS13C, 25
SERBP1, 25
SUCLG2, 25
KDM5B, 25
OTC, 25
RPL5, 25
WLS, 25
HABP2, 25
SEPT2, 24
ECE1, 24
CLPX, 24
MET, 24
ACSS1, 24
JAK1, 24
GNS, 24
CNBP, 24
SCAF11, 24
SPARC, 24
EDEM1, 24
ABCA8, 24
GPLD1, 24
ELOVL6, 24
BRWD1, 24
VDAC2, 24
KIAA0368, 24
TRIM28, 23
SARDH, 23
SLC6A11, 23
TBL1Y, 23
CD63, 23
TNS1, 23
LAMC1, 23
COL5A2, 23
SLC25A41, 23
EPAS1, 23
PLK2, 23
BIRC6, 23
DOCK1, 23
MYO5B, 23
LRP5, 23
A1CF, 23
DDOST, 23
FGL1, 23
LRP6, 23
PCSK6, 23
ABCA9, 23
NCKAP1, 23
AP1B1, 23
PHB2, 23
PTPRS, 23
CYP7B1, 23
ATP2A2, 23
SHMT1, 23
SMARCA5, 22
MYH14, 22
COX4I1, 22
IDH2, 22
AKAP12, 22
PGAM4, 22
STT3B, 22
TMEM30A, 22
TKT, 22
UROC1, 22
LONP2, 22
IDH1, 22
ACO2, 22
CUL3, 22
ASCC3, 22
TUBB, 22
TMBIM6, 22
CTNNA1, 22
HMGCS2, 22
ITPR2, 22
ERBB2, 22
BSG, 22
PPM1B, 22
ICAM1, 22
WNK1, 21
SVIL, 21
