, 2335379
RACK1, 820328
RPS12, 450135
NOP56, 358748
EIF4A2, 206562
P2RY11, 171276
RPL3, 167177
TNPO2, 149003
GNL3, 135805
WDR43, 134111
NCL, 98718
EIF4G1, 70600
UBAP2, 54149
RPL7A, 45199
RABGGTB, 36601
RPL13A, 36587
RPL5, 34259
AP1G1, 25452
RPS8, 21923
SF3B3, 14501
SPCS1, 14203
PRRC2B, 13318
HSPA9, 12192
PUM1, 9573
NOP58, 7939
HUWE1, 5784
CCAR1, 5423
TEX14, 4843
RAPGEF5, 4428
AP1B1, 3177
CEP295, 3076
DDX39B, 3023
SNX5, 2149
PRPF39, 1684
EEF2, 1656
MED24, 1471
RPS3, 1033
PHB2, 712
RPL32, 658
TIPIN, 576
ADAMTSL1, 507
MYO16, 454
TRRAP, 353
KANSL2, 349
PTCD3, 331
KPNA4, 324
RANBP1, 318
IKBKG, 245
CLU, 233
CHD4, 203
NCAPD2, 182
ANO10, 181
GTF2A1, 170
MAP2K4, 160
KIAA0907, 147
CNOT1, 130
SLC25A16, 118
PRKCA, 111
MAML2, 109
TCP1, 101
EIF4G2, 99
RPL12, 91
CGN, 90
EP400, 86
FGG, 80
ANK1, 77
RPL23, 75
SPIRE1, 74
SLC38A4, 74
RPSA, 71
ZNF398, 66
ATG16L1, 61
TMEM167A, 61
APOA1, 60
TPT1, 59
C16orf72, 58
EXT1, 58
ACTN1, 57
CPS1, 56
CKAP5, 56
CYP3A26, 54
EXOC4, 53
ZNF280C, 51
NOP53, 51
IGF2, 50
PABPC4, 50
FMNL2, 50
ITGA9, 49
MAGI3, 49
CALR, 49
DPYD, 45
CUX2, 44
OVOL2, 43
INPP4B, 43
CYP7B1, 42
CNTNAP5, 42
FZD4, 41
DIAPH2, 41
MESDC2, 40
SNX30, 40
DOCK2, 39
SLC9A9, 39
FGA, 39
NFIA, 38
ZBTB16, 38
MAML1, 37
VPS13D, 37
LRCH1, 35
ADAM23, 35
SND1, 35
UGT1A6, 35
DST, 34
NRF1, 34
TTC28, 33
VTI1A, 33
HIPK2, 33
HAUS6, 33
CTNND1, 32
TAS1R2, 32
MBNL1, 32
PTPRM, 32
MAN1C1, 31
NDST1, 31
GNB2, 31
ZFAND3, 31
UGT2B31, 31
CAMK2D, 30
CCBE1, 30
LAMP2, 30
ALCAM, 30
SH3PXD2B, 30
TF, 30
BCL2, 29
ADK, 29
G3BP1, 29
C4orf45, 29
QKI, 29
PEBP1, 28
FARP1, 28
ETV6, 28
TCF7L2, 28
BCAS2, 28
PER1, 28
MMP14, 28
AGAP1, 27
FAM208B, 27
ADRA1A, 27
AKAP13, 27
ZNF407, 27
NOTCH2, 27
DYNC1LI1, 27
CSTF3, 27
PPP1R8, 27
PAH, 26
MTSS1, 26
PLEKHA5, 26
LDB2, 25
FNDC3B, 25
CHD3, 25
EIF4A1, 25
ACACA, 25
DOCK1, 25
ARID1B, 25
MAPK6, 25
RNLS, 25
SAMD4A, 24
ZER1, 24
NDUFV3, 24
KLF9, 24
KIF16B, 24
PTPRK, 24
CDK19, 24
PPM1H, 23
CBLB, 23
ALAS1, 22
TEF, 22
ADAM33, 22
UBAP2L, 22
KIAA1217, 22
PTPRC, 22
IPO7, 22
FNIP1, 22
CDKAL1, 22
NFYC, 22
FSD1L, 22
PBX1, 22
PGS1, 21
BRD4, 21
VPS13B, 21
BABAM2, 21
TPK1, 21
CHD8, 21
COBLL1, 21
FOXO3, 21
C3, 21
IQGAP2, 21
CYP27A1, 21
ARHGAP24, 20
RBMS1, 20
EIF5, 20
LARP4, 20
RPS11, 20
MACF1, 20
GALNT13, 20
WDFY1, 20
EP300, 20
CYP2B6, 20
DPYS, 20
GPR39, 20
AP3B2, 20
MGLL, 20
CD44, 19
LPGAT1, 19
ACSL1, 19
TGFBR3, 19
SLC41A2, 19
SBF2, 19
CPXM2, 19
SPIDR, 19
GGCX, 19
PRKCE, 19
FBXW2, 19
COPS7A, 19
ABCA1, 19
DYNC1H1, 19
GUCY1A2, 19
NRP1, 19
ARHGAP31, 19
MYO9A, 19
UBE3C, 19
CDH2, 19
PID1, 19
LRBA, 19
ERC1, 18
RUNX1, 18
GPHN, 18
RNF213, 18
PARD3, 18
POMT2, 18
MARCH6, 18
PRRC2A, 18
KDM6A, 18
TTC7B, 18
ARHGAP26, 18
ASS1, 18
C4BPA, 18
RBPMS, 18
TMED7-TICAM2, 18
EIF3A, 18
