taglen,crossmapped,stemloop,rRNA,rmsk_Simple_repeat,No_CDS,p3_UTR,p5_UTR,SINE,LINE,tRNA,scRNA,precursor,snoRNA,srpRNA,snRNA,rmsk_Unknown,rmsk_RNA,LTR,Coding_Exon,mature,unannotated,rmsk_DNA,rmsk_Low_complexity,Unknown,Intron,rmsk_Other,Satellite,star
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85646848574007e-06,2.85646848574007e-06,0,0,0
13,0,0,0,0,0,5.71293697148013e-06,2.85646848574007e-06,0,0,0,0,0,0,0,0,0,0,0,1.14258739429603e-05,0,0,0,0,0.00110545330398141,8.85505230579421e-05,0,0,0
14,0,0,0,0,0,2.28517478859205e-05,8.5694054572202e-06,0,0,0,0,0,0,0,0,0,0,0,5.99858382005414e-05,0,0,0,0,0.0041275969618944,0.000397049119517869,0,0,0
15,0,0,0,0,0,3.14211533431407e-05,2.57082163716606e-05,0,0,0,0,0,0,0,0,0,0,0,0.000179957514601624,5.71293697148013e-06,0,0,0,0.00485313995727237,0.000314211533431407,0,0,0
16,0,8.5694054572202e-06,0,0,0,4.2847027286101e-05,5.14164327433212e-05,0,0,0,0,0,0,0,0,0,0,0,0.000311355064945667,0.000142823424287003,2.57082163716606e-05,0,0,0.00544442893382057,0.000517020795918952,0,0,0
17,0,0,0,0,0,9.14069915436821e-05,8.5694054572202e-05,0,0,0,0,0,0,0,0,0,0,0,0.000491312579547291,0.000825519392378879,1.99952794001805e-05,0,0,0.00994336679886117,0.000674126562634656,0,0,0
18,0,0,0,0,0,0.000148536361258483,0.000105689333972382,0,0,0,0,0,0,0,0,0,0,0,0.000779815896607038,0.00196810678667491,0.000282790380088267,0,0,0.0226432256864615,0.00199667147153231,0,0,0
19,0,2.85646848574007e-06,0,0,0,0.000191383388544584,0.000105689333972382,0,0,0,0,0,0,0,0,0,0,0,0.00087979229360794,0.00421900395343808,0.000636992472320035,0,0,0.0164903925681774,0.001868130389674,0,0,0
20,8.5694054572202e-06,2.85646848574007e-06,0,0,0,0.000228517478859205,0.000117115207915343,0,0,0,0,0,0,0,0,0,0,0,0.00120542970098231,0.0315811155783422,0.0027593485572249,0,0,0.013736756947924,0.00115115679975325,0,0,0
21,6.85552436577616e-05,2.85646848574007e-06,0,0,0,0.000314211533431407,0.000105689333972382,0,0,0,0,0,0,0,0,0,0,0,0.00141966483741281,0.346698149519729,0.0162390233414323,0,0,0.0132540137738339,0.00377625133814837,0,0,0
22,0,4.85599642575811e-05,0,0,0,0.00041133146194657,0.000154249298229964,0,0,0,0,0,0,0,0,0,0,0,0.00148536361258483,1.04641866978662,0.00755821561326822,0,0,0.0205065872591279,0.0121599863437955,0,0,0
23,0,8.5694054572202e-06,0,0,0,0.000479886705604331,0.000154249298229964,0,0,0,0,0,0,0,0,0,0,0,0.00191954682241732,0.186827321309829,0.00392478769940685,0,0,0.0139709873637547,0.00481600586695775,0,0,0
24,0,5.71293697148013e-06,0,0,0,0.00041990086740379,0.000171388109144404,0,0,0,0,0,0,0,0,0,0,0,0.00184242217330234,0.0143251894559864,0.000936921663322742,0,0,0.0110373942288996,0.00303356953185595,0,0,0
25,0,0,0,0,0,0.00040847499346083,0.000154249298229964,0,0,0,0,0,0,0,0,0,0,0,0.00206237024670433,0.00192240329090306,0.000168531640658664,0,0,0.0144765822857307,0.00325923054222942,0,0,0
26,0,0,0,0,0,0.00237086884316426,0.000122828144886823,0,0,0,0,2.85646848574007e-06,0,0,0,0,0,0,0.002516548735937,8.85505230579421e-05,0.000148536361258483,0,0,0.0238457989189581,0.00202523615638971,0,0,0
27,0,0,0,0,0,0.000505594921975992,0.000199952794001805,0,0,0,0,0,0,0,0,0,0,0,0.0024594193662222,2.85646848574007e-05,2.85646848574007e-05,0,0,0.0968885545678173,0.00395049591577851,0,0,0
28,0,0,0,0,0,0.00114258739429603,0.000231373947344945,0,0,0,0,0,0,0,0,0,0,0,0.00223090188736299,1.71388109144404e-05,1.14258739429603e-05,0,0,0.0670413153603194,0.00485028348878663,0,0,0
29,0,0,0,0,0,0.00939778131808482,0.000177101046115884,0,0,0,0,0,0,0,0,0,0,0,0.00252797460987996,5.71293697148013e-06,2.57082163716606e-05,0,0,0.0483314467787219,0.0068012514645471,0,0,0
30,0,0,0,0,0,0.00235658650073555,0.000168531640658664,0,0,0,0,0,0,0,0,0,0,0,0.00231659594193519,0,2.28517478859205e-05,0,0,0.0511793458590048,0.00492169520093013,0,0,0
31,0,0,0,0,0,0.0117343725394202,0.000154249298229964,0,0,0,0,0,0,0,0,0,0,0,0.00224518422979169,1.71388109144404e-05,1.99952794001805e-05,0,0,0.0477830048294598,0.00676126090574674,0,0,0
32,0,0,0,0,0,0.00325923054222942,0.000368484434660469,0,0,0,0,0,0,0,0,0,0,0,0.00222518895039151,8.5694054572202e-06,0,0,0,0.142006474300082,0.00334492459680162,0,0,0
33,0,0,0,0,0,0.0220605061153705,0.000219948073401985,0,0,0,0,0,0,0,0,0,0,0,0.00213949489581931,5.71293697148013e-06,1.99952794001805e-05,0,0,0.168711598173266,0.0301443119300149,0,0,0
34,0,0,0,0,0,0.00690408433003374,0.000374197371631949,0,0,0,0,2.85646848574007e-06,0,0,0,0,0,0,0.00305642127974187,5.71293697148013e-06,8.5694054572202e-06,0,0,0.206488393897178,0.0459405826561575,0,0,0
35,0,2.85646848574007e-06,0,0,0,0.00278220030511082,0.000265651569173826,0,0,0,0,0,0,0,0,0,0,0,0.00207665258913303,1.42823424287003e-05,1.14258739429603e-05,0,0,0.0248055723301667,0.0138652980297823,0,0,0
36,0,1.71388109144404e-05,0,0,0,0.00161390469444314,0.000162818703687184,0,0,0,0,0,0,0,0,0,0,0,0.00237658178013574,1.14258739429603e-05,0,0,0,0.0551869711444981,0.00324209173131498,0,0,0
37,0,1.42823424287003e-05,0,0,0,0.000497025516518772,0.000131397550344043,0,0,0,0,0,0,0,0,0,0,0,0.00233659122133537,2.57082163716606e-05,0,0,0,0.0275534950134487,0.00428755919709584,0,0,0
38,0,8.5694054572202e-06,0,0,0,0.00041704439891805,0.000134254018829783,0,0,0,0,0,0,0,0,0,0,0,0.00225375363524891,1.71388109144404e-05,0,0,0,0.0264566111149245,0.00403904643883645,0,0,0
39,0,0,0,0,0,0.00086550995117924,0.000114258739429603,0,0,0,0,0,0,0,0,0,0,0,0.00251940520442274,3.71340903146209e-05,0,0,0,0.0312126311436817,0.0116800996381911,0,0,0
40,0,0,0,0,0,0.000776959428121298,0.000117115207915343,0,0,0,0,0,0,0,0,0,0,0,0.00280219558451101,8.5694054572202e-06,0,0,0,0.0640334540448351,0.0136767711097234,0,0,0
41,0,0,0,0,0,0.000557011354719313,8.85505230579421e-05,0,0,0,0,0,0,0,0,0,0,0,0.00259367338505198,1.42823424287003e-05,0,0,0,0.0660215561109102,0.0121656992807669,0,0,0
42,0,0,0,0,0,0.000542729012290613,0.000159962235201444,0,0,0,0,0,0,0,0,0,0,0,0.00274220974631046,1.42823424287003e-05,8.5694054572202e-06,0,0,0.0901872795002711,0.00857226192570594,0,0,0
43,0,8.5694054572202e-06,0,0,0,0.000539872543804873,9.14069915436821e-05,0,0,0,0,0,0,0,0,0,0,0,0.00317068001917147,0,0,0,0,0.0530903232759649,0.0117200901969915,0,0,0
44,0,0,0,0,0,0.000668413625663176,0.000139966955801263,0,0,0,0,0,0,0,0,0,0,0,0.00319353176705739,1.14258739429603e-05,0,0,0,0.18090586213889,0.00466461303721353,0,0,0
45,0,0,0,0,0,0.000562724291690793,0.000148536361258483,0,0,0,0,0,0,0,0,0,0,0,0.00408474993460829,0.000185670451573104,0,0,0,0.259301639730026,0.0154392121654251,0,0,0
46,0,0,0,0,0,0.00121114263795379,0.000308498596459927,0,0,0,0,2.85646848574007e-06,0,0,0,0,0,0,0.00706404656523518,1.99952794001805e-05,0,0,0,0.259841512273831,0.0332178720206712,0,0,0
47,0,0,0,0,0,0.00282790380088267,0.00085694054572202,0,0,0,0,5.71293697148013e-06,0,0,0,0,0,0,0.0187984191046554,1.42823424287003e-05,2.85646848574007e-06,0,0,4.41886819691682,2.96343466112557,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0.0312212005491389,0.00676411737423248,0,0,0,0,1.14258739429603e-05,0,0,0,0,0,0,0.155783221806806,0.000228517478859205,3.42776218288808e-05,0,0,75.7240940517386,12.4364125120975,0,0,0
