miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	2753	4711.943313	N
cfa-let-7a-2	2668	4566.460138	N
cfa-let-7b	3234	5535.206928	N
cfa-let-7c	1054	1803.991374	N
cfa-let-7d	240	410.776024	N
cfa-let-7e	308	527.162565	N
cfa-let-7f	4629	7922.842570	N
cfa-let-7g	2516	4306.301989	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	18	30.808202	N
cfa-mir-1-2	12	20.538801	N
cfa-mir-101-1	217	371.409989	N
cfa-mir-101-2	273	467.257728	N
cfa-mir-103-1	36	61.616404	Y
cfa-mir-103-2	51	87.289905	Y
cfa-mir-105a	2	3.423134	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	0	0.000000	N
cfa-mir-106b	77	131.790641	N
cfa-mir-107	26	44.500736	Y
cfa-mir-10a	6932	11864.580837	N
cfa-mir-10b	662	1133.057201	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	243740	417177.284086	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	3	5.134700	N
cfa-mir-125a	1091	1867.319344	N
cfa-mir-125b-1	268	458.699894	N
cfa-mir-125b-2	310	530.585698	N
cfa-mir-126	2052	3512.135008	N
cfa-mir-127	2	3.423134	N
cfa-mir-1271	19	32.519769	N
cfa-mir-128-1	297	508.335330	N
cfa-mir-128-2	130	222.503680	N
cfa-mir-129-1	6	10.269401	N
cfa-mir-129-2	3	5.134700	N
cfa-mir-1296	0	0.000000	N
cfa-mir-1301	10	17.115668	N
cfa-mir-1306	3	5.134700	N
cfa-mir-1307	87	148.906309	N
cfa-mir-130a	6	10.269401	N
cfa-mir-130b	10	17.115668	N
cfa-mir-132	4	6.846267	N
cfa-mir-133a	0	0.000000	N
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	0	0.000000	N
cfa-mir-134	1	1.711567	N
cfa-mir-1343	11	18.827234	N
cfa-mir-135a-1	6	10.269401	N
cfa-mir-135a-2	3	5.134700	N
cfa-mir-135b	0	0.000000	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	190	325.197686	N
cfa-mir-140	106	181.426077	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	42	71.885804	N
cfa-mir-143	6765	11578.749187	N
cfa-mir-144	4	6.846267	N
cfa-mir-145	161	275.562250	N
cfa-mir-1468	12	20.538801	N
cfa-mir-146a	349	597.336802	N
cfa-mir-146b	118	201.964879	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	247531	423665.833704	N
cfa-mir-148b	189	323.486119	N
cfa-mir-149	0	0.000000	N
cfa-mir-150	54	92.424605	N
cfa-mir-151	5475	9370.828056	N
cfa-mir-152	46	78.732071	N
cfa-mir-153	0	0.000000	N
cfa-mir-155	216	369.698422	N
cfa-mir-15a	3	5.134700	N
cfa-mir-15b	9	15.404101	N
cfa-mir-16-1	16	27.385068	N
cfa-mir-16-2	23	39.366036	N
cfa-mir-17	2	3.423134	N
cfa-mir-181a-1	924	1581.487694	N
cfa-mir-181a-2	974	1667.066032	N
cfa-mir-181b-1	68	116.386540	N
cfa-mir-181b-2	85	145.483175	N
cfa-mir-181c	3	5.134700	N
cfa-mir-181d	7	11.980967	N
cfa-mir-182	62	106.117140	N
cfa-mir-183	39	66.751104	N
cfa-mir-1835	0	0.000000	N
cfa-mir-1836	44	75.308938	N
cfa-mir-1837-1	0	0.000000	N
cfa-mir-1837-2	0	0.000000	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	7	11.980967	N
cfa-mir-1839	7	11.980967	N
cfa-mir-184	1	1.711567	N
cfa-mir-1840	2	3.423134	N
cfa-mir-1841	1	1.711567	N
cfa-mir-1842	0	0.000000	N
cfa-mir-1843	8	13.692534	N
cfa-mir-1844	8	13.692534	N
cfa-mir-185	34	58.193270	N
cfa-mir-186	106	181.426077	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	0	0.000000	N
cfa-mir-18a	0	0.000000	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	0	0.000000	N
cfa-mir-190b	0	0.000000	N
cfa-mir-191	568	972.169924	N
cfa-mir-192	4322	7397.391572	N
cfa-mir-193a	58	99.270873	N
cfa-mir-193b	60	102.694006	N
cfa-mir-194	357	611.029336	N
cfa-mir-195	97	166.021977	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	0	0.000000	N
cfa-mir-197	57	97.559306	N
cfa-mir-199-1	295	504.912197	N
cfa-mir-199-2	322	551.124499	N
cfa-mir-199-3	197	337.178653	N
cfa-mir-19a	0	0.000000	N
cfa-mir-19b-1	0	0.000000	N
cfa-mir-19b-2	0	0.000000	N
cfa-mir-200a	76	130.079074	N
cfa-mir-200b	106	181.426077	N
cfa-mir-200c	15	25.673502	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	13	22.250368	N
cfa-mir-204	107	183.137644	N
cfa-mir-205	1	1.711567	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	7	11.980967	N
cfa-mir-20b	0	0.000000	N
cfa-mir-21	6284	10755.485571	N
cfa-mir-210	0	0.000000	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	2	3.423134	N
cfa-mir-214	44	75.308938	N
cfa-mir-215	6	10.269401	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	7	11.980967	N
cfa-mir-218-2	7	11.980967	N
cfa-mir-219-1	2	3.423134	N
cfa-mir-219-2	0	0.000000	N
cfa-mir-22	1063	1819.395475	N
cfa-mir-221	97	166.021977	N
cfa-mir-222	845	1446.273919	N
cfa-mir-223	5	8.557834	N
cfa-mir-224	14	23.961935	N
cfa-mir-2387	4	6.846267	N
cfa-mir-23a	80	136.925341	N
cfa-mir-23b	75	128.367508	N
cfa-mir-24-1	143	244.754048	N
cfa-mir-24-2	122	208.811146	N
cfa-mir-2483	0	0.000000	N
cfa-mir-25	378	646.972238	N
cfa-mir-26a-1	1619	2771.026598	N
cfa-mir-26a-2	1661	2842.912402	N
cfa-mir-26b	1005	1720.124602	N
cfa-mir-27a	110	188.272345	N
cfa-mir-27b	623	1066.306097	N
cfa-mir-28	631	1079.998631	N
cfa-mir-299	0	0.000000	N
cfa-mir-29a	585	1001.266559	N
cfa-mir-29b-1	79	135.213775	N
cfa-mir-29b-2	87	148.906309	N
cfa-mir-29c-1	5	8.557834	N
cfa-mir-29c-2	4	6.846267	N
cfa-mir-300	2	3.423134	N
cfa-mir-301a	2	3.423134	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	0	0.000000	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	1722	2947.317975	N
cfa-mir-30b	42	71.885804	N
cfa-mir-30c-1	191	326.909253	N
cfa-mir-30c-2	228	390.237223	N
cfa-mir-30d	3862	6610.070859	N
cfa-mir-30e	505	864.341218	N
cfa-mir-31	6	10.269401	N
cfa-mir-32	4	6.846267	N
cfa-mir-320	376	643.549105	N
cfa-mir-323	0	0.000000	N
cfa-mir-324	3	5.134700	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	3	5.134700	N
cfa-mir-328	15	25.673502	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	0	0.000000	N
cfa-mir-330	5	8.557834	N
cfa-mir-331	9	15.404101	N
cfa-mir-335	0	0.000000	N
cfa-mir-338	3	5.134700	N
cfa-mir-339-1	4	6.846267	N
cfa-mir-33a	1	1.711567	N
cfa-mir-33b	0	0.000000	N
cfa-mir-340	48	82.155205	N
cfa-mir-342	42	71.885804	N
cfa-mir-345	1	1.711567	N
cfa-mir-346	0	0.000000	N
cfa-mir-34a	4	6.846267	N
cfa-mir-34b	3	5.134700	N
cfa-mir-34c	10	17.115668	N
cfa-mir-350	1	1.711567	N
cfa-mir-361	131	224.215247	N
cfa-mir-362	2	3.423134	N
cfa-mir-363	17	29.096635	N
cfa-mir-365-1	125	213.945846	N
cfa-mir-365-2	41	70.174237	N
cfa-mir-367	0	0.000000	N
cfa-mir-369	0	0.000000	N
cfa-mir-370	0	0.000000	N
cfa-mir-371	0	0.000000	N
cfa-mir-374a	33	56.481703	N
cfa-mir-374b	15	25.673502	N
cfa-mir-375	584	999.554993	N
cfa-mir-376a-1	0	0.000000	N
cfa-mir-376a-2	0	0.000000	N
cfa-mir-376a-3	0	0.000000	N
cfa-mir-376b	0	0.000000	N
cfa-mir-376c	0	0.000000	N
cfa-mir-377	0	0.000000	N
cfa-mir-378	2635	4509.978434	N
cfa-mir-379	4	6.846267	N
cfa-mir-380	0	0.000000	N
cfa-mir-381	12	20.538801	N
