, 2212542
RPS12, 640929
EIF4A2, 568697
RPS8, 406253
RACK1, 214599
TNPO2, 206929
NOP56, 205647
P2RY11, 191581
UBAP2, 182244
NCL, 180362
RPL7A, 157736
RPL3, 156547
RABGGTB, 133030
GNL3, 126075
RPL13A, 107763
EIF4G1, 86889
WDR43, 56366
RPL5, 52869
PUM1, 50697
EEF2, 28276
SF3B3, 26193
AP1G1, 25716
HSPA9, 24133
NOP58, 23285
TEX14, 19710
PRPF39, 16492
AP1B1, 14971
CCAR1, 13279
SPCS1, 11544
PRRC2B, 9522
DDX39B, 7775
CEP295, 5637
HUWE1, 4271
MED24, 3925
RPS3, 3610
SNX5, 2040
KANSL2, 2020
INPP4B, 1929
CNOT1, 1564
RANBP1, 1464
KPNA4, 1408
RAPGEF5, 1263
GTF2A1, 1155
MYO16, 1112
NCAPD2, 941
EIF4G2, 919
FMNL2, 910
TRRAP, 866
ZER1, 799
RPSA, 781
CHD4, 754
EP400, 704
IKBKG, 692
TCP1, 669
PHB2, 597
CKAP5, 568
PTCD3, 519
RPL32, 504
RPL12, 408
KIAA0907, 402
TIPIN, 376
RPS11, 360
NOP53, 354
RPL23, 353
CGN, 349
MAML2, 327
IPO7, 293
ASPH, 289
TPT1, 267
CHD8, 262
TMEM167A, 238
UBAP2L, 230
ADAMTSL1, 216
FGG, 205
EIF5, 201
SLC25A16, 178
CCT6A, 177
PPP1R8, 166
PABPC4, 163
RFWD2, 157
ANO10, 149
OVOL2, 142
SLC38A4, 140
CDKN2B, 126
MAP2K4, 125
HAUS6, 123
LARP4, 117
APOA1, 114
WRAP53, 111
LTBP4, 110
MOB4, 108
TTC7B, 107
PRRC2A, 105
YTHDC2, 103
SPIRE1, 101
FGA, 95
PRKCA, 94
CHD3, 90
C4orf45, 85
TOMM20, 80
EXT1, 80
ACTN1, 80
CLU, 79
EIF3A, 74
HES4, 66
ATG16L1, 66
ZFAT, 66
NFIA, 63
EIF4A1, 62
DPYD, 60
CALR, 56
CWF19L1, 54
CMIP, 54
NUP155, 54
DYNC1LI1, 53
BUB1, 52
SUDS3, 51
CYP3A26, 51
LRBA, 50
CDH8, 49
MBNL1, 48
MAML1, 46
MAGI3, 46
PTPRC, 46
CPS1, 45
FAM208B, 44
ADK, 44
EXOC6B, 44
EXOC4, 43
NDUFV3, 43
CYP7B1, 42
GNB2, 42
SSR1, 42
VTI1A, 41
TMED7-TICAM2, 41
DOCK2, 40
ARID1B, 39
ATRNL1, 39
ITGA9, 38
FCHSD2, 38
MMP14, 38
MACF1, 37
TMEM131, 37
WDFY4, 37
TCF12, 36
LAMP2, 36
EP300, 36
TXNDC5, 36
ANTXR2, 35
GPHN, 35
DIAPH2, 35
ZFAND3, 35
ACSL3, 35
HSD17B4, 35
SBF2, 34
ATP8A1, 34
UGT1A6, 34
SLC9A9, 33
PTPRK, 33
QKI, 33
KLF9, 33
ZBTB16, 33
ALB, 33
PLEKHA5, 32
TCF7L2, 32
TTC28, 31
ITPKB, 31
DST, 31
AKT3, 31
PEBP1, 31
TF, 30
CAMK2D, 30
WDR19, 30
TESMIN, 30
POLA1, 30
LPP, 30
CP, 30
SND1, 30
ACSS3, 30
ASAP1, 30
DOCK4, 29
CCDC180, 29
PBX1, 29
PER1, 28
PTPRM, 28
PICALM, 28
JMJD1C, 28
PARD3, 28
MED13L, 28
C16orf72, 27
TEF, 27
ETV6, 27
CBLB, 27
NDST1, 27
TRMT44, 27
BCL2, 27
LRCH1, 27
CSPP1, 27
COL22A1, 26
STARD13, 26
SNX29, 26
ATXN2, 26
NFIB, 26
GBE1, 26
ZCCHC7, 26
FN1, 26
MARK3, 26
FARP1, 25
BCAS2, 25
ERBIN, 25
ALCAM, 25
PPM1H, 25
ELMO1, 25
IGF2, 25
BRWD1, 25
RPS15A, 25
ABCA1, 25
ARHGAP15, 24
ITGAL, 24
TMCC1, 24
DOCK1, 24
DENND1A, 24
CHD2, 24
PCK1, 24
MTSS1, 24
RDX, 23
METTL26, 23
FZD4, 23
SKAP1, 23
C3, 23
VPS13B, 23
G3BP1, 23
PHIP, 23
RBMS3, 23
SAMD4A, 23
ZNF407, 23
CLK1, 23
KIAA1328, 23
CCBE1, 22
SEPT9, 22
LDLRAD4, 22
FOXO3, 22
ATP8B4, 22
SPG11, 22
ZNF398, 22
JARID2, 22
TBC1D5, 22
PRKCB, 22
CHN2, 22
AHSG, 22
PPP3CA, 22
SLC16A7, 22
CCNY, 22
UBE3C, 22
KANSL1, 22
HIPK2, 22
KIF16B, 21
NRF1, 21
NUP98, 21
GNPTG, 21
UVRAG, 21
LSAMP, 21
MEF2A, 21
ANKRD17, 21
PLXDC2, 21
FNDC3B, 21
C5, 21
FRMD4B, 21
ADIPOR2, 21
PARP8, 21
RPTOR, 21
BCAS3, 21
VPS13D, 21
EHBP1, 21
EVI5L, 20
ASCC3, 20
CDH2, 20
PLXNA4, 20
DPYS, 20
GSK3B, 20
C4BPA, 20
HERC2, 20
TPK1, 20
NCKIPSD, 20
ETS1, 20
CUX1, 20
PTK2B, 19
PRKCE, 19
SLC8A1, 19
AARS, 19
PREX1, 19
CEACAM28, 19
FNIP1, 19
ZNF609, 19
GLIS3, 19
BMP2K, 19
SEC16A, 19
CHST11, 19
CREBBP, 19
AKAP13, 19
MCTP1, 19
CYP2B6, 19
GPR39, 19
CCDC34, 19
EIF2AK2, 19
PARN, 19
RHOBTB1, 18
CELF2, 18
DDX17, 18
PHACTR2, 18
RFTN1, 18
WDFY3, 18
ATP9B, 18
PAH, 18
KDM4C, 18
MAN1A1, 18
RSRC1, 18
AGAP2, 18
HDHD2, 18
DOCK10, 18
KMT2C, 18
MAN2A1, 18
MCL1, 18
NOTCH2, 18
ACADVL, 18
ELOVL6, 18
TRPS1, 17
MAP3K20, 17
PDE4DIP, 17
ALDH5A1, 17
ADAMTS6, 17
PDS5A, 17
SLC25A25, 17
UGT2B31, 17
AGMO, 17
ERICH6, 17
ZSWIM4, 17
RASAL2, 17
PID1, 17
FAF1, 17
GBA3, 17
MLLT10, 17
PDGFD, 17
SNX13, 17
MYCBP2, 17
SETBP1, 17
NR3C1, 17
ADAM23, 17
VPS13A, 17
RASA1, 17
SLC25A13, 16
STK39, 16
ALAS1, 16
MKLN1, 16
UBE2K, 16
EHD1, 16
PUM2, 16
SSH2, 16
ARID5B, 16
PRR16, 16
HIVEP1, 16
TFEC, 16
PAPD4, 16
DSE, 16
LPGAT1, 16
ASXL1, 16
CFI, 16
ANO6, 16
FBXW2, 16
AAK1, 16
HMGCLL1, 16
GRK5, 16
MYO9A, 16
SLC9A7, 16
UBL3, 16
ARL15, 16
ADRA1A, 16
CDKAL1, 16
KLF12, 16
PSD3, 16
CPED1, 16
VAV3, 16
ANK1, 16
MYO7A, 16
GRHPR, 16
MAP3K1, 16
WDR7, 16
MRPL33, 16
FTO, 16
AP3B1, 15
RSU1, 15
GRK3, 15
CPNE8, 15
IL6ST, 15
MITF, 15
MYO1B, 15
BMPR2, 15
TNS1, 15
ALDH1A1, 15
STIM1, 15
AKAP2, 15
INPP5D, 15
DHRS7B, 15
UBAC2, 15
GUCY1A2, 15
PDE3B, 15
STAG1, 15
EML4, 15
GNAQ, 15
GPR182, 15
WWP1, 15
EXOC6, 15
EEFSEC, 15
SMARCA4, 15
TOX, 15
ACTN4, 15
VMP1, 15
WNK1, 15
AGAP1, 15
HSP90AB1, 15
SNX30, 15
CHCHD3, 15
AEBP2, 15
RP9, 14
CAMK1D, 14
HERC4, 14
HERC3, 14
PAN3, 14
RBM33, 14
TCF7L1, 14
SOX5, 14
ATP2A2, 14
TMEM164, 14
PRKAG2, 14
UGCG, 14
NEK1, 14
AFF3, 14
AP3B2, 14
LDB2, 14
PXK, 14
DDX5, 14
KIAA1217, 14
RUNX1, 14
GALNT13, 14
ACACA, 14
HRPT2, 14
ARID4B, 14
WNK3, 14
NCOR1, 14
UBR4, 14
RBM39, 14
ARHGAP10, 14
ANKS1B, 14
BRD4, 14
HES2, 14
NR2F2, 14
FAM189A1, 14
VWA8, 14
MARCH1, 14
PBX3, 14
LARP1B, 14
STAB2, 14
RALGAPA2, 14
ZEB1, 14
NFATC3, 14
WDFY1, 14
C6orf106, 14
CREB3L2, 14
SLC41A2, 14
KCNQ1, 14
PLPP3, 14
SKAP2, 14
ARVCF, 14
DYRK1A, 14
COG5, 13
SETD2, 13
ROCK1, 13
ITSN2, 13
PSAP, 13
PHKB, 13
GYS2, 13
UBR2, 13
GPCPD1, 13
PPP1R12B, 13
CLIP1, 13
ZCCHC11, 13
IDE, 13
SLCO1B3, 13
FAM13B, 13
ARHGAP25, 13
APBB1IP, 13
HDAC4, 13
MCC, 13
ITPR2, 13
NSD1, 13
NHLRC2, 13
SUCLG2, 13
SPRED1, 13
TMEM135, 13
RNLS, 13
NRP1, 13
TAT, 13
C9orf3, 13
MARCH6, 13
SUSD6, 13
ADGRE5, 13
PARD3B, 13
PLCH2, 13
GLDC, 13
FOXJ3, 13
ELL2, 13
TAS1R2, 13
SMAP1, 13
DTNBP1, 13
TCFL5, 13
TLE4, 13
PPP2R5E, 13
SORBS2, 13
TBC1D9, 13
ANKS1A, 13
TBC1D8, 13
PYGL, 13
NCKAP5, 13
ALDH6A1, 13
ACSL1, 13
ARHGAP32, 13
PRKCH, 13
KDM5A, 13
ERC1, 13
TBXAS1, 13
SMARCA2, 12
BABAM2, 12
ARHGAP26, 12
TRPM7, 12
PCSK6, 12
SSFA2, 12
VPS41, 12
MYO5B, 12
STIM2, 12
TTLL5, 12
TSPAN10, 12
BICRAL, 12
DNAJC3, 12
B3GLCT, 12
DCBLD1, 12
ZNF22, 12
ATP6V0E2, 12
POMT2, 12
SFMBT2, 12
IQGAP1, 12
PHF14, 12
ADAMTSL5, 12
FLI1, 12
LIPC, 12
EPAS1, 12
RERE, 12
FBXO21, 12
CDK5RAP2, 12
SPIDR, 12
UBR5, 12
PCMTD1, 12
IRF1, 12
PCYT2, 12
NF1, 12
CDC42BPA, 12
CCDC91, 12
VAC14, 12
WIPF1, 12
CDK6, 12
RNF130, 12
CYP2C18, 12
SBNO1, 12
CUX2, 12
DISC1, 12
SH3RF1, 12
SRGAP3, 12
CEP128, 12
UBE2R2, 12
MAP2K1, 12
FARS2, 12
GBF1, 12
CADPS2, 12
STT3B, 12
SPTBN1, 12
USP31, 12
COMMD1, 12
SPPL3, 12
ITGA1, 12
ADCY9, 12
