taglen,crossmapped,LTR,p5_UTR,unannotated,Unknown,mature,precursor,LINE,rmsk_Other,tRNA,rmsk_Low_complexity,rmsk_RNA,snRNA,SINE,snoRNA,star,rmsk_DNA,rRNA,Intron,rmsk_Simple_repeat,Coding_Exon,Satellite,p3_UTR,rmsk_Unknown,stemloop,scRNA,No_CDS,srpRNA
11,0,0,0,0,4.51408962481189e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,4.51408962481189e-06,0,0.000510092127603744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000672599354096972,0,1.80563584992476e-05,0,0,0,0,0,0,0
13,0,0,6.77113443721784e-05,9.02817924962378e-06,0.0270077982252496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585477424338102,0,0.000126394509494733,0,9.02817924962378e-06,0,0,0,0,0
14,0,0,0.000374669438859387,4.51408962481189e-06,0.17289414671992,4.51408962481189e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0145127981437702,0,0.000365641259609763,0,5.86831651225546e-05,0,0,0,0,0
15,0,0,0.000207648122741347,3.15986273736832e-05,0.0488379356508399,2.25704481240595e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00227510117090519,0,0.000938930641960874,0,0.000139936778369169,0,0,0,0,0
16,0,0,0.000284387646363149,4.0626806623307e-05,0.042378273397734,0.000641000726723289,0,0,0,0,0,0,0,0,0,0,0,0,0.00347133492148035,0,0.00144450867993981,0,0.000266331287863902,0,9.02817924962378e-06,0,0,0
17,0,0,0.000266331287863902,0.000135422688744357,0.153835660323964,0.00459082914843369,0,0,0,0,0,0,0,0,0,0,0,0,0.00292061598725329,0,0.00165215680268115,0,0.000388211707733823,0,0,0,0,0
18,0,0,0.000275359467113525,0.000446894872856377,0.102970898431584,0.00513251990341112,4.51408962481189e-06,0,0,0,0,0,0,0,0,0,0,0,0.00402656794533221,0,0.00217127710953452,0,0.000514606217228556,0,4.51408962481189e-06,0,0,0
19,2.70845377488714e-05,0,0.000252789018989466,0.00104726879295636,0.0837679611676343,0.0126620213975974,0,0,0,0,0,0,0,0,0,0,0,0,0.00355710262435177,0,0.00202231215191573,0,0.000365641259609763,0,1.35422688744357e-05,0,0,0
20,9.02817924962378e-05,0,0.000203134033116535,0.0051234917241615,0.0641316712997026,0.0604888009724794,0,0,0,0,0,0,0,0,0,0,0,0,0.00318243318549238,0,0.00178757949142551,0,0.000424324424732318,0,0,0,0,0
21,0.000419810335107506,0,0.00023924675011503,0.0147791294316341,0.103318483332695,0.4115495510941,4.51408962481189e-06,0,0,0,0,0,0,0,0,0,0,0,0.00725865611669752,0,0.00203134033116535,0,0.000469465320980437,0,0,0,0,0
22,9.02817924962378e-06,0,0.000379183528484199,0.0186386760608483,0.0670387450180814,0.738663055756094,4.51408962481189e-06,0,0,0,0,0,0,0,0,0,0,0,0.015934736375586,0,0.00205842486891422,0,0.000776423415467645,0,2.70845377488714e-05,0,0,0
23,4.51408962481189e-06,0,0.000243760839739842,0.0188824369005881,0.0578209740042155,0.224639156089139,0,0,0,0,0,0,0,0,0,0,0,0,0.00555233023851863,0,0.00224801663315632,0,0.000812536132466141,0,0,0,0,0
24,0,0,0.000221190391615783,0.00353904626585252,0.0559070000032953,0.0536183565635157,0,0,0,0,0,0,0,0,0,0,0,0,0.00388663116696304,0,0.00227510117090519,0,0.00069065571259622,0,0,0,0,0
25,0,0,0.000221190391615783,0.000275359467113525,0.0483368717024857,0.00772812143767796,0,0,0,0,0,0,0,0,0,0,0,0,0.00540787937052465,0,0.00253240427951947,0,0.000722254339969903,0,0,0,0,0
26,0,0,0.000243760839739842,0.000252789018989466,0.0804546193830224,0.000243760839739842,0,0,0,0,0,0,0,0,0,0,0,0,0.00681627533346596,0,0.002807763746633,0,0.00221641800578264,0,0,0,0,0
27,0,0,0.000302444004862397,1.80563584992476e-05,0.0929496194645017,3.15986273736832e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00710969115907873,0,0.00325917270911419,0,0.0010246983448323,0,0,0,0,0
28,0,0,0.00023924675011503,1.80563584992476e-05,0.0916360193836814,9.02817924962378e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.00821112902753283,0,0.00255497472764353,0,0.0011014378684541,0,0,0,0,0
29,0,0,0.000315986273736832,1.35422688744357e-05,0.0805674716236427,1.80563584992476e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0103824061370674,0,0.00301541186937434,0,0.00758367056968398,0,0,0,0,0
30,0,0,0.000415296245482694,1.80563584992476e-05,0.0947552553144264,9.02817924962378e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.00660862721072461,0,0.00389565934621266,0,0.00116012103357666,0,4.51408962481189e-06,0,0,0
31,0,0,0.000288901735987961,1.35422688744357e-05,0.100113479699078,7.67395236218022e-05,4.51408962481189e-06,0,0,0,0,0,0,0,0,0,0,0,0.00947056003285535,0,0.00404011021420664,0,0.00312826410999464,0,0,0,0,0
32,0,0,0.000848648849464636,4.51408962481189e-06,0.129053308283747,1.35422688744357e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0124769437229801,0,0.00331334178461193,0,0.00191848809054505,0,0,0,0,0
33,0,0,0.000582317561600734,3.15986273736832e-05,0.243887234249337,9.02817924962378e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0288089199855495,0,0.00375120847821868,0,0.0166705329844303,0,0,0,0,0
34,0,0,0.00235635478415181,9.02817924962378e-06,0.215443955523397,1.80563584992476e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0419765194211258,0,0.00491132951179534,0,0.00302895413824878,0,4.51408962481189e-06,0,0,0
35,0,0,0.0029612427938766,4.51408962481189e-06,0.142184795002325,2.70845377488714e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0157451446113439,0,0.00410330746895401,0,0.00800348090479149,0,2.25704481240595e-05,0,0,0
36,0,0,0.000284387646363149,4.51408962481189e-06,0.142794197101675,3.61127169984951e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0132578812280725,0,0.00464499822393144,0,0.0110730618496636,0,2.25704481240595e-05,0,0,0
37,0,0,0.000383697618109011,0,0.0815380008929772,4.96549858729308e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0140207623746657,0,0.00392274388396153,0,0.00108338150995485,0,1.80563584992476e-05,0,0,0
38,0,0,0.000297929915237585,4.51408962481189e-06,0.133847271465297,1.80563584992476e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0186883310467212,0,0.00393177206321116,0,0.000871219297588695,0,1.35422688744357e-05,0,0,0
39,0,0,0.000234732660490218,0,0.116463512320147,4.51408962481189e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0181556684709934,0,0.00475333637492692,0,0.00147610730731349,0,9.02817924962378e-06,0,0,0
40,0,0,0.00026181719823909,0,0.121930074855794,1.80563584992476e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0189546623345851,0,0.00513251990341112,0,0.00120074784019996,0,0,0,0,0
41,0,0,0.000221190391615783,0,0.12189847622842,4.0626806623307e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0367221190978447,0,0.00447346281818859,0,0.000947958821210497,0,1.35422688744357e-05,0,0,0
42,0,0,0.000234732660490218,4.51408962481189e-06,0.186133971589494,1.80563584992476e-05,4.51408962481189e-06,0,0,0,0,0,0,0,0,0,0,0,0.029012054018666,0,0.00441026556344122,0,0.00108338150995485,0,9.02817924962378e-06,0,0,0
43,0,0,0.000266331287863902,0,0.228774062185467,4.51408962481189e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0209860026657505,0,0.00487521679479684,0,0.00165667089230596,0,9.02817924962378e-06,0,0,0
44,0,0,0.000266331287863902,0,0.327208300544115,2.25704481240595e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0181150416643701,0,0.00492487178066977,0,0.00234281251527737,0,0,0,0,0
45,0,0,0.000365641259609763,0,0.228218829161615,0.000248274929364654,0,0,0,0,0,0,0,0,0,0,0,0,0.0540110823608743,0,0.00785451594717269,0,0.00140839596294131,0,0,0,0,0
46,0,0,0.000753852967343586,4.51408962481189e-06,0.464915118638626,6.77113443721784e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.127834504085048,0,0.0104501174814395,0,0.00192751626979468,0,0,0,0,0
