miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	3051	8680.832176	N
cfa-let-7a-2	3099	8817.403774	N
cfa-let-7b	3785	10769.239524	N
cfa-let-7c	718	2042.883482	N
cfa-let-7d	510	1451.073225	N
cfa-let-7e	689	1960.371475	N
cfa-let-7f	4015	11423.645096	N
cfa-let-7g	9176	26107.937086	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	20	56.904832	N
cfa-mir-1-2	16	45.523866	N
cfa-mir-101-1	251	714.155646	N
cfa-mir-101-2	292	830.810552	N
cfa-mir-103-1	248	705.619921	Y
cfa-mir-103-2	247	702.774680	Y
cfa-mir-105a	0	0.000000	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	3	8.535725	N
cfa-mir-106b	226	643.024606	N
cfa-mir-107	63	179.250222	Y
cfa-mir-10a	3203	9113.308902	N
cfa-mir-10b	288	819.429586	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	164192	467165.911729	N
cfa-mir-124-1	1	2.845242	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	25	71.131040	N
cfa-mir-125a	1544	4393.053058	N
cfa-mir-125b-1	972	2765.574853	N
cfa-mir-125b-2	946	2691.598571	N
cfa-mir-126	2567	7303.735233	N
cfa-mir-127	14	39.833383	N
cfa-mir-1271	33	93.892973	N
cfa-mir-128-1	310	882.024902	N
cfa-mir-128-2	181	514.988733	N
cfa-mir-129-1	6	17.071450	N
cfa-mir-129-2	2	5.690483	N
cfa-mir-1296	9	25.607175	N
cfa-mir-1301	20	56.904832	N
cfa-mir-1306	9	25.607175	N
cfa-mir-1307	225	640.179364	N
cfa-mir-130a	4	11.380966	N
cfa-mir-130b	51	145.107323	N
cfa-mir-132	4	11.380966	N
cfa-mir-133a	3	8.535725	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	3	8.535725	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	18	51.214349	N
cfa-mir-135a-1	3	8.535725	N
cfa-mir-135a-2	4	11.380966	N
cfa-mir-135b	0	0.000000	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	239	680.012747	N
cfa-mir-140	214	608.881706	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	199	566.203082	N
cfa-mir-143	5308	15102.542508	N
cfa-mir-144	7	19.916691	N
cfa-mir-145	581	1653.085380	N
cfa-mir-1468	5	14.226208	N
cfa-mir-146a	1198	3408.599458	N
cfa-mir-146b	87	247.536021	N
cfa-mir-147	2	5.690483	N
cfa-mir-148a	35704	101586.506726	N
cfa-mir-148b	709	2017.276307	N
cfa-mir-149	9	25.607175	N
cfa-mir-150	242	688.548472	N
cfa-mir-151	2396	6817.198917	N
cfa-mir-152	61	173.559739	N
cfa-mir-153	0	0.000000	N
cfa-mir-155	180	512.143491	N
cfa-mir-15a	12	34.142899	N
cfa-mir-15b	102	290.214645	N
cfa-mir-16-1	65	184.940705	N
cfa-mir-16-2	60	170.714497	N
cfa-mir-17	24	68.285799	N
cfa-mir-181a-1	1183	3365.920834	N
cfa-mir-181a-2	1193	3394.373250	N
cfa-mir-181b-1	153	435.321968	N
cfa-mir-181b-2	157	446.702934	N
cfa-mir-181c	9	25.607175	N
cfa-mir-181d	18	51.214349	N
cfa-mir-182	33	93.892973	N
cfa-mir-183	43	122.345390	N
cfa-mir-1835	1	2.845242	N
cfa-mir-1836	41	116.654906	N
cfa-mir-1837-1	0	0.000000	N
cfa-mir-1837-2	3	8.535725	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	14	39.833383	N
cfa-mir-1839	9	25.607175	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	4	11.380966	N
cfa-mir-1841	1	2.845242	N
cfa-mir-1842	4	11.380966	N
cfa-mir-1843	20	56.904832	N
cfa-mir-1844	3	8.535725	N
cfa-mir-185	72	204.857396	N
cfa-mir-186	269	765.369995	N
cfa-mir-187	1	2.845242	N
cfa-mir-188	0	0.000000	N
cfa-mir-18a	18	51.214349	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	0	0.000000	N
cfa-mir-190b	0	0.000000	N
cfa-mir-191	4465	12704.003824	N
cfa-mir-192	5576	15865.067262	N
cfa-mir-193a	221	628.798398	N
cfa-mir-193b	262	745.453304	N
cfa-mir-194	536	1525.049507	N
cfa-mir-195	109	310.131336	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	0	0.000000	N
cfa-mir-197	185	526.369699	N
cfa-mir-199-1	1196	3402.908975	N
cfa-mir-199-2	1177	3348.849384	N
cfa-mir-199-3	751	2136.776455	N
cfa-mir-19a	3	8.535725	N
cfa-mir-19b-1	6	17.071450	N
cfa-mir-19b-2	4	11.380966	N
cfa-mir-200a	66	187.785947	N
cfa-mir-200b	171	486.536317	N
cfa-mir-200c	21	59.750074	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	55	156.488289	N
cfa-mir-204	62	176.404980	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	41	116.654906	N
cfa-mir-20b	3	8.535725	N
cfa-mir-21	12080	34370.518744	N
cfa-mir-210	0	0.000000	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	2	5.690483	N
cfa-mir-214	150	426.786243	N
cfa-mir-215	31	88.202490	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	17	48.369108	N
cfa-mir-218-2	18	51.214349	N
cfa-mir-219-1	4	11.380966	N
cfa-mir-219-2	2	5.690483	N
cfa-mir-22	875	2489.586416	N
cfa-mir-221	1243	3536.635331	N
cfa-mir-222	2565	7298.044750	N
cfa-mir-223	19	54.059591	N
cfa-mir-224	22	62.595316	N
cfa-mir-2387	7	19.916691	N
cfa-mir-23a	257	731.227096	N
cfa-mir-23b	164	466.619625	N
cfa-mir-24-1	288	819.429586	N
cfa-mir-24-2	279	793.822411	N
cfa-mir-2483	1	2.845242	N
cfa-mir-25	762	2168.074113	N
cfa-mir-26a-1	5788	16468.258485	N
cfa-mir-26a-2	5712	16252.020122	N
cfa-mir-26b	1514	4307.695810	N
cfa-mir-27a	440	1251.906312	N
cfa-mir-27b	7205	20499.965857	N
cfa-mir-28	1171	3331.777935	N
cfa-mir-299	0	0.000000	N
cfa-mir-29a	1567	4458.493615	N
cfa-mir-29b-1	53	150.797806	N
cfa-mir-29b-2	48	136.571598	N
cfa-mir-29c-1	12	34.142899	N
