, 1758784
RPS12, 835052
EIF4A2, 553785
GNL3, 273073
RACK1, 163787
EIF4G1, 145626
UBAP2, 115271
PRRC2B, 96690
RPL7A, 83665
NOP56, 74230
CCAR1, 73383
NCL, 64485
PRPF39, 60685
RPS8, 56211
AP1B1, 46193
RPL5, 45441
SF3B3, 44227
HSPA9, 42217
RPL13A, 39695
RABGGTB, 35440
P2RY11, 35302
WDR43, 34032
RPL3, 30721
PUM1, 28176
HUWE1, 25596
TNPO2, 17144
EEF2, 12988
AP1G1, 10741
TEX14, 10057
NOP58, 8483
SPCS1, 8456
CEP295, 7402
DDX39B, 6883
MED24, 5899
SNX5, 3834
RPL32, 3376
CHD4, 2589
TCP1, 2155
RPL12, 1868
GTF2A1, 1520
KIAA0907, 1514
CNOT1, 1491
RPS3, 1229
RPL23, 1209
ADAMTSL1, 923
TIPIN, 766
RAPGEF5, 713
MYO16, 708
SLC25A16, 607
KANSL2, 548
OVOL2, 516
CKAP5, 516
MOB4, 466
IKBKG, 451
NOP53, 437
ATG16L1, 420
HAUS6, 393
ACTN1, 378
RPSA, 369
RANBP1, 312
INPP4B, 311
PPP1R8, 296
UBAP2L, 276
EIF4G2, 270
EIF3A, 261
KPNA4, 242
PTCD3, 235
MAML2, 232
CHD3, 230
CCT6A, 211
TRRAP, 204
TMEM167A, 203
TPT1, 192
MAP2K4, 183
EXT1, 152
CHD8, 144
CCDC180, 140
PRKCA, 140
EP400, 138
EIF5, 136
NRF1, 127
CGN, 124
PABPC4, 124
C4orf45, 119
SPIRE1, 113
FMR1, 105
COL22A1, 103
FAM208B, 101
VTI1A, 100
NCAPD2, 100
ITPKB, 100
NDUFV3, 97
TOMM20, 97
TTC7B, 90
ANK1, 83
IPO7, 82
ZBTB16, 80
RFWD2, 77
CWF19L1, 76
SLC38A4, 75
WRAP53, 72
CLCN5, 71
VAC14, 67
ITGA9, 67
KLF9, 62
FZD4, 61
CNTNAP5, 60
FMNL2, 57
CYP7B1, 57
DST, 57
PHB2, 56
RPS11, 55
MAMDC2, 55
C16orf72, 54
DPYD, 52
ALB, 52
CCBE1, 50
SH3PXD2B, 50
AARS, 49
