taglen,crossmapped,rmsk_Other,scRNA,snRNA,LTR,Coding_Exon,tRNA,srpRNA,rRNA,rmsk_Unknown,p3_UTR,p5_UTR,stemloop,unannotated,Unknown,rmsk_Simple_repeat,No_CDS,rmsk_DNA,rmsk_Low_complexity,SINE,star,snoRNA,Satellite,rmsk_RNA,mature,LINE,precursor,Intron
12,0,0,0,0,0,2.19821575223822e-05,0,0,0,0,5.49553938059556e-06,1.64866181417867e-05,0,5.49553938059556e-06,0.000406669914164071,0,0,0,0,0,0,0,0,0,0,0,0,6.59464725671467e-05
13,0,0,0,0,0,0.000131892945134293,0,0,0,0,6.04509331865511e-05,0.000131892945134293,0,0,0.00682545991069968,0,0,0,0,0,0,0,0,0,5.49553938059556e-06,0,0,0.00187947446816368
14,0,0,0,0,0,0.00103316140355196,0,0,0,0,1.64866181417867e-05,0.000956223852223627,0,2.74776969029778e-05,0.0246090253463069,0,0,0,0,0,0,0,0,0,5.49553938059556e-06,0,0,0.00265434552082765
15,0,0,0,0,0,0.00150577779028318,0,0,0,0,0.000159370642037271,0.000434147611067049,5.49553938059556e-06,1.09910787611911e-05,0.0274941835211196,0,0,0,0,0,0,0,0,0,0.000126397405753698,0,0,0.00305002435623053
16,0,0,0,0,0,0.00246200164250681,0,0,0,0,0.000450634229208836,0.000335227902216329,6.04509331865511e-05,0.000170361720798462,0.0392161690199299,0,0,0,0,0,0,0,0,0,0.000906763997798267,0,0,0.00469319063102861
17,0,0,0,0,0,0.00260488566640229,0,0,0,0,0.000500094083634196,0.000571536095581938,1.09910787611911e-05,0.000653969186290871,0.0411890676575637,0,0,0,0,0,0,0,0,0,0.00855105927620669,0,0,0.00456129768589431
18,0,0,0,0,0,0.00303903327746934,0,0,0,0,0.000516580701775982,0.000637482568149085,0,0.00151676886904437,0.0564666671356194,0,0,0,0,0,0,0,0,0,0.0253838963989709,0,1.09910787611911e-05,0.00912259537178863
19,6.04509331865511e-05,0,0,0,0,0.00302804219870815,0,0,0,0,0.000763879973902783,0.000681446883193849,2.74776969029778e-05,0.00534715981731948,0.208258960367049,0,0,0,0,0,0,0,0,0,0.080916321839889,0,0,0.00366002922747664
20,0.000214326035843227,0,0,0,0,0.00353912736110354,0,0,0,0,0.000829826446469929,0.00064297810752968,2.19821575223822e-05,0.0309563733308948,0.0704418237804739,0,0,0,0,0,0,0,0,0,0.386655159739942,0,1.09910787611911e-05,0.00625392381511775
21,0.000923250615940054,0,0,0,0,0.00404471698411833,0,0,0,0,0.00102766586417137,0.000533067319917769,0,0.0902477477081403,0.098051413628586,0,0,0,0,0,0,0,0,0,2.35611908526088,0,5.49553938059556e-06,0.0315389005052379
22,0.0002472992721268,0,0,0,0,0.00431949395314811,0,0,0,0,0.00189596108630547,0.000571536095581938,9.34241694701245e-05,0.220860232166755,0.124968565514743,0,0,0,0,0,0,0,0,0,4.53337485030151,0,0,0.0950013892723554
23,0.000263785890268587,0,0,0,0,0.00456129768589431,0,0,0,0,0.00175857260179058,0.000725411198238614,2.19821575223822e-05,0.0718761595588093,0.0658255707007736,0,0,0,0,0,0,0,0,0,1.05905088957395,0,5.49553938059556e-06,0.0217843181046808
24,1.09910787611911e-05,0,0,0,0,0.00414363669296905,0,0,0,0,0.00123100082125341,0.000538562859298365,5.49553938059556e-06,0.0131013658833398,0.0545267417342691,0,0,0,0,0,0,0,0,0,0.155650161876608,0,0,0.00441841366199883
25,0,0,0,0,0,0.00378093109384974,0,0,0,0,0.0012419919000146,0.000417660992925262,0,0.00100568370664899,0.0938088572267662,0,0,0,0,0,0,0,0,0,0.0184650123188011,0,0,0.00559445908944628
26,0,0,0,0,0,0.00427552963810334,0,0,0,0,0.00175857260179058,0.000895772919037076,5.49553938059556e-06,0.000703429040716231,0.0734588749004208,0,0,0,0,0,0,0,0,0,0.00131343391196234,0,0,0.0079190722474382
27,0,0,0,0,0,0.00414913223234965,0,0,0,0,0.00141235362081306,0.000857304143372907,0,0.000109910787611911,0.206731200419244,0,0,0,0,0,0,0,0,0,0.000142884023895485,0,0,0.0151457065329214
28,0,0,0,0,0,0.00406669914164071,0,0,0,0,0.00711122795849065,0.000472616386731218,0,8.79286300895289e-05,0.276656443497942,0,0,0,0,0,0,0,0,0,6.04509331865511e-05,0,0,0.0273128307215599
29,0,0,0,0,0,0.00401174374783476,0,0,0,0,0.0259884057308364,0.000555049477440151,0,3.84687756641689e-05,0.320466883440049,0,0,0,0,0,0,0,0,0,6.04509331865511e-05,0,5.49553938059556e-06,0.0197070042188157
30,0,0,0,0,0,0.0045722887646555,0,0,0,0,0.0378312930960198,0.000769375513283378,5.49553938059556e-06,6.04509331865511e-05,0.35904007435245,0,0,0,0,0,0,0,0,0,1.09910787611911e-05,0,0,0.0136619109001606
31,0,0,0,0,0,0.00399525712969297,0,0,0,0,0.12909022005019,0.000412165453544667,0,3.29732362835734e-05,0.382681884767772,0,0,0,0,0,0,0,0,0,7.69375513283378e-05,0,1.64866181417867e-05,0.0252135346781724
32,0,0,0,0,0,0.00382489540889451,0,0,0,0,0.0142224559169813,0.00206082726772333,0,1.09910787611911e-05,0.633723619212757,0,0,0,0,0,0,0,0,0,3.84687756641689e-05,0,0,0.0124583877758101
33,0,0,0,0,0,0.0039622838934094,0,0,0,0,0.025938945876411,0.000879286300895289,0,3.29732362835734e-05,0.232312936235916,0,0,0,0,0,0,0,0,0,2.74776969029778e-05,0,0,0.025449842871538
34,0,0,0,0,0,0.00342372103411103,0,0,0,0,0.0268512054135899,0.001983889716395,2.19821575223822e-05,2.19821575223822e-05,0.190173140265509,0,0,0,0,0,0,0,0,0,3.29732362835734e-05,0,0,0.0398591471274596
35,0,0,0,0,0,0.0029675912655216,0,0,0,0,0.00649572754786395,0.00064297810752968,5.49553938059556e-05,2.19821575223822e-05,0.112383780333179,0,0,0,0,0,0,0,0,0,9.891970885072e-05,0,0,0.0305881721923949
36,0,0,0,0,0,0.00305002435623053,0,0,0,0,0.00526472672661055,0.000428652071686454,8.79286300895289e-05,2.74776969029778e-05,0.0850984273085222,0,0,0,0,0,0,0,0,0,0.000258290350887991,0,0,0.0138652458572426
37,0,0,0,0,0,0.00299506896242458,0,0,0,0,0.000956223852223627,0.00110460341549971,7.14420119477423e-05,1.64866181417867e-05,0.118038690355812,0,0,0,0,0,0,0,0,0,8.24330907089334e-05,0,0,0.0178879806838385
38,0,0,0,0,0,0.00286317601729029,0,0,0,0,0.000994692627887796,0.000846313064611716,2.74776969029778e-05,3.84687756641689e-05,0.075739523743368,0,0,0,0,0,0,0,0,0,0.000137388484514889,0,0,0.0310937618154097
39,0,0,0,0,0,0.00281371616286493,0,0,0,0,0.00118154096682804,0.000577031634962534,5.49553938059556e-06,1.09910787611911e-05,0.0826089479691124,0,0,0,0,0,0,0,0,0,7.69375513283378e-05,0,5.49553938059556e-06,0.0314179986388648
40,0,0,0,0,0,0.00266533659958885,0,0,0,0,0.00105514356107435,0.000307750205313351,0.000104415248231316,1.64866181417867e-05,0.101062969209152,0,0,0,0,0,0,0,0,0,0.000208830496462631,0,5.49553938059556e-06,0.0251091194299411
41,0,0,0,0,0,0.00260488566640229,0,0,0,0,0.000675951343813254,0.000263785890268587,1.64866181417867e-05,2.19821575223822e-05,0.108525911688001,0,0,0,0,0,0,0,0,0,2.74776969029778e-05,0,0,0.0340833352384537
42,0,0,0,0,0,0.00267632767835004,0,0,0,0,0.000637482568149085,0.000302254665932756,0,3.84687756641689e-05,0.126540289777593,0,0,0,0,0,0,0,0,0,1.64866181417867e-05,0,0,0.0258015573918961
43,0,0,0,0,0,0.00226965776418597,0,0,0,0,0.000620995950007298,0.000236308193365609,2.74776969029778e-05,3.29732362835734e-05,0.187342937484503,0,0,0,0,0,0,0,0,0,3.29732362835734e-05,0,0,0.0225591891573448
44,0,0,0,0,0,0.0023520908548949,0,0,0,0,0.000648473646910276,0.000181352799559653,0,1.64866181417867e-05,0.182583800380907,0,0,0,0,0,0,0,0,0,0.000104415248231316,0,0,0.0203499823263454
45,0,0,0,0,0,0.00295110464737981,0,0,0,0,0.00069243796195504,0.000208830496462631,0,1.09910787611911e-05,0.142642220162738,0,0,0,0,0,0,0,0,0,0.000862799682753503,0,0,0.026768772322881
46,0,0,0,0,0,0.00397877051155118,0,0,0,0,0.000851808603992311,0.000774871052663974,0,5.49553938059556e-06,0.569920407004043,0,0,0,0,0,0,0,0,0,0.000291263587171565,0,0,0.118247520852275
47,0,0,0,0,0,0.00879835854833349,0,0,0,0,0.00218172913409644,0.00103865694293256,0,0,9.82474944736856,0,0,0,0,0,0,0,0,0,0.000192343878320845,0,0,1.48760953709093
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0.0691723541835563,0,0,0,0,0.0516470790988371,0.0258675038644633,0,0.000137388484514889,48.0581511598666,0,0,0,0,0,0,0,0,0,0.0098974664244526,0,2.74776969029778e-05,24.7017790599726
