miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	19623	11875.561688	N
cfa-let-7a-2	19023	11512.450186	N
cfa-let-7b	21897	13251.754282	N
cfa-let-7c	5921	3583.305343	N
cfa-let-7d	3536	2139.937121	N
cfa-let-7e	1591	962.850667	N
cfa-let-7f	23559	14257.573144	N
cfa-let-7g	24693	14943.853884	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	112	67.780814	N
cfa-mir-1-2	116	70.201557	N
cfa-mir-101-1	3897	2358.409209	N
cfa-mir-101-2	4226	2557.515349	N
cfa-mir-103-1	609	368.558175	Y
cfa-mir-103-2	617	373.399662	Y
cfa-mir-105a	18	10.893345	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	8	4.841487	Y
cfa-mir-106b	407	246.310636	N
cfa-mir-107	180	108.933451	Y
cfa-mir-10a	47618	28817.739207	N
cfa-mir-10b	20516	12415.992641	N
cfa-mir-1185	1	0.605186	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	587758	355702.817443	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	67	40.547451	N
cfa-mir-125a	26230	15874.024516	N
cfa-mir-125b-1	10008	6056.699861	N
cfa-mir-125b-2	10067	6092.405826	N
cfa-mir-126	41114	24881.610521	N
cfa-mir-127	17	10.288159	N
cfa-mir-1271	236	142.823858	N
cfa-mir-128-1	1609	973.744012	N
cfa-mir-128-2	950	574.926546	N
cfa-mir-129-1	10	6.051858	N
cfa-mir-129-2	5	3.025929	N
cfa-mir-1296	11	6.657044	N
cfa-mir-1301	38	22.997062	N
cfa-mir-1306	15	9.077788	N
cfa-mir-1307	316	191.238725	N
cfa-mir-130a	155	93.803805	N
cfa-mir-130b	40	24.207433	N
cfa-mir-132	63	38.126708	N
cfa-mir-133a	95	57.492655	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	95	57.492655	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	28	16.945203	N
cfa-mir-135a-1	205	124.063097	N
cfa-mir-135a-2	213	128.904583	N
cfa-mir-135b	7	4.236301	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	3	1.815558	N
cfa-mir-138b	1	0.605186	N
cfa-mir-139	1186	717.750403	N
cfa-mir-140	1082	654.811076	N
cfa-mir-141	8	4.841487	N
cfa-mir-142	594	359.480387	N
cfa-mir-143	32658	19764.159079	N
cfa-mir-144	62	37.521522	N
cfa-mir-145	6694	4051.113996	N
cfa-mir-1468	32	19.365947	N
cfa-mir-146a	4880	2953.306887	N
cfa-mir-146b	1189	719.565961	N
cfa-mir-147	1	0.605186	N
cfa-mir-148a	164642	99639.006648	N
cfa-mir-148b	745	450.863449	N
cfa-mir-149	42	25.417805	N
cfa-mir-150	891	539.220581	N
cfa-mir-151	3776	2285.181722	N
cfa-mir-152	511	309.249963	N
cfa-mir-153	3	1.815558	N
cfa-mir-155	1697	1027.000366	N
cfa-mir-15a	38	22.997062	N
cfa-mir-15b	82	49.625239	N
cfa-mir-16-1	696	421.209343	N
cfa-mir-16-2	663	401.238210	N
cfa-mir-17	345	208.789114	Y
cfa-mir-181a-1	1478	894.464668	N
cfa-mir-181a-2	1565	947.115836	N
cfa-mir-181b-1	562	340.114441	N
cfa-mir-181b-2	543	328.615910	N
cfa-mir-181c	43	26.022991	N
cfa-mir-181d	87	52.651168	N
cfa-mir-182	190	114.985309	N
cfa-mir-183	82	49.625239	N
cfa-mir-1835	0	0.000000	N
cfa-mir-1836	82	49.625239	N
cfa-mir-1837-1	3	1.815558	N
cfa-mir-1837-2	4	2.420743	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	8	4.841487	N
cfa-mir-1839	35	21.181504	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	16	9.682973	N
cfa-mir-1841	8	4.841487	N
cfa-mir-1842	8	4.841487	N
cfa-mir-1843	54	32.680035	N
cfa-mir-1844	0	0.000000	N
cfa-mir-185	466	282.016600	N
cfa-mir-186	5016	3035.612161	N
cfa-mir-187	3	1.815558	N
cfa-mir-188	0	0.000000	N
cfa-mir-18a	19	11.498531	Y
cfa-mir-18b	4	2.420743	Y
cfa-mir-190a	0	0.000000	N
cfa-mir-190b	14	8.472602	N
cfa-mir-191	12132	7342.114580	N
cfa-mir-192	24918	15080.020697	N
cfa-mir-193a	247	149.480902	N
cfa-mir-193b	144	87.146761	N
cfa-mir-194	8128	4918.950487	N
cfa-mir-195	1649	997.951446	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	17	10.288159	N
cfa-mir-197	94	56.887469	N
cfa-mir-199-1	14138	8556.117370	N
cfa-mir-199-2	14234	8614.215210	N
cfa-mir-199-3	10364	6272.146019	N
cfa-mir-19a	14	8.472602	N
cfa-mir-19b-1	78	47.204495	N
cfa-mir-19b-2	80	48.414867	N
cfa-mir-200a	2245	1358.642205	N
cfa-mir-200b	3249	1966.248786	N
cfa-mir-200c	476	288.068459	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	64	38.731894	N
cfa-mir-204	1536	929.565446	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	3	1.815558	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	750	453.889378	N
cfa-mir-20b	11	6.657044	N
cfa-mir-21	35320	21375.163778	N
cfa-mir-210	13	7.867416	N
cfa-mir-211	1	0.605186	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	6	3.631115	N
cfa-mir-214	1013	613.053253	N
cfa-mir-215	31	18.760761	N
cfa-mir-216a	1	0.605186	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	474	286.858087	N
cfa-mir-218-2	481	291.094388	N
cfa-mir-219-1	15	9.077788	N
cfa-mir-219-2	1	0.605186	N
cfa-mir-22	15323	9273.262587	N
cfa-mir-221	3677	2225.268324	N
cfa-mir-222	6956	4209.672685	N
cfa-mir-223	63	38.126708	N
cfa-mir-224	349	211.209857	N
cfa-mir-2387	9	5.446673	N
cfa-mir-23a	2124	1285.414719	N
cfa-mir-23b	955	577.952475	N
cfa-mir-24-1	3890	2354.172908	N
cfa-mir-24-2	3917	2370.512925	N
cfa-mir-2483	40	24.207433	N
cfa-mir-25	3986	2412.270748	N
cfa-mir-26a-1	68474	41439.495033	N
cfa-mir-26a-2	68428	41411.656484	N
cfa-mir-26b	22048	13343.137344	N
cfa-mir-27a	2953	1787.113778	Y
cfa-mir-27b	10671	6457.938071	Y
cfa-mir-28	3153	1908.150945	N
cfa-mir-299	0	0.000000	N
cfa-mir-29a	4198	2540.570146	N
cfa-mir-29b-1	365	220.892831	N
cfa-mir-29b-2	388	234.812105	N
cfa-mir-29c-1	77	46.599309	N
cfa-mir-29c-2	94	56.887469	N
cfa-mir-300	4	2.420743	N
cfa-mir-301a	8	4.841487	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	0	0.000000	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	7926	4796.702948	N
cfa-mir-30b	971	587.635448	N
cfa-mir-30c-1	7365	4457.193693	N
cfa-mir-30c-2	7487	4531.026365	N
cfa-mir-30d	19370	11722.449671	N
cfa-mir-30e	2864	1733.252238	N
cfa-mir-31	282	170.662406	N
cfa-mir-32	93	56.282283	N
cfa-mir-320	3444	2084.260024	N
cfa-mir-323	3	1.815558	N
cfa-mir-324	15	9.077788	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	6	3.631115	N
cfa-mir-328	25	15.129646	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	2	1.210372	N
cfa-mir-330	24	14.524460	N
cfa-mir-331	68	41.152637	N
cfa-mir-335	11	6.657044	N
cfa-mir-338	80	48.414867	N
cfa-mir-339-1	358	216.656530	N
cfa-mir-33a	5	3.025929	N
cfa-mir-33b	6	3.631115	N
cfa-mir-340	501	303.198105	N
cfa-mir-342	504	305.013662	N
cfa-mir-345	9	5.446673	N
cfa-mir-346	0	0.000000	N
cfa-mir-34a	68	41.152637	N
cfa-mir-34b	3	1.815558	N
cfa-mir-34c	10	6.051858	N
cfa-mir-350	19	11.498531	N
cfa-mir-361	1011	611.842882	N
cfa-mir-362	182	110.143822	N
cfa-mir-363	117	70.806743	N
cfa-mir-365-1	826	499.883502	N
cfa-mir-365-2	790	478.096812	N
cfa-mir-367	0	0.000000	N
cfa-mir-369	0	0.000000	N
cfa-mir-370	0	0.000000	N
cfa-mir-371	18	10.893345	N
cfa-mir-374a	929	562.217643	N
cfa-mir-374b	980	593.082121	N
cfa-mir-375	6372	3856.244156	N
cfa-mir-376a-1	0	0.000000	N
cfa-mir-376a-2	0	0.000000	N
cfa-mir-376a-3	0	0.000000	N
cfa-mir-376b	0	0.000000	N
cfa-mir-376c	0	0.000000	N
cfa-mir-377	0	0.000000	N
cfa-mir-378	8570	5186.442627	N
cfa-mir-379	14	8.472602	N
cfa-mir-380	3	1.815558	N
cfa-mir-381	14	8.472602	N
cfa-mir-382	7	4.236301	N
cfa-mir-383	4	2.420743	N
cfa-mir-384	0	0.000000	N
cfa-mir-3958	3	1.815558	N
cfa-mir-409	0	0.000000	N
cfa-mir-410	0	0.000000	N
cfa-mir-411	14	8.472602	N
cfa-mir-421	23	13.919274	N
cfa-mir-423a	6525	3948.837589	N
cfa-mir-424	33	19.971133	N
cfa-mir-425	377	228.155061	N
cfa-mir-429	285	172.477964	N
cfa-mir-432	2	1.210372	N
cfa-mir-433	2	1.210372	N
cfa-mir-448	0	0.000000	N
cfa-mir-449a	3	1.815558	N
cfa-mir-449b	0	0.000000	N
cfa-mir-450a	193	116.800867	N
cfa-mir-450b	167	101.066035	N
cfa-mir-451	6258	3787.252971	N
cfa-mir-452	108	65.360070	N
cfa-mir-454	12	7.262230	N
cfa-mir-455	1799	1088.729322	N
cfa-mir-483	276	167.031291	N
cfa-mir-485	0	0.000000	N
