, 13692
ALB, 2240
C3, 1734
APOB, 1687
FGA, 1382
TF, 943
FGB, 919
GPNMB, 850
LRP1, 718
MT-CO2, 694
FGG, 631
PSAP, 629
CTSB, 619
LUM, 586
B2M, 564
FN1, 539
AHNAK, 509
COL12A1, 494
C1S, 480
FTH1, 452
CD74, 442
COL6A5, 439
COX1, 434
HSP90B1, 432
HLA-DRB1, 424
CTSK, 402
HSPA5, 389
CD163, 358
ITM2B, 354
SERPINA1, 349
COL3A1, 337
CLU, 329
C6, 314
A2M, 312
IGHM, 309
HSP90AA1, 288
CLTC, 286
MRC1, 284
CP, 255
SVEP1, 252
CPS1, 245
CTSS, 242
COL1A2, 241
THBS1, 230
JCHAIN, 215
SPP1, 212
VCAN, 211
DLA DRA, 208
SPTBN1, 207
VIM, 202
ACTB, 200
DYNC1H1, 195
C5, 192
EEF2, 191
LAMP2, 190
COL6A3, 186
IL6ST, 177
TPT1, 176
ACSL4, 176
MACF1, 175
DCN, 170
ADAMDEC1, 168
ASAH1, 167
DDX5, 164
DST, 162
SERPING1, 160
SLC40A1, 157
ABCA1, 156
MPEG1, 152
MYH9, 150
COX3, 150
CTNNB1, 147
MAN2A1, 146
APOH, 144
PROS1, 143
GC, 142
C1R, 142
MT-ND4, 139
CTSD, 139
PLG, 138
ALDOB, 136
CD36, 135
SRRM2, 135
TLN1, 134
FAT1, 133
CYP2E1, 129
CSDE1, 129
DLA-DQA1, 129
CALR, 129
C7, 124
ITGB1, 124
SPARCL1, 124
ND2, 119
C1QA, 118
VCAM1, 118
APOE, 117
IQGAP1, 117
ACTG1, 117
BCHE, 117
TNFSF10, 115
RELN, 112
SAMD9L, 111
PTPRC, 111
DPYD, 110
MT-ND6, 109
AHSG, 108
ALCAM, 107
APP, 106
FBN1, 106
HPD, 105
RBP4, 104
HSP90AB1, 103
VPS13D, 103
NCOA4, 102
PRPF8, 102
ATP1A1, 101
NRP1, 100
JAK1, 99
IGFBP7, 99
ITGAV, 98
FTL, 97
PDGFRB, 97
CFI, 96
HPX, 96
CANX, 96
DDX3X, 96
RPL12, 95
SYNE2, 95
ABCB4, 95
RPL9, 95
GGH, 94
MSR1, 93
STAB2, 92
ATP6, 91
C4BPA, 89
RNF213, 89
ABCA9, 88
COL1A1, 87
CXCL12, 86
SMPDL3A, 84
BPI, 83
C1QB, 83
TAGLN2, 82
ITIH2, 82
HUWE1, 81
SF3B1, 81
CESdD1, 81
CYTB, 80
VSIG4, 80
HIF1A, 79
LCP1, 79
ACTR2, 79
EIF4G2, 79
RPL5, 78
