, 2846496
RPS12, 1277185
EIF4A2, 1081717
GNL3, 386389
UBAP2, 302306
NOP56, 272067
RACK1, 259177
RPL5, 193222
RPL7A, 175366
NCL, 164758
RPS8, 153869
HSPA9, 131434
EIF4G1, 130655
P2RY11, 119759
WDR43, 105028
TNPO2, 99863
PRRC2B, 93765
RPL13A, 77767
SPCS1, 76730
CCAR1, 75049
PRPF39, 72204
SF3B3, 71709
RPL3, 61448
AP1B1, 58695
RABGGTB, 55193
NOP58, 31082
PUM1, 28385
EEF2, 20380
AP1G1, 18646
TEX14, 18064
HUWE1, 17014
CEP295, 16640
DDX39B, 15400
MED24, 11149
SNX5, 8523
RPS3, 2018
RAPGEF5, 1939
RPL32, 1882
CHD4, 1283
IKBKG, 1096
CKAP5, 1038
RPL12, 935
ADAMTSL1, 820
KANSL2, 817
RPL23, 793
TRRAP, 757
TCP1, 721
KIAA0907, 700
CNOT1, 584
TIPIN, 556
EIF4G2, 521
EIF3A, 518
MYO16, 422
MAML2, 378
CHD8, 318
TMEM167A, 315
ACTN1, 312
PTCD3, 311
RPSA, 302
OVOL2, 287
GTF2A1, 273
ANO10, 268
KPNA4, 264
SPIRE1, 263
PPP1R8, 256
NRF1, 247
SLC25A16, 245
FAM208B, 212
MOB4, 212
EP400, 207
EXT1, 189
NCAPD2, 188
ATG16L1, 186
HAUS6, 154
FGA, 144
RPS11, 143
WRAP53, 142
SLC9A9, 138
MAP2K4, 137
UBAP2L, 118
NOP53, 117
IPO7, 113
SH3PXD2B, 112
DIAPH2, 112
DPYD, 108
TTC7B, 91
MCTP1, 87
ZFAND3, 87
PABPC4, 87
EIF5, 85
EXOC4, 85
ATRNL1, 84
LPCAT2, 84
C16orf72, 81
CCT6A, 81
FNDC3B, 80
PTPRC, 79
RANBP1, 77
TPT1, 77
SLC8A1, 76
CGN, 75
TMEM104, 75
COL22A1, 75
CBLB, 74
QKI, 74
MBNL1, 73
LSAMP, 72
EXOC6B, 72
ITGA9, 72
ELMO1, 70
WDFY4, 70
CNTNAP5, 69
ETV6, 68
NOTCH2, 68
VPS13B, 68
UBE3C, 67
MAML1, 66
TCF7L2, 65
SAMD4A, 65
CHD3, 63
CCDC180, 62
AKAP13, 60
FMNL2, 60
SLC38A4, 60
PICALM, 59
NFIA, 59
FOXO3, 59
PTPRM, 59
TOMM20, 58
DST, 58
SBF2, 58
MYO9A, 58
IL6ST, 58
MED13L, 57
ADK, 57
ARHGAP15, 56
VAV3, 56
OTOP1, 55
UVRAG, 54
BMP2K, 54
CCBE1, 54
ATP8B4, 53
JMJD1C, 53
FMR1, 53
MYO7A, 53
CP, 53
AGAP2, 52
LAMP2, 52
DOCK4, 52
PBX1, 52
PAN3, 51
BCAS2, 51
INPP4B, 51
FZD4, 51
VPS13D, 50
TCF12, 50
RPTOR, 50
ARID1B, 50
MTSS1, 50
NFIB, 50
FGG, 49
JARID2, 49
CEACAM28, 49
DOCK2, 48
FAM189A1, 48
PPP3CA, 48
CWF19L1, 48
ACSL3, 48
CALR, 47
CELF2, 47
RUNX1, 47
PHB2, 47
TRPS1, 47
ZSWIM4, 46
PDGFD, 46
ZCCHC7, 46
ZNF280C, 45
BCL2, 45
SSR1, 45
CAMK2D, 45
ANTXR2, 45
LPP, 45
ABCA1, 45
TMED7-TICAM2, 45
PRKCE, 44
FCHSD2, 43
PRKCA, 43
G3BP1, 43
LRBA, 43
FAM172A, 43
SND1, 42
C4orf45, 42
CCNY, 42
RASA1, 42
PREX1, 42
C9orf3, 42
FARP1, 41
ASAP1, 41
MCU, 41
CDKAL1, 40
NRP1, 40
ALCAM, 40
ZNF407, 40
RDX, 40
DENND1A, 40
STARD13, 39
SYNPO2, 39
TTC28, 39
RBMS1, 39
HS3ST3A1, 39
ANKRD44, 39
GLIS3, 39
EHBP1, 38
TAS1R2, 38
RBMS3, 38
CARMIL1, 38
CPED1, 38
DAPK1, 38
PPM1H, 38
KDM6A, 38
GPHN, 38
RFWD2, 38
TPK1, 38
PARP8, 37
LDB2, 37
KLF9, 37
ARL15, 37
RPGR, 37
ANKS1A, 37
PHIP, 37
PSAP, 36
FSD1L, 36
LARP4, 36
MAP3K20, 36
GBE1, 36
PLEKHA5, 36
STAB2, 36
BCAS3, 35
LRCH1, 35
VTI1A, 35
SSH2, 35
SRGAP2, 35
CYP7B1, 35
HAUS3, 35
GNB1, 35
RGL1, 35
MAGI3, 35
SUCLG2, 35
ZEB2, 34
IQGAP1, 34
SNX29, 34
CAMK1D, 34
DOCK10, 34
HERC4, 33
SNX13, 33
PID1, 33
SPIDR, 33
PCDHGC5, 33
MARCH1, 33
GUCY1A2, 33
CLCN5, 33
RPS15A, 33
RPS6KC1, 33
PRKCB, 33
FER, 33
KDM4C, 32
HIVEP1, 32
DOCK1, 32
IQGAP2, 32
BNC2, 32
ANKRD17, 32
CDK6, 31
WDR7, 31
SESN3, 31
ERBIN, 31
AP3B1, 31
TRMT44, 31
DISC1, 31
DAB2IP, 31
IGHM, 31
ATP8A1, 31
PTPRK, 31
GNAQ, 30
KLHL3, 30
RBPMS, 30
ASCC3, 30
CHN2, 30
ZEB1, 30
ARHGAP24, 30
TMEM131, 30
STAG1, 30
TCFL5, 30
MARK3, 30
MAN1C1, 30
TBXAS1, 29
GLS, 29
ACSL4, 29
TBC1D5, 29
MACF1, 29
AGAP1, 29
TLE4, 29
CHD2, 29
LPGAT1, 29
DHRS7B, 29
ARHGAP26, 29
MAGI2, 29
BBS9, 29
AGFG1, 28
KLF15, 28
MEF2A, 28
INTS3, 28
ACBD6, 28
POLA1, 28
VWA8, 28
EP300, 28
FTO, 28
CSPP1, 28
SNX30, 28
TMCC1, 28
TGFBR3, 28
ITPR2, 28
SPTBN1, 28
FBXW2, 28
RASAL2, 28
HK2, 27
ATP9B, 27
LMAN2, 27
COG5, 27
ERC1, 27
ARID4B, 27
MAN2A1, 27
PTPN1, 27
KIF16B, 27
CUX1, 27
FLI1, 27
NCOR1, 27
UST, 27
CMIP, 27
ZNF608, 26
BRWD1, 26
ITSN2, 26
FYB, 26
FAF1, 26
HIPK2, 26
GRHPR, 26
TBC1D1, 26
AUH, 26
AKT3, 26
CHCHD3, 26
FOXO1, 26
MED13, 26
APOA1, 26
TAF3, 26
AAK1, 26
ATG7, 26
VMP1, 26
PPP1R12A, 25
GGCX, 25
PHKB, 25
WDFY1, 25
UGT1A6, 25
PSD3, 25
METTL26, 25
FNIP1, 25
PHLDB2, 25
NR3C1, 25
TOX, 25
GLCCI1, 25
BABAM2, 25
PLPP3, 25
PRKAR2B, 25
XPO4, 25
PLXDC2, 25
EXOC2, 25
HERC2, 25
NDST1, 25
KANSL1, 25
TBC1D9, 25
XPR1, 24
SKAP2, 24
FOXP1, 24
MERTK, 24
PDE4D, 24
ATXN2, 24
CACNA1C, 24
MAPK14, 24
PRIM2, 24
DOCK8, 24
ARHGAP10, 24
CPXM2, 24
KAT6B, 24
EVI5L, 24
CD47, 24
SMAP1, 24
ATP2B1, 24
TESMIN, 24
DIP2B, 24
APBB1IP, 24
ASPH, 24
DCLK1, 24
ANKRD28, 23
HMBOX1, 23
