taglen,crossmapped,rmsk_Low_complexity,Coding_Exon,rmsk_DNA,star,LINE,rmsk_Unknown,Intron,rmsk_RNA,rRNA,snRNA,p5_UTR,mature,No_CDS,p3_UTR,scRNA,LTR,SINE,rmsk_Simple_repeat,precursor,srpRNA,Satellite,rmsk_Other,snoRNA,Unknown,unannotated,tRNA,stemloop
12,0,0,4.06152825398068e-06,0,0,0,0,2.03076412699034e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74766780955364e-05,0,0,0
13,0,0,0.000101538206349517,0,0,0,0,0.000507691031747585,0,0,0,9.34151498415557e-05,0,0,6.09229238097103e-05,0,0,0,0,0,0,0,0,0,0.00237193250032472,8.12305650796137e-06,0,0
14,0,0,0.000434583523175933,0,0,0,0,0.00131999668254372,0,0,0,0.000203076412699034,4.06152825398068e-06,0,5.27998673017489e-05,0,0,0,0,0,0,0,0,0,0.00864699365272487,1.21845847619421e-05,0,0
15,0,0,0.00103975123301906,0,0,0,0,0.00277808532572279,0,0,0,0.00017870724317515,6.49844520636909e-05,0,0.000227445582222918,0,0,0,0,4.06152825398068e-06,0,0,0,0,0.0184718304991041,1.21845847619421e-05,0,4.06152825398068e-06
16,0,0,0.00201045648572044,0,0,0,0,0.00553992453842965,0,0,0,0.000467075749207779,0.000694521331430697,0,0.000613290766351083,0,0,0,0,4.06152825398068e-06,0,0,0,0,0.0276874381073863,9.74766780955364e-05,0,4.06152825398068e-05
17,0,0,0.00238411708508666,0,0,0,0,0.00521094074985722,0,0,0,0.000393968240636126,0.00467075749207779,0,0.000613290766351083,0,0,0,0,0,0,0,0,0,0.0209696703753023,0.000564552427303315,0,0
18,4.06152825398068e-06,0,0.00276996226921483,0,0,0,0,0.00781031883240485,0,0,0,0.000454891164445837,0.015766852681953,0,0.000763567311748368,0,0,0,0,0,0,0,0,0,0.0139797802502015,0.0007148289727006,0,4.06152825398068e-06
19,6.09229238097103e-05,0,0.00273747004318298,0,0,0,0,0.00363100625905873,0,0,0,0.000292430034286609,0.0375813209340833,0,0.00088947468762177,0,0,0,0,0,0,0,0,0,0.0127694448305153,0.00220134831365753,0,2.43691695238841e-05
20,0.000150276545397285,0,0.00261968572381754,0,0,0,0,0.00387469795429757,0,0,0,0.000288368506032629,0.159540891344615,0,0.000897597744129731,0,0,0,0,8.12305650796137e-06,0,0,0,0,0.0176879555460859,0.0125785530025782,0,8.12305650796137e-06
21,0.000767628840002349,0,0.00268060864762725,0,0,0,0,0.0157952833797309,0,0,0,0.000272122393016706,0.902788377238318,0,0.000974766780955364,0,0,0,0,8.12305650796137e-06,0,0,0,0,0.0263024569727789,0.0309935221061266,0,0
22,0,0,0.00305020771873949,0,0,0,0,0.0499811666934863,0,0,0,0.000316799203810493,1.77483504712226,0,0.00121033541968624,0,0,0,0,4.06152825398068e-06,0,0,0,0,0.0351768962077267,0.0521784534788898,0,4.06152825398068e-06
23,4.06152825398068e-06,0,0.00282276213651657,0,0,0,0,0.00853327086161342,0,0,0,0.000304614619048551,0.41335797652063,0,0.0013240582107977,0,0,0,0,0,0,0,0,0,0.019141982661011,0.0189510908330739,0,0
24,0,0,0.00272934698667502,0,0,0,0,0.00280245449524667,0,0,0,0.000199014884445054,0.0970380330441065,0,0.000995074422225267,0,0,0,0,0,0,0,0,0,0.00940243790796528,0.00593795430731976,0,0
25,0,0,0.00249377834794414,0,0,0,0,0.0028796235320723,0,0,0,0.000186830299683111,0.00366349848509058,0,0.000873228574605847,0,0,0,0,0,0,0,0,0,0.0104909274800321,0.000280245449524667,0,4.06152825398068e-06
26,0,0,0.00287556200381832,0,0,0,0,0.00327359177270843,0,0,0,0.000219322525714957,0.000556429370795354,0,0.00122658153270217,0,0,0,0,0,0,0,0,0,0.0142762718127421,0.000353352958096319,0,0
27,0,0,0.00286337741905638,0,0,0,0,0.00654718354541686,0,0,0,0.000483321862223701,0.00029649156254059,0,0.00102350512000313,0,0,0,0,0,0,0,0,0,0.0407777436699661,2.03076412699034e-05,0,0
28,0,0,0.00287556200381832,0,0,0,0,0.0106046502711436,0,0,0,0.000227445582222918,0.000134030432381363,0,0.00125907375873401,0,0,0,0,0,0,0,0,0,0.0717347120218068,4.06152825398068e-06,0,0
29,0,0,0.00296897715365988,0,0,0,0,0.00802557982986583,0,0,0,0.000365537542858262,0.000138091960635343,0,0.00243285542413443,0,0,0,0,0,0,0,0,0,0.0849834171862918,2.43691695238841e-05,0,0
30,0,0,0.00341574526159775,0,0,0,0,0.00586890832700209,0,0,0,0.000385845184128165,3.24922260318455e-05,0,0.00194547203365675,0,0,0,0,4.06152825398068e-06,0,0,0,0,0.0293648492762803,1.62461130159227e-05,0,4.06152825398068e-06
