miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	7400	8481.492009	N
cfa-let-7a-2	7508	8605.275946	N
cfa-let-7b	5366	6150.227854	N
cfa-let-7c	2703	3098.036878	N
cfa-let-7d	1366	1565.637579	N
cfa-let-7e	789	904.310432	N
cfa-let-7f	16010	18349.822576	N
cfa-let-7g	27770	31828.517985	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	30	34.384427	N
cfa-mir-1-2	24	27.507542	N
cfa-mir-101-1	1260	1444.145937	N
cfa-mir-101-2	1462	1675.667746	N
cfa-mir-103-1	878	1006.317565	Y
cfa-mir-103-2	866	992.563795	Y
cfa-mir-105a	1	1.146148	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	12	13.753771	N
cfa-mir-106b	318	364.474927	N
cfa-mir-107	321	367.913370	Y
cfa-mir-10a	8347	9566.893757	N
cfa-mir-10b	823	943.279449	N
cfa-mir-1185	2	2.292295	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	262079	300381.208681	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	11	12.607623	N
cfa-mir-125a	2210	2532.986127	N
cfa-mir-125b-1	1454	1666.498565	N
cfa-mir-125b-2	1450	1661.913975	N
cfa-mir-126	14192	16266.126296	N
cfa-mir-127	6	6.876885	N
cfa-mir-1271	73	83.668773	N
cfa-mir-128-1	1136	1302.023638	N
cfa-mir-128-2	593	679.665508	N
cfa-mir-129-1	7	8.023033	N
cfa-mir-129-2	0	0.000000	N
cfa-mir-1296	5	5.730738	N
cfa-mir-1301	12	13.753771	N
cfa-mir-1306	9	10.315328	N
cfa-mir-1307	136	155.876069	N
cfa-mir-130a	56	64.184264	N
cfa-mir-130b	27	30.945984	N
cfa-mir-132	92	105.445576	N
cfa-mir-133a	1	1.146148	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	1	1.146148	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	9	10.315328	N
cfa-mir-135a-1	35	40.115165	N
cfa-mir-135a-2	49	56.161231	N
cfa-mir-135b	19	21.776804	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	2	2.292295	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	547	626.942720	N
cfa-mir-140	970	1111.763142	N
cfa-mir-141	12	13.753771	N
cfa-mir-142	1251	1433.830609	N
cfa-mir-143	17791	20391.111396	N
cfa-mir-144	39	44.699755	N
cfa-mir-145	2518	2885.999578	N
cfa-mir-1468	1	1.146148	N
cfa-mir-146a	4904	5620.707677	N
cfa-mir-146b	1690	1936.989391	N
cfa-mir-147	9	10.315328	N
cfa-mir-148a	166503	190837.008647	N
cfa-mir-148b	1223	1401.738477	N
cfa-mir-149	9	10.315328	N
cfa-mir-150	176	201.721972	N
cfa-mir-151	1652	1893.435784	N
cfa-mir-152	585	670.496328	N
cfa-mir-153	10	11.461476	N
cfa-mir-155	876	1004.025270	N
cfa-mir-15a	52	59.599674	N
cfa-mir-15b	107	122.637790	N
cfa-mir-16-1	553	633.819606	N
cfa-mir-16-2	497	569.635342	N
cfa-mir-17	271	310.605991	N
cfa-mir-181a-1	983	1126.663060	N
cfa-mir-181a-2	987	1131.247650	N
cfa-mir-181b-1	228	261.321646	N
cfa-mir-181b-2	289	331.236647	N
cfa-mir-181c	16	18.338361	N
cfa-mir-181d	60	68.768854	N
cfa-mir-182	301	344.990418	N
cfa-mir-183	87	99.714838	N
cfa-mir-1835	3	3.438443	N
cfa-mir-1836	60	68.768854	N
cfa-mir-1837-1	0	0.000000	N
cfa-mir-1837-2	1	1.146148	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	7	8.023033	N
cfa-mir-1839	71	81.376477	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	3	3.438443	N
cfa-mir-1841	7	8.023033	N
cfa-mir-1842	3	3.438443	N
cfa-mir-1843	15	17.192214	N
cfa-mir-1844	3	3.438443	N
cfa-mir-185	334	382.813288	N
cfa-mir-186	3616	4144.469609	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	3	3.438443	N
cfa-mir-18a	24	27.507542	N
cfa-mir-18b	2	2.292295	N
cfa-mir-190a	1	1.146148	N
cfa-mir-190b	5	5.730738	N
cfa-mir-191	8101	9284.941455	N
cfa-mir-192	11470	13146.312614	N
cfa-mir-193a	109	124.930085	N
cfa-mir-193b	138	158.168364	N
cfa-mir-194	6280	7197.806732	N
cfa-mir-195	481	551.296981	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	2	2.292295	N
cfa-mir-196b	2	2.292295	N
cfa-mir-197	33	37.822870	N
cfa-mir-199-1	5154	5907.244570	N
cfa-mir-199-2	5112	5859.106372	N
cfa-mir-199-3	4213	4828.719707	N
cfa-mir-19a	18	20.630656	N
