, 15569
ALB, 12017
FN1, 4512
TF, 4322
APOB, 3905
C3, 3478
ALDOB, 2227
FGA, 2028
RBP4, 1403
COX1, 1373
LRP1, 1357
CYP2E1, 1309
FGG, 1297
HPD, 1280
AHSG, 1243
APOA1, 1123
SERPINA1, 1105
FGB, 1048
CPS1, 1005
APOE, 857
C1S, 814
TTR, 761
MT-CO2, 699
C5, 693
GC, 650
HPX, 598
RPL9, 552
VTN, 546
CESdD1, 523
GLDC, 504
PLG, 493
A1BG, 471
UGT2B31, 463
PSAP, 439
C4BPA, 423
ITIH2, 411
BHMT, 401
SERPINC1, 388
ITIH1, 359
CLU, 357
SERPING1, 339
PCK2, 327
ASS1, 324
APOH, 323
ADH4, 322
COX3, 321
PCK1, 304
A2M, 288
HRG, 286
SERPINF1, 273
LAMP2, 271
EEF2, 265
ALAS1, 264
ACADVL, 252
PROS1, 249
F2, 246
SLC7A2, 242
APOA2, 238
ATP6, 235
C1R, 232
FTH1, 229
ACTG1, 226
PAH, 220
TAS1R2, 208
CYP3A12, 208
BHMT2, 205
F5, 202
HSP90B1, 200
CP, 200
PIGR, 195
PON1, 188
HSPA5, 188
GPX3, 184
ABCA1, 183
COL18A1, 180
SCP2, 171
CPB2, 169
DYNC1H1, 168
SLC38A4, 167
AHNAK, 167
ALDH6A1, 165
P4HB, 163
APOC3, 161
RELN, 159
AMBP, 159
QSOX1, 156
NID1, 152
SERPINA5, 152
LECT2, 150
DST, 147
PDIA4, 147
EHHADH, 145
CYP2C18, 145
CAT, 143
RNASE4, 142
CYP3A26, 142
CMBL, 141
EPHX1, 140
ATP1A1, 139
ACSL1, 136
LRP5, 136
TPT1, 135
GPLD1, 135
SPTBN1, 133
CYP4A39, 131
ACSL4, 131
HDLBP, 131
CALR, 130
TAT, 128
SRRM2, 127
DLA-64, 126
AFM, 125
CLTC, 123
C6, 121
MT-ND1, 120
ACAA2, 119
RACK1, 119
SEC14L4, 118
MACF1, 117
CYP8B1, 116
NDRG2, 116
GOT1, 116
DLA DRA, 114
TNFSF10, 112
HSD17B14, 110
CD74, 110
HSD17B4, 106
MAT1A, 103
FBLN1, 102
MT-ND4, 102
CYP4V2, 99
ERRFI1, 99
DPYD, 99
AMACR, 99
B2M, 97
MYC, 97
NCOA4, 96
TDO2, 95
THBS1, 95
PGRMC2, 95
CYP7B1, 94
RNF213, 94
ATP13A3, 92
IQGAP2, 91
HGFAC, 91
ADIPOR2, 91
F10, 89
POSTN, 89
CD163, 89
UBR4, 89
RDH16, 88
EIF4B, 88
TMEM59, 88
RPL8, 88
COL1A2, 88
CDH1, 87
HMGCS2, 87
C9, 86
PRPF8, 86
FTCD, 86
LRG1, 86
HSP90AB1, 83
ACAA1, 83
UBR5, 81
CFI, 81
CTH, 81
ITM2B, 80
FH, 80
EPAS1, 79
HSP90AA1, 79
SLC38A3, 79
SERPINF2, 79
UGT1A6, 79
GGCX, 79
SLC40A1, 78
PCSK6, 78
COL3A1, 78
MYH9, 77
SYNE2, 77
CES2, 76
SCAF4, 75
TMBIM6, 75
PLEC, 75
MAPK6, 74
MGAM, 74
PYGL, 74
FGL1, 73
AASS, 73
HERC2, 72
CTNND1, 72
IGFALS, 72
TLN1, 72
AHCY, 71
HSD11B1, 71
NCKAP1, 71
RPL18A, 69
HERC6, 69
SLC19A2, 69
ATRN, 68
MAN2A1, 68
DPYS, 68
SLC27A2, 68
SLC39A14, 67
FTL, 67
CYP2A7, 67
UROC1, 66
CTSB, 66
FAT1, 66
CI-MPR, 66
GLS2, 65
AGTR1, 65
RPS7, 65
BSG, 65
F9, 65
RGN, 65
RXRA, 65
CTSS, 64
RPL5, 64
CPT1A, 64
CDO1, 64
EIF4G1, 64
ACADM, 64
ND5, 63
MIA3, 63
GNMT, 63
CSAD, 63
NCEH1, 62
IL1R1, 62
EPHX2, 62
HABP2, 62
ND2, 62
GPD1, 62
WWP1, 62
UGDH, 62
REEP6, 61
LONP2, 61
SLC6A11, 61
CYTB, 61
ITGAV, 60
C8B, 60
PGAM4, 59
ACTB, 59
SLCO2B1, 59
LIPA, 59
ATP5A1, 58
KANSL1L, 58
MT-ND6, 58
DHCR24, 58
MAN1A1, 58
SMG1, 58
FETUB, 58
SDHA, 57
ARG1, 57
TPST1, 57
ACOX3, 56
FURIN, 56
PTPRF, 56
SPARCL1, 55
CD81, 55
DHDH, 55
ALDH9A1, 55
CFHR5, 54
LMBRD1, 54
GHR, 54
ODC1, 54
HUWE1, 54
ACSS3, 54
PRDX1, 54
SARDH, 53
LRPPRC, 53
LGR4, 53
CTNNB1, 53
G6PC, 53
CD36, 53
TFR2, 53
CXCL12, 52
GNE, 52
DSG2, 52
C1RL, 52
SERPIND1, 52
PLA2G12B, 52
ACOX1, 51
MARCH6, 51
PLK2, 51
CDC42BPB, 51
ABCA9, 51
AGT, 51
AZGP1, 50
FBXL5, 50
APOA5, 50
CANX, 50
IL6ST, 50
CYP2A13, 50
KCNJ2, 50
ERBB2, 50
ACACA, 50
HSPA9, 50
HADHA, 49
SLC25A25, 49
SALL1, 49
C8A, 49
SLC41A2, 49
UHRF1BP1L, 49
WBP1L, 49
DDX3X, 49
PABPC1, 49
GLUL, 48
FASN, 48
STAB2, 48
MET, 48
SMIM14, 48
GSTM4, 48
ACOX2, 48
ETFDH, 48
ST6GAL1, 47
RPN2, 47
PGM1, 47
H6PD, 47
LAMP1, 47
CD5L, 47
GANAB, 47
RPL15, 47
TFRC, 47
PCNX1, 46
IGFBP4, 46
FADS1, 46
VPS13D, 46
FBP1, 46
ITGB1, 46
LDLR, 45
ABCA8, 45
CSF1R, 45
AIFM1, 45
ANGPTL3, 45
NOTCH2, 45
EPRS, 44
AP1B1, 44
CSDE1, 44
ARL4A, 44
CYP51A1, 44
COL6A5, 44
APOC1, 44
ERBIN, 44
PPP4R3B, 44
MRC1, 44
ECI2, 44
TTPA, 44
HAL, 43
GUK1, 43
STARD10, 43
DHTKD1, 43
ABCB11, 43
AMFR, 43
FMO3, 43
CYP27A1, 43
SLC16A10, 43
ALDH7A1, 42
EIF4G2, 42
JUN, 42
CGNL1, 42
PC, 42
RPL28, 42
MTTP, 42
ADAM23, 42
HSD17B13, 42
ACTN4, 42
F11, 42
POR, 42
FAAH, 42
RPS4X, 41
MPEG1, 41
RPS5, 41
GPC3, 41
SERPINA6, 41
COL6A3, 41
SURF4, 40
AQP9, 40
INSIG1, 40
LGALS3BP, 40
PTPRS, 40
FUCA1, 40
ALDH1A1, 40
GNS, 40
AKR1E2, 40
MYH14, 40
SCARB1, 40
IGF2, 39
APMAP, 39
GPT, 39
ACSM4, 39
CLUH, 39
STT3A, 39
PKLR, 39
REEP5, 39
TMEM245, 39
ADGRL2, 39
F7, 39
HPN, 39
FADS2, 39
LMAN2, 39
MAOB, 39
ASAH1, 39
CTSZ, 39
MTHFD1, 38
PRKCSH, 38
FBXW2, 38
TXNIP, 38
NNT, 38
NRP1, 38
FNIP2, 38
CDH2, 38
YTHDF3, 38
PNP, 38
ARHGEF12, 38
CERS2, 37
MYCBP2, 37
PPIB, 37
CTSL, 37
ERAP1, 37
IL1RAP, 37
