, 941667
RACK1, 347730
RPS12, 110696
EIF4A2, 89393
WDR43, 40539
SPCS1, 34269
EIF4G1, 29089
NOP56, 23246
HUWE1, 22846
P2RY11, 8079
CCAR1, 6886
UBAP2, 6683
RABGGTB, 5989
RPL3, 5763
RPL5, 5122
CNTNAP5, 4928
SNX5, 4234
TNPO2, 4011
NCL, 3722
HSPA9, 3296
TIPIN, 2904
PUM1, 2675
RPS8, 2634
GNL3, 2621
PRRC2B, 2569
RPL13A, 2408
SF3B3, 2391
RPL7A, 2054
DDX39B, 1904
PRPF39, 1259
ADAMTSL1, 1247
TRRAP, 1127
NOP58, 1041
RPS3, 985
AP1G1, 933
AP1B1, 877
TEX14, 759
PRKCA, 740
EEF2, 680
SLC38A4, 663
EXT1, 559
KANSL2, 461
RAPGEF5, 445
CEP295, 428
APOA1, 392
RPL32, 376
CPS1, 350
HABP2, 343
MAN1C1, 302
NR5A2, 264
CALR, 255
PHB2, 238
IGF1, 219
ASS1, 216
LRCH1, 189
IKBKG, 189
CNOT1, 186
EPAS1, 182
ADK, 175
PPARGC1A, 172
ADRA1A, 171
FGA, 170
CYP7B1, 166
NFIA, 162
MAGI3, 161
GTF2A1, 159
FOXO3, 154
ITGA9, 153
SLC25A13, 147
ACSS3, 146
SPTBN1, 146
MED24, 145
KIAA1217, 143
PAH, 141
DPYD, 140
ABCA1, 138
RCL1, 136
ZBTB16, 135
ANO10, 132
KIAA0907, 132
MTSS1, 131
UGT1A6, 130
MBNL1, 127
FAM214A, 126
MYO16, 126
PTPRM, 124
FARP1, 124
ETV6, 123
ALAS1, 123
COBLL1, 117
MTPAP, 116
ALB, 116
MAP2K4, 115
PLEKHA5, 114
GAS2, 113
ATG16L1, 112
FNDC3B, 111
VPS13D, 110
timp3, 109
GPHN, 109
MYO1E, 108
GRB14, 107
SLC16A7, 105
RBPMS, 104
PIK3R1, 103
AFDN, 102
PDLIM5, 100
MGLL, 99
MAML3, 99
PRKCE, 98
HGD, 98
BBOX1, 97
PRKAG2, 96
JARID2, 96
EXOC4, 96
ZFAND3, 95
PTPRK, 94
IGF2, 94
MAML2, 94
GPR39, 93
TAS1R2, 93
HIPK2, 91
PBX1, 90
ACSL4, 89
MAN2A1, 88
IQGAP2, 88
TSC22D2, 88
PABPC4, 88
FOXO1, 87
PTCD3, 86
SND1, 86
SAMD4A, 85
RPSA, 84
WBP1L, 83
RETREG1, 83
CRIM1, 82
SLC1A2, 82
PRR16, 79
CYP3A26, 79
UROC1, 79
KLF9, 79
TPT1, 78
CHN2, 77
DDX5, 76
AKAP2, 76
KPNA4, 75
PCSK6, 75
BCAS3, 74
CYP21, 73
PEBP1, 73
CYP2B6, 72
CDH2, 71
LMO7, 71
C9orf3, 71
TNRC6A, 71
SHANK2, 70
TESMIN, 70
MAML1, 69
HOMER1, 69
CHD4, 69
POR, 68
SLC25A25, 68
CCBE1, 67
ATRN, 67
DOCK4, 66
CDC42BPB, 65
NEBL, 65
ACTN4, 64
GALNT13, 64
MED13L, 64
ZNF609, 63
GLDC, 63
SDC4, 63
SORBS1, 63
RNLS, 63
DUSP10, 62
MAT1A, 62
LIPC, 61
BABAM2, 61
LDB2, 60
PDE4DIP, 60
DPYS, 60
ARHGAP26, 58
UBE2H, 58
DIAPH2, 58
HSD17B4, 58
HAL, 58
AP3B2, 57
TTC28, 57
AGAP2, 57
VWA8, 57
RPL23, 56
NOP53, 56
IDO2, 56
ZNF407, 56
ABTB2, 56
ZCCHC7, 55
STARD13, 55
QSOX1, 55
NFIB, 55
SLC39A14, 55
CTNND1, 55
DLC1, 55
IGFBP4, 55
PHLPP1, 55
LMO2, 55
TAT, 54
DOCK1, 54
PLXNA4, 54
PROX1, 54
PCK1, 54
MAP3K20, 54
GPR176, 54
AUTS2, 53
C16orf72, 53
ARHGAP10, 53
SOX5, 53
SLCO2B1, 53
ELL2, 52
IL1RAP, 52
SNTB1, 52
A1CF, 52
CTIF, 52
AGMO, 52
RANBP1, 52
FMNL2, 51
STAB2, 51
TMED7-TICAM2, 51
DGAT2, 50
SLC41A2, 50
RPS15A, 50
NAV2, 50
ARID1B, 50
ACACA, 50
ACSL1, 50
BCL2, 50
IL1R1, 50
FGGY, 50
MYO1B, 50
SAXO1, 49
GBA3, 49
CDO1, 49
CP, 49
PYGL, 49
DENND1A, 49
C5, 49
MYO5B, 49
PSAP, 49
ANO1, 48
ACTN1, 48
PEX14, 48
RUFY3, 48
HPD, 47
LPGAT1, 47
BCL2L11, 47
SH3PXD2B, 47
KANK1, 47
TLE1, 47
LRBA, 46
ATXN2, 46
TCF12, 46
SUCLG2, 46
GCH1, 46
ATP1B1, 46
CALD1, 46
ADAM23, 46
VPS13B, 45
ARHGEF26, 45
TPM1, 45
TCF7L1, 45
AKAP13, 45
SYNPO2, 45
DST, 45
FBXW2, 45
SUGCT, 45
CKAP5, 45
COL18A1, 44
GSTM4, 44
ANK1, 44
ACACB, 44
ELMO1, 44
FN1, 43
ALCAM, 43
COL4A2, 43
TCF7L2, 43
ANKS1B, 43
P4HA1, 43
PAPD5, 43
FOXP1, 43
QKI, 43
IREB2, 43
FGFR2, 43
SORBS2, 43
MSRA, 42
WDFY4, 42
ATP9B, 42
CREB3L2, 42
TEAD1, 42
CACNA1C, 42
CFI, 41
RPL12, 41
RBMS1, 41
HSP90AB1, 41
ASAP1, 41
FAM172A, 41
HIVEP1, 41
SLC2A9, 41
SLC9A9, 41
XDH, 40
PCCA, 40
NR3C1, 40
MACF1, 40
TMEM135, 40
PLPP3, 40
MBNL2, 40
DLST, 40
CDADC1, 40
G6PC, 40
TEF, 40
ABHD15, 40
SBF2, 39
ZEB1, 39
NCEH1, 39
TTC7B, 39
PARP8, 39
ERN1, 39
ATP13A3, 39
ATRNL1, 39
FAT1, 38
RERE, 38
RBMS3, 38
HYKK, 38
ASPH, 38
PLG, 38
CLYBL, 38
LPP, 38
ANKH, 38
C19orf57, 38
SFMBT2, 37
ANO6, 37
VCL, 37
ARHGAP24, 37
CCNY, 37
TCP1, 37
NEDD4L, 37
FBLN5, 37
CUX2, 36
EHBP1, 36
SGMS1, 36
UVRAG, 36
NAALADL2, 36
CMTM8, 36
FBXO21, 36
KIAA1671, 36
DDX17, 36
RAPH1, 36
VMP1, 36
ST7, 36
CABLES1, 36
INSIG1, 36
CLU, 36
H2AFY, 36
RDX, 36
FZD4, 36
EP400, 35
ABCC5, 35
XPO6, 35
SIK2, 35
PPM1L, 35
MB21D2, 35
