, 12366
ALB, 7178
C3, 3008
TF, 2799
MT-CO2, 2329
APOB, 2231
FGA, 1827
FN1, 1331
FGB, 1103
COX1, 1021
FGG, 986
RBP4, 903
SERPINA1, 814
CPS1, 699
CLU, 697
LRP1, 580
MT-ATP8, 503
C1S, 431
APOA1, 395
CP, 381
CYP2E1, 381
PSAP, 375
B2M, 368
APOH, 360
CTSB, 360
MT-ND3, 357
ALDOB, 338
A2M, 328
FETUB, 306
C5, 302
PLG, 299
ND2, 298
GC, 294
COX3, 291
SERPING1, 278
C1R, 273
BHMT, 271
FTH1, 260
HPX, 257
VTN, 253
HPD, 241
CESdD1, 222
ABCB4, 222
DYNC1H1, 221
APOE, 208
ASS1, 208
AHSG, 206
SPTBN1, 205
ITIH2, 198
ND5, 188
EEF2, 183
MT-ND1, 182
ACSL4, 174
CD163, 173
HSP90B1, 171
MT-ND6, 166
C4BPA, 165
RNF213, 163
ACSL1, 159
MX1, 158
CD74, 158
DST, 157
SCP2, 155
TTR, 154
A1BG, 154
HSP90AA1, 153
ATP6, 152
GPNMB, 150
ITIH1, 147
CAT, 146
PIGR, 143
SERPINC1, 140
TPT1, 139
MT-ND4, 138
AHNAK, 136
P4HB, 134
CYP3A26, 129
ADH4, 128
APOA2, 125
HSPA5, 124
SLC40A1, 122
DPYS, 120
CLTC, 119
MAN2A1, 118
F2, 118
LAMP2, 117
GLDC, 114
MYH9, 113
FASN, 113
PROS1, 113
ACTG1, 110
ABCA1, 109
RGN, 107
F5, 107
THBS1, 107
ARG1, 103
COL1A2, 102
SRRM2, 101
CFI, 100
CYTB, 100
CALR, 99
CYP2C18, 99
SLC38A4, 99
ITM2B, 97
ATP1A1, 97
PLEC, 97
QSOX1, 92
DLA DRA, 91
EPHX1, 90
SLC7A2, 90
EHHADH, 90
C6, 89
PAH, 89
RELN, 88
FTL, 88
FAT1, 86
PON1, 86
ACTB, 86
GLUL, 85
C1QB, 85
PDIA4, 85
COL3A1, 84
AMBP, 84
ALAS1, 84
RPL8, 83
PYGL, 83
CYP8B1, 82
HLA-DRB1, 82
ABCB11, 81
TAS1R2, 81
UGT1A6, 80
MPEG1, 79
UGDH, 79
RNASE4, 79
EIF4G1, 79
IQGAP2, 78
CI-MPR, 78
CTNNB1, 77
SLCO1B3, 77
SYNE2, 75
SAMD9L, 75
HDLBP, 74
CTSK, 74
HMGCS2, 74
DPYD, 73
ALDH7A1, 72
MYO1B, 72
CTSZ, 72
ALDH3A2, 72
CYP2A13, 72
PRDX1, 72
CDH1, 72
POSTN, 72
MACF1, 72
HSD17B4, 71
HERC1, 71
NCOA4, 70
HERC2, 70
TRIP12, 68
SERPIND1, 67
UGT2B31, 67
DSP, 67
DHCR24, 67
ACADM, 66
MAN1A1, 66
CDO1, 66
ATP5A1, 66
VPS13D, 66
CYP2A7, 66
HSP90AB1, 65
ASAH1, 64
HUWE1, 64
HRG, 63
CTSS, 62
EIF3A, 62
ACAA2, 62
IL6ST, 62
PCK2, 61
PARP14, 61
EPRS, 61
COL6A3, 61
COL12A1, 61
NNT, 61
ANXA6, 61
PRPF8, 60
RPL9, 60
NDRG2, 59
C1QA, 59
C1QC, 58
FMO5, 58
HSD17B13, 58
STAB2, 58
CSDE1, 57
RRBP1, 57
ETFDH, 57
ATP13A3, 57
CD36, 56
CPT1A, 56
SPP1, 56
ZNFX1, 55
PABPC1, 55
UBR4, 55
ACACA, 55
SPTAN1, 55
TLN1, 54
ARHGEF12, 54
CPB2, 54
AGL, 54
SLC6A6, 54
ND4L, 54
HNRNPU, 53
SERPINA3, 53
APOC1, 53
CLEC4F, 53
MYLK, 53
SUCLG2, 52
HMGCR, 52
CANX, 52
ABCD3, 52
MARCH6, 52
GOT1, 52
TMEM59, 51
HADHA, 51
TNFSF10, 51
SPARCL1, 51
EIF4B, 51
ACSL5, 50
CD5L, 50
DDX3X, 50
COL1A1, 50
EIF4G2, 49
TAT, 49
ARHGAP5, 49
ERAP1, 49
SERPINF2, 49
C9, 49
RACK1, 48
ITGAV, 48
APLP2, 48
MET, 48
GPLD1, 48
ADIPOR2, 48
ITGB1, 48
CTSD, 48
PLK2, 48
LRPPRC, 47
CYP4V2, 47
GRN, 47
SSR1, 47
CYP3A12, 47
MRC1, 47
IDH1, 47
WNK1, 46
F9, 46
RPS9, 46
CD81, 46
TTPA, 46
DDX60, 46
LONP2, 46
SEC14L4, 46
XPOT, 46
FGL1, 46
CSAD, 46
LGALS3BP, 46
RPS5, 45
UGP2, 45
DHTKD1, 45
ACTR2, 45
HABP2, 45
PCNX1, 44
HIPK3, 44
AMACR, 44
VCAN, 44
GDI2, 44
CTNND1, 44
CSF1R, 44
SERPINA5, 44
COL18A1, 43
SLC27A2, 43
ATP11C, 43
DDX58, 43
UROC1, 43
LUM, 43
GPX3, 43
SLC38A3, 42
ALCAM, 42
EIF5B, 42
APP, 42
FMO1, 42
KMT2D, 42
BPI, 42
NCL, 42
FBLN1, 41
MTHFD1, 41
AASS, 41
BHMT2, 41
AFDN, 41
ERRFI1, 41
RPL12, 41
UBR5, 41
SERPINF1, 41
VSIG4, 41
AZGP1, 41
MAT1A, 41
AHCY, 40
SOD1, 40
ACTN4, 40
KMT2C, 40
RPS8, 40
MGST1, 40
CYP7B1, 40
UCP2, 39
HECTD1, 39
AFM, 39
ABCA8, 39
PCYOX1, 39
VIM, 39
TDO2, 39
TMBIM6, 39
RPL5, 39
POR, 38
KIDINS220, 38
RAPGEF2, 38
MDN1, 38
GPAM, 38
AKAP13, 38
SCAF11, 38
ZC3HAV1, 38
RPL15, 38
GOLGA4, 38
HSDL2, 38
SETD2, 37
HIF1A, 37
REEP6, 37
CTR9, 37
ADGRA3, 37
MAPK6, 37
VPS13C, 37
SDHA, 37
RPL10A, 37
COPB1, 37
EIF4A2, 37
GGH, 37
DIAPH1, 37
RPS7, 37
CFHR5, 36
TRIM25, 36
PDE3B, 36
C8B, 36
CTNNA1, 36
ERBIN, 36
IFI44, 36
PPIB, 36
SARAF, 36
SERINC1, 36
SORD, 35
PGM1, 35
SCPEP1, 35
CTH, 35
PECAM1, 35
PDK4, 35
CTSH, 35
SLCO2B1, 35
PDXDC1, 35
CYP4A39, 35
PHF3, 35
TAX1BP1, 35
DDX5, 35
C8A, 35
GOLGB1, 34
CALD1, 34
TXNIP, 34
SMG1, 34
VNN1, 34
ADAR, 34
MIA3, 34
PRRC2C, 34
SLC6A11, 34
SLC25A13, 34
SF3B1, 34
PROX1, 34
ACOX1, 34
KIAA0368, 34
NID1, 34
VCP, 34
SEC14L2, 33
DNAJC3, 33
DLC1, 33
PNP, 33
ABCA9, 33
LECT2, 33
IFNGR1, 33
CTSL, 33
IL1RAP, 33
DLA-DQA1, 32
ATP2B1, 32
ACAD11, 32
MTDH, 32
FLNA, 32
PLA2G7, 32
CMBL, 32
PTPRK, 32
HSPG2, 32
CDH2, 32
STAT3, 32
VPS13A, 32
