, 2297531
EIF4A2, 422885
RPS12, 396526
RPL7A, 222741
UBAP2, 177318
NOP56, 175695
NCL, 172163
EIF4G1, 150851
P2RY11, 145131
TNPO2, 142797
RPS8, 136554
RPL3, 135183
RPL13A, 132414
GNL3, 100635
RABGGTB, 76293
RPL5, 75893
PUM1, 60668
HSPA9, 56523
WDR43, 56220
PRPF39, 45593
SF3B3, 44264
PRRC2B, 38624
AP1B1, 37950
AP1G1, 37175
SPCS1, 35193
NOP58, 29450
CCAR1, 25408
EEF2, 21509
DDX39B, 19572
TEX14, 12353
CEP295, 9384
HUWE1, 8505
MED24, 7441
RACK1, 5681
MYO16, 2574
RAPGEF5, 2540
SNX5, 2534
TCP1, 1960
RPS3, 1757
RPL32, 1337
CHD4, 1295
KIAA0907, 1082
RPL12, 1061
CNOT1, 953
ADAMTSL1, 911
RPL23, 802
KPNA4, 781
CKAP5, 779
PTCD3, 670
GTF2A1, 539
INPP4B, 519
IKBKG, 495
EIF4G2, 468
OVOL2, 444
CGN, 392
TRRAP, 373
RPSA, 364
KANSL2, 337
CHD8, 336
SLC25A16, 327
NCAPD2, 323
FGA, 320
EP400, 317
TIPIN, 305
SH3PXD2B, 280
NOP53, 252
EIF3A, 245
MAML2, 237
RANBP1, 214
SLC38A4, 208
SPIRE1, 207
FGG, 200
PHB2, 195
RPS11, 192
WRAP53, 168
MAMDC2, 165
MOB4, 161
PRKCA, 158
EXT1, 155
TMEM167A, 147
TPT1, 146
FAM208B, 135
EIF5, 133
ATG16L1, 130
ANO10, 129
CCT6A, 125
MAP2K4, 120
VTI1A, 118
HAUS6, 115
UBAP2L, 114
PPP1R8, 111
NDUFV3, 109
TOMM20, 109
TTC7B, 108
PABPC4, 101
DPYD, 98
CYP7B1, 97
NRF1, 97
EXOC4, 91
MCTP1, 89
LARP4, 88
MTSS1, 87
UGT1A6, 86
CPS1, 85
ACTN1, 85
WDFY4, 85
IPO7, 84
COL22A1, 80
LSAMP, 79
MAML1, 79
DIAPH2, 79
ATRNL1, 79
CCDC180, 78
APOA1, 78
FMNL2, 77
CMIP, 77
VPS13D, 70
ITPKB, 70
ZFAND3, 69
DST, 68
ZBTB16, 68
PRKCE, 67
PLEKHA5, 66
LRCH1, 65
CHD3, 63
ITGA9, 63
ALCAM, 63
CAMK2D, 62
PTPRK, 62
NFIA, 62
ETV6, 59
DOCK4, 58
WT1, 58
SLC9A9, 56
NFIB, 56
ACSL3, 55
MACF1, 55
TESMIN, 55
C16orf72, 55
PTPRM, 55
MBNL1, 54
FNDC3B, 53
MAGI3, 52
C4orf45, 52
TCF7L2, 52
LPP, 51
GPHN, 51
FZD4, 51
CCNY, 50
PID1, 50
SAMD4A, 50
CPED1, 49
FARP1, 49
VPS13B, 48
RNF213, 48
STAB2, 47
RDX, 47
QKI, 47
SLC8A1, 47
EIF4A1, 47
ARHGAP26, 46
FOXO3, 45
SNX29, 45
MED13L, 45
LRBA, 45
MYO9A, 44
GGCX, 44
RFWD2, 44
JARID2, 44
STARD13, 44
PRRC2A, 43
CALR, 43
ADK, 43
PEBP1, 43
CYP3A26, 42
WDFY1, 42
ATP8A1, 42
ELMO1, 42
ZNF407, 41
FCHSD2, 41
ARID1B, 41
HIPK2, 41
DENND1A, 40
RBMS3, 40
YTHDC2, 40
CARMIL1, 40
MARK3, 40
AFF1, 39
SBF2, 39
BCAS3, 39
ERC1, 39
KCNQ1, 38
ABCB4, 38
ALB, 38
FTO, 38
CWF19L1, 38
RALGAPA2, 38
UVRAG, 38
HS3ST3A1, 37
LDB2, 37
SSH2, 37
BCL2, 37
HERC2, 37
CBLB, 36
ABCA1, 36
TPK1, 36
NOTCH2, 36
HABP2, 35
TCF12, 35
NDST1, 35
KLF9, 35
TLE1, 35
MAN2A1, 35
MARCH1, 35
ABCB11, 35
CHN2, 34
FAM189A1, 34
LPGAT1, 34
TMCC1, 34
CCBE1, 34
CELF2, 34
TBC1D22A, 34
AKAP13, 34
MYLK, 33
FKBP5, 33
EP300, 33
LAMP2, 33
PDE7B, 33
CP, 33
ACSL1, 33
ASPH, 33
ARHGAP24, 33
SYNE2, 32
PPM1H, 32
EXOC6B, 32
RPGR, 32
ATP8B4, 32
NUP98, 32
ACSS3, 32
PARN, 32
SPIDR, 31
SOX5, 31
AGAP2, 31
TMED7-TICAM2, 31
FBXW2, 31
PLXDC2, 31
CLCN5, 31
TYSND1, 31
FMR1, 31
PHIP, 30
NR5A2, 30
ATP9B, 30
ZCCHC7, 30
IGF2, 30
PICALM, 30
DAPK1, 30
DLC1, 30
KANSL1, 30
GBA3, 30
RBMS1, 29
TRMT44, 29
LIPC, 29
HERC4, 29
SRGAP2, 29
AKAP2, 29
ABCC5, 29
CHCHD3, 29
PTPN1, 29
GPCPD1, 29
RASA1, 29
BABAM2, 28
CHKA, 28
ADAM23, 28
KLHL3, 28
CUX1, 28
PTPRC, 28
KIAA1328, 28
PLCE1, 28
C4BPA, 28
SNX30, 28
RPS15A, 28
TBC1D5, 28
SPTBN1, 28
GNB1, 27
TACR1, 27
MRPL33, 27
ABCA8, 27
FAF1, 27
IQGAP2, 27
ZNF398, 27
SNX13, 27
PLPP3, 26
MCU, 26
CYP2C18, 26
C5, 26
SMAP1, 26
WWP1, 26
G3BP1, 26
UBE2H, 26
RAPGEF2, 26
PYGL, 26
SSH1, 26
CDKAL1, 25
POLA1, 25
USP34, 25
PPP3CA, 25
SH3BGRL, 25
SHMT2, 25
FAM172A, 25
PBX1, 25
ABHD15, 25
HSD17B4, 25
IL6ST, 24
WDR25, 24
ADRA1A, 24
RP9, 24
UROC1, 24
ASH1L, 24
WDFY3, 24
OSBPL10, 24
CTNND1, 24
IL1RAP, 24
DCAF5, 24
VAV3, 24
GNAQ, 24
DDX60, 24
ANTXR2, 24
PAH, 24
ITPR2, 24
CHD2, 24
PCTP, 24
SEPT9, 24
TEF, 24
MYO7A, 24
PGS1, 24
LTBP4, 24
EXOC6, 24
SND1, 24
CD163, 24
DHRS7B, 24
AAK1, 24
KLF12, 24
MYO1B, 24
FAM107B, 24
DIP2B, 23
WDR7, 23
SPRED1, 23
MESDC2, 23
ARID1A, 23
BUB1, 23
SFMBT2, 23
SBNO1, 23
TAS1R2, 23
SSR1, 23
AP3B1, 23
MYCBP2, 23
DYNC1LI1, 23
RPTOR, 23
TRIP12, 23
PARD3, 23
DOCK1, 23
ZNF280C, 23
FLI1, 23
RCSD1, 23
ASAP1, 23
MITF, 22
MAD1L1, 22
FYB, 22
LRMDA, 22
SKAP2, 22
CAMK1D, 22
PODN, 22
RANBP10, 22
SDCCAG8, 22
KIAA1217, 22
PRKCB, 22
HAL, 22
GBE1, 22
PML, 22
GLG1, 22
RGL1, 22
TBXAS1, 22
TSC22D1, 22
MGLL, 22
ASCC3, 22
GIGYF2, 22
AGAP1, 22
GRHPR, 22
RERE, 21
PDE4DIP, 21
TF, 21
GLIS3, 21
CACUL1, 21
STOX2, 21
PHKB, 21
SPG11, 21
PITPNB, 21
CLYBL, 21
TRPS1, 21
MAP3K20, 21
KIAA0922, 21
ERN1, 21
CPQ, 21
TNRC6A, 21
ATRN, 21
CPNE8, 21
DISC1, 21
RUNX1, 21
PCYT2, 21
PER1, 21
EML4, 21
SMAD3, 21
RCL1, 21
CPXM2, 20
ASS1, 20
ME1, 20
HOMER1, 20
CERS6, 20
RBKS, 20
TLK1, 20
TNS1, 20
PAPD5, 20
HES2, 20
AKT3, 20
PDE3B, 20
GPR39, 20
ANKRD17, 20
LCP2, 20
ANKS1A, 20
ATP6V0E2, 20
SUSD6, 20
EPAS1, 20
SYNPO2, 20
GYS2, 20
RNF216, 20
GLDC, 20
ELOVL6, 20
CEACAM28, 20
OTOP1, 20
ZNF609, 20
FOXP1, 19
AARS, 19
DOCK2, 19
ALDH6A1, 19
ATXN2, 19
C3, 19
WDR37, 19
MMP14, 19
VWA8, 19
ALDH5A1, 19
SEC14L1, 19
PSD3, 19
PDIA5, 19
NR3C1, 19
NRP1, 19
EHD1, 19
MEF2A, 19
MAPK1, 19
XPO6, 19
NAV2, 19
CDK13, 19
VAC14, 19
SESN3, 19
ACADVL, 19
CABLES1, 19
LMO7, 19
DYSF, 19
ATP2A2, 19
PAPD4, 19
BANK1, 19
LIMCH1, 19
PRKAR2B, 19
VWA5B2, 19
SMCHD1, 19
TMEM131, 19
SLC7A2, 19
NUP155, 19
RSRC1, 18
PKP4, 18
KMT5B, 18
MGST1, 18
UBE2K, 18
KDM6A, 18
UBAC2, 18
AFF3, 18
SASH1, 18
DDX5, 18
NEBL, 18
JMJD1C, 18
APBB2, 18
ACTN4, 18
TNFSF10, 18
AIG1, 18
ANKRD44, 18
MAN1C1, 18
AGMO, 18
PIKFYVE, 18
SLCO2B1, 18
DENND4A, 18
TEAD1, 18
GRHL2, 18
PCDHGC5, 18
PARD3B, 18
HSP90AB1, 18
ERGIC1, 18
IGF1, 18
SETD2, 18
TBC1D14, 18
AP3B2, 18
LMAN2, 18
GALNT13, 18
SLC9A7, 18
RBPMS, 18
MGAT5, 18
ETS1, 18
ASXL1, 17
RBM6, 17
TNKS, 17
SMC4, 17
VSIG4, 17
CLU, 17
MDR1, 17
ADGRL2, 17
DOCK10, 17
KIF1B, 17
RARB, 17
KMT2E, 17
VPS13C, 17
UBR5, 17
ERBIN, 17
TLE4, 17
SLC2A9, 17
MKLN1, 17
AGFG1, 17
STXBP5, 17
WSB1, 17
SETBP1, 17
WDR27, 17
BBOX1, 17
ARHGAP32, 17
DDX17, 17
LRRFIP2, 17
CADPS2, 17
FER, 17
AOC3, 17
ZFHX3, 17
ARHGAP10, 17
PSAP, 17
SIK2, 17
ZEB2, 17
CSNK1D, 17
GRK3, 17
SMAD6, 17
TCFL5, 17
FRMD4A, 17
UGT2B31, 17
CSPP1, 17
TXNIP, 17
SRRM2, 17
SEC14L2, 17
BCAR1, 17
MERTK, 17
OGT, 17
ABLIM1, 17
HMCN1, 17
SLTM, 17
PFKFB2, 17
INTS6, 16
NUDT3, 16
IGF1R, 16
TARBP1, 16
GRK5, 16
GNB2, 16
CSF1R, 16
METTL26, 16
MAP3K1, 16
GLT1D1, 16
ANO1, 16
AGPS, 16
PDE4D, 16
RNGTT, 16
FAM13A, 16
CEBPB, 16
SMARCA4, 16
TOP1, 16
DAB2IP, 16
ARHGAP22, 16
SLC30A7, 16
APP, 16
UBR4, 16
GIT2, 16
FNIP2, 16
CLIC4, 16
KMT2C, 16
VPS13A, 16
SLC4A4, 16
ARMC8, 16
ABCA9, 16
ARHGAP15, 16
CDK6, 16
MON2, 16
CROT, 16
ZNF280D, 16
SMARCA2, 16
EXOC2, 16
CDH2, 16
ACBD6, 16
ANKRD10, 16
ZER1, 16
ZNF451, 16
PDE3A, 16
PIK3R1, 16
SAT1, 16
PLEKHM3, 16
IKZF1, 16
CDADC1, 16
BMP2K, 16
FLNB, 16
PCSK6, 16
CDC14A, 16
OPN3, 16
MAN1A2, 16
PCNX1, 16
ZCCHC11, 16
ADAM33, 15
CYP2B6, 15
TP53, 15
PPP2R5C, 15
PLEC, 15
RBM39, 15
MAP2K3, 15
GTDC1, 15
CD44, 15
FRRS1L, 15
STIM1, 15
H2AFY, 15
EHBP1, 15
SPAG17, 15
GMDS, 15
PAPOLA, 15
CCDC34, 15
IREB2, 15
MLLT10, 15
VRK2, 15
GRIA1, 15
STX18, 15
PHF14, 15
KAT6B, 15
UBE3A, 15
MEIS2, 15
IQGAP1, 15
STK3, 15
ZEB1, 15
SCPEP1, 15
PGPEP1L, 15
USP25, 15
GSTM4, 15
PHACTR2, 15
RYR2, 15
SNX24, 15
XDH, 15
UST, 15
PLXNA4, 15
ALDH1A1, 15
TMTC2, 15
SAMM50, 15
CPB2, 15
SRGAP1, 15
PHACTR4, 14
B4GALT6, 14
SGCZ, 14
INPP4A, 14
NLK, 14
NCKAP5, 14
ZDHHC15, 14
MTMR14, 14
ANKFY1, 14
POC1B, 14
PHLPP1, 14
RNLS, 14
NHSL1, 14
PTPRG, 14
FBXO11, 14
PXK, 14
KIF16B, 14
MYO18A, 14
PAM, 14
NR3C2, 14
DDX10, 14
KLF15, 14
PGAP1, 14
PRODH2, 14
ELL, 14
arsb, 14
MTR, 14
UBE3C, 14
EIF2AK2, 14
ETNK1, 14
C8B, 14
CAST, 14
TBC1D1, 14
C9orf3, 14
