miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	9273	16018.587296	N
cfa-let-7a-2	9165	15832.023355	N
cfa-let-7b	9337	16129.143706	N
cfa-let-7c	2031	3508.438563	N
cfa-let-7d	1189	2053.930799	N
cfa-let-7e	648	1119.383648	N
cfa-let-7f	7809	13489.609425	N
cfa-let-7g	11941	20627.407625	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	4	6.909776	N
cfa-mir-1-2	3	5.182332	N
cfa-mir-101-1	384	663.338458	N
cfa-mir-101-2	454	784.259531	N
cfa-mir-103-1	319	551.054605	Y
cfa-mir-103-2	337	582.148595	Y
cfa-mir-105a	1	1.727444	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	4	6.909776	N
cfa-mir-106b	166	286.755688	N
cfa-mir-107	120	207.293268	Y
cfa-mir-10a	3495	6037.416435	N
cfa-mir-10b	316	545.872273	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	335083	578837.084766	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	58	100.191746	N
cfa-mir-125a	2592	4477.534592	N
cfa-mir-125b-1	1182	2041.838691	N
cfa-mir-125b-2	1295	2237.039852	N
cfa-mir-126	4394	7590.388502	N
cfa-mir-127	2	3.454888	N
cfa-mir-1271	49	84.644751	N
cfa-mir-128-1	707	1221.302838	N
cfa-mir-128-2	476	822.263297	N
cfa-mir-129-1	6	10.364663	N
cfa-mir-129-2	1	1.727444	N
cfa-mir-1296	2	3.454888	N
cfa-mir-1301	33	57.005649	N
cfa-mir-1306	12	20.729327	N
cfa-mir-1307	258	445.680527	N
cfa-mir-130a	7	12.092107	N
cfa-mir-130b	33	57.005649	N
cfa-mir-132	26	44.913541	N
cfa-mir-133a	1	1.727444	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	1	1.727444	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	22	38.003766	N
cfa-mir-135a-1	4	6.909776	N
cfa-mir-135a-2	4	6.909776	N
cfa-mir-135b	0	0.000000	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	356	614.970029	N
cfa-mir-140	214	369.672995	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	176	304.030127	N
cfa-mir-143	4967	8580.213858	N
cfa-mir-144	12	20.729327	N
cfa-mir-145	417	720.344107	N
cfa-mir-1468	3	5.182332	N
cfa-mir-146a	551	951.821590	N
cfa-mir-146b	260	449.135414	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	35298	60975.314827	N
cfa-mir-148b	214	369.672995	N
cfa-mir-149	17	29.366546	N
cfa-mir-150	110	190.018829	N
cfa-mir-151	1331	2299.227833	N
cfa-mir-152	54	93.281971	N
cfa-mir-153	3	5.182332	N
cfa-mir-155	204	352.398556	N
cfa-mir-15a	19	32.821434	N
cfa-mir-15b	94	162.379727	N
cfa-mir-16-1	104	179.654166	N
cfa-mir-16-2	123	212.475600	N
cfa-mir-17	51	88.099639	N
cfa-mir-181a-1	747	1290.400594	N
cfa-mir-181a-2	752	1299.037814	N
cfa-mir-181b-1	135	233.204927	N
cfa-mir-181b-2	153	264.298917	N
cfa-mir-181c	0	0.000000	N
cfa-mir-181d	12	20.729327	N
cfa-mir-182	55	95.009415	N
cfa-mir-183	35	60.460537	N
cfa-mir-1835	0	0.000000	N
cfa-mir-1836	118	203.838380	N
cfa-mir-1837-1	0	0.000000	N
cfa-mir-1837-2	0	0.000000	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	8	13.819551	N
cfa-mir-1839	15	25.911659	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	8	13.819551	N
cfa-mir-1841	3	5.182332	N
cfa-mir-1842	8	13.819551	N
cfa-mir-1843	32	55.278205	N
cfa-mir-1844	1	1.727444	N
cfa-mir-185	126	217.657932	N
cfa-mir-186	813	1404.411892	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	2	3.454888	N
cfa-mir-18a	18	31.093990	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	0	0.000000	N
cfa-mir-190b	1	1.727444	N
cfa-mir-191	7949	13731.451571	N
cfa-mir-192	8022	13857.554976	N
cfa-mir-193a	430	742.800878	N
cfa-mir-193b	107	184.836497	N
cfa-mir-194	2865	4949.126777	N
cfa-mir-195	111	191.746273	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	0	0.000000	N
cfa-mir-197	76	131.285736	N
cfa-mir-199-1	1260	2176.579316	N
cfa-mir-199-2	1206	2083.297345	N
cfa-mir-199-3	972	1679.075472	N
cfa-mir-19a	4	6.909776	N
cfa-mir-19b-1	2	3.454888	N
cfa-mir-19b-2	6	10.364663	N
cfa-mir-200a	73	126.103405	N
cfa-mir-200b	179	309.212458	N
cfa-mir-200c	14	24.184215	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	64	110.556410	N
cfa-mir-204	59	101.919190	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	88	152.015063	N
cfa-mir-20b	3	5.182332	N
cfa-mir-21	14606	25231.045622	N
cfa-mir-210	0	0.000000	N
cfa-mir-211	0	0.000000	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	3	5.182332	N
cfa-mir-214	104	179.654166	N
cfa-mir-215	8	13.819551	N
cfa-mir-216a	1	1.727444	N
cfa-mir-216b	1	1.727444	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	31	53.550761	N
cfa-mir-218-2	30	51.823317	N
cfa-mir-219-1	2	3.454888	N
cfa-mir-219-2	0	0.000000	N
cfa-mir-22	6420	11090.189846	N
cfa-mir-221	1426	2463.335003	N
cfa-mir-222	2586	4467.169929	N
cfa-mir-223	27	46.640985	N
cfa-mir-224	28	48.368429	N
cfa-mir-2387	10	17.274439	N
cfa-mir-23a	384	663.338458	N
cfa-mir-23b	211	364.490663	N
cfa-mir-24-1	527	910.362936	N
cfa-mir-24-2	502	867.176838	N
cfa-mir-2483	2	3.454888	N
cfa-mir-25	1091	1884.641296	N
cfa-mir-26a-1	8692	15014.942390	N
cfa-mir-26a-2	8686	15004.577726	N
cfa-mir-26b	4807	8303.822833	N
cfa-mir-27a	594	1026.101677	N
cfa-mir-27b	2884	4981.948211	N
cfa-mir-28	1113	1922.645062	N
cfa-mir-299	0	0.000000	N
cfa-mir-29a	1862	3216.500544	N
cfa-mir-29b-1	76	131.285736	N
cfa-mir-29b-2	71	122.648517	N
cfa-mir-29c-1	10	17.274439	N
cfa-mir-29c-2	17	29.366546	N
cfa-mir-300	0	0.000000	N
cfa-mir-301a	0	0.000000	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	0	0.000000	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	2345	4050.855948	N
cfa-mir-30b	259	447.407970	N
cfa-mir-30c-1	1616	2791.549344	N
cfa-mir-30c-2	1712	2957.383959	N
cfa-mir-30d	8292	14323.964829	N
cfa-mir-30e	645	1114.201316	N
cfa-mir-31	10	17.274439	N
cfa-mir-32	34	58.733093	N
cfa-mir-320	1594	2753.545579	N
cfa-mir-323	0	0.000000	N
cfa-mir-324	4	6.909776	N
cfa-mir-325	0	0.000000	N
cfa-mir-326	3	5.182332	N
cfa-mir-328	46	79.462419	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	0	0.000000	N
cfa-mir-330	7	12.092107	N
cfa-mir-331	31	53.550761	N
cfa-mir-335	0	0.000000	N
cfa-mir-338	5	8.637220	N
cfa-mir-339-1	99	171.016946	N
cfa-mir-33a	2	3.454888	N
cfa-mir-33b	0	0.000000	N
cfa-mir-340	182	314.394790	N
cfa-mir-342	176	304.030127	N
cfa-mir-345	1	1.727444	N
cfa-mir-346	0	0.000000	N
cfa-mir-34a	46	79.462419	N
cfa-mir-34b	0	0.000000	N
cfa-mir-34c	0	0.000000	N
cfa-mir-350	7	12.092107	N
cfa-mir-361	307	530.325278	N
cfa-mir-362	68	117.466185	N
cfa-mir-363	70	120.921073	N
cfa-mir-365-1	387	668.520790	N
cfa-mir-365-2	371	640.881687	N
cfa-mir-367	0	0.000000	N
cfa-mir-369	0	0.000000	N
cfa-mir-370	1	1.727444	N
cfa-mir-371	4	6.909776	N
cfa-mir-374a	111	191.746273	N
cfa-mir-374b	91	157.197395	N
cfa-mir-375	1622	2801.914008	N
cfa-mir-376a-1	0	0.000000	N
cfa-mir-376a-2	0	0.000000	N
cfa-mir-376a-3	0	0.000000	N
cfa-mir-376b	0	0.000000	N
cfa-mir-376c	0	0.000000	N
cfa-mir-377	0	0.000000	N
cfa-mir-378	3314	5724.749089	N
cfa-mir-379	4	6.909776	N
cfa-mir-380	0	0.000000	N
cfa-mir-381	5	8.637220	N
cfa-mir-382	1	1.727444	N
cfa-mir-383	1	1.727444	N
cfa-mir-384	0	0.000000	N
cfa-mir-3958	1	1.727444	N
cfa-mir-409	0	0.000000	N
cfa-mir-410	0	0.000000	N
cfa-mir-411	3	5.182332	N
cfa-mir-421	5	8.637220	N
cfa-mir-423a	5004	8644.129282	N
cfa-mir-424	39	67.370312	N
cfa-mir-425	123	212.475600	N
cfa-mir-429	6	10.364663	N
cfa-mir-432	0	0.000000	N
cfa-mir-433	0	0.000000	N
cfa-mir-448	0	0.000000	N
cfa-mir-449a	0	0.000000	N
cfa-mir-449b	0	0.000000	N
cfa-mir-450a	19	32.821434	N
cfa-mir-450b	34	58.733093	N
cfa-mir-451	550	950.094146	N
cfa-mir-452	9	15.546995	N
cfa-mir-454	4	6.909776	N
cfa-mir-455	422	728.981326	N
cfa-mir-483	47	81.189863	N
cfa-mir-485	0	0.000000	N
cfa-mir-486	624	1077.924994	N
cfa-mir-487a	0	0.000000	N
cfa-mir-487b	1	1.727444	N
cfa-mir-488	0	0.000000	N
cfa-mir-489	0	0.000000	N
cfa-mir-490	2	3.454888	N
cfa-mir-491	0	0.000000	N
cfa-mir-493	0	0.000000	N
cfa-mir-494	4	6.909776	N
cfa-mir-495	1	1.727444	N
cfa-mir-496	0	0.000000	N
cfa-mir-497	35	60.460537	N
cfa-mir-499	58	100.191746	N
cfa-mir-500	190	328.214341	Y
cfa-mir-502	190	328.214341	Y
cfa-mir-503	6	10.364663	N
cfa-mir-504	56	96.736858	N
cfa-mir-505	894	1544.334848	N
cfa-mir-506	0	0.000000	N
cfa-mir-507a	0	0.000000	N
cfa-mir-507b	0	0.000000	N
cfa-mir-508a	0	0.000000	N
cfa-mir-508b	0	0.000000	N
cfa-mir-514	0	0.000000	N
cfa-mir-532	657	1134.930643	N
cfa-mir-539	0	0.000000	N
cfa-mir-542	9	15.546995	N
cfa-mir-543	5	8.637220	N
cfa-mir-544	0	0.000000	N
cfa-mir-545	0	0.000000	N
cfa-mir-551a	1	1.727444	N
cfa-mir-551b	0	0.000000	N
cfa-mir-568	0	0.000000	N
cfa-mir-574	79	136.468068	N
cfa-mir-578	0	0.000000	N
cfa-mir-582	0	0.000000	N
cfa-mir-589	0	0.000000	N
cfa-mir-590	10	17.274439	N
cfa-mir-592	0	0.000000	N
cfa-mir-599	0	0.000000	N
cfa-mir-615	1	1.727444	N
cfa-mir-628	2	3.454888	N
cfa-mir-631	0	0.000000	N
cfa-mir-632	0	0.000000	N
cfa-mir-6516	28	48.368429	N
cfa-mir-652	59	101.919190	N
cfa-mir-6529	33	57.005649	N
cfa-mir-653	0	0.000000	N
cfa-mir-660	2	3.454888	N
cfa-mir-664	7	12.092107	N
cfa-mir-665	0	0.000000	N
cfa-mir-671	8	13.819551	N
cfa-mir-676	51	88.099639	N
cfa-mir-7-1	154	266.026361	N
cfa-mir-7-2	132	228.022595	N
cfa-mir-7-3	128	221.112819	N
cfa-mir-708	13	22.456771	N
cfa-mir-718	0	0.000000	N
cfa-mir-7180	10	17.274439	N
cfa-mir-758	0	0.000000	N
cfa-mir-759	0	0.000000	N
cfa-mir-761	0	0.000000	N
cfa-mir-764	0	0.000000	N
cfa-mir-769	6	10.364663	N
cfa-mir-802	19	32.821434	N
cfa-mir-872	0	0.000000	N
cfa-mir-874	11	19.001883	N
cfa-mir-875	0	0.000000	N
cfa-mir-876	0	0.000000	N
cfa-mir-8789	0	0.000000	N
cfa-mir-8790	0	0.000000	N
cfa-mir-8791a	0	0.000000	N
cfa-mir-8791b	0	0.000000	N
cfa-mir-8792	0	0.000000	N
cfa-mir-8793-1	0	0.000000	N
cfa-mir-8793-2	0	0.000000	N
cfa-mir-8793-3	0	0.000000	N
cfa-mir-8794-1	0	0.000000	N
cfa-mir-8794-2	0	0.000000	N
cfa-mir-8795	0	0.000000	N
cfa-mir-8796	0	0.000000	N
cfa-mir-8797	0	0.000000	N
cfa-mir-8798	0	0.000000	N
cfa-mir-8799a	0	0.000000	N
cfa-mir-8799b	0	0.000000	N
cfa-mir-8799c	0	0.000000	N
cfa-mir-8799d	0	0.000000	N
cfa-mir-8799e-1	0	0.000000	N
cfa-mir-8799e-2	0	0.000000	N
cfa-mir-8799f	0	0.000000	N
cfa-mir-8799g	0	0.000000	N
