, 2648918
EIF4A2, 807712
RPS12, 689519
EIF4G1, 438949
SPCS1, 156334
NOP56, 128352
WDR43, 84655
UBAP2, 75619
P2RY11, 73521
RPL5, 71913
PRPF39, 69642
NCL, 68731
CCAR1, 67884
TNPO2, 61766
RPS8, 61647
RPL3, 59847
HUWE1, 44521
HSPA9, 42896
RPL13A, 40965
PUM1, 40687
GNL3, 38477
PRRC2B, 36369
SF3B3, 35024
RPL7A, 29807
AP1B1, 28272
AP1G1, 22689
RABGGTB, 16477
RACK1, 10457
NOP58, 10084
SNX5, 9590
TEX14, 8185
CEP295, 7304
DDX39B, 5672
MED24, 3538
ADAMTSL1, 3190
EEF2, 2959
RPL32, 1927
RPL12, 1514
TCP1, 1031
TIPIN, 930
CHD4, 900
RPL23, 825
CNOT1, 818
RPS3, 813
MYO16, 723
RAPGEF5, 630
TRRAP, 621
ATG16L1, 605
KIAA0907, 512
KANSL2, 389
EIF3A, 350
SLC38A4, 338
KPNA4, 319
CKAP5, 283
FMR1, 269
CNTNAP5, 257
PTCD3, 252
GTF2A1, 252
IKBKG, 252
CGN, 251
TMEM167A, 244
CPS1, 237
PRKCA, 228
PPP1R8, 218
NOP53, 215
METTL26, 213
EIF4G2, 175
NCAPD2, 174
OVOL2, 172
MAML2, 169
COL22A1, 161
MAP2K4, 160
APOA1, 160
CHD8, 160
EXT1, 156
ASS1, 136
SPIRE1, 135
RPSA, 131
SLC25A16, 123
FAM208B, 123
INPP4B, 121
SPATA6, 120
MOB4, 112
FGA, 112
NRF1, 111
EP400, 111
ALB, 106
IMPAD1, 104
ANO10, 99
CYP7B1, 97
PHB2, 96
ACTN1, 96
CCT6A, 95
UVRAG, 89
PAH, 88
UGT1A6, 88
ZBTB16, 85
IGF2, 85
ITGA9, 83
AP3B2, 83
RANBP1, 83
ADRA1A, 77
UBAP2L, 76
EIF5, 75
TTC7B, 74
MGLL, 73
LRCH1, 72
TPT1, 69
MAGI3, 67
DPYD, 65
FZD4, 65
CYP3A26, 63
SLC25A13, 62
ADK, 62
C16orf72, 62
TEF, 61
WRAP53, 60
ALAS1, 58
MAN1C1, 57
EXOC4, 57
C4orf45, 56
VTI1A, 55
FBXW2, 54
PPP1R12B, 53
LSAMP, 53
NFIA, 53
PLEKHA5, 51
INTS6, 51
KLF9, 50
IQGAP2, 50
NDST1, 49
NDUFV3, 49
HABP2, 48
KLHL3, 48
TF, 47
RPTOR, 46
MAML1, 45
CHD3, 45
UBE3C, 45
PABPC4, 45
SUN1, 44
QKI, 44
ITPKB, 44
FAM214A, 44
HAUS6, 44
DST, 44
FGG, 43
ZFAND3, 42
ACSS3, 42
HGD, 42
FOXO1, 41
NR5A2, 41
HPD, 41
PCSK6, 40
IPO7, 40
CDKN2B, 40
MAML3, 40
FARP1, 39
MARCH6, 39
LPP, 39
PTPRK, 39
FHOD3, 39
PODN, 39
MAN2A1, 39
KIAA1217, 38
GPR39, 38
CALR, 38
SPTBN1, 37
ACACA, 37
MARK3, 36
LRBA, 36
ABCA1, 36
FOXO3, 36
DIAPH2, 35
PRR16, 35
IL1RAP, 35
GPHN, 35
RPS15A, 35
ANKS1B, 34
FAM189A1, 34
SH3PXD2B, 34
CYP2E1, 34
FNDC3B, 34
HIPK2, 34
RFWD2, 33
NFIB, 33
TTC28, 33
PEBP1, 33
PLXNA4, 32
AGMO, 32
FRMD3, 32
FMNL2, 32
PTPRM, 32
RETREG1, 31
UROC1, 31
KLF15, 31
RPS11, 31
MTSS1, 31
PRKCE, 31
VPS13D, 31
RCL1, 30
IL6ST, 30
TBC1D8, 30
PAPPA, 30
MBNL1, 30
PPARGC1A, 30
SLC25A25, 30
GABRB1, 29
JARID2, 29
TOMM20, 29
POR, 29
ANK1, 29
HAL, 29
ZNF280C, 29
TAT, 29
LAMP2, 29
CHN2, 28
BCL2, 28
FMO5, 28
COBLL1, 27
AFDN, 27
GUCY1A2, 27
