taglen,crossmapped,rmsk_Unknown,rmsk_Other,mature,star,SINE,srpRNA,rmsk_RNA,scRNA,snRNA,p5_UTR,Intron,precursor,No_CDS,Unknown,unannotated,stemloop,rRNA,tRNA,LTR,Coding_Exon,rmsk_Low_complexity,snoRNA,rmsk_DNA,rmsk_Simple_repeat,LINE,Satellite,p3_UTR
12,0,0,0,0,0,0,0,0,0,0,5.77649665779124e-05,0.000274383591245084,0,0,0.000683552104505297,0,0,0,0,0,4.81374721482603e-06,0,0,0,0,0,0,2.40687360741302e-05
13,0,0,0,0,0,0,0,0,0,0,0.000423609754904691,0.00189180265542663,0,0,0.0091894434331029,1.92549888593041e-05,0,0,0,0,0.00030326607453404,0,0,0,0,0,0,9.14611970816946e-05
14,0,0,0,0,0,0,0,0,0,0,0.000616159643497732,0.00378841905806809,0,0,0.0341053990170424,2.88824832889562e-05,0,0,0,0,0.00165111529468533,0,0,0,0,0,0,0.000178108646948563
15,0,0,0,0.000144412416444781,0,0,0,0,0,0,0.00086166075145386,0.0068595897811271,0,0,0.0542413036166597,1.44412416444781e-05,4.81374721482603e-06,0,0,0,0.00413982260475039,0,0,0,0,0,0,0.000447678490978821
16,0,0,0,0.00226727493818306,0,0,0,0,0,0,0.00106865188169138,0.0135699533985946,0,0,0.0672095386134011,0.000187736141378215,1.92549888593041e-05,0,0,0,0.0064167250373631,0,0,0,0,0,0,0.000991631926254163
17,0,0,0,0.0176327560479078,0,0,0,0,0,0,0.000929053212461424,0.00969007314344481,0,0,0.0557817027254041,0.00275827715409532,1.92549888593041e-05,0,0,0,0.00877064742541303,0,0,0,0,0,0,0.00143931041723298
18,4.81374721482603e-06,0,0,0.0448881927782528,0,0,0,0,0,0,0.00116011307877307,0.0207472504959002,4.81374721482603e-06,0,0.0534759178095024,0.00156928159203329,4.81374721482603e-06,0,0,0,0.00903540352222846,0,0,0,0,0,0,0.00155002660317398
19,0.000120343680370651,0,0,0.0949222813291545,0,0,0,0,0,0,0.000669110862860819,0.00671036361746749,4.81374721482603e-06,0,0.0550596406431802,0.00623861639041454,9.62749442965207e-06,0,0,0,0.00805339909040395,0,0,0,0,0,0,0.00161741906418155
20,0.000105902438726173,0,0,0.446393220472463,0,0,0,0,0,0,0.000702807093364601,0.0074516806885507,9.62749442965207e-06,0,0.0468714566307611,0.0275250065743753,4.81374721482603e-06,0,0,0,0.00788491793788504,0,0,0,0,0,0,0.00183403768884872
21,0.00110234811219516,0,0,3.82958141050207,0,0,0,0,0,0,0.000539139688060516,0.0424524366875508,4.81374721482603e-06,0,0.0602007226686144,0.0711086738574102,0,0,0,0,0.00818818401241908,0,0,0,0,0,0,0.00215655875224206
