miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	13399	5162.629177	N
cfa-let-7a-2	13251	5105.604838	N
cfa-let-7b	14881	5733.643166	N
cfa-let-7c	4568	1760.048517	N
cfa-let-7d	1412	544.043018	N
cfa-let-7e	529	203.823482	N
cfa-let-7f	40485	15598.853811	N
cfa-let-7g	51480	19835.222778	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	47	18.109081	N
cfa-mir-1-2	48	18.494380	N
cfa-mir-101-1	8124	3130.173851	N
cfa-mir-101-2	8693	3349.409316	N
cfa-mir-103-1	611	235.418048	Y
cfa-mir-103-2	653	251.600631	Y
cfa-mir-105a	2	0.770599	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	5	1.926498	N
cfa-mir-106b	178	68.583327	N
cfa-mir-107	341	131.387159	Y
cfa-mir-10a	20046	7723.715536	N
cfa-mir-10b	1040	400.711571	N
cfa-mir-1185	1	0.385300	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	1361996	524776.497342	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	17	6.550093	N
cfa-mir-125a	798	307.469071	N
cfa-mir-125b-1	922	355.246220	N
cfa-mir-125b-2	912	351.393224	N
cfa-mir-126	40160	15473.631445	N
cfa-mir-127	6	2.311798	N
cfa-mir-1271	54	20.806178	N
cfa-mir-128-1	1589	612.241045	N
cfa-mir-128-2	994	382.987790	N
cfa-mir-129-1	9	3.467696	N
cfa-mir-129-2	5	1.926498	N
cfa-mir-1296	5	1.926498	N
cfa-mir-1301	9	3.467696	N
cfa-mir-1306	30	11.558988	N
cfa-mir-1307	399	153.734536	N
cfa-mir-130a	76	29.282769	N
cfa-mir-130b	12	4.623595	N
cfa-mir-132	18	6.935393	N
cfa-mir-133a	7	2.697097	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	7	2.697097	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	12	4.623595	N
cfa-mir-135a-1	60	23.117975	N
cfa-mir-135a-2	66	25.429773	N
cfa-mir-135b	7	2.697097	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	625	240.812242	N
cfa-mir-140	575	221.547263	N
cfa-mir-141	3	1.155899	N
cfa-mir-142	1425	549.051913	N
cfa-mir-143	39787	15329.914699	N
cfa-mir-144	259	99.792593	N
cfa-mir-145	1665	641.523814	N
cfa-mir-1468	4	1.541198	N
cfa-mir-146a	1716	661.174093	N
cfa-mir-146b	873	336.366540	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	506880	195300.655048	N
cfa-mir-148b	777	299.377780	N
cfa-mir-149	3	1.155899	N
cfa-mir-150	40	15.411984	N
cfa-mir-151	4496	1732.306947	N
cfa-mir-152	416	160.284629	N
cfa-mir-153	26	10.017789	N
cfa-mir-155	420	161.825827	N
cfa-mir-15a	128	49.318347	N
cfa-mir-15b	37	14.256085	N
cfa-mir-16-1	589	226.941457	N
cfa-mir-16-2	620	238.885744	N
cfa-mir-17	177	68.198027	N
cfa-mir-181a-1	1453	559.840301	N
cfa-mir-181a-2	1445	556.757904	N
cfa-mir-181b-1	450	173.384814	N
cfa-mir-181b-2	428	164.908224	N
cfa-mir-181c	17	6.550093	N
cfa-mir-181d	30	11.558988	N
cfa-mir-182	19	7.320692	N
cfa-mir-183	9	3.467696	N
cfa-mir-1835	5	1.926498	N
cfa-mir-1836	86	33.135765	N
cfa-mir-1837-1	3	1.155899	N
cfa-mir-1837-2	4	1.541198	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	3	1.155899	N
cfa-mir-1839	43	16.567882	N
cfa-mir-184	2	0.770599	N
cfa-mir-1840	1	0.385300	N
cfa-mir-1841	3	1.155899	N
cfa-mir-1842	6	2.311798	N
cfa-mir-1843	6	2.311798	N
cfa-mir-1844	0	0.000000	N
cfa-mir-185	241	92.857201	N
cfa-mir-186	2968	1143.569176	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	5	1.926498	N
cfa-mir-18a	34	13.100186	N
cfa-mir-18b	2	0.770599	N
cfa-mir-190a	3	1.155899	N
cfa-mir-190b	5	1.926498	N
cfa-mir-191	3203	1234.114580	N
cfa-mir-192	52561	20251.731633	N
cfa-mir-193a	263	101.333792	N
cfa-mir-193b	171	65.886230	N
cfa-mir-194	17684	6813.637910	N
cfa-mir-195	514	198.043988	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	1	0.385300	N
cfa-mir-197	13	5.008895	N
cfa-mir-199-1	6439	2480.944046	N
cfa-mir-199-2	6445	2483.255843	N
cfa-mir-199-3	4103	1580.884209	N
cfa-mir-19a	31	11.944287	N
cfa-mir-19b-1	77	29.668068	N
cfa-mir-19b-2	62	23.888574	N
cfa-mir-200a	722	278.186302	N
cfa-mir-200b	496	191.108596	N
cfa-mir-200c	15	5.779494	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	377	145.257945	N
cfa-mir-204	175	67.427428	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
