, 3988
MT-CO2, 3420
ALB, 2872
COX1, 1206
APOB, 1046
MT-ATP8, 939
TF, 874
MT-ND3, 623
COX3, 494
C3, 454
ALDOB, 420
FN1, 410
ND2, 335
ATP6, 326
FGA, 319
MT-ND6, 319
MT-ND1, 311
RBP4, 283
ND5, 283
SERPINA1, 271
FGB, 270
CPS1, 251
CYP2E1, 216
LRP1, 167
MT-ND4, 164
FGG, 148
CYTB, 134
APOH, 127
GC, 123
CLU, 120
APOA1, 118
AHSG, 110
C1S, 109
C5, 103
APOE, 99
FTH1, 97
AHNAK, 95
ASS1, 94
ND4L, 93
ADH4, 91
DST, 88
TPT1, 88
VTN, 84
EEF2, 83
PLG, 83
PSAP, 77
SPTBN1, 72
BHMT, 72
HPD, 69
SCP2, 68
B2M, 67
ABCB4, 67
CAT, 67
C1R, 65
CP, 65
DYNC1H1, 65
HPX, 63
CYP2C18, 62
SLC38A4, 61
TTR, 60
CYP3A26, 59
GLDC, 58
HSP90AA1, 58
CESdD1, 58
ABCA1, 55
IGHM, 51
ITIH2, 51
ACSL4, 51
F5, 51
SLC7A2, 50
PCK1, 49
HSPA5, 49
CD74, 48
PON1, 47
CLTC, 46
HERC1, 46
PCK2, 46
MAN2A1, 45
EHHADH, 45
FASN, 44
C6, 44
HRG, 43
DPYD, 43
P4HB, 43
SERPINC1, 43
EIF3A, 43
CYP3A12, 42
ACTB, 42
RGN, 41
MACF1, 41
SRRM2, 41
ITIH1, 41
PYGL, 40
EIF4B, 40
UGT2B31, 40
SYNE2, 39
PABPC1, 38
EIF4G2, 38
HERC2, 38
FAT1, 37
A2M, 37
VPS13D, 36
SERPING1, 36
ACSL1, 36
PAH, 36
HDLBP, 36
PLEC, 35
CALR, 35
CTSB, 35
FTL, 35
TLN1, 35
ACTG1, 34
PIGR, 34
RNF213, 34
KIF3A, 34
F2, 34
ARG1, 33
ANGPTL3, 32
TAT, 32
TTPA, 32
ACADM, 32
CDO1, 32
NCOA4, 32
EPRS, 31
MYH9, 31
ACACA, 31
SLC40A1, 31
HUWE1, 30
VIM, 30
PROS1, 30
HSP90AB1, 30
HSD17B4, 30
