, 2390759
RPS12, 735659
EIF4A2, 657740
NOP56, 295973
UBAP2, 292467
RACK1, 257596
SPCS1, 237790
RPS8, 220784
RPL7A, 219246
NCL, 189051
P2RY11, 150513
TNPO2, 142475
EIF4G1, 113270
RPL5, 102028
RPL13A, 90581
WDR43, 88891
SF3B3, 86696
PRPF39, 82243
HSPA9, 75449
CCAR1, 62927
PUM1, 61957
RPL3, 61304
RABGGTB, 57867
GNL3, 49360
PRRC2B, 47995
NOP58, 45237
EEF2, 38792
AP1B1, 37426
AP1G1, 37123
DDX39B, 24524
HUWE1, 18013
TEX14, 15243
MED24, 13890
CEP295, 11894
SNX5, 3769
GTF2A1, 2969
TCP1, 2227
RPS3, 1874
CHD4, 1785
CNOT1, 1665
RPL12, 1455
RPL23, 1270
RPSA, 1143
RPL32, 1073
CKAP5, 1016
ADAMTSL1, 933
RAPGEF5, 890
KANSL2, 808
KIAA0907, 687
TMEM167A, 668
KPNA4, 658
MYO16, 581
IKBKG, 575
RPS11, 569
CHD8, 565
TIPIN, 558
EIF4G2, 484
EIF5, 455
PTCD3, 428
RANBP1, 391
EIF3A, 385
MOB4, 378
OVOL2, 366
NCAPD2, 363
TPT1, 342
NOP53, 338
TRRAP, 331
MAML2, 300
CGN, 286
SPIRE1, 277
CCT6A, 268
SLC25A16, 266
UBAP2L, 253
ATG16L1, 233
PPP1R8, 232
MAP2K4, 202
EP400, 186
WRAP53, 167
HAUS6, 153
CHD3, 149
SLC38A4, 146
FAM208B, 146
ACTN1, 143
NRF1, 139
RFWD2, 130
PABPC4, 107
COL22A1, 107
TOMM20, 97
CCDC180, 92
PRKCA, 92
TTC7B, 91
CWF19L1, 91
ASPH, 90
INPP4B, 87
SH3PXD2B, 86
PHB2, 84
LPCAT2, 83
BUB1, 76
EXT1, 75
LARP4, 68
NUP155, 65
IPO7, 61
NFIA, 58
FGA, 57
LSAMP, 57
ADK, 54
MARK3, 54
ANO10, 52
DPYD, 51
MBNL1, 51
CSPP1, 49
AARS, 49
DIAPH2, 49
SLC9A9, 49
TP53, 48
VPS13D, 47
ACSL3, 46
APOA1, 46
YTHDC2, 46
CLU, 45
CDKN2B, 45
C4orf45, 45
EXOC4, 42
SND1, 41
LRBA, 41
OTOP1, 40
UVRAG, 40
PLEKHA5, 39
ITGA9, 39
DHRS7B, 38
TEF, 38
ETV6, 38
RPGR, 38
VPS13B, 37
PRRC2A, 36
CYP7B1, 36
CLCN5, 35
TF, 34
DST, 33
ELMO1, 33
POLA1, 33
CELF2, 33
KLF9, 33
PICALM, 32
PTPRC, 32
CCBE1, 31
QKI, 31
NDUFV3, 31
VTI1A, 31
NDST1, 30
TTC28, 30
SVIL, 30
CMIP, 30
GPHN, 30
SMC4, 30
LRCH2, 30
ITPR2, 29
NFIB, 29
ATRNL1, 29
MAML1, 29
TESMIN, 29
ALB, 29
CBLB, 28
SPTLC2, 28
CNTNAP5, 28
TCF12, 27
ANKS1B, 27
LPP, 27
HES4, 27
ACTN4, 27
PREX1, 27
ACACA, 26
TCF7L2, 26
JMJD1C, 26
PDGFD, 25
PIK3R1, 25
IGF1, 25
RBMS3, 25
FMR1, 24
UBE3C, 24
LAMP2, 24
PTPRM, 24
CAMK2D, 24
ZFAND3, 24
MTSS1, 24
PRKCB, 24
MED13L, 24
ARHGAP15, 24
EXOC6B, 24
PRKCE, 23
HERC4, 23
KANSL1, 23
PPM1H, 23
TRPS1, 23
METTL26, 23
