miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	10659	8360.498351	N
cfa-let-7a-2	10280	8063.225730	N
cfa-let-7b	14419	11309.693754	N
cfa-let-7c	3815	2992.335229	N
cfa-let-7d	1407	1103.595195	N
cfa-let-7e	2076	1628.332355	N
cfa-let-7f	17107	13418.054723	N
cfa-let-7g	42251	33140.014620	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	175	137.263084	N
cfa-mir-1-2	172	134.910002	N
cfa-mir-101-1	2659	2085.614515	N
cfa-mir-101-2	2830	2219.740157	N
cfa-mir-103-1	1785	1400.083456	Y
cfa-mir-103-2	1893	1484.794388	Y
cfa-mir-105a	3	2.353081	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	17	13.334128	Y
cfa-mir-106b	759	595.329604	N
cfa-mir-107	654	512.971754	Y
cfa-mir-10a	14066	11032.814505	N
cfa-mir-10b	5839	4579.880840	N
cfa-mir-1185	2	1.568721	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	445972	349802.811775	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	91	71.376804	N
cfa-mir-125a	5826	4569.684154	N
cfa-mir-125b-1	4947	3880.231292	N
cfa-mir-125b-2	5081	3985.335596	N
cfa-mir-126	14666	11503.430793	N
cfa-mir-127	79	61.964478	N
cfa-mir-1271	91	71.376804	N
cfa-mir-128-1	1275	1000.059611	N
cfa-mir-128-2	787	617.291697	N
cfa-mir-129-1	20	15.687210	N
cfa-mir-129-2	12	9.412326	N
cfa-mir-1296	19	14.902849	N
cfa-mir-1301	19	14.902849	N
cfa-mir-1306	31	24.315175	N
cfa-mir-1307	292	229.033260	N
cfa-mir-130a	71	55.689594	N
cfa-mir-130b	36	28.236977	N
cfa-mir-132	35	27.452617	N
cfa-mir-133a	154	120.791514	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	154	120.791514	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	25	19.609012	N
cfa-mir-135a-1	101	79.220408	N
cfa-mir-135a-2	113	88.632734	N
cfa-mir-135b	7	5.490523	N
cfa-mir-136	5	3.921802	N
cfa-mir-137	2	1.568721	N
cfa-mir-138a	2	1.568721	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	998	782.791759	N
cfa-mir-140	1770	1388.318049	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	2019	1583.623808	N
cfa-mir-143	41161	32285.061698	N
cfa-mir-144	155	121.575874	N
cfa-mir-145	11279	8846.801849	N
cfa-mir-1468	4	3.137442	N
cfa-mir-146a	7005	5494.445159	N
cfa-mir-146b	1239	971.822634	N
cfa-mir-147	1	0.784360	N
cfa-mir-148a	116545	91413.292086	N
cfa-mir-148b	1741	1365.571595	N
cfa-mir-149	26	20.393372	N
cfa-mir-150	1403	1100.457753	N
cfa-mir-151	4171	3271.567560	N
cfa-mir-152	502	393.748961	N
cfa-mir-153	6	4.706163	N
cfa-mir-155	1377	1080.064380	N
cfa-mir-15a	181	141.969247	N
cfa-mir-15b	564	442.379310	N
cfa-mir-16-1	1134	889.464784	N
cfa-mir-16-2	1032	809.460015	N
cfa-mir-17	468	367.080704	Y
cfa-mir-181a-1	2863	2245.624053	N
cfa-mir-181a-2	2951	2314.647775	N
cfa-mir-181b-1	671	526.305882	N
cfa-mir-181b-2	676	530.227684	N
cfa-mir-181c	39	30.590059	N
cfa-mir-181d	91	71.376804	N
cfa-mir-182	157	123.144595	N
cfa-mir-183	81	63.533199	N
cfa-mir-1835	15	11.765407	N
cfa-mir-1836	69	54.120873	N
cfa-mir-1837-1	0	0.000000	N
cfa-mir-1837-2	2	1.568721	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	27	21.177733	N
cfa-mir-1839	71	55.689594	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	2	1.568721	N
cfa-mir-1841	7	5.490523	N
cfa-mir-1842	16	12.549768	N
cfa-mir-1843	45	35.296222	N
cfa-mir-1844	10	7.843605	N
cfa-mir-185	468	367.080704	N
cfa-mir-186	5369	4211.231415	N
cfa-mir-187	2	1.568721	N
cfa-mir-188	3	2.353081	N
cfa-mir-18a	33	25.883896	N
cfa-mir-18b	1	0.784360	N
cfa-mir-190a	3	2.353081	N
cfa-mir-190b	6	4.706163	N
cfa-mir-191	15446	12115.231967	N
cfa-mir-192	21095	16546.084316	N
cfa-mir-193a	553	433.751345	N
cfa-mir-193b	1399	1097.320311	N
cfa-mir-194	11714	9187.998657	N
