, 2511002
EIF4A2, 1329196
RPS12, 1242492
NOP56, 261582
RACK1, 230986
UBAP2, 217637
GNL3, 206111
EIF4G1, 159815
WDR43, 149494
CCAR1, 148984
P2RY11, 145634
RPL7A, 102600
TNPO2, 100346
NCL, 95382
RPS8, 86383
PRPF39, 85261
HSPA9, 80782
HUWE1, 69583
SF3B3, 65249
RPL5, 63686
RABGGTB, 55931
SPCS1, 55166
RPL13A, 46051
PUM1, 44947
RPL3, 42566
AP1B1, 37871
PRRC2B, 31262
NOP58, 24061
AP1G1, 19011
SNX5, 18330
CEP295, 15153
EEF2, 13516
TEX14, 11253
DDX39B, 10357
MED24, 9705
ADAMTSL1, 3585
TIPIN, 1871
CNOT1, 1701
RPL32, 1208
CHD4, 1141
TCP1, 1032
RPL12, 967
ATG16L1, 949
TRRAP, 718
RPL23, 653
KANSL2, 626
RPS3, 576
MYO16, 546
GTF2A1, 513
EIF3A, 511
SLC38A4, 500
FMR1, 496
PPP1R8, 478
IKBKG, 468
KIAA0907, 375
KPNA4, 331
ACTN1, 315
RAPGEF5, 314
MAML2, 294
FGG, 261
CKAP5, 254
EXT1, 237
PTCD3, 230
CGN, 227
PRKCA, 224
FGA, 191
RANBP1, 187
METTL26, 181
NCAPD2, 181
MAP2K4, 173
OVOL2, 173
SLC25A16, 163
CNTNAP5, 156
EIF4G2, 143
RPSA, 141
NOP53, 141
COL22A1, 137
EP400, 132
PAH, 131
MOB4, 129
UGT1A6, 125
APOA1, 122
ASS1, 122
CHD8, 121
ANO10, 121
SPIRE1, 119
EIF5, 118
UBAP2L, 118
TF, 117
FAM208B, 116
TMEM167A, 116
INPP4B, 115
CCT6A, 113
TPT1, 107
ITGA9, 103
CYP7B1, 102
KLF9, 100
AP3B2, 93
RPS15A, 92
RPTOR, 90
CYP3A26, 90
HAUS6, 87
TTC7B, 86
IMPAD1, 86
ADK, 79
LRBA, 77
MAGI3, 75
TEF, 74
FARP1, 70
CPS1, 68
DPYD, 68
C16orf72, 68
RPS11, 67
DST, 67
NFIA, 67
PLEKHA5, 66
ALAS1, 65
ADRA1A, 61
LRCH1, 60
IGF2, 60
ALB, 60
GPHN, 59
ACSS3, 59
CYP2B6, 59
MAML1, 59
EXOC4, 58
FZD4, 58
CHD3, 58
PHB2, 57
EIF4A1, 56
MAN1C1, 55
UVRAG, 55
QKI, 55
SLC43A1, 54
VPS13B, 50
TOMM20, 48
ZBTB16, 47
FBXW2, 47
TAT, 46
IGF1, 46
MBNL1, 46
NFIB, 45
MGLL, 45
LPCAT2, 45
CP, 45
C4orf45, 45
SLC25A13, 45
KIAA1217, 44
TTC28, 43
NRF1, 43
RFWD2, 43
PABPC4, 43
PAPD5, 43
LAMP2, 43
PRR16, 42
HIPK2, 41
CCBE1, 41
AGMO, 41
TAS1R2, 40
IL6ST, 40
HSD17B4, 40
TMED7-TICAM2, 40
FOXO3, 39
CCNY, 39
DIAPH2, 39
ABCA1, 38
PON1, 38
PRKCE, 38
FNDC3B, 38
IL1RAP, 38
JARID2, 37
HABP2, 37
PBX1, 37
CWF19L1, 37
COBLL1, 37
PEBP1, 36
MAN2A1, 36
SPTBN1, 36
PPP1R12B, 36
G3BP1, 36
PTPRM, 36
MAML3, 36
IQGAP2, 36
NDST1, 35
WDR19, 35
MYO7A, 35
VTI1A, 35
TESMIN, 35
NCKIPSD, 35
PIK3R1, 35
LPP, 34
UBE3C, 34
CHN2, 34
PTPRK, 34
PCSK6, 34
ETV6, 33
INSIG1, 33
ALDH6A1, 33
RDX, 33
FMO5, 33
DOCK4, 33
MED13L, 33
CALR, 32
NOTCH2, 32
AGAP2, 32
ACSL4, 32
ACACA, 31
CCDC180, 31
CDO1, 31
NDUFV3, 31
ALCAM, 31
HOMER1, 31
WDFY1, 31
FAM214A, 31
GGCX, 31
CSPP1, 31
HERC4, 30
ZFAND3, 30
INTS6, 30
MCTP1, 30
CDH2, 30
TCF12, 30
ZNF280C, 30
MTPAP, 29
DPYS, 29
AKAP2, 29
KLHL3, 29
DOCK3, 29
ELMO1, 29
RNLS, 29
MAPK6, 29
HAL, 28
ANKS1B, 28
CLU, 28
