taglen,crossmapped,rmsk_Unknown,rmsk_Simple_repeat,p3_UTR,LINE,rmsk_DNA,srpRNA,snRNA,snoRNA,No_CDS,Intron,star,scRNA,LTR,tRNA,rmsk_Low_complexity,stemloop,SINE,rmsk_RNA,p5_UTR,rmsk_Other,unannotated,Coding_Exon,Unknown,mature,Satellite,precursor,rRNA
12,0,0,0,0,0,0,0,0,0,0,3.06299969011195e-05,0,0,0,0,0,0,0,0,4.37571384301706e-06,0,4.37571384301706e-06,8.75142768603413e-06,0.000205658550621802,0,0,0,0
13,0,0,0,1.75028553720683e-05,0,0,0,0,0,0,0.00101516561157996,0,0,0,0,0,0,0,0,0.000188155695249734,0,3.06299969011195e-05,0.000218785692150853,0.00526835946699255,0,0,0,0
14,0,0,0,0.000100641418389392,0,0,0,0,0,0,0.00225349262915379,0,0,0,0,0,0,0,0,0.000323802824383263,0,2.62542830581024e-05,0.000840137057859277,0.023331306210967,8.75142768603413e-06,0,0,0
15,0,0,0,0.000315051396697229,0,0,0,0,0,0,0.0042313152861975,0,0,0,0,0,1.31271415290512e-05,0,0,0.000468201381202826,0,8.75142768603413e-06,0.00207408836159009,0.0323409010137391,0.000310675682854212,0,0,0
16,0,0,0,0.000621351365708423,0,0,0,0,0,0,0.00900959480277214,0,0,0,0,0,3.50057107441365e-05,0,0,0.00062572707955144,0,8.31385630173242e-05,0.00380687104342485,0.0486885679312509,0.00257291973969403,0,0,0
17,0,0,0,0.00101078989773694,0,0,0,0,0,0,0.00677360502899042,0,0,0,0,0,3.06299969011195e-05,0,0,0.000792004205586089,0,0.000875142768603413,0.00567967656823615,0.0429170013723114,0.0211915821417316,0,0,0
18,1.31271415290512e-05,0,0,0.00139585271592244,0,0,0,0,0,0,0.0095128018947191,0,0,0,0,0,4.37571384301706e-06,0,0,0.00100203847005091,0,0.00105454703616711,0.0062047622293982,0.0470520509539625,0.0272869515250544,0,0,0
19,9.62657045463754e-05,0,0,0.00139147700207943,0,0,0,0,0,0,0.00596847368187528,0,0,0,0,0,4.37571384301706e-06,0,0,0.000595097082650321,0,0.00581532369736968,0.00622226508477027,0.0484391522421989,0.0936971605205244,0,4.37571384301706e-06,0
20,0.000288797113639126,0,0,0.00180279410332303,0,0,0,0,0,0,0.00593346797113114,0,0,0,0,0,8.75142768603413e-06,0,0,0.000529461375005065,0,0.0270725415467466,0.00643229934923509,0.0562716800211995,0.463834418787495,0,0,0
21,0.00200845265394483,0,0,0.00267356115808343,0,0,0,0,0,0,0.0611024681038903,0,0,0,0,0,1.31271415290512e-05,0,0,0.00050758280578998,0,0.0976571815484549,0.00665983646907197,0.075389173801341,3.92197857177925,0,4.37571384301706e-06,0
22,6.5635707645256e-05,0,0,0.0039994024525176,0,0,0,0,0,0,0.228959226835868,0,0,0,0,0,6.5635707645256e-05,0,0,0.000713241356411782,0,0.204227692195135,0.00751747638230332,0.101205885475142,11.7653581211105,0,0,0
23,5.68842799592218e-05,0,0,0.00496205949798135,0,0,0,0,0,0,0.0239264032936173,0,0,0,0,0,4.37571384301706e-06,0,0,0.000643229934923509,0,0.0675829003053986,0.00820008774181398,0.103297476692104,1.61756138492043,0,0,0
24,1.75028553720683e-05,0,0,0.00339117822833823,0,0,0,0,0,0,0.0048964237903361,0,0,0,0,0,0,0,0,0.000673859931824628,0,0.0455905625303948,0.00763562065606478,0.0481109737039726,0.310610047146566,0,0,0
25,0,0,0,0.00222723834609569,0,0,0,0,0,0,0.0054871451591434,0,0,0,0,0,4.37571384301706e-06,0,0,0.00065635707645256,0,0.00125145415910288,0.00726368497940833,0.0443259812297629,0.00669046646597309,0,0,0
26,0,0,0,0.00357058249590193,0,0,0,0,0,0,0.00757873637610556,0,0,0,0,0,0,0,0,0.00147023985125373,0,0.00158400841117218,0.00742558639159996,0.0521978904333506,0.00329491252379185,0,0,0
27,0,0,0,0.00258604688122309,0,0,0,0,0,0,0.0211040678648713,0,0,0,0,0,0,0,0,0.00341305679755331,0,0.000131271415290512,0.00790253920048882,0.11316908712195,0.000940778476248669,0,4.37571384301706e-06,0
28,0,0,0,0.012046340209826,0,0,0,0,0,0,0.0666464975429929,0,0,0,0,0,4.37571384301706e-06,0,0,0.000796379919429106,0,9.18899907033584e-05,0.0075131006684603,0.103433123821237,0.000573218513435236,0,0,0
29,0,0,0,0.0210953164371853,0,0,0,0,0,0,0.0403703359156754,0,0,0,0,0,4.37571384301706e-06,0,0,0.00285296542564713,0,0.000100641418389392,0.00781502492362848,0.110583040240727,0.000214409978307836,0,0,0
30,0,0,0,0.021541639249173,0,0,0,0,0,0,0.0196557065828327,0,0,0,0,0,4.37571384301706e-06,0,0,0.00523335375624841,0,4.81328522731877e-05,0.00835323772631958,0.117378523838933,0.00014877427066258,0,0,0
31,0,0,0,0.201050923945105,0,0,0,0,0,0,0.0331066509362671,0,0,0,0,0,0,0,0,0.000533837088848082,0,0.000113768559918444,0.00869016769223189,0.351684872990968,0.000161901412191631,0,4.37571384301706e-06,0
32,0,0,0,0.0428776199477242,0,0,0,0,0,0,0.0133984357873183,0,0,0,0,0,1.31271415290512e-05,0,0,0.00510645805480092,0,6.12599938022389e-05,0.00809507060958157,0.31254411266518,0.000109392846075427,0,0,0
33,0,0,0,0.0851820213820132,0,0,0,0,0,0,0.0249284417636682,0,0,0,0,0,8.75142768603413e-06,0,0,0.00446322811987741,0,3.93814245871536e-05,0.0137659957501317,0.262949771968425,3.93814245871536e-05,0,0,0
34,0,0,0,0.0638679192526771,0,0,0,0,0,0,0.0277070200539841,0,0,0,0,0,8.75142768603413e-06,0,0,0.00632290650315966,0,8.75142768603413e-06,0.0130571301075629,0.206559947673464,7.87628491743072e-05,0,0,0
35,0,0,0,0.00972721187302694,0,0,0,0,0,0,0.0239089004382452,0,0,0,0,0,7.43871353312901e-05,0,0,0.00696613643808317,0,4.37571384301706e-06,0.00863765912611569,0.179010453317828,0.000301924255168178,0,0,0
36,0,0,0,0.00610412081100881,0,0,0,0,0,0,0.0114118617025885,0,0,0,0,0,3.06299969011195e-05,0,0,0.0102873032449331,0,0,0.0108211403337812,0.123994603169575,0.000354432821284382,0,0,0
37,0,0,0,0.00301486683783876,0,0,0,0,0,0,0.0106548632077466,0,0,0,0,0,8.31385630173242e-05,0,0,0.00527273518083556,0,1.31271415290512e-05,0.011284966001141,0.136509144760603,7.0011421488273e-05,0,0,0
38,0,0,0,0.00213097264154931,0,0,0,0,0,0,0.0139497757315384,0,0,0,0,0,3.50057107441365e-05,0,0,0.00816070631722683,0,0,0.0087689305414062,0.0901265780246225,0.000100641418389392,0,0,0
39,0,0,0,0.00186405409712527,0,0,0,0,0,0,0.0230906419496011,0,0,0,0,0,1.31271415290512e-05,0,0,0.00439759241223215,0,0,0.00848013342776707,0.0821627788303314,2.18785692150853e-05,0,4.37571384301706e-06,0
40,0,0,0,0.00162338983575933,0,0,0,0,0,0,0.0244121075301922,0,0,0,0,0,3.50057107441365e-05,0,0,0.00116393988224254,0,4.37571384301706e-06,0.00799880490503519,0.0703133457434412,4.37571384301707e-05,0,0,0
41,0,0,0,0.00178091553410795,0,0,0,0,0,0,0.0376486419053188,0,0,0,0,0,0,0,0,0.000310675682854212,0,4.37571384301706e-06,0.00761811780069271,0.057680659878651,6.12599938022389e-05,0,0,0
42,0,0,0,0.00178091553410795,0,0,0,0,0,0,0.0279783143122511,0,0,0,0,0,1.31271415290512e-05,0,0,0.000284421399796109,0,0,0.00707115357031558,0.072317422683543,6.5635707645256e-05,0,0,0
43,0,0,0,0.00168464982956157,0,0,0,0,0,0,0.0240708018504369,0,0,0,0,0,4.37571384301706e-06,0,0,0.000354432821284382,0,4.37571384301706e-06,0.00760499065916366,0.0856677256185881,6.5635707645256e-05,0,0,0
44,0,0,0,0.00188155695249734,0,0,0,0,0,0,0.0185311481251773,0,0,0,0,0,0,0,0,0.000564467085749201,0,8.75142768603413e-06,0.00679985931204852,0.145523115277219,7.87628491743072e-05,0,8.75142768603413e-06,0
45,0,0,0,0.00199094979857276,0,0,0,0,0,0,0.0475858880428106,0,0,0,0,0,0,0,0,0.00032817853822628,0,0,0.00923713192260902,0.101954132542298,0.00264730687502532,0,0,0
46,0,0,0,0.00246790260746162,0,0,0,0,0,0,0.225077968657112,0,0,0,0,0,0,0,0,0.000651981362609543,0,1.31271415290512e-05,0.0125320444464009,0.284723324051277,0.0001794042675637,0,0,0
47,0,0,0,0.00520272375934729,0,0,0,0,0,0,2.40917615197449,0,0,0,0,0,0,0,0,0.00113330988534142,0,0,0.030765644030253,6.90414570006914,0.000192531409092751,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0.0542501002257256,0,0,0,0,0,0,30.7996652053824,0,0,0,0,0,1.31271415290512e-05,0,0,0.0175116067997543,0,0.000118144273761461,0.232875490725368,35.1457948471069,0.00396002102793044,0,1.75028553720683e-05,0
