miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	14539	3401.312005	N
cfa-let-7a-2	14547	3403.183557	N
cfa-let-7b	9485	2218.958963	N
cfa-let-7c	5426	1269.380214	N
cfa-let-7d	1712	400.512150	N
cfa-let-7e	845	197.682691	N
cfa-let-7f	65763	15384.860126	N
cfa-let-7g	135928	31799.541797	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	273	63.866716	N
cfa-mir-1-2	255	59.655723	N
cfa-mir-101-1	25109	5874.100222	N
cfa-mir-101-2	27873	6520.721474	N
cfa-mir-103-1	3132	732.712649	Y
cfa-mir-103-2	2994	700.428375	Y
cfa-mir-105a	6	1.403664	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	19	4.444936	N
cfa-mir-106b	694	162.357145	N
cfa-mir-107	1305	305.296937	Y
cfa-mir-10a	25127	5878.311214	N
cfa-mir-10b	691	161.655313	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	1409736	329799.297092	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	3	0.701832	N
cfa-mir-125a	800	187.155210	N
cfa-mir-125b-1	1773	414.782735	N
cfa-mir-125b-2	1825	426.947824	N
cfa-mir-126	55161	12904.585700	N
cfa-mir-127	12	2.807328	N
cfa-mir-1271	47	10.995369	N
cfa-mir-128-1	1215	284.241976	N
cfa-mir-128-2	644	150.659944	N
cfa-mir-129-1	3	0.701832	N
cfa-mir-129-2	1	0.233944	N
cfa-mir-1296	4	0.935776	N
cfa-mir-1301	12	2.807328	N
cfa-mir-1306	24	5.614656	N
cfa-mir-1307	220	51.467683	N
cfa-mir-130a	185	43.279642	N
cfa-mir-130b	7	1.637608	N
cfa-mir-132	13	3.041272	N
cfa-mir-133a	33	7.720152	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	33	7.720152	Y
cfa-mir-134	1	0.233944	N
cfa-mir-1343	9	2.105496	N
cfa-mir-135a-1	49	11.463257	N
cfa-mir-135a-2	60	14.036641	N
cfa-mir-135b	4	0.935776	N
cfa-mir-136	4	0.935776	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	801	187.389154	N
cfa-mir-140	1507	352.553628	N
cfa-mir-141	1	0.233944	N
cfa-mir-142	2177	509.296116	N
cfa-mir-143	39018	9128.027499	N
cfa-mir-144	191	44.683306	N
cfa-mir-145	3636	850.620431	N
cfa-mir-1468	3	0.701832	N
cfa-mir-146a	5852	1369.040364	N
cfa-mir-146b	1363	318.865690	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	1553868	363518.115572	N
cfa-mir-148b	2022	473.034794	N
cfa-mir-149	4	0.935776	N
cfa-mir-150	52	12.165089	N
cfa-mir-151	5663	1324.824946	N
cfa-mir-152	1462	342.026147	N
cfa-mir-153	19	4.444936	N
cfa-mir-155	440	102.935366	N
cfa-mir-15a	303	70.885036	N
cfa-mir-15b	98	22.926513	N
cfa-mir-16-1	1905	445.663345	N
cfa-mir-16-2	1858	434.667976	N
cfa-mir-17	737	172.416738	N
cfa-mir-181a-1	2005	469.057746	N
cfa-mir-181a-2	2005	469.057746	N
cfa-mir-181b-1	637	149.022336	N
cfa-mir-181b-2	670	156.742489	N
cfa-mir-181c	28	6.550432	N
cfa-mir-181d	75	17.545801	N
cfa-mir-182	98	22.926513	N
