, 2233022
RPS12, 1280560
EIF4A2, 1207860
CCAR1, 244620
UBAP2, 213748
SPCS1, 200787
NOP56, 186169
WDR43, 164827
SF3B3, 158007
PRPF39, 121482
RACK1, 112843
HSPA9, 98088
RPL7A, 93963
GNL3, 86101
NCL, 84776
EIF4G1, 83375
P2RY11, 82778
TNPO2, 73532
RPS8, 69569
RPL5, 57201
RPL13A, 57164
AP1B1, 51990
RABGGTB, 41703
HUWE1, 40510
NOP58, 35014
PRRC2B, 29613
PUM1, 28703
SNX5, 23687
EEF2, 21398
RPL3, 18918
AP1G1, 15413
TEX14, 12518
CEP295, 12012
DDX39B, 9576
MED24, 6849
ADAMTSL1, 3087
RPS3, 2777
RPL12, 2426
MYO16, 2270
CNOT1, 1924
CHD4, 1596
RPL32, 1407
TCP1, 1303
TIPIN, 1225
EIF3A, 1203
FMR1, 1177
IKBKG, 1161
PRKCA, 1095
SLC38A4, 1047
ATG16L1, 995
TRRAP, 924
KANSL2, 859
EXT1, 828
RAPGEF5, 752
RPL23, 744
CYP3A26, 649
KPNA4, 634
GTF2A1, 609
FGA, 555
EIF4G2, 523
PPP1R8, 510
MAML2, 504
CYP7B1, 496
TMEM167A, 478
EIF5, 460
CKAP5, 438
KIAA0907, 385
ACTN1, 379
NFIA, 372
UGT1A6, 368
ADK, 365
PTCD3, 352
CNTNAP5, 350
RPSA, 348
NCAPD2, 339
APOA1, 331
OVOL2, 329
PAH, 324
ASS1, 303
METTL26, 303
MOB4, 300
GPHN, 295
MAGI3, 286
ADRA1A, 278
DPYD, 270
ACSS3, 263
MAN1C1, 262
KIAA1217, 253
ANO10, 252
CGN, 251
TPT1, 249
PTPRM, 249
ITGA9, 248
ALAS1, 246
DIAPH2, 233
CHD8, 232
MBNL1, 217
ALB, 215
LPGAT1, 214
PTPRK, 211
RPS15A, 209
PLEKHA5, 207
SLC25A16, 207
VPS13D, 202
EXOC4, 202
KLF9, 201
CCT6A, 200
DST, 198
FNDC3B, 198
VPS13B, 194
IQGAP2, 193
PRKCE, 190
MTSS1, 190
GPR39, 184
ZFAND3, 182
TF, 180
CCBE1, 180
ATRNL1, 180
C4orf45, 180
ABCA1, 180
MAP2K4, 179
IGF1, 179
FOXO3, 176
IGF2, 175
HABP2, 172
SLC25A13, 172
LRCH1, 168
ARID1B, 164
MED13L, 163
TEF, 162
CCNY, 161
LRBA, 160
CDH2, 160
DPYS, 159
PRKAG2, 159
ACACA, 158
GBE1, 157
PBX1, 156
BCAS3, 155
JARID2, 155
UBAP2L, 155
TAS1R2, 155
DOCK4, 153
SOX5, 152
NFIB, 152
MAML3, 150
HIPK2, 149
CYP2C18, 149
RBMS3, 145
TTC28, 145
PABPC4, 144
SND1, 143
