taglen,crossmapped,LTR,Intron,rmsk_Other,snoRNA,tRNA,unannotated,rRNA,rmsk_Low_complexity,scRNA,LINE,mature,p5_UTR,Satellite,rmsk_RNA,p3_UTR,snRNA,SINE,stemloop,srpRNA,star,precursor,Coding_Exon,No_CDS,Unknown,rmsk_DNA,rmsk_Unknown,rmsk_Simple_repeat
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78547929791339e-06,0,0,0
12,0,0,8.80693136812205e-05,0,0,0,0,0,0,0,0,0,2.93564378937402e-05,0,0,2.93564378937402e-05,0,0,0,0,0,0,2.93564378937402e-05,0,0.000313135337533228,0,0,0
13,0,0,0.00118893573469648,0,0,0,1.95709585958268e-05,0,0,0,0,0,0.000283778899639488,0,0,0.000117425751574961,0,0,0,0,0,0,0.000479488485597756,0,0.0059544641527803,0,0,0
14,0,0,0.00341513227497177,0,0,0,3.91419171916536e-05,0,0,0,0,9.78547929791339e-06,0.00053330862173628,0,0,0.000151674929117658,0,0,0,0,0,0,0.00201580873537016,0,0.0284170318811405,0,0,0
15,0,0,0.00671773153801754,0,0,0,9.78547929791339e-06,0,0,0,0,0.000352277254724882,0.000792623823130984,0,0,0.000719232728396634,0,0,4.89273964895669e-06,0,0,0,0.00640948894013327,0,0.0439319093079822,0,0,0
16,0,0,0.0137094564963767,0,0,0,0.000181031367011398,0,0,0,0,0.00108618820206839,0.001130222858909,0,0,0.00189349024414624,0,0,4.89273964895669e-06,0,0,0,0.0122758837792323,0,0.0730486029589234,0,0,0
17,0,0,0.0130538293834165,0,0,0,0.000670305331907067,0,0,0,0,0.00770117220745784,0.00142867997749535,0,0,0.00283289625674593,0,0,1.95709585958268e-05,0,0,0,0.0174181531502858,0,0.0606504006884672,0,0,0
18,1.95709585958268e-05,0,0.015138136473872,0,0,0,0.000954084231546555,0,0,0,0,0.0203733678982557,0.00171245887713484,0,0,0.00341513227497177,0,0,4.89273964895669e-06,0,0,4.89273964895669e-06,0.0202021220105422,0,0.0713899642179271,0,0,0
19,0.000151674929117658,0,0.0127455867855322,0,0,0,0.00783816891762862,0,0,0,0,0.0798592965502712,0.00164396052204945,0,0,0.00412947226371945,0,0,1.46782189468701e-05,0,0,0,0.0209409256975347,0,0.069139303979407,0,0,0
20,0.000435453828757146,0,0.0134746049932267,0,0,0,0.0360643839524598,0,0,0,0,0.452231033013418,0.00131614696556935,0,0,0.00433007458932667,0,0,4.89273964895669e-06,0,0,4.89273964895669e-06,0.0211757772006846,0,0.0901927626888677,0,0,0
21,0.00272525598446888,0,0.0560463326787989,0,0,0,0.116838622817086,0,0,0,0,3.27506292430144,0.00120361395364335,0,0,0.00569025621173664,0,0,9.78547929791339e-06,0,0,4.89273964895669e-06,0.0221249686925822,0,0.087447935745803,0,0,0
22,9.29620533301772e-05,0,0.154140869900732,0,0,0,0.285339683587505,0,0,0,0,7.59872802468798,0.00238765694869087,0,0,0.00678133715345398,0,0,4.89273964895669e-05,0,0,4.89273964895669e-06,0.0229029142967663,0,0.109323374716288,0,0,0
23,0.000136996710170787,0,0.025985340275609,0,0,0,0.103510800013328,0,0,0,0,1.51174401851569,0.00231426585395652,0,0,0.00741250056816939,0,0,0,0,0,0,0.0234557938770984,0,0.171133354701558,0,0,0
24,2.93564378937402e-05,0,0.0137485984135683,0,0,0,0.0775939580928042,0,0,0,0,0.328361543320782,0.00341513227497177,0,0,0.00661987674503841,0,0,4.89273964895669e-06,0,0,0,0.0247866190616146,0,0.0646037343248242,0,0,0
25,0,0,0.0149326414086158,0,0,0,0.00139932353960161,0,0,0,0,0.00584193114085429,0.00233383681255234,0,0,0.00586639483909908,0,0,0,0,0,0,0.024747477144423,0,0.0676861603036669,0,0,0
26,0,0,0.01852391231095,0,0,0,0.000763267385237244,0,0,0,0,0.00479977759562652,0.00419797061880484,0,0,0.00720700550291321,0,0,0,0,0,0,0.0253541768608936,0,0.0764001296184588,0,0,0
27,0,0,0.0325171477069662,0,0,0,0.000171245887713484,0,0,0,0,0.00121339943294126,0.00951148587757181,0,0,0.00723636194080695,0,0,4.89273964895669e-06,0,0,0,0.0274874113478387,0,0.142457007619023,0,0,0
28,0,0,0.0892924985934597,0,0,0,9.78547929791339e-05,0,0,0,0,0.00053330862173628,0.00205984339221077,0,0,0.0203684751586067,0,0,0,0,0,0,0.0259364128791194,0,0.163862743583209,0,0,0
29,0,0,0.0677595513984013,0,0,0,8.31765740322638e-05,0,0,0,0,0.000376740952969665,0.00950659313792286,0,0,0.0370478246219001,0,0,0,0,0,0,0.0246643005703907,0,0.185659898719311,0,0,0
30,0,0,0.0472589722692727,0,0,0,8.31765740322638e-05,0,0,0,0,0.000244636982447835,0.0166255293271548,0,0,0.055581522412148,0,0,0,0,0,0,0.0277467265492334,0,0.224566964407814,0,0,0
31,0,0,0.0495243107267397,0,0,0,7.82838343833071e-05,0,0,0,0,0.000278886159990532,0.00216259092483886,0,0,0.628922539956191,0,0,0,0,0,0,0.0282849279106186,0,0.768624935152852,0,0,0
