miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	12036	4223.792205	N
cfa-let-7a-2	11960	4197.121533	N
cfa-let-7b	9363	3285.756598	N
cfa-let-7c	3805	1335.288247	N
cfa-let-7d	1449	508.497416	N
cfa-let-7e	776	272.321598	N
cfa-let-7f	39045	13702.057713	N
cfa-let-7g	73442	25772.993278	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	242	84.925034	N
cfa-mir-1-2	248	87.030614	N
cfa-mir-101-1	34519	12113.749012	N
cfa-mir-101-2	37742	13244.796061	N
cfa-mir-103-1	2890	1014.187394	Y
cfa-mir-103-2	3078	1080.162214	Y
cfa-mir-105a	4	1.403720	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	19	6.667668	Y
cfa-mir-106b	1401	491.652782	N
cfa-mir-107	1811	635.534038	Y
cfa-mir-10a	22089	7751.690429	N
cfa-mir-10b	621	217.927464	N
cfa-mir-1185	1	0.350930	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	855079	300072.782860	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	13	4.562089	N
cfa-mir-125a	1018	357.246632	N
cfa-mir-125b-1	1726	605.704997	N
cfa-mir-125b-2	1836	644.307285	N
cfa-mir-126	59361	20831.549440	N
cfa-mir-127	9	3.158369	N
cfa-mir-1271	33	11.580687	N
cfa-mir-128-1	739	259.337192	N
cfa-mir-128-2	353	123.878253	N
cfa-mir-129-1	7	2.456509	N
cfa-mir-129-2	1	0.350930	N
cfa-mir-1296	8	2.807439	N
cfa-mir-1301	17	5.965808	N
cfa-mir-1306	18	6.316738	N
cfa-mir-1307	184	64.571101	N
cfa-mir-130a	309	108.437337	N
cfa-mir-130b	6	2.105579	N
cfa-mir-132	29	10.176967	N
cfa-mir-133a	52	18.248354	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	52	18.248354	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	10	3.509299	N
cfa-mir-135a-1	249	87.381544	N
cfa-mir-135a-2	243	85.275964	N
cfa-mir-135b	7	2.456509	N
cfa-mir-136	7	2.456509	N
cfa-mir-137	2	0.701860	N
cfa-mir-138a	2	0.701860	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	1062	372.687547	N
cfa-mir-140	1719	603.248488	N
cfa-mir-141	3	1.052790	N
cfa-mir-142	4276	1500.576227	N
cfa-mir-143	43418	15236.674139	N
cfa-mir-144	520	182.483545	N
cfa-mir-145	4148	1455.657200	N
cfa-mir-1468	4	1.403720	N
cfa-mir-146a	6378	2238.230864	N
cfa-mir-146b	698	244.949066	N
cfa-mir-147	1	0.350930	N
cfa-mir-148a	684394	240174.313897	N
cfa-mir-148b	2410	845.741045	N
cfa-mir-149	4	1.403720	N
cfa-mir-150	104	36.496709	N
cfa-mir-151	3484	1222.639751	N
