, 808
TIA1, 247
DDX39B, 150
ODC1, 114
AHNAK, 94
UTRN, 93
SNCAIP, 84
HMGCS2, 70
ATP13A3, 59
HSP90B1, 42
MT2A, 35
SORD, 35
FGA, 31
UHRF1, 30
TF, 28
GC, 27
APOA2, 26
TTR, 25
ADIPOR2, 23
FBXL5, 21
TMBIM6, 19
TAT, 19
EPB41, 18
MBNL1, 18
ALPL, 17
AMDHD1, 16
IGF2, 15
LGALS8, 15
TMCC3, 15
COL3A1, 15
RERE, 15
CPNE1, 15
IRF2, 15
MT1, 14
SERPINA1, 14
HAMP, 14
TLCD1, 13
CD163, 13
ELOVL6, 13
C11orf54, 12
HIPK2, 12
CYP3A26, 12
SUSD2, 12
ELOC, 12
SPATS2L, 11
FMO3, 11
SNRK, 11
EEF2, 11
CD36, 11
GPX1, 11
AHSG, 11
GLCCI1, 11
FOXP2, 10
APOH, 10
TOR1AIP2, 10
ATP8B1, 10
CPNE7, 10
ZFPM2, 10
SCAF11, 10
TNIK, 10
MARCH8, 10
SERPINC1, 10
ST6GAL1, 10
PRLR, 10
PPP2R5A, 9
ATP2B1, 9
EYA3, 9
SORBS2, 9
SFMBT1, 9
CANX, 9
INHBC, 9
MAEA, 9
RBM47, 9
SSRP1, 9
CYP2A13, 9
PGS1, 9
MAP4K4, 9
STUB1, 8
CNN3, 8
PIK3CD, 8
EIF4A2, 8
ATPIF1, 8
PJA2, 8
DNAJC12, 8
PARD3, 8
KLHL29, 8
GPX3, 8
PPARA, 8
TCF4, 8
BRD2, 8
NCOA4, 8
TCF7L2, 8
JAK1, 8
TBL1Y, 8
PITPNC1, 8
ACSL4, 8
MAPKAP1, 7
KIAA1191, 7
COLEC10, 7
ZFP36L1, 7
TMLHE, 7
RPL12, 7
ATF7IP, 7
ABCA9, 7
SREK1, 7
NCOA3, 7
BROX, 7
CHD9, 7
EPHX1, 7
VSIG4, 7
PPM1B, 7
SAMD11, 7
ACSL1, 7
BCAR1, 7
ZHX3, 7
ADGRL2, 7
RNF14, 7
MAPRE3, 7
GLB1, 7
KLF6, 7
ALDOB, 7
CSNK1G3, 7
CROT, 7
DPY19L1, 7
TAB2, 6
C10orf90, 6
FRG1, 6
SS18L1, 6
ADAM9, 6
UBE4B, 6
TRAK1, 6
TM4SF4, 6
ANKRD11, 6
SYPL2, 6
FAM49B, 6
FAM120A, 6
COG2, 6
SRSF5, 6
SCML4, 6
NCKAP1L, 6
SUMO2, 6
PRMT7, 6
SPECC1L, 6
NFIC, 6
PLD3, 6
ZNF366, 6
ACSS3, 6
ZNF516, 6
FKBP5, 6
PIK3CA, 6
FOXP1, 6
CRTC2, 6
DAG1, 6
NFE2L1, 6
JUN, 6
MGAM, 5
BMPR1A, 5
CCDC66, 5
FAM126B, 5
C7, 5
STK38L, 5
