, 10937
MT-CO2, 4901
ALB, 4079
TF, 2015
COX1, 1985
APOB, 1946
C3, 1746
FN1, 1380
RBP4, 1254
ALDOB, 1168
FGG, 1126
MT-ATP8, 1073
FGA, 889
CPS1, 849
MT-ND3, 818
LRP1, 816
ND2, 780
FGB, 627
COX3, 592
SERPINA1, 578
CLU, 545
CTSS, 517
ATP6, 514
CYP2E1, 478
APOA1, 437
HSP90AA1, 423
C1S, 396
BHMT, 393
HPD, 392
P4HB, 377
MT-ND4, 362
C5, 357
RPL9, 328
PSAP, 295
PLG, 294
APOH, 264
FDX1, 257
AMACR, 254
ADH4, 253
APOE, 241
POSTN, 236
CD74, 234
FTH1, 234
CYP3A26, 222
CESdD1, 221
MT-ND1, 220
SERPING1, 217
HSP90B1, 212
SPTBN1, 211
EEF2, 210
PROS1, 204
CYTB, 202
TTR, 199
RELN, 198
DST, 196
MYH9, 190
B2M, 189
TPT1, 189
VTN, 185
DYNC1H1, 180
GC, 177
PON1, 176
COL1A2, 176
SCP2, 175
CALR, 173
F5, 171
HRG, 171
AHSG, 170
ARG1, 169
RPL8, 168
ADAM23, 163
F2, 158
IGHM, 152
CTSB, 152
ACSL1, 145
ACTG1, 145
AMBP, 144
C6, 142
ACSL4, 141
EHHADH, 139
THBS1, 138
HPX, 137
APOA2, 137
ND5, 136
CD163, 135
PCK2, 133
C1R, 130
AHNAK, 128
CP, 128
ATP1A1, 127
NDRG2, 126
LAMP2, 125
SERPINA5, 122
CYP3A12, 119
HMGCS2, 117
ASS1, 117
GPNMB, 117
SLC38A4, 116
COL3A1, 116
ACTB, 115
UGT2B31, 113
ALAS1, 113
RNASE4, 112
FBLN1, 112
ITIH2, 111
HSD17B4, 110
SYNE2, 110
ACADM, 109
MT-ND6, 108
ITIH1, 108
CLTC, 107
ITM2B, 106
SERPINC1, 106
GLDC, 106
EIF4B, 106
HDLBP, 104
MTHFD1, 104
EIF3A, 103
DSP, 103
HSPA5, 102
FASN, 101
RGN, 100
DLA DRA, 99
GLG1, 98
UBR4, 96
CYP2C18, 95
SRRM2, 95
ASAH1, 95
HERC1, 93
PHF3, 92
ABCA1, 91
EPHX1, 91
COL6A3, 91
CAT, 91
ABCB4, 90
CCL16, 89
HLA-DRB1, 88
NCL, 88
ERBIN, 87
PRPF8, 87
MAN2A1, 87
PAH, 87
CDO1, 85
ACAA2, 85
HERC2, 85
TAS1R2, 85
ACAA1, 84
MACF1, 84
VIM, 83
HADHA, 83
APP, 81
CI-MPR, 81
RNF213, 81
ACACA, 81
CANX, 81
PYGL, 80
FH, 79
TPM3, 79
UGDH, 78
RPL10A, 77
BHMT2, 77
SLC7A2, 77
ALDH3A2, 76
TXNIP, 76
SPARC, 75
EIF5B, 75
MGAM, 75
LONP2, 75
MYLK, 72
RACK1, 72
PIGR, 72
QSOX1, 72
COL12A1, 71
SLC40A1, 71
EPRS, 71
HSP90AB1, 70
A2M, 70
NID1, 69
CTSK, 69
CTH, 69
NCOA4, 68
APLP2, 68
SORD, 68
DPYD, 67
PLEC, 67
CSDE1, 67
COL1A1, 67
RPS9, 67
FBXL5, 67
FTL, 66
CTNNB1, 66
PDIA4, 66
SLC27A2, 65
A1CF, 65
C4BPA, 65
CD5L, 65
GPLD1, 64
SPARCL1, 64
CXCL12, 63
CGNL1, 63
ROCK1, 63
SPTAN1, 63
EIF4A2, 62
WWP1, 62
CYP7B1, 62
RPS7, 61
ADIPOR2, 61
CERS2, 61
TLN1, 60
HUWE1, 60
UGP2, 59
DPYS, 59
MYH14, 59
NSD3, 58
UBR5, 58
LRP6, 57
LGALS8, 57
NOTCH2, 57
MRPL39, 57
SERPINF1, 57
FMO3, 56
MPEG1, 56
RDH16, 56
IQGAP2, 55
GHR, 54
COL6A5, 54
SLC6A11, 54
EPHX2, 54
UROC1, 53
GLUL, 53
ALDH7A1, 53
MIA3, 53
GNE, 53
CHD2, 53
ALDH1A1, 52
C8B, 52
HIPK3, 52
ZZZ3, 51
CYP27A1, 51
ARHGEF12, 51
RPL12, 51
NNT, 51
F9, 50
LIFR, 50
LRPPRC, 50
COL18A1, 50
ITGAV, 49
HIPK2, 49
SLIT3, 49
CFI, 48
HMGCR, 48
KPNB1, 48
FAT1, 48
CALD1, 48
MTTP, 48
STAB2, 48
ABCB11, 48
RXRA, 48
CYP4A39, 47
ANKRD12, 47
