, 1791326
RACK1, 681220
RPS12, 273754
NOP56, 224578
EIF4A2, 136767
RPL3, 134881
WDR43, 112059
SPCS1, 108211
P2RY11, 96852
TNPO2, 81444
UBAP2, 41509
EIF4G1, 40604
NCL, 38741
RPL7A, 28078
RPS8, 26511
RPL5, 21327
AP1G1, 16821
RPL13A, 16277
RABGGTB, 13352
GNL3, 9332
HSPA9, 8691
SF3B3, 8234
PRRC2B, 7949
PUM1, 7715
NOP58, 5585
HUWE1, 3737
CCAR1, 3567
SNX5, 3226
TEX14, 3120
DDX39B, 2441
AP1B1, 2284
RAPGEF5, 2161
EEF2, 1876
RPS3, 1677
CEP295, 1662
PRPF39, 1422
MED24, 869
TRRAP, 851
TIPIN, 688
RPL32, 664
MYO16, 657
PHB2, 592
RANBP1, 402
PTCD3, 315
IKBKG, 309
ANO10, 309
KANSL2, 258
MAP2K4, 212
GTF2A1, 188
SPIRE1, 173
ADAMTSL1, 173
FGG, 157
CHD4, 141
APOA1, 136
KPNA4, 121
EP400, 119
SLC38A4, 114
KIAA0907, 113
NCAPD2, 95
CNOT1, 91
RPSA, 90
NOP53, 84
FGA, 81
PABPC4, 76
ZNF398, 72
SLC25A16, 70
DST, 70
MAGI3, 69
CYP3A26, 68
PRKCA, 64
RPL12, 63
AGAP2, 62
CYP7B1, 62
INPP4B, 61
TCP1, 60
FZD4, 58
MAML2, 56
CALR, 56
ITGA9, 55
EIF4G2, 54
RPL23, 54
CLU, 53
TPT1, 49
CGN, 49
HAUS6, 48
CKAP5, 48
EXT1, 48
PBX1, 45
MAML1, 44
NFIA, 42
NDST1, 42
NFIB, 42
PPP1CC, 42
TTC7B, 41
OVOL2, 39
UGT1A6, 39
RPS15A, 38
PTPRM, 38
MAP3K20, 37
DOCK4, 37
CCBE1, 36
IGF2, 36
CNTNAP5, 35
LAMP2, 34
FNDC3B, 34
IPO7, 33
ADK, 33
MBNL1, 32
VTI1A, 31
VPS13B, 31
EXOC4, 31
NDUFV3, 30
NCKIPSD, 30
ARID1B, 30
DPYD, 30
DIAPH2, 30
GPHN, 30
SLC8A1, 30
SLC9A9, 30
ATG16L1, 30
G3BP1, 29
PTPRK, 29
UGT2B31, 29
TEF, 29
FMNL2, 29
GBA3, 28
BCAS3, 28
FAM208B, 28
UROC1, 27
TCF7L1, 27
ALDH5A1, 27
HSD17B4, 26
ITPKB, 26
EXOC6B, 26
KIAA1217, 25
WDFY1, 25
ATRNL1, 25
HABP2, 25
ALCAM, 25
TMED7-TICAM2, 24
ZCCHC7, 24
LDB2, 24
WRAP53, 24
ZFAND3, 24
PGS1, 23
SH3PXD2B, 23
AARS, 23
NRP1, 23
MBP, 23
LARP4, 23
GBE1, 22
ABCA9, 22
FAM172A, 22
GHR, 22
IDO2, 22
BCL2, 22
PEBP1, 22
ALDH6A1, 21
CBLB, 21
PER1, 21
HSP90AB1, 21
ANK1, 21
C3, 21
FBXW2, 21
TRMT44, 21
DENND1A, 21
ARHGAP26, 21
C16orf72, 20
SNX30, 20
GNB2, 20
FARP1, 20
ATP8A1, 20
ABCA1, 20
JARID2, 20
CACNA1C, 20
TAS1R2, 20
ADAM23, 20
PLEKHA5, 20
HMGCL, 20
EP300, 20
LRCH1, 20
NOTCH2, 20
RDX, 19
CYP2B6, 19
QKI, 19
CCNY, 19
AKAP13, 19
AP3B2, 19
STK10, 19
ETV6, 19
MCTP1, 19
PYGL, 19
ARHGAP24, 19
RNF213, 19
LMAN2, 18
SND1, 18
