taglen,crossmapped,Coding_Exon,rmsk_Other,LINE,srpRNA,rmsk_DNA,tRNA,SINE,snoRNA,mature,star,Unknown,stemloop,precursor,rmsk_Unknown,LTR,rmsk_Low_complexity,scRNA,unannotated,rRNA,rmsk_RNA,Satellite,snRNA,p5_UTR,rmsk_Simple_repeat,Intron,p3_UTR,No_CDS
12,0,0,0,0,0,0,0,0,0,0,0,4.28805939476829e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57338282897357e-06,0,0
13,0,2.14402969738414e-05,0,0,0,0,0,0,0,0,0,0.00256568887120303,0,0,0,0,0,0,0,0,0,0,0,1.07201484869207e-05,0,0.000178669141448679,0,0
14,0,0.000160802227303811,0,0,0,0,0,0,0,0,0,0.00857611878953658,0,0,0,0,0,0,3.57338282897357e-06,0,0,0,0,3.57338282897357e-05,0,0.000371631814213252,2.5013679802815e-05,0
15,0,0.000543154190003983,0,0,0,0,0,0,0,7.14676565794715e-06,0,0.0112704494425827,0,0,0,0,0,0,0,0,0,0,0,5.71741252635772e-05,0,0.00045024623645067,4.28805939476829e-05,0
16,0,0.000800437753690081,0,0,0,0,0,0,0,0.000360911665726331,0,0.0134573597339145,0,3.57338282897357e-06,0,0,0,0,1.78669141448679e-05,0,0,0,0,0.000142935313158943,0,0.000896919090072367,0.00015008207881689,0
17,0,0.0013793257719838,0,0,0,0,0,0,0,0.00123281707599588,0,0.0222014275164128,0,0,0,0,0,0,6.43208909215243e-05,0,0,0,0,0.000121495016185102,0,0.00116492280224539,0.000214402969738414,0
18,0,0.00187602598521113,0,0,0,0,0,0,0,0.00230840530751693,0,0.0605545454197862,0,0,0,0,0,0,0.000571741252635772,0,0,0,0,0.000268003712173018,0,0.00220835058830567,0.000275150477830965,0
19,0,0.0018795993680401,0,0,0,0,0,0,0,0.00582104062839795,0,0.0371953418667859,7.14676565794715e-06,0,0,0,0,0,0.0011899364820482,0,0,0,0,0.000196536055593547,0,0.00117564295073231,0.000321604454607622,0
20,7.14676565794715e-06,0.00218691029133183,0,0,0,0,0,0,0,0.0313242738787824,0,0.029341046408702,0,0,0,0,0,0,0.0037055979936456,0,0,0,0,0.000235843266712256,0,0.00141505960027354,0.000410939025331961,0
21,8.93345707243394e-05,0.00266931697324326,0,0,0,0,0,0,0,0.376327239250523,0,0.022983998355958,3.57338282897357e-06,0,0,0,0,0,0.0528860658688089,0,0,0,0,0.000157228844474837,0,0.00445958177055902,0.00048955344756938,0
22,0,0.00274793139548068,0,0,0,0,0,0,0,1.46089538182078,0,0.0330037638083999,5.36007424346036e-05,0,0,0,0,0,0.00921575431592285,0,0,0,0,0.000278723860659939,0,0.0101198201716532,0.000707529800136768,0
23,0,0.00304809555311446,0,0,0,0,0,0,0,0.13406975036026,0,0.0226266600730607,1.42935313158943e-05,0,0,0,0,0,0.00481692005345638,0,0,0,0,0.000235843266712256,0,0.00411653701897756,0.000793290988032133,0
24,0,0.00340186045318284,0,0,0,0,0,0,0,0.0104700116888926,0,0.0182456927247391,0,0,0,0,0,0,0.00130071134974638,0,0,0,0,0.000293017391975833,0,0.00231912545600385,0.000707529800136768,0
25,0,0.00345188781278847,0,0,0,0,0,0,0,0.00158300859323529,0,0.0272184570082917,0,3.57338282897357e-06,0,0,0,0,0.000139361930329969,0,0,0,0,0.000239416649541229,0,0.00241560679238614,0.000625341995070375,0
