miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	1598	2719.139132	N
cfa-let-7a-2	1559	2652.777163	N
cfa-let-7b	1694	2882.491671	N
cfa-let-7c	562	956.292986	N
cfa-let-7d	162	275.657409	N
cfa-let-7e	260	442.413125	N
cfa-let-7f	3070	5223.878057	N
cfa-let-7g	1987	3381.057231	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	2	3.403178	N
cfa-mir-1-2	4	6.806356	N
cfa-mir-101-1	185	314.793955	N
cfa-mir-101-2	195	331.809844	N
cfa-mir-103-1	32	54.450846	Y
cfa-mir-103-2	44	74.869914	Y
cfa-mir-105a	1	1.701589	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	0	0.000000	N
cfa-mir-106b	67	114.006459	N
cfa-mir-107	28	47.644490	Y
cfa-mir-10a	2883	4905.680925	N
cfa-mir-10b	688	1170.693193	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	174347	296666.927577	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	19	32.330190	N
cfa-mir-125a	497	845.689705	N
cfa-mir-125b-1	273	464.533782	N
cfa-mir-125b-2	299	508.775094	N
cfa-mir-126	1041	1771.354090	N
cfa-mir-127	13	22.120656	N
cfa-mir-1271	13	22.120656	N
cfa-mir-128-1	130	221.206563	N
cfa-mir-128-2	56	95.288981	N
cfa-mir-129-1	9	15.314300	N
cfa-mir-129-2	9	15.314300	N
cfa-mir-1296	11	18.717478	N
cfa-mir-1301	3	5.104767	N
cfa-mir-1306	2	3.403178	N
cfa-mir-1307	100	170.158894	N
cfa-mir-130a	4	6.806356	N
cfa-mir-130b	3	5.104767	N
cfa-mir-132	0	0.000000	N
cfa-mir-133a	0	0.000000	N
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	0	0.000000	N
cfa-mir-134	0	0.000000	N
cfa-mir-1343	11	18.717478	N
cfa-mir-135a-1	0	0.000000	N
cfa-mir-135a-2	2	3.403178	N
cfa-mir-135b	0	0.000000	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	197	335.213022	N
cfa-mir-140	49	83.377858	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	26	44.241313	N
cfa-mir-143	3232	5499.535466	N
cfa-mir-144	1	1.701589	N
cfa-mir-145	89	151.441416	N
cfa-mir-1468	8	13.612712	N
cfa-mir-146a	113	192.279551	N
cfa-mir-146b	52	88.482625	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	338855	576591.921536	N
