, 3190400
EIF4A2, 1938956
RPS12, 1718923
NOP56, 347641
SPCS1, 345421
RACK1, 276777
UBAP2, 271771
WDR43, 244129
CCAR1, 212629
EIF4G1, 167834
P2RY11, 164008
NCL, 154480
RPL7A, 144888
RPS8, 141414
RPL5, 136934
SF3B3, 124220
TNPO2, 118571
GNL3, 115679
HSPA9, 109379
PRPF39, 97815
RABGGTB, 82538
RPL13A, 77665
RPL3, 57785
AP1B1, 54322
HUWE1, 50960
PUM1, 49672
PRRC2B, 43446
NOP58, 36522
EEF2, 32233
AP1G1, 27299
SNX5, 18211
TEX14, 15965
DDX39B, 15018
CEP295, 12745
MED24, 12708
RPL12, 2241
TIPIN, 2159
CNOT1, 1993
TCP1, 1826
RPS3, 1758
CHD4, 1586
SLC38A4, 1397
RPL32, 1380
ADAMTSL1, 1184
KPNA4, 1035
KANSL2, 1020
GTF2A1, 983
ATG16L1, 871
EIF3A, 792
TRRAP, 765
RPL23, 759
RAPGEF5, 756
IKBKG, 721
CKAP5, 707
KIAA0907, 638
FGA, 515
TPT1, 475
ACTN1, 472
RPSA, 452
PTCD3, 441
MOB4, 434
PRKCA, 432
APOA1, 408
CPS1, 398
EXT1, 395
EIF5, 379
EIF4G2, 362
CHD8, 357
CGN, 338
PPP1R8, 326
CYP7B1, 312
NCAPD2, 309
MAML2, 293
ANO10, 286
OVOL2, 283
NOP53, 264
TMEM167A, 262
SLC25A16, 253
CCT6A, 249
PAH, 249
ADK, 234
MYO16, 227
RANBP1, 219
UBAP2L, 218
ITGA9, 217
CYP3A26, 205
MAGI3, 183
RPS11, 182
EP400, 181
ASS1, 178
IPO7, 172
MAP2K4, 169
PHB2, 167
TTC7B, 165
DST, 145
KLF9, 145
MGLL, 139
RPS15A, 138
NFIA, 138
INPP4B, 137
TOMM20, 134
ZBTB16, 132
MAML1, 132
TF, 132
SPIRE1, 130
ADRA1A, 129
DPYD, 128
LRCH1, 125
HABP2, 124
TMED7-TICAM2, 118
SLC25A13, 117
PABPC4, 117
ALDH6A1, 116
PEBP1, 116
ALAS1, 116
ACSS3, 115
MAN2A1, 115
UGT1A6, 110
SLC41A2, 109
G3BP1, 107
GPHN, 104
SOCS2, 104
C16orf72, 103
IGF2, 103
PLEKHA5, 103
KIAA1217, 103
NFIB, 101
HAUS6, 99
PTPRM, 98
LARP4, 97
DIAPH2, 96
ALB, 96
MTSS1, 95
LAMP2, 95
MAN1C1, 94
EXOC4, 93
QKI, 92
ACACA, 92
INTS6, 90
FZD4, 90
AP3B2, 89
ASPH, 88
TAS1R2, 87
WRAP53, 86
SSR1, 86
RPTOR, 86
FARP1, 85
CYP2B6, 85
VPS13D, 85
FOXO3, 85
COBLL1, 85
ACSL4, 83
PRR16, 83
ZFAND3, 83
FBXW2, 82
FNDC3B, 81
NRF1, 80
VPS13B, 80
CALR, 80
CCNY, 80
COL22A1, 79
FMR1, 79
CP, 77
CDH2, 75
METTL26, 75
FGG, 75
NDST1, 74
CWF19L1, 72
RDX, 71
NCKIPSD, 71
CSPP1, 71
MAML3, 71
EHBP1, 69
RFWD2, 67
MED13L, 67
ALDH5A1, 66
AGAP2, 66
TEF, 65
ATRNL1, 64
CHD3, 64
UROC1, 64
SH3PXD2B, 64
MARCH6, 64
ATRX, 63
LRBA, 63
CYP2C18, 61
ALDH1A1, 61
ABCC5, 61
PODN, 61
TAT, 60
FMNL2, 60
GPR39, 60
UVRAG, 60
BCAS3, 59
ZCCHC7, 59
PDE4DIP, 58
HAL, 58
IQGAP2, 58
PRODH2, 58
ABCA1, 57
PTPRK, 57
HIPK2, 57
PYGL, 56
TLE1, 55
PAPD5, 55
CCDC34, 55
CCDC180, 55
FMO5, 55
SPTBN1, 55
IL1RAP, 55
ARHGAP24, 54
IGF1, 54
POR, 53
TESMIN, 53
AGMO, 53
FOXO1, 53
PLXNA4, 53
HSD17B4, 53
GSTM4, 53
AARS, 52
ABHD15, 52
FSD1L, 52
JARID2, 52
CPED1, 52
GGCX, 52
SLC7A2, 51
SUGCT, 51
MTPAP, 51
UBE3C, 51
MYO7A, 50
TTC28, 50
CHN2, 50
VWA8, 50
PNPLA8, 49
GALNT13, 49
SBF2, 49
FAM172A, 49
TMCC1, 49
TCF12, 48
SORBS2, 48
SMOC1, 48
BBOX1, 48
IL6ST, 48
CNTNAP5, 48
DOCK4, 47
FKBP5, 47
PRRC2A, 47
BCAS2, 47
PHLPP1, 47
ATP9B, 47
MESDC2, 46
GYS2, 46
RBMS3, 46
NOTCH2, 46
NRG1, 46
LMAN2, 46
MBNL1, 45
PLPP3, 45
PAPD4, 45
PPARGC1A, 45
HGD, 45
NHLRC2, 45
ARID1B, 45
ELMO1, 45
MYCBP2, 45
AKAP2, 45
TMEM135, 45
NMD3, 44
AIG1, 44
TCF7L2, 44
ZEB1, 44
HMGCLL1, 44
ROBO1, 44
GBE1, 44
TNRC6A, 44
FEM1C, 44
JMJD1C, 44
PRKCE, 43
BABAM2, 42
GBA3, 42
PICALM, 42
ADAMTSL5, 42
PCSK6, 41
SHMT2, 41
UBE2H, 41
CHD2, 41
GRHPR, 41
FAM214A, 41
P4HA1, 41
HOGA1, 40
DOCK3, 40
ELL2, 40
MCTP1, 40
DOCK1, 40
VTI1A, 40
ALCAM, 40
SLC16A7, 40
HMGCS2, 40
CFI, 40
CLK4, 40
SND1, 39
EP300, 39
ADAM23, 39
ATRN, 39
ANKRD17, 39
NOL10, 39
KLHL3, 39
PPP6R3, 39
VPS13A, 38
MAP3K20, 38
NUP155, 38
ANKS1B, 38
PSD3, 38
PPP1R12B, 38
IDO2, 37
ZNF407, 37
RBPMS, 37
RNLS, 37
PIK3R1, 37
SLCO1B3, 37
SLC9A9, 37
PON1, 37
PGAP1, 37
KDM6A, 37
ERC1, 37
HOMER1, 37
CHCHD3, 37
ETV6, 37
ACOX2, 37
TSPAN10, 36
UBR5, 36
ADIPOR2, 36
CCBE1, 36
BMPR2, 35
AGFG1, 35
RBMS1, 35
CPEB4, 35
KIAA0922, 35
MARK3, 35
SPTLC2, 35
C4orf45, 35
PCNX1, 35
INSIG1, 34
PLG, 34
CLYBL, 34
