miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	14464	4646.139792	N
cfa-let-7a-2	14307	4595.708103	N
cfa-let-7b	10758	3455.694958	N
cfa-let-7c	4862	1561.776249	N
cfa-let-7d	1229	394.780545	N
cfa-let-7e	880	282.674434	N
cfa-let-7f	49133	15782.548837	N
cfa-let-7g	74179	23827.848700	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	220	70.668609	N
cfa-mir-1-2	206	66.171515	N
cfa-mir-101-1	25206	8096.695215	N
cfa-mir-101-2	28055	9011.853695	N
cfa-mir-103-1	2481	796.949172	Y
cfa-mir-103-2	2658	853.805280	Y
cfa-mir-105a	2	0.642442	N
cfa-mir-105b	2	0.642442	N
cfa-mir-106a	26	8.351745	Y
cfa-mir-106b	671	215.539256	N
cfa-mir-107	1046	335.997112	Y
cfa-mir-10a	27461	8821.048452	N
cfa-mir-10b	2022	649.508757	N
cfa-mir-1185	1	0.321221	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	1070817	343968.851847	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	1	0.321221	N
cfa-mir-1249	63	20.236920	N
cfa-mir-125a	1478	474.764561	N
cfa-mir-125b-1	1902	610.962243	N
cfa-mir-125b-2	2012	646.296547	N
cfa-mir-126	42036	13502.843769	N
cfa-mir-127	49	15.739826	N
cfa-mir-1271	40	12.848838	N
cfa-mir-128-1	1187	381.289265	N
cfa-mir-128-2	716	229.994199	N
cfa-mir-129-1	4	1.284884	N
cfa-mir-129-2	0	0.000000	N
cfa-mir-1296	4	1.284884	N
cfa-mir-1301	17	5.460756	N
cfa-mir-1306	7	2.248547	N
cfa-mir-1307	257	82.553784	N
cfa-mir-130a	155	49.789247	N
cfa-mir-130b	2	0.642442	N
cfa-mir-132	11	3.533430	N
cfa-mir-133a	34	10.921512	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	34	10.921512	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	9	2.890989	N
cfa-mir-135a-1	184	59.104654	N
cfa-mir-135a-2	158	50.752910	N
cfa-mir-135b	1	0.321221	N
cfa-mir-136	12	3.854651	N
cfa-mir-137	1	0.321221	N
cfa-mir-138a	1	0.321221	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	1064	341.779089	N
cfa-mir-140	1131	363.300892	N
cfa-mir-141	10	3.212209	N
cfa-mir-142	1943	624.132302	N
cfa-mir-143	46041	14789.333666	N
cfa-mir-144	226	72.595934	N
cfa-mir-145	4527	1454.167231	N
cfa-mir-1468	5	1.606105	N
cfa-mir-146a	4770	1532.223922	N
cfa-mir-146b	762	244.770362	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	887900	285212.079706	N
cfa-mir-148b	2150	690.625038	N
cfa-mir-149	10	3.212209	N
cfa-mir-150	98	31.479653	N
cfa-mir-151	4961	1593.577123	N
cfa-mir-152	1586	509.456423	N
cfa-mir-153	38	12.206396	N
cfa-mir-155	546	175.386638	N
cfa-mir-15a	432	138.767450	N
cfa-mir-15b	127	40.795060	N
cfa-mir-16-1	2388	767.075624	N
cfa-mir-16-2	2248	722.104691	N
cfa-mir-17	953	306.123563	Y
cfa-mir-181a-1	1401	450.030548	N
cfa-mir-181a-2	1390	446.497118	N
cfa-mir-181b-1	459	147.440415	N
cfa-mir-181b-2	517	166.071230	N
cfa-mir-181c	45	14.454943	N
cfa-mir-181d	77	24.734013	N
cfa-mir-182	81	26.018897	N
cfa-mir-183	17	5.460756	N
cfa-mir-1835	18	5.781977	N
cfa-mir-1836	64	20.558141	N
cfa-mir-1837-1	0	0.000000	N
